;time;token;event;global_position
0;2022-01-13 13:37:50.081000+00:00;ntm02BKeFItM5XEb;move;[517, 718]
1;2022-01-13 13:38:18.370000+00:00;ntm02BKeFItM5XEb;move;[749, 382]
2;2022-01-13 13:38:37.077000+00:00;ntm02BKeFItM5XEb;move;[37, 188]
3;2022-01-13 13:38:48.422000+00:00;ntm02BKeFItM5XEb;move;[82, 508]
4;2022-01-13 13:38:54.203000+00:00;ntm02BKeFItM5XEb;move;[129, 369]
5;2022-01-13 13:39:02.313000+00:00;ntm02BKeFItM5XEb;move;[137, 513]
6;2022-01-13 13:39:14.341000+00:00;ntm02BKeFItM5XEb;move;[4, 622]
7;2022-01-13 13:39:15.705000+00:00;ntm02BKeFItM5XEb;move;[11, 645]
8;2022-01-13 13:39:23.922000+00:00;ntm02BKeFItM5XEb;move;[43, 799]
9;2022-01-13 13:39:25.206000+00:00;ntm02BKeFItM5XEb;move;[57, 827]
10;2022-01-13 13:39:31.690000+00:00;ntm02BKeFItM5XEb;move;[74, 883]
11;2022-01-13 13:39:48.192000+00:00;ntm02BKeFItM5XEb;move;[76, 880]
12;2022-01-13 13:39:49.291000+00:00;ntm02BKeFItM5XEb;move;[66, 889]
13;2022-01-13 13:39:50.391000+00:00;ntm02BKeFItM5XEb;move;[74, 859]
14;2022-01-13 13:39:53.975000+00:00;ntm02BKeFItM5XEb;move;[88, 1082]
15;2022-01-13 13:39:58.959000+00:00;ntm02BKeFItM5XEb;move;[541, 1081]
16;2022-01-13 13:40:27.835000+00:00;ntm02BKeFItM5XEb;move;[881, 1670]
17;2022-01-13 13:41:16.490000+00:00;ntm02BKeFItM5XEb;move;[29, 217]
18;2022-01-13 13:41:28.188000+00:00;ntm02BKeFItM5XEb;move;[57, 485]
19;2022-01-13 13:41:40.534000+00:00;ntm02BKeFItM5XEb;move;[24, 543]
20;2022-01-13 13:42:09.103000+00:00;ntm02BKeFItM5XEb;move;[28, 535]
21;2022-01-13 13:42:41.176000+00:00;ntm02BKeFItM5XEb;move;[366, 254]
22;2022-01-13 13:43:22.434000+00:00;ntm02BKeFItM5XEb;move;[60, 580]
23;2022-01-13 13:43:45.137000+00:00;ntm02BKeFItM5XEb;move;[39, 668]
24;2022-01-13 13:43:48.536000+00:00;ntm02BKeFItM5XEb;move;[51, 600]
25;2022-01-13 13:44:05.079000+00:00;ntm02BKeFItM5XEb;move;[51, 521]
26;2022-01-13 13:44:25.772000+00:00;ntm02BKeFItM5XEb;move;[30, 543]
27;2022-01-13 13:44:27.072000+00:00;ntm02BKeFItM5XEb;move;[30, 595]
28;2022-01-13 13:46:34.497000+00:00;ntm02BKeFItM5XEb;move;[271, 585]
29;2022-01-13 13:47:05.627000+00:00;ntm02BKeFItM5XEb;move;[365, 332]
30;2022-01-13 13:47:06.668000+00:00;ntm02BKeFItM5XEb;move;[164, 222]
31;2022-01-13 13:47:17.094000+00:00;ntm02BKeFItM5XEb;move;[110, 343]
32;2022-01-13 13:47:20.263000+00:00;ntm02BKeFItM5XEb;move;[337, 340]
33;2022-01-13 13:48:09.567000+00:00;ntm02BKeFItM5XEb;move;[320, 407]
34;2022-01-13 13:48:18.991000+00:00;ntm02BKeFItM5XEb;move;[268, 325]
35;2022-01-13 13:48:36.218000+00:00;ntm02BKeFItM5XEb;move;[453, 473]
36;2022-01-13 13:49:08.538000+00:00;ntm02BKeFItM5XEb;move;[248, 27]
37;2022-01-13 13:49:16.912000+00:00;ntm02BKeFItM5XEb;move;[267, 315]
38;2022-01-13 13:49:34.824000+00:00;ntm02BKeFItM5XEb;move;[431, 384]
39;2022-01-13 13:50:22.852000+00:00;ntm02BKeFItM5XEb;move;[29, 437]
40;2022-01-13 13:50:26.034000+00:00;ntm02BKeFItM5XEb;move;[35, 469]
41;2022-01-13 13:50:44.969000+00:00;ntm02BKeFItM5XEb;move;[28, 498]
42;2022-01-13 13:51:53.825000+00:00;ntm02BKeFItM5XEb;move;[22, 221]
43;2022-01-13 13:51:55.341000+00:00;ntm02BKeFItM5XEb;move;[23, 239]
44;2022-01-13 13:51:57.925000+00:00;ntm02BKeFItM5XEb;move;[31, 183]
45;2022-01-13 13:52:05.867000+00:00;ntm02BKeFItM5XEb;move;[23, 340]
46;2022-01-13 13:52:07.134000+00:00;ntm02BKeFItM5XEb;move;[24, 339]
47;2022-01-13 13:52:22.302000+00:00;ntm02BKeFItM5XEb;move;[72, 402]
48;2022-01-13 13:52:36.120000+00:00;ntm02BKeFItM5XEb;move;[67, 374]
49;2022-01-13 13:52:37.969000+00:00;ntm02BKeFItM5XEb;move;[51, 343]
50;2022-01-13 13:52:40.753000+00:00;ntm02BKeFItM5XEb;move;[61, 337]
51;2022-01-13 13:52:48.871000+00:00;ntm02BKeFItM5XEb;move;[87, 359]
52;2022-01-13 13:52:50.121000+00:00;ntm02BKeFItM5XEb;move;[64, 365]
53;2022-01-13 13:52:51.659000+00:00;ntm02BKeFItM5XEb;move;[64, 417]
54;2022-01-13 13:52:53.713000+00:00;ntm02BKeFItM5XEb;move;[85, 572]
55;2022-01-13 13:52:55.438000+00:00;ntm02BKeFItM5XEb;move;[72, 543]
56;2022-01-13 13:52:56.354000+00:00;ntm02BKeFItM5XEb;move;[62, 606]
57;2022-01-13 13:52:57.171000+00:00;ntm02BKeFItM5XEb;move;[67, 651]
58;2022-01-13 13:53:05.567000+00:00;ntm02BKeFItM5XEb;move;[73, 707]
59;2022-01-13 13:53:09.457000+00:00;ntm02BKeFItM5XEb;move;[163, 908]
60;2022-01-13 13:53:15.173000+00:00;ntm02BKeFItM5XEb;move;[158, 1132]
61;2022-01-13 13:53:19.906000+00:00;ntm02BKeFItM5XEb;move;[145, 1139]
62;2022-01-13 13:53:22.273000+00:00;ntm02BKeFItM5XEb;move;[598, 1231]
63;2022-01-13 13:53:41.524000+00:00;ntm02BKeFItM5XEb;move;[315, 707]
64;2022-01-13 13:53:42.842000+00:00;ntm02BKeFItM5XEb;move;[145, 687]
65;2022-01-13 13:53:44.533000+00:00;ntm02BKeFItM5XEb;move;[170, 695]
66;2022-01-13 13:53:48.250000+00:00;ntm02BKeFItM5XEb;move;[42, 506]
67;2022-01-13 13:53:49.153000+00:00;ntm02BKeFItM5XEb;move;[43, 479]
68;2022-01-13 13:54:10.101000+00:00;ntm02BKeFItM5XEb;move;[40, 456]
69;2022-01-13 13:54:22.754000+00:00;ntm02BKeFItM5XEb;move;[918, 1668]
70;2022-01-13 13:54:35.554000+00:00;ntm02BKeFItM5XEb;move;[168, 162]
71;2022-01-13 13:55:00.989000+00:00;ntm02BKeFItM5XEb;move;[69, 577]
72;2022-01-13 13:55:02.496000+00:00;ntm02BKeFItM5XEb;move;[157, 384]
73;2022-01-13 13:55:08.744000+00:00;ntm02BKeFItM5XEb;move;[67, 814]
74;2022-01-13 13:55:16.299000+00:00;ntm02BKeFItM5XEb;move;[154, 515]
75;2022-01-13 13:55:17.632000+00:00;ntm02BKeFItM5XEb;move;[69, 510]
76;2022-01-13 13:55:37.559000+00:00;ntm02BKeFItM5XEb;move;[53, 940]
77;2022-01-13 13:55:38.343000+00:00;ntm02BKeFItM5XEb;move;[60, 962]
78;2022-01-13 13:55:40.842000+00:00;ntm02BKeFItM5XEb;move;[54, 1007]
79;2022-01-13 13:55:42.875000+00:00;ntm02BKeFItM5XEb;move;[48, 998]
80;2022-01-13 13:55:44.126000+00:00;ntm02BKeFItM5XEb;move;[56, 991]
81;2022-01-13 13:56:09.415000+00:00;ntm02BKeFItM5XEb;move;[43, 1335]
82;2022-01-13 13:56:12.045000+00:00;ntm02BKeFItM5XEb;move;[681, 1268]
