;time;token;event;global_position
0;2022-01-13 13:11:36.651000+00:00;prf5FpgceRHeYV0t;move;[1107, 770]
1;2022-01-13 13:11:36.658000+00:00;prf5FpgceRHeYV0t;move;[1106, 769]
2;2022-01-13 13:11:36.665000+00:00;prf5FpgceRHeYV0t;move;[1102, 765]
3;2022-01-13 13:11:36.673000+00:00;prf5FpgceRHeYV0t;move;[1097, 760]
4;2022-01-13 13:11:36.680000+00:00;prf5FpgceRHeYV0t;move;[1091, 754]
5;2022-01-13 13:11:36.689000+00:00;prf5FpgceRHeYV0t;move;[1084, 747]
6;2022-01-13 13:11:36.697000+00:00;prf5FpgceRHeYV0t;move;[1073, 736]
7;2022-01-13 13:11:36.705000+00:00;prf5FpgceRHeYV0t;move;[1063, 726]
8;2022-01-13 13:11:36.713000+00:00;prf5FpgceRHeYV0t;move;[1049, 712]
9;2022-01-13 13:11:36.727000+00:00;prf5FpgceRHeYV0t;move;[1034, 697]
10;2022-01-13 13:11:36.734000+00:00;prf5FpgceRHeYV0t;move;[1019, 683]
11;2022-01-13 13:11:36.741000+00:00;prf5FpgceRHeYV0t;move;[999, 666]
12;2022-01-13 13:11:36.748000+00:00;prf5FpgceRHeYV0t;move;[979, 651]
13;2022-01-13 13:11:36.756000+00:00;prf5FpgceRHeYV0t;move;[962, 638]
14;2022-01-13 13:11:36.762000+00:00;prf5FpgceRHeYV0t;move;[940, 624]
15;2022-01-13 13:11:36.769000+00:00;prf5FpgceRHeYV0t;move;[922, 613]
16;2022-01-13 13:11:36.777000+00:00;prf5FpgceRHeYV0t;move;[906, 605]
17;2022-01-13 13:11:36.785000+00:00;prf5FpgceRHeYV0t;move;[891, 597]
18;2022-01-13 13:11:36.793000+00:00;prf5FpgceRHeYV0t;move;[874, 591]
19;2022-01-13 13:11:36.801000+00:00;prf5FpgceRHeYV0t;move;[861, 586]
20;2022-01-13 13:11:36.809000+00:00;prf5FpgceRHeYV0t;move;[849, 581]
21;2022-01-13 13:11:36.817000+00:00;prf5FpgceRHeYV0t;move;[838, 576]
22;2022-01-13 13:11:36.832000+00:00;prf5FpgceRHeYV0t;move;[829, 572]
23;2022-01-13 13:11:36.838000+00:00;prf5FpgceRHeYV0t;move;[821, 569]
24;2022-01-13 13:11:36.845000+00:00;prf5FpgceRHeYV0t;move;[814, 566]
25;2022-01-13 13:11:36.852000+00:00;prf5FpgceRHeYV0t;move;[808, 564]
26;2022-01-13 13:11:36.860000+00:00;prf5FpgceRHeYV0t;move;[805, 562]
27;2022-01-13 13:11:36.866000+00:00;prf5FpgceRHeYV0t;move;[802, 562]
28;2022-01-13 13:11:36.873000+00:00;prf5FpgceRHeYV0t;move;[800, 561]
29;2022-01-13 13:11:36.881000+00:00;prf5FpgceRHeYV0t;move;[798, 560]
30;2022-01-13 13:11:37.441000+00:00;prf5FpgceRHeYV0t;move;[796, 559]
31;2022-01-13 13:11:37.449000+00:00;prf5FpgceRHeYV0t;move;[796, 558]
32;2022-01-13 13:11:37.457000+00:00;prf5FpgceRHeYV0t;move;[793, 557]
33;2022-01-13 13:11:37.465000+00:00;prf5FpgceRHeYV0t;move;[788, 554]
34;2022-01-13 13:11:37.473000+00:00;prf5FpgceRHeYV0t;move;[782, 549]
35;2022-01-13 13:11:37.481000+00:00;prf5FpgceRHeYV0t;move;[777, 543]
36;2022-01-13 13:11:37.489000+00:00;prf5FpgceRHeYV0t;move;[772, 534]
37;2022-01-13 13:11:37.497000+00:00;prf5FpgceRHeYV0t;move;[766, 522]
38;2022-01-13 13:11:37.505000+00:00;prf5FpgceRHeYV0t;move;[760, 506]
39;2022-01-13 13:11:37.513000+00:00;prf5FpgceRHeYV0t;move;[751, 486]
40;2022-01-13 13:11:37.521000+00:00;prf5FpgceRHeYV0t;move;[740, 460]
41;2022-01-13 13:11:37.529000+00:00;prf5FpgceRHeYV0t;move;[731, 435]
42;2022-01-13 13:11:37.537000+00:00;prf5FpgceRHeYV0t;move;[721, 410]
43;2022-01-13 13:11:37.545000+00:00;prf5FpgceRHeYV0t;move;[710, 386]
44;2022-01-13 13:11:37.553000+00:00;prf5FpgceRHeYV0t;move;[700, 363]
45;2022-01-13 13:11:37.568000+00:00;prf5FpgceRHeYV0t;move;[687, 340]
46;2022-01-13 13:11:37.574000+00:00;prf5FpgceRHeYV0t;move;[677, 321]
47;2022-01-13 13:11:37.581000+00:00;prf5FpgceRHeYV0t;move;[670, 308]
48;2022-01-13 13:11:37.588000+00:00;prf5FpgceRHeYV0t;move;[663, 297]
