;time;token;event;global_position
0;2022-01-20 12:51:20.147000+00:00;qjkq8tWEbenOaEta;move;[938, 818]
1;2022-01-20 12:51:20.154000+00:00;qjkq8tWEbenOaEta;move;[937, 817]
2;2022-01-20 12:51:20.167000+00:00;qjkq8tWEbenOaEta;move;[936, 816]
3;2022-01-20 12:51:20.183000+00:00;qjkq8tWEbenOaEta;move;[936, 813]
4;2022-01-20 12:51:20.200000+00:00;qjkq8tWEbenOaEta;move;[933, 807]
5;2022-01-20 12:51:20.216000+00:00;qjkq8tWEbenOaEta;move;[931, 800]
6;2022-01-20 12:51:20.233000+00:00;qjkq8tWEbenOaEta;move;[929, 795]
7;2022-01-20 12:51:20.250000+00:00;qjkq8tWEbenOaEta;move;[925, 788]
8;2022-01-20 12:51:20.266000+00:00;qjkq8tWEbenOaEta;move;[923, 781]
9;2022-01-20 12:51:20.287000+00:00;qjkq8tWEbenOaEta;move;[917, 755]
10;2022-01-20 12:51:20.300000+00:00;qjkq8tWEbenOaEta;move;[911, 736]
11;2022-01-20 12:51:20.316000+00:00;qjkq8tWEbenOaEta;move;[905, 702]
12;2022-01-20 12:51:20.333000+00:00;qjkq8tWEbenOaEta;move;[895, 661]
13;2022-01-20 12:51:20.350000+00:00;qjkq8tWEbenOaEta;move;[878, 584]
14;2022-01-20 12:51:20.367000+00:00;qjkq8tWEbenOaEta;move;[870, 550]
15;2022-01-20 12:51:20.383000+00:00;qjkq8tWEbenOaEta;move;[862, 511]
16;2022-01-20 12:51:20.400000+00:00;qjkq8tWEbenOaEta;move;[857, 496]
17;2022-01-20 12:51:20.416000+00:00;qjkq8tWEbenOaEta;move;[850, 485]
18;2022-01-20 12:51:20.433000+00:00;qjkq8tWEbenOaEta;move;[835, 473]
19;2022-01-20 12:51:20.450000+00:00;qjkq8tWEbenOaEta;move;[809, 464]
20;2022-01-20 12:51:20.466000+00:00;qjkq8tWEbenOaEta;move;[787, 463]
21;2022-01-20 12:51:20.483000+00:00;qjkq8tWEbenOaEta;move;[775, 468]
22;2022-01-20 12:51:20.500000+00:00;qjkq8tWEbenOaEta;move;[762, 480]
23;2022-01-20 12:51:20.516000+00:00;qjkq8tWEbenOaEta;move;[761, 481]
24;2022-01-20 12:51:20.783000+00:00;qjkq8tWEbenOaEta;move;[777, 468]
25;2022-01-20 12:51:20.800000+00:00;qjkq8tWEbenOaEta;move;[813, 442]
26;2022-01-20 12:51:20.816000+00:00;qjkq8tWEbenOaEta;move;[865, 421]
27;2022-01-20 12:51:20.833000+00:00;qjkq8tWEbenOaEta;move;[926, 403]
28;2022-01-20 12:51:20.850000+00:00;qjkq8tWEbenOaEta;move;[952, 397]
29;2022-01-20 12:51:20.866000+00:00;qjkq8tWEbenOaEta;move;[981, 393]
30;2022-01-20 12:51:20.883000+00:00;qjkq8tWEbenOaEta;move;[996, 392]
31;2022-01-20 12:51:20.900000+00:00;qjkq8tWEbenOaEta;move;[1011, 390]
32;2022-01-20 12:51:20.917000+00:00;qjkq8tWEbenOaEta;move;[1012, 390]
33;2022-01-20 12:51:20.933000+00:00;qjkq8tWEbenOaEta;move;[1013, 390]
34;2022-01-20 12:51:21.148000+00:00;qjkq8tWEbenOaEta;move;[1019, 388]
35;2022-01-20 12:51:21.155000+00:00;qjkq8tWEbenOaEta;move;[1026, 386]
36;2022-01-20 12:51:21.168000+00:00;qjkq8tWEbenOaEta;move;[1039, 383]
37;2022-01-20 12:51:21.183000+00:00;qjkq8tWEbenOaEta;move;[1081, 376]
38;2022-01-20 12:51:21.200000+00:00;qjkq8tWEbenOaEta;move;[1111, 376]
39;2022-01-20 12:51:21.217000+00:00;qjkq8tWEbenOaEta;move;[1124, 377]
40;2022-01-20 12:51:21.233000+00:00;qjkq8tWEbenOaEta;move;[1147, 379]
41;2022-01-20 12:51:21.250000+00:00;qjkq8tWEbenOaEta;move;[1156, 380]
42;2022-01-20 12:51:21.267000+00:00;qjkq8tWEbenOaEta;move;[1160, 380]
43;2022-01-20 12:51:21.283000+00:00;qjkq8tWEbenOaEta;move;[1165, 380]
44;2022-01-20 12:51:21.300000+00:00;qjkq8tWEbenOaEta;move;[1167, 380]
45;2022-01-20 12:51:21.317000+00:00;qjkq8tWEbenOaEta;move;[1169, 379]
46;2022-01-20 12:51:21.333000+00:00;qjkq8tWEbenOaEta;move;[1170, 378]
47;2022-01-20 12:51:21.350000+00:00;qjkq8tWEbenOaEta;move;[1171, 377]
48;2022-01-20 12:51:21.367000+00:00;qjkq8tWEbenOaEta;move;[1172, 374]
49;2022-01-20 12:51:21.383000+00:00;qjkq8tWEbenOaEta;move;[1169, 365]
50;2022-01-20 12:51:21.400000+00:00;qjkq8tWEbenOaEta;move;[1167, 360]
51;2022-01-20 12:51:21.417000+00:00;qjkq8tWEbenOaEta;move;[1166, 358]
52;2022-01-20 12:51:21.433000+00:00;qjkq8tWEbenOaEta;move;[1166, 357]
53;2022-01-20 12:51:21.505000+00:00;qjkq8tWEbenOaEta;move;[1168, 357]
54;2022-01-20 12:51:21.517000+00:00;qjkq8tWEbenOaEta;move;[1172, 357]
55;2022-01-20 12:51:21.533000+00:00;qjkq8tWEbenOaEta;move;[1196, 359]
56;2022-01-20 12:51:21.550000+00:00;qjkq8tWEbenOaEta;move;[1215, 359]
57;2022-01-20 12:51:21.567000+00:00;qjkq8tWEbenOaEta;move;[1232, 359]
58;2022-01-20 12:51:21.583000+00:00;qjkq8tWEbenOaEta;move;[1253, 359]
59;2022-01-20 12:51:21.600000+00:00;qjkq8tWEbenOaEta;move;[1269, 359]
60;2022-01-20 12:51:21.617000+00:00;qjkq8tWEbenOaEta;move;[1279, 362]
61;2022-01-20 12:51:21.634000+00:00;qjkq8tWEbenOaEta;move;[1294, 366]
62;2022-01-20 12:51:21.650000+00:00;qjkq8tWEbenOaEta;move;[1300, 368]
63;2022-01-20 12:51:21.667000+00:00;qjkq8tWEbenOaEta;move;[1305, 370]
64;2022-01-20 12:51:21.684000+00:00;qjkq8tWEbenOaEta;move;[1310, 371]
65;2022-01-20 12:51:21.700000+00:00;qjkq8tWEbenOaEta;move;[1315, 371]
66;2022-01-20 12:51:21.718000+00:00;qjkq8tWEbenOaEta;move;[1322, 373]
67;2022-01-20 12:51:21.733000+00:00;qjkq8tWEbenOaEta;move;[1324, 373]
68;2022-01-20 12:51:21.768000+00:00;qjkq8tWEbenOaEta;move;[1325, 373]
69;2022-01-20 12:51:21.783000+00:00;qjkq8tWEbenOaEta;move;[1326, 373]
70;2022-01-20 12:51:21.969000+00:00;qjkq8tWEbenOaEta;move;[1326, 372]
71;2022-01-20 12:51:21.984000+00:00;qjkq8tWEbenOaEta;move;[1326, 367]
72;2022-01-20 12:51:22+00:00;qjkq8tWEbenOaEta;move;[1325, 356]
73;2022-01-20 12:51:22.017000+00:00;qjkq8tWEbenOaEta;move;[1324, 351]
74;2022-01-20 12:51:22.033000+00:00;qjkq8tWEbenOaEta;move;[1324, 348]
75;2022-01-20 12:51:22.126000+00:00;qjkq8tWEbenOaEta;move;[1324, 349]
76;2022-01-20 12:51:22.147000+00:00;qjkq8tWEbenOaEta;move;[1324, 350]
77;2022-01-20 12:51:22.183000+00:00;qjkq8tWEbenOaEta;move;[1324, 351]
78;2022-01-20 12:51:22.200000+00:00;qjkq8tWEbenOaEta;move;[1324, 352]
79;2022-01-20 12:51:22.219000+00:00;qjkq8tWEbenOaEta;move;[1324, 353]
80;2022-01-20 12:51:22.240000+00:00;qjkq8tWEbenOaEta;move;[1324, 354]
81;2022-01-20 12:51:22.260000+00:00;qjkq8tWEbenOaEta;move;[1324, 355]
82;2022-01-20 12:51:22.591000+00:00;qjkq8tWEbenOaEta;move;[1249, 341]
83;2022-01-20 12:51:22.600000+00:00;qjkq8tWEbenOaEta;move;[1237, 338]
84;2022-01-20 12:51:22.619000+00:00;qjkq8tWEbenOaEta;move;[1199, 335]
85;2022-01-20 12:51:22.633000+00:00;qjkq8tWEbenOaEta;move;[1163, 336]
86;2022-01-20 12:51:22.650000+00:00;qjkq8tWEbenOaEta;move;[1109, 344]
87;2022-01-20 12:51:22.667000+00:00;qjkq8tWEbenOaEta;move;[1052, 359]
88;2022-01-20 12:51:22.683000+00:00;qjkq8tWEbenOaEta;move;[969, 385]
89;2022-01-20 12:51:22.700000+00:00;qjkq8tWEbenOaEta;move;[915, 403]
90;2022-01-20 12:51:22.717000+00:00;qjkq8tWEbenOaEta;move;[865, 426]
91;2022-01-20 12:51:22.733000+00:00;qjkq8tWEbenOaEta;move;[844, 443]
92;2022-01-20 12:51:22.750000+00:00;qjkq8tWEbenOaEta;move;[831, 453]
93;2022-01-20 12:51:22.767000+00:00;qjkq8tWEbenOaEta;move;[815, 468]
94;2022-01-20 12:51:22.783000+00:00;qjkq8tWEbenOaEta;move;[813, 470]
95;2022-01-20 12:51:22.800000+00:00;qjkq8tWEbenOaEta;move;[812, 471]
96;2022-01-20 12:51:22.817000+00:00;qjkq8tWEbenOaEta;move;[811, 471]
97;2022-01-20 12:51:23.140000+00:00;qjkq8tWEbenOaEta;move;[808, 462]
98;2022-01-20 12:51:23.150000+00:00;qjkq8tWEbenOaEta;move;[800, 438]
99;2022-01-20 12:51:23.167000+00:00;qjkq8tWEbenOaEta;move;[781, 404]
100;2022-01-20 12:51:23.184000+00:00;qjkq8tWEbenOaEta;move;[737, 362]
101;2022-01-20 12:51:23.200000+00:00;qjkq8tWEbenOaEta;move;[691, 346]
