;time;token;event;global_position
0;2022-01-13 12:43:36.836000+00:00;r8G1mIWWwvlT7MVD;move;[1627, 1246]
1;2022-01-13 12:43:36.839000+00:00;r8G1mIWWwvlT7MVD;move;[1628, 1246]
2;2022-01-13 12:43:36.845000+00:00;r8G1mIWWwvlT7MVD;move;[1629, 1246]
3;2022-01-13 12:43:36.852000+00:00;r8G1mIWWwvlT7MVD;move;[1633, 1244]
4;2022-01-13 12:43:36.859000+00:00;r8G1mIWWwvlT7MVD;move;[1636, 1243]
5;2022-01-13 12:43:36.866000+00:00;r8G1mIWWwvlT7MVD;move;[1638, 1241]
6;2022-01-13 12:43:36.873000+00:00;r8G1mIWWwvlT7MVD;move;[1641, 1238]
7;2022-01-13 12:43:36.880000+00:00;r8G1mIWWwvlT7MVD;move;[1645, 1236]
8;2022-01-13 12:43:36.887000+00:00;r8G1mIWWwvlT7MVD;move;[1649, 1231]
9;2022-01-13 12:43:36.894000+00:00;r8G1mIWWwvlT7MVD;move;[1657, 1224]
10;2022-01-13 12:43:36.900000+00:00;r8G1mIWWwvlT7MVD;move;[1668, 1212]
11;2022-01-13 12:43:36.907000+00:00;r8G1mIWWwvlT7MVD;move;[1683, 1196]
12;2022-01-13 12:43:36.914000+00:00;r8G1mIWWwvlT7MVD;move;[1704, 1172]
13;2022-01-13 12:43:36.921000+00:00;r8G1mIWWwvlT7MVD;move;[1728, 1143]
14;2022-01-13 12:43:36.928000+00:00;r8G1mIWWwvlT7MVD;move;[1755, 1109]
15;2022-01-13 12:43:36.935000+00:00;r8G1mIWWwvlT7MVD;move;[1783, 1070]
16;2022-01-13 12:43:36.942000+00:00;r8G1mIWWwvlT7MVD;move;[1807, 1034]
17;2022-01-13 12:43:36.949000+00:00;r8G1mIWWwvlT7MVD;move;[1833, 990]
18;2022-01-13 12:43:36.956000+00:00;r8G1mIWWwvlT7MVD;move;[1855, 939]
19;2022-01-13 12:43:36.963000+00:00;r8G1mIWWwvlT7MVD;move;[1872, 899]
20;2022-01-13 12:43:36.970000+00:00;r8G1mIWWwvlT7MVD;move;[1885, 852]
21;2022-01-13 12:43:36.977000+00:00;r8G1mIWWwvlT7MVD;move;[1897, 804]
22;2022-01-13 12:43:36.984000+00:00;r8G1mIWWwvlT7MVD;move;[1905, 757]
23;2022-01-13 12:43:36.991000+00:00;r8G1mIWWwvlT7MVD;move;[1911, 712]
24;2022-01-13 12:43:36.998000+00:00;r8G1mIWWwvlT7MVD;move;[1915, 669]
25;2022-01-13 12:43:37.005000+00:00;r8G1mIWWwvlT7MVD;move;[1915, 633]
26;2022-01-13 12:43:37.012000+00:00;r8G1mIWWwvlT7MVD;move;[1914, 597]
27;2022-01-13 12:43:37.019000+00:00;r8G1mIWWwvlT7MVD;move;[1909, 567]
28;2022-01-13 12:43:37.025000+00:00;r8G1mIWWwvlT7MVD;move;[1901, 540]
29;2022-01-13 12:43:37.032000+00:00;r8G1mIWWwvlT7MVD;move;[1891, 518]
30;2022-01-13 12:43:37.039000+00:00;r8G1mIWWwvlT7MVD;move;[1878, 500]
31;2022-01-13 12:43:37.046000+00:00;r8G1mIWWwvlT7MVD;move;[1862, 485]
32;2022-01-13 12:43:37.053000+00:00;r8G1mIWWwvlT7MVD;move;[1843, 470]
33;2022-01-13 12:43:37.060000+00:00;r8G1mIWWwvlT7MVD;move;[1823, 458]
34;2022-01-13 12:43:37.067000+00:00;r8G1mIWWwvlT7MVD;move;[1799, 447]
35;2022-01-13 12:43:37.074000+00:00;r8G1mIWWwvlT7MVD;move;[1772, 436]
36;2022-01-13 12:43:37.081000+00:00;r8G1mIWWwvlT7MVD;move;[1750, 429]
37;2022-01-13 12:43:37.088000+00:00;r8G1mIWWwvlT7MVD;move;[1730, 420]
38;2022-01-13 12:43:37.095000+00:00;r8G1mIWWwvlT7MVD;move;[1706, 415]
39;2022-01-13 12:43:37.102000+00:00;r8G1mIWWwvlT7MVD;move;[1683, 411]
40;2022-01-13 12:43:37.109000+00:00;r8G1mIWWwvlT7MVD;move;[1662, 408]
41;2022-01-13 12:43:37.116000+00:00;r8G1mIWWwvlT7MVD;move;[1643, 408]
42;2022-01-13 12:43:37.123000+00:00;r8G1mIWWwvlT7MVD;move;[1625, 408]
43;2022-01-13 12:43:37.130000+00:00;r8G1mIWWwvlT7MVD;move;[1609, 408]
44;2022-01-13 12:43:37.137000+00:00;r8G1mIWWwvlT7MVD;move;[1598, 408]
45;2022-01-13 12:43:37.143000+00:00;r8G1mIWWwvlT7MVD;move;[1590, 408]
