;time;token;event;global_position
0;2022-01-20 13:01:50.660000+00:00;sR3hl9W1jLu9vbrw;move;[989, 644]
1;2022-01-20 13:01:50.666000+00:00;sR3hl9W1jLu9vbrw;move;[999, 596]
2;2022-01-20 13:01:50.674000+00:00;sR3hl9W1jLu9vbrw;move;[1002, 571]
3;2022-01-20 13:01:50.681000+00:00;sR3hl9W1jLu9vbrw;move;[1003, 548]
4;2022-01-20 13:01:50.688000+00:00;sR3hl9W1jLu9vbrw;move;[1004, 534]
5;2022-01-20 13:01:50.694000+00:00;sR3hl9W1jLu9vbrw;move;[1006, 509]
6;2022-01-20 13:01:50.701000+00:00;sR3hl9W1jLu9vbrw;move;[1007, 476]
7;2022-01-20 13:01:50.708000+00:00;sR3hl9W1jLu9vbrw;move;[1007, 463]
8;2022-01-20 13:01:50.716000+00:00;sR3hl9W1jLu9vbrw;move;[1007, 448]
9;2022-01-20 13:01:50.722000+00:00;sR3hl9W1jLu9vbrw;move;[1007, 428]
10;2022-01-20 13:01:50.730000+00:00;sR3hl9W1jLu9vbrw;move;[1007, 415]
11;2022-01-20 13:01:50.736000+00:00;sR3hl9W1jLu9vbrw;move;[1007, 406]
12;2022-01-20 13:01:50.744000+00:00;sR3hl9W1jLu9vbrw;move;[1007, 399]
13;2022-01-20 13:01:50.751000+00:00;sR3hl9W1jLu9vbrw;move;[1007, 393]
14;2022-01-20 13:01:50.759000+00:00;sR3hl9W1jLu9vbrw;move;[1007, 387]
15;2022-01-20 13:01:50.766000+00:00;sR3hl9W1jLu9vbrw;move;[1005, 380]
16;2022-01-20 13:01:50.773000+00:00;sR3hl9W1jLu9vbrw;move;[1004, 376]
17;2022-01-20 13:01:50.780000+00:00;sR3hl9W1jLu9vbrw;move;[1003, 373]
18;2022-01-20 13:01:50.788000+00:00;sR3hl9W1jLu9vbrw;move;[1003, 369]
19;2022-01-20 13:01:50.796000+00:00;sR3hl9W1jLu9vbrw;move;[1002, 367]
20;2022-01-20 13:01:50.803000+00:00;sR3hl9W1jLu9vbrw;move;[1001, 365]
21;2022-01-20 13:01:50.810000+00:00;sR3hl9W1jLu9vbrw;move;[1000, 363]
22;2022-01-20 13:01:50.817000+00:00;sR3hl9W1jLu9vbrw;move;[1000, 362]
23;2022-01-20 13:01:50.824000+00:00;sR3hl9W1jLu9vbrw;move;[1000, 361]
24;2022-01-20 13:01:50.831000+00:00;sR3hl9W1jLu9vbrw;move;[1000, 360]
25;2022-01-20 13:01:50.869000+00:00;sR3hl9W1jLu9vbrw;move;[1000, 359]
26;2022-01-20 13:01:50.877000+00:00;sR3hl9W1jLu9vbrw;move;[1000, 356]
27;2022-01-20 13:01:50.883000+00:00;sR3hl9W1jLu9vbrw;move;[1002, 352]
28;2022-01-20 13:01:50.892000+00:00;sR3hl9W1jLu9vbrw;move;[1003, 346]
29;2022-01-20 13:01:50.897000+00:00;sR3hl9W1jLu9vbrw;move;[1003, 339]
30;2022-01-20 13:01:50.905000+00:00;sR3hl9W1jLu9vbrw;move;[1003, 331]
31;2022-01-20 13:01:50.912000+00:00;sR3hl9W1jLu9vbrw;move;[1003, 327]
32;2022-01-20 13:01:50.919000+00:00;sR3hl9W1jLu9vbrw;move;[1003, 324]
33;2022-01-20 13:01:50.927000+00:00;sR3hl9W1jLu9vbrw;move;[1003, 321]
34;2022-01-20 13:01:50.934000+00:00;sR3hl9W1jLu9vbrw;move;[1003, 320]
35;2022-01-20 13:01:50.941000+00:00;sR3hl9W1jLu9vbrw;move;[1003, 318]
36;2022-01-20 13:01:50.950000+00:00;sR3hl9W1jLu9vbrw;move;[1003, 317]
37;2022-01-20 13:01:50.956000+00:00;sR3hl9W1jLu9vbrw;move;[1003, 316]
38;2022-01-20 13:01:50.963000+00:00;sR3hl9W1jLu9vbrw;move;[1003, 315]
39;2022-01-20 13:01:50.970000+00:00;sR3hl9W1jLu9vbrw;move;[1001, 312]
40;2022-01-20 13:01:50.985000+00:00;sR3hl9W1jLu9vbrw;move;[994, 308]
41;2022-01-20 13:01:50.993000+00:00;sR3hl9W1jLu9vbrw;move;[987, 302]
42;2022-01-20 13:01:51+00:00;sR3hl9W1jLu9vbrw;move;[978, 298]
43;2022-01-20 13:01:51.007000+00:00;sR3hl9W1jLu9vbrw;move;[971, 295]
44;2022-01-20 13:01:51.014000+00:00;sR3hl9W1jLu9vbrw;move;[965, 291]
45;2022-01-20 13:01:51.022000+00:00;sR3hl9W1jLu9vbrw;move;[960, 289]
46;2022-01-20 13:01:51.029000+00:00;sR3hl9W1jLu9vbrw;move;[957, 288]
47;2022-01-20 13:01:51.036000+00:00;sR3hl9W1jLu9vbrw;move;[954, 286]
48;2022-01-20 13:01:51.044000+00:00;sR3hl9W1jLu9vbrw;move;[951, 284]
49;2022-01-20 13:01:51.050000+00:00;sR3hl9W1jLu9vbrw;move;[949, 282]
50;2022-01-20 13:01:51.058000+00:00;sR3hl9W1jLu9vbrw;move;[946, 280]
51;2022-01-20 13:01:51.065000+00:00;sR3hl9W1jLu9vbrw;move;[943, 279]
52;2022-01-20 13:01:51.072000+00:00;sR3hl9W1jLu9vbrw;move;[942, 278]
53;2022-01-20 13:01:51.080000+00:00;sR3hl9W1jLu9vbrw;move;[940, 278]
54;2022-01-20 13:01:51.087000+00:00;sR3hl9W1jLu9vbrw;move;[939, 278]
55;2022-01-20 13:01:51.103000+00:00;sR3hl9W1jLu9vbrw;move;[938, 278]
56;2022-01-20 13:01:51.110000+00:00;sR3hl9W1jLu9vbrw;move;[937, 278]
57;2022-01-20 13:01:51.124000+00:00;sR3hl9W1jLu9vbrw;move;[936, 278]
58;2022-01-20 13:01:51.139000+00:00;sR3hl9W1jLu9vbrw;move;[935, 278]
59;2022-01-20 13:01:51.161000+00:00;sR3hl9W1jLu9vbrw;move;[933, 278]
60;2022-01-20 13:01:51.168000+00:00;sR3hl9W1jLu9vbrw;move;[932, 278]
61;2022-01-20 13:01:51.177000+00:00;sR3hl9W1jLu9vbrw;move;[931, 278]
62;2022-01-20 13:01:51.185000+00:00;sR3hl9W1jLu9vbrw;move;[929, 278]
63;2022-01-20 13:01:51.189000+00:00;sR3hl9W1jLu9vbrw;move;[927, 278]
64;2022-01-20 13:01:51.197000+00:00;sR3hl9W1jLu9vbrw;move;[924, 277]
65;2022-01-20 13:01:51.204000+00:00;sR3hl9W1jLu9vbrw;move;[922, 276]
66;2022-01-20 13:01:51.211000+00:00;sR3hl9W1jLu9vbrw;move;[921, 276]
67;2022-01-20 13:01:51.219000+00:00;sR3hl9W1jLu9vbrw;move;[916, 273]
68;2022-01-20 13:01:51.226000+00:00;sR3hl9W1jLu9vbrw;move;[914, 272]
69;2022-01-20 13:01:51.233000+00:00;sR3hl9W1jLu9vbrw;move;[909, 270]
70;2022-01-20 13:01:51.241000+00:00;sR3hl9W1jLu9vbrw;move;[907, 269]
71;2022-01-20 13:01:51.247000+00:00;sR3hl9W1jLu9vbrw;move;[905, 268]
72;2022-01-20 13:01:51.255000+00:00;sR3hl9W1jLu9vbrw;move;[900, 266]
73;2022-01-20 13:01:51.262000+00:00;sR3hl9W1jLu9vbrw;move;[898, 265]
74;2022-01-20 13:01:51.270000+00:00;sR3hl9W1jLu9vbrw;move;[896, 264]
75;2022-01-20 13:01:51.284000+00:00;sR3hl9W1jLu9vbrw;move;[893, 264]
76;2022-01-20 13:01:51.291000+00:00;sR3hl9W1jLu9vbrw;move;[892, 264]
77;2022-01-20 13:01:51.298000+00:00;sR3hl9W1jLu9vbrw;move;[891, 264]
78;2022-01-20 13:01:51.305000+00:00;sR3hl9W1jLu9vbrw;move;[890, 264]
79;2022-01-20 13:01:51.312000+00:00;sR3hl9W1jLu9vbrw;move;[887, 264]
80;2022-01-20 13:01:51.333000+00:00;sR3hl9W1jLu9vbrw;move;[886, 264]
81;2022-01-20 13:01:51.340000+00:00;sR3hl9W1jLu9vbrw;move;[885, 264]
82;2022-01-20 13:01:51.346000+00:00;sR3hl9W1jLu9vbrw;move;[884, 264]
83;2022-01-20 13:01:51.821000+00:00;sR3hl9W1jLu9vbrw;move;[883, 262]
84;2022-01-20 13:01:51.827000+00:00;sR3hl9W1jLu9vbrw;move;[881, 260]
85;2022-01-20 13:01:51.833000+00:00;sR3hl9W1jLu9vbrw;move;[880, 260]
86;2022-01-20 13:01:51.840000+00:00;sR3hl9W1jLu9vbrw;move;[879, 258]
87;2022-01-20 13:01:51.847000+00:00;sR3hl9W1jLu9vbrw;move;[877, 256]
88;2022-01-20 13:01:51.854000+00:00;sR3hl9W1jLu9vbrw;move;[876, 254]
89;2022-01-20 13:01:51.861000+00:00;sR3hl9W1jLu9vbrw;move;[875, 252]
90;2022-01-20 13:01:51.868000+00:00;sR3hl9W1jLu9vbrw;move;[874, 252]
91;2022-01-20 13:01:51.875000+00:00;sR3hl9W1jLu9vbrw;move;[873, 249]
92;2022-01-20 13:01:51.883000+00:00;sR3hl9W1jLu9vbrw;move;[873, 248]
93;2022-01-20 13:01:51.890000+00:00;sR3hl9W1jLu9vbrw;move;[872, 248]
94;2022-01-20 13:01:51.898000+00:00;sR3hl9W1jLu9vbrw;move;[871, 248]
95;2022-01-20 13:01:51.905000+00:00;sR3hl9W1jLu9vbrw;move;[871, 247]
96;2022-01-20 13:01:51.912000+00:00;sR3hl9W1jLu9vbrw;move;[870, 246]
97;2022-01-20 13:01:51.919000+00:00;sR3hl9W1jLu9vbrw;move;[869, 246]
98;2022-01-20 13:01:52.366000+00:00;sR3hl9W1jLu9vbrw;move;[869, 246]
99;2022-01-20 13:01:52.522000+00:00;sR3hl9W1jLu9vbrw;move;[869, 246]
100;2022-01-20 13:01:52.528000+00:00;sR3hl9W1jLu9vbrw;move;[869, 246]
101;2022-01-20 13:01:58.713000+00:00;sR3hl9W1jLu9vbrw;move;[873, 236]
102;2022-01-20 13:01:58.720000+00:00;sR3hl9W1jLu9vbrw;move;[887, 207]
103;2022-01-20 13:01:58.725000+00:00;sR3hl9W1jLu9vbrw;move;[895, 189]
104;2022-01-20 13:01:58.732000+00:00;sR3hl9W1jLu9vbrw;move;[907, 160]
105;2022-01-20 13:01:58.739000+00:00;sR3hl9W1jLu9vbrw;move;[920, 130]
106;2022-01-20 13:01:58.746000+00:00;sR3hl9W1jLu9vbrw;move;[930, 114]
107;2022-01-20 13:01:58.754000+00:00;sR3hl9W1jLu9vbrw;move;[938, 98]
108;2022-01-20 13:01:58.761000+00:00;sR3hl9W1jLu9vbrw;move;[950, 75]
109;2022-01-20 13:01:58.768000+00:00;sR3hl9W1jLu9vbrw;move;[960, 54]
110;2022-01-20 13:01:58.776000+00:00;sR3hl9W1jLu9vbrw;move;[963, 44]
111;2022-01-20 13:01:58.783000+00:00;sR3hl9W1jLu9vbrw;move;[967, 36]
112;2022-01-20 13:01:58.790000+00:00;sR3hl9W1jLu9vbrw;move;[971, 28]
113;2022-01-20 13:01:58.797000+00:00;sR3hl9W1jLu9vbrw;move;[974, 23]
114;2022-01-20 13:01:58.805000+00:00;sR3hl9W1jLu9vbrw;move;[977, 16]
115;2022-01-20 13:01:58.812000+00:00;sR3hl9W1jLu9vbrw;move;[981, 10]
116;2022-01-20 13:01:58.819000+00:00;sR3hl9W1jLu9vbrw;move;[983, 5]
117;2022-01-20 13:01:58.826000+00:00;sR3hl9W1jLu9vbrw;move;[984, 3]
118;2022-01-20 13:01:58.834000+00:00;sR3hl9W1jLu9vbrw;move;[986, 0]
119;2022-01-20 13:02:01.075000+00:00;sR3hl9W1jLu9vbrw;move;[1356, 4]
120;2022-01-20 13:02:01.090000+00:00;sR3hl9W1jLu9vbrw;move;[1358, 8]
121;2022-01-20 13:02:01.096000+00:00;sR3hl9W1jLu9vbrw;move;[1361, 11]
122;2022-01-20 13:02:01.103000+00:00;sR3hl9W1jLu9vbrw;move;[1362, 12]
123;2022-01-20 13:02:01.110000+00:00;sR3hl9W1jLu9vbrw;move;[1363, 14]
124;2022-01-20 13:02:01.117000+00:00;sR3hl9W1jLu9vbrw;move;[1364, 15]
125;2022-01-20 13:02:01.124000+00:00;sR3hl9W1jLu9vbrw;move;[1365, 16]
126;2022-01-20 13:02:01.132000+00:00;sR3hl9W1jLu9vbrw;move;[1366, 16]
127;2022-01-20 13:02:01.138000+00:00;sR3hl9W1jLu9vbrw;move;[1367, 16]
128;2022-01-20 13:02:01.159000+00:00;sR3hl9W1jLu9vbrw;move;[1368, 16]
129;2022-01-20 13:02:01.166000+00:00;sR3hl9W1jLu9vbrw;move;[1369, 16]
