;time;token;event;global_position
0;2022-01-20 13:38:22.782000+00:00;vLif1iqi7h8Ql0e6;move;[931, 265]
1;2022-01-20 13:38:25.725000+00:00;vLif1iqi7h8Ql0e6;move;[901, 1390]
2;2022-01-20 13:38:29.679000+00:00;vLif1iqi7h8Ql0e6;move;[953, 1395]
3;2022-01-20 13:38:33.721000+00:00;vLif1iqi7h8Ql0e6;move;[909, 1384]
4;2022-01-20 13:38:37.063000+00:00;vLif1iqi7h8Ql0e6;move;[943, 1378]
5;2022-01-20 13:38:44.773000+00:00;vLif1iqi7h8Ql0e6;move;[63, 1283]
6;2022-01-20 13:38:47.675000+00:00;vLif1iqi7h8Ql0e6;move;[75, 989]
7;2022-01-20 13:38:51.577000+00:00;vLif1iqi7h8Ql0e6;move;[73, 908]
8;2022-01-20 13:38:53.069000+00:00;vLif1iqi7h8Ql0e6;move;[74, 838]
9;2022-01-20 13:38:56.361000+00:00;vLif1iqi7h8Ql0e6;move;[67, 966]
10;2022-01-20 13:39:04.591000+00:00;vLif1iqi7h8Ql0e6;move;[929, 1372]
