;time;token;event;global_position
0;2022-01-13 13:58:31.356000+00:00;vd9igoOnVdIjL5dU;move;[1301, 918]
1;2022-01-13 13:58:31.376000+00:00;vd9igoOnVdIjL5dU;move;[1301, 917]
2;2022-01-13 13:58:31.520000+00:00;vd9igoOnVdIjL5dU;move;[1300, 917]
3;2022-01-13 13:58:31.691000+00:00;vd9igoOnVdIjL5dU;move;[1299, 917]
4;2022-01-13 13:58:31.698000+00:00;vd9igoOnVdIjL5dU;move;[1298, 917]
5;2022-01-13 13:58:31.705000+00:00;vd9igoOnVdIjL5dU;move;[1297, 917]
6;2022-01-13 13:58:31.717000+00:00;vd9igoOnVdIjL5dU;move;[1296, 916]
7;2022-01-13 13:58:31.723000+00:00;vd9igoOnVdIjL5dU;move;[1295, 916]
8;2022-01-13 13:58:31.731000+00:00;vd9igoOnVdIjL5dU;move;[1293, 915]
9;2022-01-13 13:58:31.737000+00:00;vd9igoOnVdIjL5dU;move;[1288, 915]
10;2022-01-13 13:58:31.744000+00:00;vd9igoOnVdIjL5dU;move;[1282, 914]
11;2022-01-13 13:58:31.751000+00:00;vd9igoOnVdIjL5dU;move;[1275, 913]
12;2022-01-13 13:58:31.758000+00:00;vd9igoOnVdIjL5dU;move;[1266, 912]
13;2022-01-13 13:58:31.765000+00:00;vd9igoOnVdIjL5dU;move;[1256, 911]
14;2022-01-13 13:58:31.772000+00:00;vd9igoOnVdIjL5dU;move;[1248, 910]
15;2022-01-13 13:58:31.779000+00:00;vd9igoOnVdIjL5dU;move;[1237, 909]
16;2022-01-13 13:58:31.786000+00:00;vd9igoOnVdIjL5dU;move;[1223, 907]
17;2022-01-13 13:58:31.793000+00:00;vd9igoOnVdIjL5dU;move;[1209, 905]
18;2022-01-13 13:58:31.800000+00:00;vd9igoOnVdIjL5dU;move;[1194, 903]
19;2022-01-13 13:58:31.807000+00:00;vd9igoOnVdIjL5dU;move;[1178, 900]
20;2022-01-13 13:58:31.813000+00:00;vd9igoOnVdIjL5dU;move;[1159, 897]
21;2022-01-13 13:58:31.821000+00:00;vd9igoOnVdIjL5dU;move;[1142, 894]
22;2022-01-13 13:58:31.827000+00:00;vd9igoOnVdIjL5dU;move;[1125, 889]
23;2022-01-13 13:58:31.834000+00:00;vd9igoOnVdIjL5dU;move;[1107, 885]
24;2022-01-13 13:58:31.841000+00:00;vd9igoOnVdIjL5dU;move;[1086, 879]
25;2022-01-13 13:58:31.848000+00:00;vd9igoOnVdIjL5dU;move;[1065, 873]
26;2022-01-13 13:58:31.855000+00:00;vd9igoOnVdIjL5dU;move;[1045, 867]
27;2022-01-13 13:58:31.862000+00:00;vd9igoOnVdIjL5dU;move;[1023, 858]
28;2022-01-13 13:58:31.869000+00:00;vd9igoOnVdIjL5dU;move;[1003, 849]
29;2022-01-13 13:58:31.876000+00:00;vd9igoOnVdIjL5dU;move;[982, 840]
30;2022-01-13 13:58:31.883000+00:00;vd9igoOnVdIjL5dU;move;[961, 829]
31;2022-01-13 13:58:31.890000+00:00;vd9igoOnVdIjL5dU;move;[944, 819]
32;2022-01-13 13:58:31.897000+00:00;vd9igoOnVdIjL5dU;move;[930, 812]
33;2022-01-13 13:58:31.904000+00:00;vd9igoOnVdIjL5dU;move;[919, 805]
34;2022-01-13 13:58:31.911000+00:00;vd9igoOnVdIjL5dU;move;[908, 797]
35;2022-01-13 13:58:31.918000+00:00;vd9igoOnVdIjL5dU;move;[900, 791]
36;2022-01-13 13:58:31.925000+00:00;vd9igoOnVdIjL5dU;move;[894, 784]
37;2022-01-13 13:58:31.932000+00:00;vd9igoOnVdIjL5dU;move;[889, 779]
38;2022-01-13 13:58:31.938000+00:00;vd9igoOnVdIjL5dU;move;[884, 775]
39;2022-01-13 13:58:31.945000+00:00;vd9igoOnVdIjL5dU;move;[881, 770]
40;2022-01-13 13:58:31.952000+00:00;vd9igoOnVdIjL5dU;move;[879, 767]
41;2022-01-13 13:58:31.959000+00:00;vd9igoOnVdIjL5dU;move;[877, 764]
42;2022-01-13 13:58:31.966000+00:00;vd9igoOnVdIjL5dU;move;[876, 763]
43;2022-01-13 13:58:31.973000+00:00;vd9igoOnVdIjL5dU;move;[875, 761]
44;2022-01-13 13:58:31.980000+00:00;vd9igoOnVdIjL5dU;move;[874, 761]
45;2022-01-13 13:58:32.015000+00:00;vd9igoOnVdIjL5dU;move;[874, 760]
46;2022-01-13 13:58:32.022000+00:00;vd9igoOnVdIjL5dU;move;[874, 757]
47;2022-01-13 13:58:32.029000+00:00;vd9igoOnVdIjL5dU;move;[875, 756]
48;2022-01-13 13:58:32.036000+00:00;vd9igoOnVdIjL5dU;move;[876, 756]
49;2022-01-13 13:58:32.508000+00:00;vd9igoOnVdIjL5dU;move;[876, 755]
50;2022-01-13 13:58:32.516000+00:00;vd9igoOnVdIjL5dU;move;[875, 755]
51;2022-01-13 13:58:32.522000+00:00;vd9igoOnVdIjL5dU;move;[874, 753]
