;time;token;event;global_position
0;2022-01-13 12:43:53.124000+00:00;w8UYHRjaBTkb+RdW;move;[1180, 673]
1;2022-01-13 12:43:53.136000+00:00;w8UYHRjaBTkb+RdW;move;[1186, 673]
2;2022-01-13 12:43:53.143000+00:00;w8UYHRjaBTkb+RdW;move;[1192, 673]
3;2022-01-13 12:43:53.150000+00:00;w8UYHRjaBTkb+RdW;move;[1198, 670]
4;2022-01-13 12:43:53.157000+00:00;w8UYHRjaBTkb+RdW;move;[1206, 666]
5;2022-01-13 12:43:53.164000+00:00;w8UYHRjaBTkb+RdW;move;[1213, 663]
6;2022-01-13 12:43:53.171000+00:00;w8UYHRjaBTkb+RdW;move;[1222, 657]
7;2022-01-13 12:43:53.178000+00:00;w8UYHRjaBTkb+RdW;move;[1231, 651]
8;2022-01-13 12:43:53.185000+00:00;w8UYHRjaBTkb+RdW;move;[1240, 644]
9;2022-01-13 12:43:53.194000+00:00;w8UYHRjaBTkb+RdW;move;[1251, 633]
10;2022-01-13 12:43:53.201000+00:00;w8UYHRjaBTkb+RdW;move;[1261, 621]
11;2022-01-13 12:43:53.210000+00:00;w8UYHRjaBTkb+RdW;move;[1274, 605]
12;2022-01-13 12:43:53.217000+00:00;w8UYHRjaBTkb+RdW;move;[1290, 582]
13;2022-01-13 12:43:53.226000+00:00;w8UYHRjaBTkb+RdW;move;[1304, 558]
14;2022-01-13 12:43:53.240000+00:00;w8UYHRjaBTkb+RdW;move;[1318, 530]
15;2022-01-13 12:43:53.247000+00:00;w8UYHRjaBTkb+RdW;move;[1330, 497]
16;2022-01-13 12:43:53.254000+00:00;w8UYHRjaBTkb+RdW;move;[1338, 467]
17;2022-01-13 12:43:53.261000+00:00;w8UYHRjaBTkb+RdW;move;[1344, 445]
18;2022-01-13 12:43:53.268000+00:00;w8UYHRjaBTkb+RdW;move;[1348, 427]
19;2022-01-13 12:43:53.275000+00:00;w8UYHRjaBTkb+RdW;move;[1350, 413]
20;2022-01-13 12:43:53.282000+00:00;w8UYHRjaBTkb+RdW;move;[1352, 401]
21;2022-01-13 12:43:53.290000+00:00;w8UYHRjaBTkb+RdW;move;[1352, 392]
22;2022-01-13 12:43:53.298000+00:00;w8UYHRjaBTkb+RdW;move;[1351, 385]
23;2022-01-13 12:43:53.306000+00:00;w8UYHRjaBTkb+RdW;move;[1350, 380]
24;2022-01-13 12:43:53.314000+00:00;w8UYHRjaBTkb+RdW;move;[1349, 375]
25;2022-01-13 12:43:53.323000+00:00;w8UYHRjaBTkb+RdW;move;[1348, 371]
26;2022-01-13 12:43:53.330000+00:00;w8UYHRjaBTkb+RdW;move;[1348, 369]
27;2022-01-13 12:43:53.344000+00:00;w8UYHRjaBTkb+RdW;move;[1347, 367]
28;2022-01-13 12:43:53.351000+00:00;w8UYHRjaBTkb+RdW;move;[1347, 366]
29;2022-01-13 12:43:53.358000+00:00;w8UYHRjaBTkb+RdW;move;[1347, 365]
30;2022-01-13 12:43:53.365000+00:00;w8UYHRjaBTkb+RdW;move;[1347, 364]
31;2022-01-13 12:43:53.372000+00:00;w8UYHRjaBTkb+RdW;move;[1346, 363]
32;2022-01-13 12:43:53.379000+00:00;w8UYHRjaBTkb+RdW;move;[1346, 361]
33;2022-01-13 12:43:53.386000+00:00;w8UYHRjaBTkb+RdW;move;[1346, 360]
34;2022-01-13 12:43:53.400000+00:00;w8UYHRjaBTkb+RdW;move;[1346, 359]
35;2022-01-13 12:43:53.407000+00:00;w8UYHRjaBTkb+RdW;move;[1346, 357]
36;2022-01-13 12:43:53.414000+00:00;w8UYHRjaBTkb+RdW;move;[1346, 355]
37;2022-01-13 12:43:53.421000+00:00;w8UYHRjaBTkb+RdW;move;[1346, 353]
38;2022-01-13 12:43:53.428000+00:00;w8UYHRjaBTkb+RdW;move;[1346, 349]
39;2022-01-13 12:43:53.435000+00:00;w8UYHRjaBTkb+RdW;move;[1346, 347]
40;2022-01-13 12:43:53.441000+00:00;w8UYHRjaBTkb+RdW;move;[1346, 345]
41;2022-01-13 12:43:53.456000+00:00;w8UYHRjaBTkb+RdW;move;[1346, 343]
42;2022-01-13 12:43:53.462000+00:00;w8UYHRjaBTkb+RdW;move;[1346, 342]
43;2022-01-13 12:43:53.469000+00:00;w8UYHRjaBTkb+RdW;move;[1346, 341]
44;2022-01-13 12:43:53.476000+00:00;w8UYHRjaBTkb+RdW;move;[1346, 340]
45;2022-01-13 12:43:53.555000+00:00;w8UYHRjaBTkb+RdW;move;[1345, 340]
46;2022-01-13 12:43:53.562000+00:00;w8UYHRjaBTkb+RdW;move;[1345, 339]
47;2022-01-13 12:43:53.570000+00:00;w8UYHRjaBTkb+RdW;move;[1344, 337]
48;2022-01-13 12:43:53.580000+00:00;w8UYHRjaBTkb+RdW;move;[1342, 336]
49;2022-01-13 12:43:53.587000+00:00;w8UYHRjaBTkb+RdW;move;[1340, 334]
50;2022-01-13 12:43:53.594000+00:00;w8UYHRjaBTkb+RdW;move;[1337, 333]
51;2022-01-13 12:43:53.608000+00:00;w8UYHRjaBTkb+RdW;move;[1334, 333]
52;2022-01-13 12:43:53.615000+00:00;w8UYHRjaBTkb+RdW;move;[1332, 332]
53;2022-01-13 12:43:53.622000+00:00;w8UYHRjaBTkb+RdW;move;[1330, 332]
54;2022-01-13 12:43:53.629000+00:00;w8UYHRjaBTkb+RdW;move;[1327, 332]
55;2022-01-13 12:43:53.636000+00:00;w8UYHRjaBTkb+RdW;move;[1323, 332]
56;2022-01-13 12:43:53.643000+00:00;w8UYHRjaBTkb+RdW;move;[1318, 333]
57;2022-01-13 12:43:53.650000+00:00;w8UYHRjaBTkb+RdW;move;[1313, 335]
58;2022-01-13 12:43:53.664000+00:00;w8UYHRjaBTkb+RdW;move;[1308, 338]
59;2022-01-13 12:43:53.671000+00:00;w8UYHRjaBTkb+RdW;move;[1302, 342]
60;2022-01-13 12:43:53.678000+00:00;w8UYHRjaBTkb+RdW;move;[1295, 346]
61;2022-01-13 12:43:53.685000+00:00;w8UYHRjaBTkb+RdW;move;[1288, 352]
62;2022-01-13 12:43:53.692000+00:00;w8UYHRjaBTkb+RdW;move;[1282, 357]
63;2022-01-13 12:43:53.698000+00:00;w8UYHRjaBTkb+RdW;move;[1276, 361]
64;2022-01-13 12:43:53.712000+00:00;w8UYHRjaBTkb+RdW;move;[1270, 367]
