;time;token;event;global_position
0;2022-01-13 12:43:57.642000+00:00;xSWJnBUBlvP0a07O;move;[1310, 850]
1;2022-01-13 12:43:57.657000+00:00;xSWJnBUBlvP0a07O;move;[1277, 820]
2;2022-01-13 12:43:57.668000+00:00;xSWJnBUBlvP0a07O;move;[1256, 804]
3;2022-01-13 12:43:57.682000+00:00;xSWJnBUBlvP0a07O;move;[1209, 779]
4;2022-01-13 12:43:57.700000+00:00;xSWJnBUBlvP0a07O;move;[1151, 751]
5;2022-01-13 12:43:57.715000+00:00;xSWJnBUBlvP0a07O;move;[1093, 723]
6;2022-01-13 12:43:57.730000+00:00;xSWJnBUBlvP0a07O;move;[1059, 707]
7;2022-01-13 12:43:57.747000+00:00;xSWJnBUBlvP0a07O;move;[943, 665]
8;2022-01-13 12:43:57.764000+00:00;xSWJnBUBlvP0a07O;move;[865, 639]
9;2022-01-13 12:43:57.780000+00:00;xSWJnBUBlvP0a07O;move;[802, 619]
10;2022-01-13 12:43:57.799000+00:00;xSWJnBUBlvP0a07O;move;[754, 605]
11;2022-01-13 12:43:57.815000+00:00;xSWJnBUBlvP0a07O;move;[728, 598]
12;2022-01-13 12:43:57.831000+00:00;xSWJnBUBlvP0a07O;move;[704, 589]
13;2022-01-13 12:43:57.848000+00:00;xSWJnBUBlvP0a07O;move;[698, 587]
14;2022-01-13 12:43:57.865000+00:00;xSWJnBUBlvP0a07O;move;[694, 586]
15;2022-01-13 12:43:57.880000+00:00;xSWJnBUBlvP0a07O;move;[693, 586]
16;2022-01-13 12:43:57.899000+00:00;xSWJnBUBlvP0a07O;move;[693, 585]
17;2022-01-13 12:43:57.914000+00:00;xSWJnBUBlvP0a07O;move;[689, 583]
18;2022-01-13 12:43:57.931000+00:00;xSWJnBUBlvP0a07O;move;[675, 578]
19;2022-01-13 12:43:57.948000+00:00;xSWJnBUBlvP0a07O;move;[656, 570]
20;2022-01-13 12:43:57.964000+00:00;xSWJnBUBlvP0a07O;move;[629, 559]
21;2022-01-13 12:43:57.981000+00:00;xSWJnBUBlvP0a07O;move;[596, 550]
22;2022-01-13 12:43:58.001000+00:00;xSWJnBUBlvP0a07O;move;[559, 541]
23;2022-01-13 12:43:58.014000+00:00;xSWJnBUBlvP0a07O;move;[523, 529]
24;2022-01-13 12:43:58.031000+00:00;xSWJnBUBlvP0a07O;move;[471, 515]
25;2022-01-13 12:43:58.048000+00:00;xSWJnBUBlvP0a07O;move;[438, 506]
26;2022-01-13 12:43:58.064000+00:00;xSWJnBUBlvP0a07O;move;[402, 499]
27;2022-01-13 12:43:58.081000+00:00;xSWJnBUBlvP0a07O;move;[383, 494]
28;2022-01-13 12:43:58.098000+00:00;xSWJnBUBlvP0a07O;move;[374, 490]
29;2022-01-13 12:43:58.114000+00:00;xSWJnBUBlvP0a07O;move;[372, 489]
30;2022-01-13 12:43:58.131000+00:00;xSWJnBUBlvP0a07O;move;[370, 488]
31;2022-01-13 12:43:58.149000+00:00;xSWJnBUBlvP0a07O;move;[368, 488]
32;2022-01-13 12:43:58.168000+00:00;xSWJnBUBlvP0a07O;move;[367, 488]
33;2022-01-13 12:43:58.270000+00:00;xSWJnBUBlvP0a07O;move;[367, 487]
34;2022-01-13 12:43:58.318000+00:00;xSWJnBUBlvP0a07O;move;[366, 487]
35;2022-01-13 12:43:58.333000+00:00;xSWJnBUBlvP0a07O;move;[359, 484]
36;2022-01-13 12:43:58.350000+00:00;xSWJnBUBlvP0a07O;move;[352, 482]
37;2022-01-13 12:43:58.366000+00:00;xSWJnBUBlvP0a07O;move;[344, 479]
38;2022-01-13 12:43:58.388000+00:00;xSWJnBUBlvP0a07O;move;[325, 474]
39;2022-01-13 12:43:58.398000+00:00;xSWJnBUBlvP0a07O;move;[311, 471]
40;2022-01-13 12:43:58.421000+00:00;xSWJnBUBlvP0a07O;move;[292, 466]
41;2022-01-13 12:43:58.435000+00:00;xSWJnBUBlvP0a07O;move;[283, 464]
42;2022-01-13 12:43:58.454000+00:00;xSWJnBUBlvP0a07O;move;[276, 462]
43;2022-01-13 12:43:58.474000+00:00;xSWJnBUBlvP0a07O;move;[273, 461]
44;2022-01-13 12:43:58.499000+00:00;xSWJnBUBlvP0a07O;move;[270, 460]
45;2022-01-13 12:43:58.512000+00:00;xSWJnBUBlvP0a07O;move;[269, 460]
46;2022-01-13 12:43:58.520000+00:00;xSWJnBUBlvP0a07O;move;[267, 459]
47;2022-01-13 12:43:58.568000+00:00;xSWJnBUBlvP0a07O;move;[264, 459]
48;2022-01-13 12:43:58.646000+00:00;xSWJnBUBlvP0a07O;move;[263, 459]
49;2022-01-13 12:43:58.733000+00:00;xSWJnBUBlvP0a07O;move;[264, 459]
50;2022-01-13 12:43:58.748000+00:00;xSWJnBUBlvP0a07O;move;[303, 453]
51;2022-01-13 12:43:58.765000+00:00;xSWJnBUBlvP0a07O;move;[421, 427]
52;2022-01-13 12:43:58.782000+00:00;xSWJnBUBlvP0a07O;move;[519, 387]
53;2022-01-13 12:43:58.799000+00:00;xSWJnBUBlvP0a07O;move;[587, 347]
54;2022-01-13 12:43:58.815000+00:00;xSWJnBUBlvP0a07O;move;[645, 311]
55;2022-01-13 12:43:58.832000+00:00;xSWJnBUBlvP0a07O;move;[686, 288]
56;2022-01-13 12:43:58.850000+00:00;xSWJnBUBlvP0a07O;move;[712, 270]
57;2022-01-13 12:43:58.866000+00:00;xSWJnBUBlvP0a07O;move;[717, 262]
58;2022-01-13 12:43:58.882000+00:00;xSWJnBUBlvP0a07O;move;[727, 253]
59;2022-01-13 12:43:58.905000+00:00;xSWJnBUBlvP0a07O;move;[745, 243]
60;2022-01-13 12:43:58.916000+00:00;xSWJnBUBlvP0a07O;move;[765, 232]
61;2022-01-13 12:43:58.932000+00:00;xSWJnBUBlvP0a07O;move;[795, 215]
62;2022-01-13 12:43:58.948000+00:00;xSWJnBUBlvP0a07O;move;[802, 211]
63;2022-01-13 12:43:59.040000+00:00;xSWJnBUBlvP0a07O;move;[802, 210]
64;2022-01-13 12:43:59.052000+00:00;xSWJnBUBlvP0a07O;move;[804, 210]
65;2022-01-13 12:43:59.067000+00:00;xSWJnBUBlvP0a07O;move;[805, 210]
66;2022-01-13 12:43:59.088000+00:00;xSWJnBUBlvP0a07O;move;[808, 211]
