;time;token;event;global_position
0;2022-01-13 12:44:54.553000+00:00;yncTWnFvmAIXjIfr;move;[1089, 677]
1;2022-01-13 12:44:54.570000+00:00;yncTWnFvmAIXjIfr;move;[1088, 677]
2;2022-01-13 12:44:54.579000+00:00;yncTWnFvmAIXjIfr;move;[1087, 677]
3;2022-01-13 12:44:54.585000+00:00;yncTWnFvmAIXjIfr;move;[1086, 677]
4;2022-01-13 12:44:54.595000+00:00;yncTWnFvmAIXjIfr;move;[1086, 676]
5;2022-01-13 12:44:54.600000+00:00;yncTWnFvmAIXjIfr;move;[1085, 676]
6;2022-01-13 12:44:54.608000+00:00;yncTWnFvmAIXjIfr;move;[1084, 676]
7;2022-01-13 12:44:54.644000+00:00;yncTWnFvmAIXjIfr;move;[1083, 676]
8;2022-01-13 12:44:54.661000+00:00;yncTWnFvmAIXjIfr;move;[1082, 676]
9;2022-01-13 12:44:54.668000+00:00;yncTWnFvmAIXjIfr;move;[1082, 675]
10;2022-01-13 12:44:54.676000+00:00;yncTWnFvmAIXjIfr;move;[1081, 675]
11;2022-01-13 12:44:54.681000+00:00;yncTWnFvmAIXjIfr;move;[1080, 675]
12;2022-01-13 12:44:54.717000+00:00;yncTWnFvmAIXjIfr;move;[1080, 674]
13;2022-01-13 12:44:54.748000+00:00;yncTWnFvmAIXjIfr;move;[1079, 674]
14;2022-01-13 12:44:54.765000+00:00;yncTWnFvmAIXjIfr;move;[1078, 674]
15;2022-01-13 12:44:54.772000+00:00;yncTWnFvmAIXjIfr;move;[1078, 673]
16;2022-01-13 12:44:54.779000+00:00;yncTWnFvmAIXjIfr;move;[1077, 673]
17;2022-01-13 12:44:54.786000+00:00;yncTWnFvmAIXjIfr;move;[1076, 673]
18;2022-01-13 12:44:54.798000+00:00;yncTWnFvmAIXjIfr;move;[1075, 673]
19;2022-01-13 12:44:54.801000+00:00;yncTWnFvmAIXjIfr;move;[1074, 673]
20;2022-01-13 12:44:54.806000+00:00;yncTWnFvmAIXjIfr;move;[1074, 672]
21;2022-01-13 12:44:54.813000+00:00;yncTWnFvmAIXjIfr;move;[1072, 672]
22;2022-01-13 12:44:54.820000+00:00;yncTWnFvmAIXjIfr;move;[1072, 671]
23;2022-01-13 12:44:54.827000+00:00;yncTWnFvmAIXjIfr;move;[1070, 669]
24;2022-01-13 12:44:54.834000+00:00;yncTWnFvmAIXjIfr;move;[1068, 669]
25;2022-01-13 12:44:54.841000+00:00;yncTWnFvmAIXjIfr;move;[1066, 667]
26;2022-01-13 12:44:54.848000+00:00;yncTWnFvmAIXjIfr;move;[1064, 665]
27;2022-01-13 12:44:54.855000+00:00;yncTWnFvmAIXjIfr;move;[1060, 662]
28;2022-01-13 12:44:54.862000+00:00;yncTWnFvmAIXjIfr;move;[1057, 660]
29;2022-01-13 12:44:54.869000+00:00;yncTWnFvmAIXjIfr;move;[1053, 656]
30;2022-01-13 12:44:54.876000+00:00;yncTWnFvmAIXjIfr;move;[1048, 650]
31;2022-01-13 12:44:54.883000+00:00;yncTWnFvmAIXjIfr;move;[1041, 645]
32;2022-01-13 12:44:54.890000+00:00;yncTWnFvmAIXjIfr;move;[1034, 637]
33;2022-01-13 12:44:54.897000+00:00;yncTWnFvmAIXjIfr;move;[1026, 627]
34;2022-01-13 12:44:54.904000+00:00;yncTWnFvmAIXjIfr;move;[1016, 617]
35;2022-01-13 12:44:54.911000+00:00;yncTWnFvmAIXjIfr;move;[1008, 606]
36;2022-01-13 12:44:54.918000+00:00;yncTWnFvmAIXjIfr;move;[999, 596]
