;time;token;event;global_position
0;2022-01-13 12:43:44.285000+00:00;yurieOwomqoXeqmo;move;[1154, 930]
1;2022-01-13 12:43:44.291000+00:00;yurieOwomqoXeqmo;move;[1154, 929]
2;2022-01-13 12:43:44.308000+00:00;yurieOwomqoXeqmo;move;[1153, 927]
3;2022-01-13 12:43:44.324000+00:00;yurieOwomqoXeqmo;move;[1152, 923]
4;2022-01-13 12:43:44.341000+00:00;yurieOwomqoXeqmo;move;[1151, 919]
5;2022-01-13 12:43:44.358000+00:00;yurieOwomqoXeqmo;move;[1149, 913]
6;2022-01-13 12:43:44.374000+00:00;yurieOwomqoXeqmo;move;[1148, 908]
7;2022-01-13 12:43:44.391000+00:00;yurieOwomqoXeqmo;move;[1147, 902]
8;2022-01-13 12:43:44.408000+00:00;yurieOwomqoXeqmo;move;[1144, 892]
9;2022-01-13 12:43:44.424000+00:00;yurieOwomqoXeqmo;move;[1141, 882]
10;2022-01-13 12:43:44.441000+00:00;yurieOwomqoXeqmo;move;[1137, 872]
11;2022-01-13 12:43:44.458000+00:00;yurieOwomqoXeqmo;move;[1132, 858]
12;2022-01-13 12:43:44.474000+00:00;yurieOwomqoXeqmo;move;[1126, 844]
13;2022-01-13 12:43:44.491000+00:00;yurieOwomqoXeqmo;move;[1121, 829]
14;2022-01-13 12:43:44.508000+00:00;yurieOwomqoXeqmo;move;[1116, 812]
15;2022-01-13 12:43:44.524000+00:00;yurieOwomqoXeqmo;move;[1111, 798]
16;2022-01-13 12:43:44.541000+00:00;yurieOwomqoXeqmo;move;[1107, 782]
17;2022-01-13 12:43:44.558000+00:00;yurieOwomqoXeqmo;move;[1101, 762]
18;2022-01-13 12:43:44.574000+00:00;yurieOwomqoXeqmo;move;[1094, 741]
19;2022-01-13 12:43:44.591000+00:00;yurieOwomqoXeqmo;move;[1085, 716]
20;2022-01-13 12:43:44.608000+00:00;yurieOwomqoXeqmo;move;[1065, 668]
21;2022-01-13 12:43:44.624000+00:00;yurieOwomqoXeqmo;move;[1045, 622]
22;2022-01-13 12:43:44.641000+00:00;yurieOwomqoXeqmo;move;[1030, 584]
23;2022-01-13 12:43:44.658000+00:00;yurieOwomqoXeqmo;move;[1021, 553]
24;2022-01-13 12:43:44.674000+00:00;yurieOwomqoXeqmo;move;[1016, 529]
25;2022-01-13 12:43:44.691000+00:00;yurieOwomqoXeqmo;move;[1011, 506]
26;2022-01-13 12:43:44.708000+00:00;yurieOwomqoXeqmo;move;[1006, 478]
27;2022-01-13 12:43:44.724000+00:00;yurieOwomqoXeqmo;move;[1000, 453]
28;2022-01-13 12:43:44.741000+00:00;yurieOwomqoXeqmo;move;[995, 428]
29;2022-01-13 12:43:44.758000+00:00;yurieOwomqoXeqmo;move;[989, 402]
30;2022-01-13 12:43:44.774000+00:00;yurieOwomqoXeqmo;move;[985, 384]
31;2022-01-13 12:43:44.791000+00:00;yurieOwomqoXeqmo;move;[981, 369]
32;2022-01-13 12:43:44.808000+00:00;yurieOwomqoXeqmo;move;[976, 355]
33;2022-01-13 12:43:44.824000+00:00;yurieOwomqoXeqmo;move;[969, 344]
34;2022-01-13 12:43:44.841000+00:00;yurieOwomqoXeqmo;move;[960, 335]
35;2022-01-13 12:43:44.858000+00:00;yurieOwomqoXeqmo;move;[943, 326]
36;2022-01-13 12:43:44.874000+00:00;yurieOwomqoXeqmo;move;[925, 320]
