;time;token;event;global_position
0;2022-01-20 12:50:06.340000+00:00;zR5t6GLnAN2BWmvs;move;[722, 252]
1;2022-01-20 12:50:08.826000+00:00;zR5t6GLnAN2BWmvs;move;[978, 358]
2;2022-01-20 12:52:29.947000+00:00;zR5t6GLnAN2BWmvs;move;[251, 183]
3;2022-01-20 12:54:02.266000+00:00;zR5t6GLnAN2BWmvs;move;[146, 292]
4;2022-01-20 12:56:22.766000+00:00;zR5t6GLnAN2BWmvs;move;[147, 270]
5;2022-01-20 12:56:51.910000+00:00;zR5t6GLnAN2BWmvs;move;[149, 296]
6;2022-01-20 12:57:09.729000+00:00;zR5t6GLnAN2BWmvs;move;[147, 388]
7;2022-01-20 12:57:10.369000+00:00;zR5t6GLnAN2BWmvs;move;[145, 370]
8;2022-01-20 12:57:10.949000+00:00;zR5t6GLnAN2BWmvs;move;[149, 392]
9;2022-01-20 12:57:21.778000+00:00;zR5t6GLnAN2BWmvs;move;[146, 418]
10;2022-01-20 12:58:09.539000+00:00;zR5t6GLnAN2BWmvs;move;[150, 294]
11;2022-01-20 12:58:47.821000+00:00;zR5t6GLnAN2BWmvs;move;[149, 218]
12;2022-01-20 12:59:09.241000+00:00;zR5t6GLnAN2BWmvs;move;[150, 244]
13;2022-01-20 12:59:23.846000+00:00;zR5t6GLnAN2BWmvs;move;[148, 188]
14;2022-01-20 12:59:42.878000+00:00;zR5t6GLnAN2BWmvs;move;[166, 161]
15;2022-01-20 12:59:59.416000+00:00;zR5t6GLnAN2BWmvs;move;[149, 171]
16;2022-01-20 13:01:30.687000+00:00;zR5t6GLnAN2BWmvs;move;[166, 348]
17;2022-01-20 13:01:48.802000+00:00;zR5t6GLnAN2BWmvs;move;[148, 272]
18;2022-01-20 13:02:03.512000+00:00;zR5t6GLnAN2BWmvs;move;[149, 351]
19;2022-01-20 13:02:07.233000+00:00;zR5t6GLnAN2BWmvs;move;[148, 325]
20;2022-01-20 13:02:34.390000+00:00;zR5t6GLnAN2BWmvs;move;[152, 376]
21;2022-01-20 13:06:52.882000+00:00;zR5t6GLnAN2BWmvs;move;[218, 376]
22;2022-01-20 13:07:32.685000+00:00;zR5t6GLnAN2BWmvs;move;[201, 316]
23;2022-01-20 13:07:41.933000+00:00;zR5t6GLnAN2BWmvs;move;[157, 262]
24;2022-01-20 13:07:46.648000+00:00;zR5t6GLnAN2BWmvs;move;[208, 265]
25;2022-01-20 13:08:00.626000+00:00;zR5t6GLnAN2BWmvs;move;[295, 250]
26;2022-01-20 13:09:42.679000+00:00;zR5t6GLnAN2BWmvs;move;[331, 111]
27;2022-01-20 13:09:49.202000+00:00;zR5t6GLnAN2BWmvs;move;[339, 221]
28;2022-01-20 13:10:37.528000+00:00;zR5t6GLnAN2BWmvs;move;[374, 204]
29;2022-01-20 13:10:57.325000+00:00;zR5t6GLnAN2BWmvs;move;[354, 281]
30;2022-01-20 13:11:02.923000+00:00;zR5t6GLnAN2BWmvs;move;[451, 376]
31;2022-01-20 13:11:32.008000+00:00;zR5t6GLnAN2BWmvs;move;[358, 352]
32;2022-01-20 13:11:39.530000+00:00;zR5t6GLnAN2BWmvs;move;[469, 194]
