;time;token;event;global_position
0;2022-01-20 13:21:47.155000+00:00;zjJcIODegMAv+bB+;move;[1094, 641]
1;2022-01-20 13:21:47.161000+00:00;zjJcIODegMAv+bB+;move;[1085, 640]
2;2022-01-20 13:21:47.168000+00:00;zjJcIODegMAv+bB+;move;[1073, 636]
3;2022-01-20 13:21:47.175000+00:00;zjJcIODegMAv+bB+;move;[1061, 633]
4;2022-01-20 13:21:47.182000+00:00;zjJcIODegMAv+bB+;move;[1048, 629]
5;2022-01-20 13:21:47.189000+00:00;zjJcIODegMAv+bB+;move;[1034, 626]
6;2022-01-20 13:21:47.196000+00:00;zjJcIODegMAv+bB+;move;[1019, 622]
7;2022-01-20 13:21:47.203000+00:00;zjJcIODegMAv+bB+;move;[1004, 620]
8;2022-01-20 13:21:47.209000+00:00;zjJcIODegMAv+bB+;move;[993, 617]
9;2022-01-20 13:21:47.216000+00:00;zjJcIODegMAv+bB+;move;[975, 613]
10;2022-01-20 13:21:47.223000+00:00;zjJcIODegMAv+bB+;move;[961, 610]
11;2022-01-20 13:21:47.230000+00:00;zjJcIODegMAv+bB+;move;[943, 608]
12;2022-01-20 13:21:47.237000+00:00;zjJcIODegMAv+bB+;move;[924, 605]
13;2022-01-20 13:21:47.245000+00:00;zjJcIODegMAv+bB+;move;[900, 601]
14;2022-01-20 13:21:47.251000+00:00;zjJcIODegMAv+bB+;move;[883, 597]
15;2022-01-20 13:21:47.258000+00:00;zjJcIODegMAv+bB+;move;[859, 593]
16;2022-01-20 13:21:47.265000+00:00;zjJcIODegMAv+bB+;move;[836, 589]
17;2022-01-20 13:21:47.272000+00:00;zjJcIODegMAv+bB+;move;[808, 584]
18;2022-01-20 13:21:47.279000+00:00;zjJcIODegMAv+bB+;move;[779, 579]
19;2022-01-20 13:21:47.286000+00:00;zjJcIODegMAv+bB+;move;[747, 574]
20;2022-01-20 13:21:47.293000+00:00;zjJcIODegMAv+bB+;move;[712, 569]
21;2022-01-20 13:21:47.300000+00:00;zjJcIODegMAv+bB+;move;[672, 563]
22;2022-01-20 13:21:47.307000+00:00;zjJcIODegMAv+bB+;move;[631, 556]
23;2022-01-20 13:21:47.314000+00:00;zjJcIODegMAv+bB+;move;[588, 547]
24;2022-01-20 13:21:47.321000+00:00;zjJcIODegMAv+bB+;move;[548, 537]
25;2022-01-20 13:21:47.327000+00:00;zjJcIODegMAv+bB+;move;[510, 524]
26;2022-01-20 13:21:47.334000+00:00;zjJcIODegMAv+bB+;move;[480, 512]
27;2022-01-20 13:21:47.341000+00:00;zjJcIODegMAv+bB+;move;[460, 501]
28;2022-01-20 13:21:47.350000+00:00;zjJcIODegMAv+bB+;move;[449, 495]
29;2022-01-20 13:21:47.357000+00:00;zjJcIODegMAv+bB+;move;[448, 495]
30;2022-01-20 13:21:47.364000+00:00;zjJcIODegMAv+bB+;move;[448, 494]
31;2022-01-20 13:21:47.552000+00:00;zjJcIODegMAv+bB+;move;[448, 493]
32;2022-01-20 13:21:47.572000+00:00;zjJcIODegMAv+bB+;move;[449, 493]
33;2022-01-20 13:21:47.578000+00:00;zjJcIODegMAv+bB+;move;[455, 491]
34;2022-01-20 13:21:47.584000+00:00;zjJcIODegMAv+bB+;move;[461, 490]
35;2022-01-20 13:21:47.591000+00:00;zjJcIODegMAv+bB+;move;[469, 489]
36;2022-01-20 13:21:47.598000+00:00;zjJcIODegMAv+bB+;move;[479, 487]
37;2022-01-20 13:21:47.606000+00:00;zjJcIODegMAv+bB+;move;[492, 485]
38;2022-01-20 13:21:47.612000+00:00;zjJcIODegMAv+bB+;move;[504, 484]
39;2022-01-20 13:21:47.619000+00:00;zjJcIODegMAv+bB+;move;[520, 482]
40;2022-01-20 13:21:47.626000+00:00;zjJcIODegMAv+bB+;move;[536, 480]
41;2022-01-20 13:21:47.633000+00:00;zjJcIODegMAv+bB+;move;[555, 477]
42;2022-01-20 13:21:47.640000+00:00;zjJcIODegMAv+bB+;move;[579, 475]
43;2022-01-20 13:21:47.648000+00:00;zjJcIODegMAv+bB+;move;[609, 471]
44;2022-01-20 13:21:47.654000+00:00;zjJcIODegMAv+bB+;move;[639, 467]
45;2022-01-20 13:21:47.661000+00:00;zjJcIODegMAv+bB+;move;[675, 461]
46;2022-01-20 13:21:47.668000+00:00;zjJcIODegMAv+bB+;move;[719, 452]
47;2022-01-20 13:21:47.675000+00:00;zjJcIODegMAv+bB+;move;[764, 438]
48;2022-01-20 13:21:47.682000+00:00;zjJcIODegMAv+bB+;move;[816, 422]
49;2022-01-20 13:21:47.689000+00:00;zjJcIODegMAv+bB+;move;[863, 409]
50;2022-01-20 13:21:47.696000+00:00;zjJcIODegMAv+bB+;move;[931, 389]
51;2022-01-20 13:21:47.703000+00:00;zjJcIODegMAv+bB+;move;[986, 369]
52;2022-01-20 13:21:47.709000+00:00;zjJcIODegMAv+bB+;move;[1038, 349]
53;2022-01-20 13:21:47.716000+00:00;zjJcIODegMAv+bB+;move;[1084, 330]
54;2022-01-20 13:21:47.724000+00:00;zjJcIODegMAv+bB+;move;[1121, 317]
55;2022-01-20 13:21:47.730000+00:00;zjJcIODegMAv+bB+;move;[1158, 306]
56;2022-01-20 13:21:47.737000+00:00;zjJcIODegMAv+bB+;move;[1193, 299]
57;2022-01-20 13:21:47.744000+00:00;zjJcIODegMAv+bB+;move;[1224, 293]
58;2022-01-20 13:21:47.751000+00:00;zjJcIODegMAv+bB+;move;[1252, 289]
59;2022-01-20 13:21:47.759000+00:00;zjJcIODegMAv+bB+;move;[1279, 285]
60;2022-01-20 13:21:47.765000+00:00;zjJcIODegMAv+bB+;move;[1296, 281]
61;2022-01-20 13:21:47.772000+00:00;zjJcIODegMAv+bB+;move;[1314, 278]
62;2022-01-20 13:21:47.779000+00:00;zjJcIODegMAv+bB+;move;[1328, 276]
63;2022-01-20 13:21:47.786000+00:00;zjJcIODegMAv+bB+;move;[1339, 274]
64;2022-01-20 13:21:47.793000+00:00;zjJcIODegMAv+bB+;move;[1348, 272]
65;2022-01-20 13:21:47.800000+00:00;zjJcIODegMAv+bB+;move;[1353, 271]
66;2022-01-20 13:21:47.807000+00:00;zjJcIODegMAv+bB+;move;[1359, 269]
67;2022-01-20 13:21:47.814000+00:00;zjJcIODegMAv+bB+;move;[1365, 269]
68;2022-01-20 13:21:47.821000+00:00;zjJcIODegMAv+bB+;move;[1369, 268]
69;2022-01-20 13:21:47.828000+00:00;zjJcIODegMAv+bB+;move;[1373, 267]
70;2022-01-20 13:21:47.835000+00:00;zjJcIODegMAv+bB+;move;[1376, 266]
71;2022-01-20 13:21:47.842000+00:00;zjJcIODegMAv+bB+;move;[1378, 265]
72;2022-01-20 13:21:47.850000+00:00;zjJcIODegMAv+bB+;move;[1380, 265]
73;2022-01-20 13:21:47.900000+00:00;zjJcIODegMAv+bB+;move;[1380, 266]
74;2022-01-20 13:21:47.904000+00:00;zjJcIODegMAv+bB+;move;[1380, 267]
75;2022-01-20 13:21:47.911000+00:00;zjJcIODegMAv+bB+;move;[1381, 269]
76;2022-01-20 13:21:47.918000+00:00;zjJcIODegMAv+bB+;move;[1384, 273]
77;2022-01-20 13:21:47.925000+00:00;zjJcIODegMAv+bB+;move;[1385, 276]
78;2022-01-20 13:21:47.932000+00:00;zjJcIODegMAv+bB+;move;[1387, 279]
79;2022-01-20 13:21:47.939000+00:00;zjJcIODegMAv+bB+;move;[1388, 283]
80;2022-01-20 13:21:47.946000+00:00;zjJcIODegMAv+bB+;move;[1389, 287]
81;2022-01-20 13:21:47.953000+00:00;zjJcIODegMAv+bB+;move;[1391, 290]
82;2022-01-20 13:21:47.960000+00:00;zjJcIODegMAv+bB+;move;[1392, 293]
83;2022-01-20 13:21:47.966000+00:00;zjJcIODegMAv+bB+;move;[1392, 296]
84;2022-01-20 13:21:47.973000+00:00;zjJcIODegMAv+bB+;move;[1392, 300]
85;2022-01-20 13:21:47.980000+00:00;zjJcIODegMAv+bB+;move;[1391, 303]
86;2022-01-20 13:21:47.987000+00:00;zjJcIODegMAv+bB+;move;[1389, 308]
87;2022-01-20 13:21:47.994000+00:00;zjJcIODegMAv+bB+;move;[1388, 313]
88;2022-01-20 13:21:48.001000+00:00;zjJcIODegMAv+bB+;move;[1384, 319]
89;2022-01-20 13:21:48.009000+00:00;zjJcIODegMAv+bB+;move;[1381, 326]
90;2022-01-20 13:21:48.015000+00:00;zjJcIODegMAv+bB+;move;[1379, 331]
91;2022-01-20 13:21:48.023000+00:00;zjJcIODegMAv+bB+;move;[1376, 336]
92;2022-01-20 13:21:48.029000+00:00;zjJcIODegMAv+bB+;move;[1375, 338]
93;2022-01-20 13:21:48.036000+00:00;zjJcIODegMAv+bB+;move;[1373, 341]
94;2022-01-20 13:21:48.043000+00:00;zjJcIODegMAv+bB+;move;[1372, 343]
95;2022-01-20 13:21:48.050000+00:00;zjJcIODegMAv+bB+;move;[1370, 345]
96;2022-01-20 13:21:48.057000+00:00;zjJcIODegMAv+bB+;move;[1369, 347]
97;2022-01-20 13:21:48.064000+00:00;zjJcIODegMAv+bB+;move;[1368, 347]
98;2022-01-20 13:21:48.071000+00:00;zjJcIODegMAv+bB+;move;[1368, 348]
99;2022-01-20 13:21:48.293000+00:00;zjJcIODegMAv+bB+;move;[1367, 349]
100;2022-01-20 13:21:48.300000+00:00;zjJcIODegMAv+bB+;move;[1366, 351]
101;2022-01-20 13:21:48.307000+00:00;zjJcIODegMAv+bB+;move;[1364, 352]
102;2022-01-20 13:21:48.314000+00:00;zjJcIODegMAv+bB+;move;[1364, 353]
103;2022-01-20 13:21:48.321000+00:00;zjJcIODegMAv+bB+;move;[1362, 354]
104;2022-01-20 13:21:48.328000+00:00;zjJcIODegMAv+bB+;move;[1361, 355]
105;2022-01-20 13:21:48.366000+00:00;zjJcIODegMAv+bB+;move;[1352, 360]
106;2022-01-20 13:21:48.368000+00:00;zjJcIODegMAv+bB+;move;[1351, 360]
