;time;token;event;position
0;2022-01-13 12:43:56.138000+00:00;+gp9ZuW0H6lVbFwT;scroll;0.0
1;2022-01-13 12:44:34.626000+00:00;+gp9ZuW0H6lVbFwT;scroll;1.0
2;2022-01-13 12:44:34.634000+00:00;+gp9ZuW0H6lVbFwT;scroll;2.0
3;2022-01-13 12:44:34.638000+00:00;+gp9ZuW0H6lVbFwT;scroll;3.0
4;2022-01-13 12:44:34.642000+00:00;+gp9ZuW0H6lVbFwT;scroll;4.0
5;2022-01-13 12:44:34.646000+00:00;+gp9ZuW0H6lVbFwT;scroll;6.0
6;2022-01-13 12:44:34.651000+00:00;+gp9ZuW0H6lVbFwT;scroll;8.0
7;2022-01-13 12:44:34.655000+00:00;+gp9ZuW0H6lVbFwT;scroll;11.0
8;2022-01-13 12:44:34.659000+00:00;+gp9ZuW0H6lVbFwT;scroll;14.0
9;2022-01-13 12:44:34.663000+00:00;+gp9ZuW0H6lVbFwT;scroll;18.0
10;2022-01-13 12:44:34.668000+00:00;+gp9ZuW0H6lVbFwT;scroll;24.0
11;2022-01-13 12:44:34.672000+00:00;+gp9ZuW0H6lVbFwT;scroll;30.0
12;2022-01-13 12:44:34.676000+00:00;+gp9ZuW0H6lVbFwT;scroll;38.0
13;2022-01-13 12:44:34.680000+00:00;+gp9ZuW0H6lVbFwT;scroll;49.0
14;2022-01-13 12:44:34.684000+00:00;+gp9ZuW0H6lVbFwT;scroll;61.0
15;2022-01-13 12:44:34.688000+00:00;+gp9ZuW0H6lVbFwT;scroll;76.0
16;2022-01-13 12:44:34.692000+00:00;+gp9ZuW0H6lVbFwT;scroll;94.0
17;2022-01-13 12:44:34.697000+00:00;+gp9ZuW0H6lVbFwT;scroll;113.0
18;2022-01-13 12:44:34.701000+00:00;+gp9ZuW0H6lVbFwT;scroll;135.0
19;2022-01-13 12:44:34.706000+00:00;+gp9ZuW0H6lVbFwT;scroll;159.0
20;2022-01-13 12:44:34.710000+00:00;+gp9ZuW0H6lVbFwT;scroll;185.0
21;2022-01-13 12:44:34.718000+00:00;+gp9ZuW0H6lVbFwT;scroll;240.0
