;time;token;event;position
0;2022-01-13 12:46:52.506000+00:00;+toWCKHQDTcrSpd5;scroll;0.0
1;2022-01-13 12:47:29.618000+00:00;+toWCKHQDTcrSpd5;scroll;1.0
2;2022-01-13 12:47:29.635000+00:00;+toWCKHQDTcrSpd5;scroll;6.0
3;2022-01-13 12:47:29.651000+00:00;+toWCKHQDTcrSpd5;scroll;13.0
4;2022-01-13 12:47:29.668000+00:00;+toWCKHQDTcrSpd5;scroll;24.0
5;2022-01-13 12:47:29.685000+00:00;+toWCKHQDTcrSpd5;scroll;40.0
6;2022-01-13 12:47:29.702000+00:00;+toWCKHQDTcrSpd5;scroll;61.0
7;2022-01-13 12:47:29.719000+00:00;+toWCKHQDTcrSpd5;scroll;87.0
8;2022-01-13 12:47:29.736000+00:00;+toWCKHQDTcrSpd5;scroll;118.0
9;2022-01-13 12:47:29.752000+00:00;+toWCKHQDTcrSpd5;scroll;153.0
10;2022-01-13 12:47:29.772000+00:00;+toWCKHQDTcrSpd5;scroll;191.0
11;2022-01-13 12:47:29.785000+00:00;+toWCKHQDTcrSpd5;scroll;225.0
12;2022-01-13 12:47:29.801000+00:00;+toWCKHQDTcrSpd5;scroll;256.0
13;2022-01-13 12:47:29.820000+00:00;+toWCKHQDTcrSpd5;scroll;279.0
14;2022-01-13 12:47:29.834000+00:00;+toWCKHQDTcrSpd5;scroll;293.0
15;2022-01-13 12:47:29.851000+00:00;+toWCKHQDTcrSpd5;scroll;299.0
16;2022-01-13 12:47:29.871000+00:00;+toWCKHQDTcrSpd5;scroll;300.0
17;2022-01-13 12:47:41.734000+00:00;+toWCKHQDTcrSpd5;scroll;301.0
18;2022-01-13 12:47:41.754000+00:00;+toWCKHQDTcrSpd5;scroll;306.0
19;2022-01-13 12:47:41.769000+00:00;+toWCKHQDTcrSpd5;scroll;313.0
20;2022-01-13 12:47:41.786000+00:00;+toWCKHQDTcrSpd5;scroll;324.0
21;2022-01-13 12:47:41.801000+00:00;+toWCKHQDTcrSpd5;scroll;337.0
22;2022-01-13 12:47:41.818000+00:00;+toWCKHQDTcrSpd5;scroll;352.0
23;2022-01-13 12:47:41.834000+00:00;+toWCKHQDTcrSpd5;scroll;370.0
24;2022-01-13 12:47:41.850000+00:00;+toWCKHQDTcrSpd5;scroll;390.0
25;2022-01-13 12:47:41.872000+00:00;+toWCKHQDTcrSpd5;scroll;411.0
26;2022-01-13 12:47:41.886000+00:00;+toWCKHQDTcrSpd5;scroll;433.0
27;2022-01-13 12:47:41.903000+00:00;+toWCKHQDTcrSpd5;scroll;454.0
28;2022-01-13 12:47:41.920000+00:00;+toWCKHQDTcrSpd5;scroll;471.0
29;2022-01-13 12:47:41.934000+00:00;+toWCKHQDTcrSpd5;scroll;484.0
30;2022-01-13 12:47:41.951000+00:00;+toWCKHQDTcrSpd5;scroll;493.0
31;2022-01-13 12:47:41.970000+00:00;+toWCKHQDTcrSpd5;scroll;498.0
32;2022-01-13 12:47:41.984000+00:00;+toWCKHQDTcrSpd5;scroll;500.0
33;2022-01-13 12:47:50.658000+00:00;+toWCKHQDTcrSpd5;scroll;501.0
34;2022-01-13 12:47:50.670000+00:00;+toWCKHQDTcrSpd5;scroll;506.0
35;2022-01-13 12:47:50.683000+00:00;+toWCKHQDTcrSpd5;scroll;513.0
36;2022-01-13 12:47:50.700000+00:00;+toWCKHQDTcrSpd5;scroll;523.0
37;2022-01-13 12:47:50.721000+00:00;+toWCKHQDTcrSpd5;scroll;536.0
38;2022-01-13 12:47:50.733000+00:00;+toWCKHQDTcrSpd5;scroll;550.0
39;2022-01-13 12:47:50.751000+00:00;+toWCKHQDTcrSpd5;scroll;564.0
40;2022-01-13 12:47:50.768000+00:00;+toWCKHQDTcrSpd5;scroll;577.0
41;2022-01-13 12:47:50.783000+00:00;+toWCKHQDTcrSpd5;scroll;587.0
42;2022-01-13 12:47:50.800000+00:00;+toWCKHQDTcrSpd5;scroll;595.0
43;2022-01-13 12:47:50.820000+00:00;+toWCKHQDTcrSpd5;scroll;599.0
44;2022-01-13 12:47:50.833000+00:00;+toWCKHQDTcrSpd5;scroll;600.0
45;2022-01-13 12:48:04.038000+00:00;+toWCKHQDTcrSpd5;scroll;601.0
46;2022-01-13 12:48:04.049000+00:00;+toWCKHQDTcrSpd5;scroll;606.0
47;2022-01-13 12:48:04.068000+00:00;+toWCKHQDTcrSpd5;scroll;613.0
