;time;token;event;position
0;2022-01-13 12:43:45.258000+00:00;017QphxNtGM4GpT9;scroll;0
1;2022-01-13 12:44:41.983000+00:00;017QphxNtGM4GpT9;scroll;2
2;2022-01-13 12:44:41.997000+00:00;017QphxNtGM4GpT9;scroll;7
3;2022-01-13 12:44:42.010000+00:00;017QphxNtGM4GpT9;scroll;15
4;2022-01-13 12:44:42.024000+00:00;017QphxNtGM4GpT9;scroll;23
5;2022-01-13 12:44:42.037000+00:00;017QphxNtGM4GpT9;scroll;33
6;2022-01-13 12:44:42.051000+00:00;017QphxNtGM4GpT9;scroll;44
7;2022-01-13 12:44:42.064000+00:00;017QphxNtGM4GpT9;scroll;54
8;2022-01-13 12:44:42.077000+00:00;017QphxNtGM4GpT9;scroll;63
9;2022-01-13 12:44:42.090000+00:00;017QphxNtGM4GpT9;scroll;73
10;2022-01-13 12:44:42.104000+00:00;017QphxNtGM4GpT9;scroll;81
11;2022-01-13 12:44:42.118000+00:00;017QphxNtGM4GpT9;scroll;88
12;2022-01-13 12:44:42.130000+00:00;017QphxNtGM4GpT9;scroll;94
13;2022-01-13 12:44:42.143000+00:00;017QphxNtGM4GpT9;scroll;98
14;2022-01-13 12:44:42.157000+00:00;017QphxNtGM4GpT9;scroll;101
15;2022-01-13 12:44:42.170000+00:00;017QphxNtGM4GpT9;scroll;102
16;2022-01-13 12:44:42.424000+00:00;017QphxNtGM4GpT9;scroll;105
17;2022-01-13 12:44:42.437000+00:00;017QphxNtGM4GpT9;scroll;111
18;2022-01-13 12:44:42.450000+00:00;017QphxNtGM4GpT9;scroll;119
19;2022-01-13 12:44:42.463000+00:00;017QphxNtGM4GpT9;scroll;128
20;2022-01-13 12:44:42.477000+00:00;017QphxNtGM4GpT9;scroll;138
21;2022-01-13 12:44:42.491000+00:00;017QphxNtGM4GpT9;scroll;148
22;2022-01-13 12:44:42.504000+00:00;017QphxNtGM4GpT9;scroll;158
23;2022-01-13 12:44:42.517000+00:00;017QphxNtGM4GpT9;scroll;168
24;2022-01-13 12:44:42.530000+00:00;017QphxNtGM4GpT9;scroll;177
25;2022-01-13 12:44:42.544000+00:00;017QphxNtGM4GpT9;scroll;185
26;2022-01-13 12:44:42.557000+00:00;017QphxNtGM4GpT9;scroll;191
27;2022-01-13 12:44:42.571000+00:00;017QphxNtGM4GpT9;scroll;197
28;2022-01-13 12:44:42.584000+00:00;017QphxNtGM4GpT9;scroll;201
29;2022-01-13 12:44:42.597000+00:00;017QphxNtGM4GpT9;scroll;203
30;2022-01-13 12:44:42.610000+00:00;017QphxNtGM4GpT9;scroll;204
31;2022-01-13 12:44:42.864000+00:00;017QphxNtGM4GpT9;scroll;208
32;2022-01-13 12:44:42.878000+00:00;017QphxNtGM4GpT9;scroll;214
33;2022-01-13 12:44:42.891000+00:00;017QphxNtGM4GpT9;scroll;222
34;2022-01-13 12:44:42.904000+00:00;017QphxNtGM4GpT9;scroll;231
35;2022-01-13 12:44:42.918000+00:00;017QphxNtGM4GpT9;scroll;241
36;2022-01-13 12:44:42.931000+00:00;017QphxNtGM4GpT9;scroll;252
37;2022-01-13 12:44:42.945000+00:00;017QphxNtGM4GpT9;scroll;262
38;2022-01-13 12:44:42.958000+00:00;017QphxNtGM4GpT9;scroll;271
39;2022-01-13 12:44:42.971000+00:00;017QphxNtGM4GpT9;scroll;280
40;2022-01-13 12:44:42.984000+00:00;017QphxNtGM4GpT9;scroll;288
41;2022-01-13 12:44:42.998000+00:00;017QphxNtGM4GpT9;scroll;294
42;2022-01-13 12:44:43.010000+00:00;017QphxNtGM4GpT9;scroll;300
43;2022-01-13 12:44:43.024000+00:00;017QphxNtGM4GpT9;scroll;303
44;2022-01-13 12:44:43.038000+00:00;017QphxNtGM4GpT9;scroll;306
45;2022-01-13 12:44:43.325000+00:00;017QphxNtGM4GpT9;scroll;307
46;2022-01-13 12:44:43.330000+00:00;017QphxNtGM4GpT9;scroll;309
47;2022-01-13 12:44:43.344000+00:00;017QphxNtGM4GpT9;scroll;315
48;2022-01-13 12:44:43.357000+00:00;017QphxNtGM4GpT9;scroll;323
49;2022-01-13 12:44:43.371000+00:00;017QphxNtGM4GpT9;scroll;333
50;2022-01-13 12:44:43.384000+00:00;017QphxNtGM4GpT9;scroll;343
51;2022-01-13 12:44:43.397000+00:00;017QphxNtGM4GpT9;scroll;353
52;2022-01-13 12:44:43.410000+00:00;017QphxNtGM4GpT9;scroll;363
53;2022-01-13 12:44:43.424000+00:00;017QphxNtGM4GpT9;scroll;372
54;2022-01-13 12:44:43.438000+00:00;017QphxNtGM4GpT9;scroll;381
55;2022-01-13 12:44:43.451000+00:00;017QphxNtGM4GpT9;scroll;389
56;2022-01-13 12:44:43.465000+00:00;017QphxNtGM4GpT9;scroll;396
57;2022-01-13 12:44:43.478000+00:00;017QphxNtGM4GpT9;scroll;401
58;2022-01-13 12:44:43.491000+00:00;017QphxNtGM4GpT9;scroll;405
59;2022-01-13 12:44:43.504000+00:00;017QphxNtGM4GpT9;scroll;407
60;2022-01-13 12:44:43.517000+00:00;017QphxNtGM4GpT9;scroll;408
61;2022-01-13 12:44:43.864000+00:00;017QphxNtGM4GpT9;scroll;404
62;2022-01-13 12:44:43.877000+00:00;017QphxNtGM4GpT9;scroll;398
63;2022-01-13 12:44:43.891000+00:00;017QphxNtGM4GpT9;scroll;390
64;2022-01-13 12:44:43.904000+00:00;017QphxNtGM4GpT9;scroll;380
65;2022-01-13 12:44:43.918000+00:00;017QphxNtGM4GpT9;scroll;370
66;2022-01-13 12:44:43.931000+00:00;017QphxNtGM4GpT9;scroll;360
67;2022-01-13 12:44:43.945000+00:00;017QphxNtGM4GpT9;scroll;350
68;2022-01-13 12:44:43.958000+00:00;017QphxNtGM4GpT9;scroll;341
69;2022-01-13 12:44:43.971000+00:00;017QphxNtGM4GpT9;scroll;332
70;2022-01-13 12:44:43.985000+00:00;017QphxNtGM4GpT9;scroll;324
71;2022-01-13 12:44:43.998000+00:00;017QphxNtGM4GpT9;scroll;317
72;2022-01-13 12:44:44.011000+00:00;017QphxNtGM4GpT9;scroll;312
73;2022-01-13 12:44:44.024000+00:00;017QphxNtGM4GpT9;scroll;308
74;2022-01-13 12:44:44.038000+00:00;017QphxNtGM4GpT9;scroll;306
75;2022-01-13 12:44:44.144000+00:00;017QphxNtGM4GpT9;scroll;303
76;2022-01-13 12:44:44.157000+00:00;017QphxNtGM4GpT9;scroll;296
77;2022-01-13 12:44:44.171000+00:00;017QphxNtGM4GpT9;scroll;288
78;2022-01-13 12:44:44.184000+00:00;017QphxNtGM4GpT9;scroll;279
79;2022-01-13 12:44:44.198000+00:00;017QphxNtGM4GpT9;scroll;269
80;2022-01-13 12:44:44.211000+00:00;017QphxNtGM4GpT9;scroll;259
81;2022-01-13 12:44:44.224000+00:00;017QphxNtGM4GpT9;scroll;249
82;2022-01-13 12:44:44.238000+00:00;017QphxNtGM4GpT9;scroll;239
83;2022-01-13 12:44:44.251000+00:00;017QphxNtGM4GpT9;scroll;230
84;2022-01-13 12:44:44.265000+00:00;017QphxNtGM4GpT9;scroll;223
85;2022-01-13 12:44:44.278000+00:00;017QphxNtGM4GpT9;scroll;216
86;2022-01-13 12:44:44.291000+00:00;017QphxNtGM4GpT9;scroll;211
87;2022-01-13 12:44:44.305000+00:00;017QphxNtGM4GpT9;scroll;207
88;2022-01-13 12:44:44.318000+00:00;017QphxNtGM4GpT9;scroll;204
89;2022-01-13 12:45:17.398000+00:00;017QphxNtGM4GpT9;scroll;205
90;2022-01-13 12:45:17.409000+00:00;017QphxNtGM4GpT9;scroll;207
91;2022-01-13 12:45:17.423000+00:00;017QphxNtGM4GpT9;scroll;213
92;2022-01-13 12:45:17.436000+00:00;017QphxNtGM4GpT9;scroll;221
93;2022-01-13 12:45:17.450000+00:00;017QphxNtGM4GpT9;scroll;231
