;time;token;event;position
0;2022-01-13 13:05:24.627000+00:00;0ZimVIHrBhPlFZmK;scroll;0
1;2022-01-13 13:05:27.161000+00:00;0ZimVIHrBhPlFZmK;scroll;40
2;2022-01-13 13:05:27.193000+00:00;0ZimVIHrBhPlFZmK;scroll;574
3;2022-01-13 13:05:27.210000+00:00;0ZimVIHrBhPlFZmK;scroll;813
4;2022-01-13 13:05:27.227000+00:00;0ZimVIHrBhPlFZmK;scroll;980
5;2022-01-13 13:05:28.510000+00:00;0ZimVIHrBhPlFZmK;scroll;0
6;2022-01-13 13:05:28.944000+00:00;0ZimVIHrBhPlFZmK;scroll;40
7;2022-01-13 13:05:28.960000+00:00;0ZimVIHrBhPlFZmK;scroll;366
8;2022-01-13 13:05:28.977000+00:00;0ZimVIHrBhPlFZmK;scroll;824
9;2022-01-13 13:05:28.993000+00:00;0ZimVIHrBhPlFZmK;scroll;980
10;2022-01-13 13:05:30.210000+00:00;0ZimVIHrBhPlFZmK;scroll;0
11;2022-01-13 13:05:30.577000+00:00;0ZimVIHrBhPlFZmK;scroll;4
12;2022-01-13 13:05:30.594000+00:00;0ZimVIHrBhPlFZmK;scroll;176
13;2022-01-13 13:05:30.610000+00:00;0ZimVIHrBhPlFZmK;scroll;362
14;2022-01-13 13:05:30.627000+00:00;0ZimVIHrBhPlFZmK;scroll;815
15;2022-01-13 13:05:30.644000+00:00;0ZimVIHrBhPlFZmK;scroll;1075
16;2022-01-13 13:05:30.660000+00:00;0ZimVIHrBhPlFZmK;scroll;1352
17;2022-01-13 13:05:30.843000+00:00;0ZimVIHrBhPlFZmK;scroll;1356
18;2022-01-13 13:05:30.859000+00:00;0ZimVIHrBhPlFZmK;scroll;1531
19;2022-01-13 13:05:30.877000+00:00;0ZimVIHrBhPlFZmK;scroll;2180
20;2022-01-13 13:05:30.894000+00:00;0ZimVIHrBhPlFZmK;scroll;2444
21;2022-01-13 13:05:31.659000+00:00;0ZimVIHrBhPlFZmK;scroll;2448
22;2022-01-13 13:05:31.677000+00:00;0ZimVIHrBhPlFZmK;scroll;2615
23;2022-01-13 13:05:31.694000+00:00;0ZimVIHrBhPlFZmK;scroll;2796
24;2022-01-13 13:05:31.710000+00:00;0ZimVIHrBhPlFZmK;scroll;3004
25;2022-01-13 13:05:31.727000+00:00;0ZimVIHrBhPlFZmK;scroll;3032
26;2022-01-13 13:05:35.110000+00:00;0ZimVIHrBhPlFZmK;scroll;0
27;2022-01-13 13:05:39.427000+00:00;0ZimVIHrBhPlFZmK;scroll;38
28;2022-01-13 13:05:39.444000+00:00;0ZimVIHrBhPlFZmK;scroll;162
29;2022-01-13 13:05:39.477000+00:00;0ZimVIHrBhPlFZmK;scroll;335
30;2022-01-13 13:05:39.510000+00:00;0ZimVIHrBhPlFZmK;scroll;526
31;2022-01-13 13:05:39.777000+00:00;0ZimVIHrBhPlFZmK;scroll;530
32;2022-01-13 13:05:39.793000+00:00;0ZimVIHrBhPlFZmK;scroll;564
33;2022-01-13 13:05:39.810000+00:00;0ZimVIHrBhPlFZmK;scroll;688
34;2022-01-13 13:05:39.844000+00:00;0ZimVIHrBhPlFZmK;scroll;854
35;2022-01-13 13:05:40.127000+00:00;0ZimVIHrBhPlFZmK;scroll;893
36;2022-01-13 13:05:40.160000+00:00;0ZimVIHrBhPlFZmK;scroll;1207
37;2022-01-13 13:05:40.177000+00:00;0ZimVIHrBhPlFZmK;scroll;1415
38;2022-01-13 13:05:40.193000+00:00;0ZimVIHrBhPlFZmK;scroll;1642
39;2022-01-13 13:05:40.410000+00:00;0ZimVIHrBhPlFZmK;scroll;1682
40;2022-01-13 13:05:40.444000+00:00;0ZimVIHrBhPlFZmK;scroll;1999
41;2022-01-13 13:05:40.459000+00:00;0ZimVIHrBhPlFZmK;scroll;2209
42;2022-01-13 13:05:40.477000+00:00;0ZimVIHrBhPlFZmK;scroll;2439
43;2022-01-13 13:05:40.676000+00:00;0ZimVIHrBhPlFZmK;scroll;2443
44;2022-01-13 13:05:40.694000+00:00;0ZimVIHrBhPlFZmK;scroll;2479
45;2022-01-13 13:05:40.710000+00:00;0ZimVIHrBhPlFZmK;scroll;3018
46;2022-01-13 13:05:40.727000+00:00;0ZimVIHrBhPlFZmK;scroll;3032
47;2022-01-13 13:05:41.996000+00:00;0ZimVIHrBhPlFZmK;scroll;0
48;2022-01-13 13:05:43.543000+00:00;0ZimVIHrBhPlFZmK;scroll;38
49;2022-01-13 13:05:43.560000+00:00;0ZimVIHrBhPlFZmK;scroll;165
50;2022-01-13 13:05:43.577000+00:00;0ZimVIHrBhPlFZmK;scroll;344
51;2022-01-13 13:05:43.593000+00:00;0ZimVIHrBhPlFZmK;scroll;550
52;2022-01-13 13:05:43.627000+00:00;0ZimVIHrBhPlFZmK;scroll;718
53;2022-01-13 13:05:46.010000+00:00;0ZimVIHrBhPlFZmK;scroll;0
54;2022-01-13 13:05:47.011000+00:00;0ZimVIHrBhPlFZmK;scroll;4
55;2022-01-13 13:05:47.027000+00:00;0ZimVIHrBhPlFZmK;scroll;34
56;2022-01-13 13:05:47.061000+00:00;0ZimVIHrBhPlFZmK;scroll;139
57;2022-01-13 13:05:47.111000+00:00;0ZimVIHrBhPlFZmK;scroll;280
58;2022-01-13 13:05:47.194000+00:00;0ZimVIHrBhPlFZmK;scroll;424
59;2022-01-13 13:05:47.310000+00:00;0ZimVIHrBhPlFZmK;scroll;568
60;2022-01-13 13:05:47.377000+00:00;0ZimVIHrBhPlFZmK;scroll;718
61;2022-01-13 13:05:53.692000+00:00;0ZimVIHrBhPlFZmK;scroll;0
62;2022-01-13 13:05:55.494000+00:00;0ZimVIHrBhPlFZmK;scroll;4
63;2022-01-13 13:05:55.510000+00:00;0ZimVIHrBhPlFZmK;scroll;37
64;2022-01-13 13:05:55.527000+00:00;0ZimVIHrBhPlFZmK;scroll;160
65;2022-01-13 13:05:55.559000+00:00;0ZimVIHrBhPlFZmK;scroll;332
66;2022-01-13 13:05:55.594000+00:00;0ZimVIHrBhPlFZmK;scroll;526
67;2022-01-13 13:05:55.627000+00:00;0ZimVIHrBhPlFZmK;scroll;735
68;2022-01-13 13:05:55.677000+00:00;0ZimVIHrBhPlFZmK;scroll;957
69;2022-01-13 13:05:55.710000+00:00;0ZimVIHrBhPlFZmK;scroll;960
70;2022-01-13 13:05:56.594000+00:00;0ZimVIHrBhPlFZmK;scroll;922
71;2022-01-13 13:05:56.611000+00:00;0ZimVIHrBhPlFZmK;scroll;794
72;2022-01-13 13:05:56.627000+00:00;0ZimVIHrBhPlFZmK;scroll;407
73;2022-01-13 13:05:56.644000+00:00;0ZimVIHrBhPlFZmK;scroll;176
74;2022-01-13 13:05:56.659000+00:00;0ZimVIHrBhPlFZmK;scroll;0
75;2022-01-13 13:06:01.794000+00:00;0ZimVIHrBhPlFZmK;scroll;4
76;2022-01-13 13:06:01.810000+00:00;0ZimVIHrBhPlFZmK;scroll;35
77;2022-01-13 13:06:01.843000+00:00;0ZimVIHrBhPlFZmK;scroll;142
78;2022-01-13 13:06:08.259000+00:00;0ZimVIHrBhPlFZmK;scroll;146
79;2022-01-13 13:06:08.293000+00:00;0ZimVIHrBhPlFZmK;scroll;172
80;2022-01-13 13:06:09.176000+00:00;0ZimVIHrBhPlFZmK;scroll;176
81;2022-01-13 13:06:09.193000+00:00;0ZimVIHrBhPlFZmK;scroll;209
82;2022-01-13 13:06:09.226000+00:00;0ZimVIHrBhPlFZmK;scroll;327
83;2022-01-13 13:06:09.260000+00:00;0ZimVIHrBhPlFZmK;scroll;483
84;2022-01-13 13:06:33.394000+00:00;0ZimVIHrBhPlFZmK;scroll;487
85;2022-01-13 13:06:33.411000+00:00;0ZimVIHrBhPlFZmK;scroll;520
86;2022-01-13 13:06:33.443000+00:00;0ZimVIHrBhPlFZmK;scroll;630
87;2022-01-13 13:06:48.226000+00:00;0ZimVIHrBhPlFZmK;scroll;634
88;2022-01-13 13:06:48.243000+00:00;0ZimVIHrBhPlFZmK;scroll;668
89;2022-01-13 13:06:48.259000+00:00;0ZimVIHrBhPlFZmK;scroll;792
90;2022-01-13 13:06:48.276000+00:00;0ZimVIHrBhPlFZmK;scroll;960
91;2022-01-13 13:06:51.360000+00:00;0ZimVIHrBhPlFZmK;scroll;0
