;time;token;event;position
0;2022-01-13 12:43:36.195000+00:00;0lCfD6HsTuGPcYoG;scroll;0.0
1;2022-01-13 12:44:20.096000+00:00;0lCfD6HsTuGPcYoG;scroll;7.5
2;2022-01-13 12:44:20.113000+00:00;0lCfD6HsTuGPcYoG;scroll;17.0
3;2022-01-13 12:44:20.130000+00:00;0lCfD6HsTuGPcYoG;scroll;23.5
4;2022-01-13 12:44:20.147000+00:00;0lCfD6HsTuGPcYoG;scroll;30.5
5;2022-01-13 12:44:20.164000+00:00;0lCfD6HsTuGPcYoG;scroll;37.0
6;2022-01-13 12:44:20.179000+00:00;0lCfD6HsTuGPcYoG;scroll;44.5
7;2022-01-13 12:44:20.197000+00:00;0lCfD6HsTuGPcYoG;scroll;47.5
8;2022-01-13 12:44:20.215000+00:00;0lCfD6HsTuGPcYoG;scroll;48.5
9;2022-01-13 12:44:20.230000+00:00;0lCfD6HsTuGPcYoG;scroll;50.0
10;2022-01-13 12:44:20.248000+00:00;0lCfD6HsTuGPcYoG;scroll;51.5
11;2022-01-13 12:44:20.264000+00:00;0lCfD6HsTuGPcYoG;scroll;53.5
12;2022-01-13 12:44:20.280000+00:00;0lCfD6HsTuGPcYoG;scroll;58.0
13;2022-01-13 12:44:20.298000+00:00;0lCfD6HsTuGPcYoG;scroll;63.0
14;2022-01-13 12:44:20.317000+00:00;0lCfD6HsTuGPcYoG;scroll;71.0
15;2022-01-13 12:44:20.330000+00:00;0lCfD6HsTuGPcYoG;scroll;86.5
16;2022-01-13 12:44:20.347000+00:00;0lCfD6HsTuGPcYoG;scroll;94.0
17;2022-01-13 12:44:20.365000+00:00;0lCfD6HsTuGPcYoG;scroll;98.5
18;2022-01-13 12:44:20.381000+00:00;0lCfD6HsTuGPcYoG;scroll;102.0
19;2022-01-13 12:44:20.417000+00:00;0lCfD6HsTuGPcYoG;scroll;103.0
20;2022-01-13 12:44:20.429000+00:00;0lCfD6HsTuGPcYoG;scroll;105.0
21;2022-01-13 12:44:20.446000+00:00;0lCfD6HsTuGPcYoG;scroll;107.0
22;2022-01-13 12:44:20.480000+00:00;0lCfD6HsTuGPcYoG;scroll;109.0
23;2022-01-13 12:44:20.498000+00:00;0lCfD6HsTuGPcYoG;scroll;110.0
24;2022-01-13 12:44:20.514000+00:00;0lCfD6HsTuGPcYoG;scroll;112.0
25;2022-01-13 12:44:20.531000+00:00;0lCfD6HsTuGPcYoG;scroll;115.5
26;2022-01-13 12:44:20.546000+00:00;0lCfD6HsTuGPcYoG;scroll;117.0
27;2022-01-13 12:44:20.565000+00:00;0lCfD6HsTuGPcYoG;scroll;118.0
28;2022-01-13 12:44:20.581000+00:00;0lCfD6HsTuGPcYoG;scroll;121.0
29;2022-01-13 12:44:20.597000+00:00;0lCfD6HsTuGPcYoG;scroll;122.0
30;2022-01-13 12:44:20.630000+00:00;0lCfD6HsTuGPcYoG;scroll;123.5
31;2022-01-13 12:44:20.664000+00:00;0lCfD6HsTuGPcYoG;scroll;125.5
32;2022-01-13 12:44:20.681000+00:00;0lCfD6HsTuGPcYoG;scroll;127.5
33;2022-01-13 12:44:20.697000+00:00;0lCfD6HsTuGPcYoG;scroll;130.0
34;2022-01-13 12:44:20.714000+00:00;0lCfD6HsTuGPcYoG;scroll;132.5
35;2022-01-13 12:44:20.731000+00:00;0lCfD6HsTuGPcYoG;scroll;137.5
36;2022-01-13 12:44:20.749000+00:00;0lCfD6HsTuGPcYoG;scroll;140.0
37;2022-01-13 12:44:20.764000+00:00;0lCfD6HsTuGPcYoG;scroll;142.5
38;2022-01-13 12:44:20.782000+00:00;0lCfD6HsTuGPcYoG;scroll;149.0
39;2022-01-13 12:44:20.797000+00:00;0lCfD6HsTuGPcYoG;scroll;153.0
40;2022-01-13 12:44:20.819000+00:00;0lCfD6HsTuGPcYoG;scroll;155.5
41;2022-01-13 12:44:20.832000+00:00;0lCfD6HsTuGPcYoG;scroll;160.0
42;2022-01-13 12:44:20.850000+00:00;0lCfD6HsTuGPcYoG;scroll;162.0
43;2022-01-13 12:44:20.867000+00:00;0lCfD6HsTuGPcYoG;scroll;163.5
44;2022-01-13 12:44:20.883000+00:00;0lCfD6HsTuGPcYoG;scroll;164.5
45;2022-01-13 12:44:20.931000+00:00;0lCfD6HsTuGPcYoG;scroll;167.0
46;2022-01-13 12:44:20.998000+00:00;0lCfD6HsTuGPcYoG;scroll;168.0
47;2022-01-13 12:44:21.014000+00:00;0lCfD6HsTuGPcYoG;scroll;170.0
48;2022-01-13 12:44:21.030000+00:00;0lCfD6HsTuGPcYoG;scroll;174.5
49;2022-01-13 12:44:21.064000+00:00;0lCfD6HsTuGPcYoG;scroll;175.5
50;2022-01-13 12:44:31.181000+00:00;0lCfD6HsTuGPcYoG;scroll;192.5
51;2022-01-13 12:44:31.199000+00:00;0lCfD6HsTuGPcYoG;scroll;210.0
52;2022-01-13 12:44:31.216000+00:00;0lCfD6HsTuGPcYoG;scroll;223.0
53;2022-01-13 12:44:31.233000+00:00;0lCfD6HsTuGPcYoG;scroll;235.5
54;2022-01-13 12:44:31.248000+00:00;0lCfD6HsTuGPcYoG;scroll;241.5
55;2022-01-13 12:44:31.266000+00:00;0lCfD6HsTuGPcYoG;scroll;245.0
56;2022-01-13 12:44:31.282000+00:00;0lCfD6HsTuGPcYoG;scroll;247.0
57;2022-01-13 12:44:31.316000+00:00;0lCfD6HsTuGPcYoG;scroll;248.5
58;2022-01-13 12:44:31.332000+00:00;0lCfD6HsTuGPcYoG;scroll;249.5
59;2022-01-13 12:44:31.367000+00:00;0lCfD6HsTuGPcYoG;scroll;252.0
60;2022-01-13 12:44:31.382000+00:00;0lCfD6HsTuGPcYoG;scroll;253.5
61;2022-01-13 12:44:31.399000+00:00;0lCfD6HsTuGPcYoG;scroll;255.5
62;2022-01-13 12:44:31.417000+00:00;0lCfD6HsTuGPcYoG;scroll;258.0
63;2022-01-13 12:44:31.432000+00:00;0lCfD6HsTuGPcYoG;scroll;263.0
64;2022-01-13 12:44:31.449000+00:00;0lCfD6HsTuGPcYoG;scroll;265.5
65;2022-01-13 12:44:31.466000+00:00;0lCfD6HsTuGPcYoG;scroll;267.5
66;2022-01-13 12:44:31.483000+00:00;0lCfD6HsTuGPcYoG;scroll;269.0
67;2022-01-13 12:44:31.499000+00:00;0lCfD6HsTuGPcYoG;scroll;270.0
68;2022-01-13 12:44:31.520000+00:00;0lCfD6HsTuGPcYoG;scroll;271.5
69;2022-01-13 12:44:31.550000+00:00;0lCfD6HsTuGPcYoG;scroll;273.0
70;2022-01-13 12:44:31.567000+00:00;0lCfD6HsTuGPcYoG;scroll;274.5
