;time;token;event;position
0;2022-01-13 12:44:33.307000+00:00;1c0Hn0SAZ47buUj0;scroll;0.0
1;2022-01-13 12:46:24.658000+00:00;1c0Hn0SAZ47buUj0;scroll;1.0
2;2022-01-13 12:46:24.665000+00:00;1c0Hn0SAZ47buUj0;scroll;2.0
3;2022-01-13 12:46:24.672000+00:00;1c0Hn0SAZ47buUj0;scroll;4.0
4;2022-01-13 12:46:24.679000+00:00;1c0Hn0SAZ47buUj0;scroll;6.0
5;2022-01-13 12:46:24.686000+00:00;1c0Hn0SAZ47buUj0;scroll;9.0
6;2022-01-13 12:46:24.693000+00:00;1c0Hn0SAZ47buUj0;scroll;12.0
7;2022-01-13 12:46:24.702000+00:00;1c0Hn0SAZ47buUj0;scroll;16.0
8;2022-01-13 12:46:24.707000+00:00;1c0Hn0SAZ47buUj0;scroll;20.0
9;2022-01-13 12:46:24.714000+00:00;1c0Hn0SAZ47buUj0;scroll;25.0
10;2022-01-13 12:46:24.722000+00:00;1c0Hn0SAZ47buUj0;scroll;31.0
11;2022-01-13 12:46:24.728000+00:00;1c0Hn0SAZ47buUj0;scroll;37.0
12;2022-01-13 12:46:24.735000+00:00;1c0Hn0SAZ47buUj0;scroll;43.0
13;2022-01-13 12:46:24.742000+00:00;1c0Hn0SAZ47buUj0;scroll;50.0
14;2022-01-13 12:46:24.749000+00:00;1c0Hn0SAZ47buUj0;scroll;58.0
15;2022-01-13 12:46:24.756000+00:00;1c0Hn0SAZ47buUj0;scroll;66.0
16;2022-01-13 12:46:24.763000+00:00;1c0Hn0SAZ47buUj0;scroll;75.0
17;2022-01-13 12:46:24.769000+00:00;1c0Hn0SAZ47buUj0;scroll;84.0
18;2022-01-13 12:46:24.776000+00:00;1c0Hn0SAZ47buUj0;scroll;94.0
19;2022-01-13 12:46:24.784000+00:00;1c0Hn0SAZ47buUj0;scroll;104.0
20;2022-01-13 12:46:24.791000+00:00;1c0Hn0SAZ47buUj0;scroll;114.0
21;2022-01-13 12:46:24.797000+00:00;1c0Hn0SAZ47buUj0;scroll;124.0
22;2022-01-13 12:46:24.804000+00:00;1c0Hn0SAZ47buUj0;scroll;134.0
23;2022-01-13 12:46:24.811000+00:00;1c0Hn0SAZ47buUj0;scroll;143.0
24;2022-01-13 12:46:24.818000+00:00;1c0Hn0SAZ47buUj0;scroll;152.0
25;2022-01-13 12:46:24.825000+00:00;1c0Hn0SAZ47buUj0;scroll;161.0
26;2022-01-13 12:46:24.832000+00:00;1c0Hn0SAZ47buUj0;scroll;168.0
27;2022-01-13 12:46:24.839000+00:00;1c0Hn0SAZ47buUj0;scroll;175.0
28;2022-01-13 12:46:24.846000+00:00;1c0Hn0SAZ47buUj0;scroll;181.0
29;2022-01-13 12:46:24.853000+00:00;1c0Hn0SAZ47buUj0;scroll;186.0
30;2022-01-13 12:46:24.860000+00:00;1c0Hn0SAZ47buUj0;scroll;191.0
31;2022-01-13 12:46:24.867000+00:00;1c0Hn0SAZ47buUj0;scroll;194.0
32;2022-01-13 12:46:24.874000+00:00;1c0Hn0SAZ47buUj0;scroll;197.0
33;2022-01-13 12:46:24.881000+00:00;1c0Hn0SAZ47buUj0;scroll;199.0
34;2022-01-13 12:46:24.887000+00:00;1c0Hn0SAZ47buUj0;scroll;200.0
35;2022-01-13 12:46:25.186000+00:00;1c0Hn0SAZ47buUj0;scroll;201.0
36;2022-01-13 12:46:25.193000+00:00;1c0Hn0SAZ47buUj0;scroll;202.0
37;2022-01-13 12:46:25.200000+00:00;1c0Hn0SAZ47buUj0;scroll;204.0
38;2022-01-13 12:46:25.207000+00:00;1c0Hn0SAZ47buUj0;scroll;206.0
39;2022-01-13 12:46:25.214000+00:00;1c0Hn0SAZ47buUj0;scroll;210.0
40;2022-01-13 12:46:25.222000+00:00;1c0Hn0SAZ47buUj0;scroll;215.0
41;2022-01-13 12:46:25.228000+00:00;1c0Hn0SAZ47buUj0;scroll;222.0
42;2022-01-13 12:46:25.235000+00:00;1c0Hn0SAZ47buUj0;scroll;231.0
43;2022-01-13 12:46:25.242000+00:00;1c0Hn0SAZ47buUj0;scroll;242.0
44;2022-01-13 12:46:25.249000+00:00;1c0Hn0SAZ47buUj0;scroll;255.0
45;2022-01-13 12:46:25.256000+00:00;1c0Hn0SAZ47buUj0;scroll;270.0
46;2022-01-13 12:46:25.263000+00:00;1c0Hn0SAZ47buUj0;scroll;287.0
47;2022-01-13 12:46:25.270000+00:00;1c0Hn0SAZ47buUj0;scroll;306.0
48;2022-01-13 12:46:25.277000+00:00;1c0Hn0SAZ47buUj0;scroll;326.0
49;2022-01-13 12:46:25.284000+00:00;1c0Hn0SAZ47buUj0;scroll;347.0
50;2022-01-13 12:46:25.291000+00:00;1c0Hn0SAZ47buUj0;scroll;369.0
51;2022-01-13 12:46:25.298000+00:00;1c0Hn0SAZ47buUj0;scroll;390.0
52;2022-01-13 12:46:25.305000+00:00;1c0Hn0SAZ47buUj0;scroll;409.0
53;2022-01-13 12:46:25.312000+00:00;1c0Hn0SAZ47buUj0;scroll;428.0
54;2022-01-13 12:46:25.319000+00:00;1c0Hn0SAZ47buUj0;scroll;445.0
55;2022-01-13 12:46:25.325000+00:00;1c0Hn0SAZ47buUj0;scroll;460.0
56;2022-01-13 12:46:25.333000+00:00;1c0Hn0SAZ47buUj0;scroll;472.0
57;2022-01-13 12:46:25.339000+00:00;1c0Hn0SAZ47buUj0;scroll;482.0
58;2022-01-13 12:46:25.346000+00:00;1c0Hn0SAZ47buUj0;scroll;490.0
59;2022-01-13 12:46:25.353000+00:00;1c0Hn0SAZ47buUj0;scroll;496.0
60;2022-01-13 12:46:25.360000+00:00;1c0Hn0SAZ47buUj0;scroll;499.0
61;2022-01-13 12:46:25.367000+00:00;1c0Hn0SAZ47buUj0;scroll;500.0
62;2022-01-13 12:46:25.811000+00:00;1c0Hn0SAZ47buUj0;scroll;501.0
63;2022-01-13 12:46:25.818000+00:00;1c0Hn0SAZ47buUj0;scroll;502.0
64;2022-01-13 12:46:25.825000+00:00;1c0Hn0SAZ47buUj0;scroll;504.0
65;2022-01-13 12:46:25.832000+00:00;1c0Hn0SAZ47buUj0;scroll;506.0
66;2022-01-13 12:46:25.839000+00:00;1c0Hn0SAZ47buUj0;scroll;509.0
67;2022-01-13 12:46:25.846000+00:00;1c0Hn0SAZ47buUj0;scroll;512.0
68;2022-01-13 12:46:25.853000+00:00;1c0Hn0SAZ47buUj0;scroll;516.0
