;time;token;event;position
0;2022-01-20 12:58:17.352000+00:00;3873EZINO4Wf15WH;scroll;0.0
1;2022-01-20 12:58:27.034000+00:00;3873EZINO4Wf15WH;scroll;14.399999618530273
2;2022-01-20 12:58:27.052000+00:00;3873EZINO4Wf15WH;scroll;63.20000076293945
3;2022-01-20 12:58:27.068000+00:00;3873EZINO4Wf15WH;scroll;111.19999694824219
4;2022-01-20 12:58:27.087000+00:00;3873EZINO4Wf15WH;scroll;200.8000030517578
5;2022-01-20 12:58:27.102000+00:00;3873EZINO4Wf15WH;scroll;285.6000061035156
6;2022-01-20 12:58:27.119000+00:00;3873EZINO4Wf15WH;scroll;343.20001220703125
7;2022-01-20 12:58:27.136000+00:00;3873EZINO4Wf15WH;scroll;423.20001220703125
8;2022-01-20 12:58:27.153000+00:00;3873EZINO4Wf15WH;scroll;464.0
9;2022-01-20 12:58:27.169000+00:00;3873EZINO4Wf15WH;scroll;529.5999755859375
10;2022-01-20 12:58:27.188000+00:00;3873EZINO4Wf15WH;scroll;575.2000122070312
11;2022-01-20 12:58:27.202000+00:00;3873EZINO4Wf15WH;scroll;600.0
12;2022-01-20 12:58:27.219000+00:00;3873EZINO4Wf15WH;scroll;621.5999755859375
13;2022-01-20 12:58:27.236000+00:00;3873EZINO4Wf15WH;scroll;645.5999755859375
14;2022-01-20 12:58:27.253000+00:00;3873EZINO4Wf15WH;scroll;667.2000122070312
15;2022-01-20 12:58:27.269000+00:00;3873EZINO4Wf15WH;scroll;679.2000122070312
16;2022-01-20 12:58:27.286000+00:00;3873EZINO4Wf15WH;scroll;694.4000244140625
17;2022-01-20 12:58:27.302000+00:00;3873EZINO4Wf15WH;scroll;706.4000244140625
18;2022-01-20 12:58:27.319000+00:00;3873EZINO4Wf15WH;scroll;713.5999755859375
19;2022-01-20 12:58:27.335000+00:00;3873EZINO4Wf15WH;scroll;723.2000122070312
20;2022-01-20 12:58:27.351000+00:00;3873EZINO4Wf15WH;scroll;728.0
21;2022-01-20 12:58:27.369000+00:00;3873EZINO4Wf15WH;scroll;735.2000122070312
22;2022-01-20 12:58:27.386000+00:00;3873EZINO4Wf15WH;scroll;744.7999877929688
23;2022-01-20 12:58:27.404000+00:00;3873EZINO4Wf15WH;scroll;759.2000122070312
24;2022-01-20 12:58:27.419000+00:00;3873EZINO4Wf15WH;scroll;766.4000244140625
25;2022-01-20 12:58:27.436000+00:00;3873EZINO4Wf15WH;scroll;778.4000244140625
26;2022-01-20 12:58:27.452000+00:00;3873EZINO4Wf15WH;scroll;785.5999755859375
27;2022-01-20 12:58:27.468000+00:00;3873EZINO4Wf15WH;scroll;788.7999877929688
28;2022-01-20 12:58:27.503000+00:00;3873EZINO4Wf15WH;scroll;785.5999755859375
