;time;token;event;position
0;2022-01-13 12:44:39.231000+00:00;4RqXe6eLMq+uomLO;scroll;0
1;2022-01-13 12:45:20.846000+00:00;4RqXe6eLMq+uomLO;scroll;4
2;2022-01-13 12:45:20.869000+00:00;4RqXe6eLMq+uomLO;scroll;15
3;2022-01-13 12:45:20.880000+00:00;4RqXe6eLMq+uomLO;scroll;24
4;2022-01-13 12:45:20.897000+00:00;4RqXe6eLMq+uomLO;scroll;36
5;2022-01-13 12:45:20.913000+00:00;4RqXe6eLMq+uomLO;scroll;48
6;2022-01-13 12:45:20.929000+00:00;4RqXe6eLMq+uomLO;scroll;61
7;2022-01-13 12:45:20.946000+00:00;4RqXe6eLMq+uomLO;scroll;72
8;2022-01-13 12:45:20.963000+00:00;4RqXe6eLMq+uomLO;scroll;82
9;2022-01-13 12:45:20.980000+00:00;4RqXe6eLMq+uomLO;scroll;91
10;2022-01-13 12:45:20.996000+00:00;4RqXe6eLMq+uomLO;scroll;97
11;2022-01-13 12:45:21.013000+00:00;4RqXe6eLMq+uomLO;scroll;101
12;2022-01-13 12:45:21.030000+00:00;4RqXe6eLMq+uomLO;scroll;102
13;2022-01-13 12:45:58.828000+00:00;4RqXe6eLMq+uomLO;scroll;105
14;2022-01-13 12:45:58.846000+00:00;4RqXe6eLMq+uomLO;scroll;122
15;2022-01-13 12:45:58.862000+00:00;4RqXe6eLMq+uomLO;scroll;151
16;2022-01-13 12:45:58.879000+00:00;4RqXe6eLMq+uomLO;scroll;210
17;2022-01-13 12:45:58.895000+00:00;4RqXe6eLMq+uomLO;scroll;274
18;2022-01-13 12:45:58.912000+00:00;4RqXe6eLMq+uomLO;scroll;332
19;2022-01-13 12:45:58.929000+00:00;4RqXe6eLMq+uomLO;scroll;378
20;2022-01-13 12:45:58.945000+00:00;4RqXe6eLMq+uomLO;scroll;404
21;2022-01-13 12:45:58.962000+00:00;4RqXe6eLMq+uomLO;scroll;408
22;2022-01-13 12:46:16.884000+00:00;4RqXe6eLMq+uomLO;scroll;409
23;2022-01-13 12:46:16.895000+00:00;4RqXe6eLMq+uomLO;scroll;413
24;2022-01-13 12:46:16.912000+00:00;4RqXe6eLMq+uomLO;scroll;421
25;2022-01-13 12:46:16.928000+00:00;4RqXe6eLMq+uomLO;scroll;444
26;2022-01-13 12:46:16.945000+00:00;4RqXe6eLMq+uomLO;scroll;472
27;2022-01-13 12:46:16.962000+00:00;4RqXe6eLMq+uomLO;scroll;528
28;2022-01-13 12:46:16.979000+00:00;4RqXe6eLMq+uomLO;scroll;584
29;2022-01-13 12:46:16.995000+00:00;4RqXe6eLMq+uomLO;scroll;634
30;2022-01-13 12:46:17.012000+00:00;4RqXe6eLMq+uomLO;scroll;675
31;2022-01-13 12:46:17.028000+00:00;4RqXe6eLMq+uomLO;scroll;703
32;2022-01-13 12:46:17.045000+00:00;4RqXe6eLMq+uomLO;scroll;714
33;2022-01-13 12:46:30.278000+00:00;4RqXe6eLMq+uomLO;scroll;716
34;2022-01-13 12:46:30.294000+00:00;4RqXe6eLMq+uomLO;scroll;723
35;2022-01-13 12:46:30.311000+00:00;4RqXe6eLMq+uomLO;scroll;733
36;2022-01-13 12:46:30.328000+00:00;4RqXe6eLMq+uomLO;scroll;745
37;2022-01-13 12:46:30.344000+00:00;4RqXe6eLMq+uomLO;scroll;762
38;2022-01-13 12:46:30.362000+00:00;4RqXe6eLMq+uomLO;scroll;785
39;2022-01-13 12:46:30.378000+00:00;4RqXe6eLMq+uomLO;scroll;808
40;2022-01-13 12:46:30.395000+00:00;4RqXe6eLMq+uomLO;scroll;831
41;2022-01-13 12:46:30.411000+00:00;4RqXe6eLMq+uomLO;scroll;853
42;2022-01-13 12:46:30.428000+00:00;4RqXe6eLMq+uomLO;scroll;873
43;2022-01-13 12:46:30.444000+00:00;4RqXe6eLMq+uomLO;scroll;890
44;2022-01-13 12:46:30.461000+00:00;4RqXe6eLMq+uomLO;scroll;903
45;2022-01-13 12:46:30.479000+00:00;4RqXe6eLMq+uomLO;scroll;913
46;2022-01-13 12:46:30.494000+00:00;4RqXe6eLMq+uomLO;scroll;917
47;2022-01-13 12:46:30.511000+00:00;4RqXe6eLMq+uomLO;scroll;918
48;2022-01-13 12:47:01.461000+00:00;4RqXe6eLMq+uomLO;scroll;911
49;2022-01-13 12:47:01.477000+00:00;4RqXe6eLMq+uomLO;scroll;879
50;2022-01-13 12:47:01.493000+00:00;4RqXe6eLMq+uomLO;scroll;807
51;2022-01-13 12:47:01.510000+00:00;4RqXe6eLMq+uomLO;scroll;728
52;2022-01-13 12:47:01.527000+00:00;4RqXe6eLMq+uomLO;scroll;646
53;2022-01-13 12:47:01.544000+00:00;4RqXe6eLMq+uomLO;scroll;566
54;2022-01-13 12:47:01.560000+00:00;4RqXe6eLMq+uomLO;scroll;516
55;2022-01-13 12:47:01.576000+00:00;4RqXe6eLMq+uomLO;scroll;510
56;2022-01-13 12:47:01.727000+00:00;4RqXe6eLMq+uomLO;scroll;509
57;2022-01-13 12:47:01.744000+00:00;4RqXe6eLMq+uomLO;scroll;500
58;2022-01-13 12:47:01.760000+00:00;4RqXe6eLMq+uomLO;scroll;475
59;2022-01-13 12:47:01.777000+00:00;4RqXe6eLMq+uomLO;scroll;434
60;2022-01-13 12:47:01.794000+00:00;4RqXe6eLMq+uomLO;scroll;372
61;2022-01-13 12:47:01.811000+00:00;4RqXe6eLMq+uomLO;scroll;311
62;2022-01-13 12:47:01.827000+00:00;4RqXe6eLMq+uomLO;scroll;259
63;2022-01-13 12:47:01.844000+00:00;4RqXe6eLMq+uomLO;scroll;222
64;2022-01-13 12:47:01.860000+00:00;4RqXe6eLMq+uomLO;scroll;205
65;2022-01-13 12:47:01.877000+00:00;4RqXe6eLMq+uomLO;scroll;204
66;2022-01-13 12:47:02.077000+00:00;4RqXe6eLMq+uomLO;scroll;202
67;2022-01-13 12:47:02.094000+00:00;4RqXe6eLMq+uomLO;scroll;194
