;time;token;event;position
0;2022-01-13 12:43:30.746000+00:00;5TvQCOwFyJkBKnis;scroll;0
1;2022-01-13 12:44:03.823000+00:00;5TvQCOwFyJkBKnis;scroll;1
2;2022-01-13 12:44:03.838000+00:00;5TvQCOwFyJkBKnis;scroll;6
3;2022-01-13 12:44:03.854000+00:00;5TvQCOwFyJkBKnis;scroll;13
4;2022-01-13 12:44:03.871000+00:00;5TvQCOwFyJkBKnis;scroll;24
5;2022-01-13 12:44:03.887000+00:00;5TvQCOwFyJkBKnis;scroll;36
6;2022-01-13 12:44:03.904000+00:00;5TvQCOwFyJkBKnis;scroll;51
7;2022-01-13 12:44:03.921000+00:00;5TvQCOwFyJkBKnis;scroll;65
8;2022-01-13 12:44:03.938000+00:00;5TvQCOwFyJkBKnis;scroll;78
9;2022-01-13 12:44:03.955000+00:00;5TvQCOwFyJkBKnis;scroll;88
10;2022-01-13 12:44:03.971000+00:00;5TvQCOwFyJkBKnis;scroll;95
11;2022-01-13 12:44:03.988000+00:00;5TvQCOwFyJkBKnis;scroll;99
12;2022-01-13 12:44:04.005000+00:00;5TvQCOwFyJkBKnis;scroll;100
13;2022-01-13 12:44:27.659000+00:00;5TvQCOwFyJkBKnis;scroll;101
14;2022-01-13 12:44:27.675000+00:00;5TvQCOwFyJkBKnis;scroll;106
15;2022-01-13 12:44:27.692000+00:00;5TvQCOwFyJkBKnis;scroll;114
16;2022-01-13 12:44:27.709000+00:00;5TvQCOwFyJkBKnis;scroll;124
17;2022-01-13 12:44:27.726000+00:00;5TvQCOwFyJkBKnis;scroll;137
18;2022-01-13 12:44:27.742000+00:00;5TvQCOwFyJkBKnis;scroll;152
19;2022-01-13 12:44:27.759000+00:00;5TvQCOwFyJkBKnis;scroll;166
20;2022-01-13 12:44:27.776000+00:00;5TvQCOwFyJkBKnis;scroll;178
21;2022-01-13 12:44:27.792000+00:00;5TvQCOwFyJkBKnis;scroll;188
22;2022-01-13 12:44:27.808000+00:00;5TvQCOwFyJkBKnis;scroll;195
23;2022-01-13 12:44:27.825000+00:00;5TvQCOwFyJkBKnis;scroll;199
24;2022-01-13 12:44:27.842000+00:00;5TvQCOwFyJkBKnis;scroll;200
25;2022-01-13 12:44:28.516000+00:00;5TvQCOwFyJkBKnis;scroll;201
26;2022-01-13 12:44:28.527000+00:00;5TvQCOwFyJkBKnis;scroll;206
27;2022-01-13 12:44:28.543000+00:00;5TvQCOwFyJkBKnis;scroll;213
28;2022-01-13 12:44:28.560000+00:00;5TvQCOwFyJkBKnis;scroll;224
29;2022-01-13 12:44:28.577000+00:00;5TvQCOwFyJkBKnis;scroll;237
30;2022-01-13 12:44:28.594000+00:00;5TvQCOwFyJkBKnis;scroll;251
31;2022-01-13 12:44:28.611000+00:00;5TvQCOwFyJkBKnis;scroll;265
32;2022-01-13 12:44:28.627000+00:00;5TvQCOwFyJkBKnis;scroll;278
33;2022-01-13 12:44:28.644000+00:00;5TvQCOwFyJkBKnis;scroll;288
34;2022-01-13 12:44:28.661000+00:00;5TvQCOwFyJkBKnis;scroll;295
35;2022-01-13 12:44:28.677000+00:00;5TvQCOwFyJkBKnis;scroll;299
36;2022-01-13 12:44:28.694000+00:00;5TvQCOwFyJkBKnis;scroll;300
37;2022-01-13 12:44:41.330000+00:00;5TvQCOwFyJkBKnis;scroll;301
38;2022-01-13 12:44:41.339000+00:00;5TvQCOwFyJkBKnis;scroll;306
39;2022-01-13 12:44:41.356000+00:00;5TvQCOwFyJkBKnis;scroll;313
40;2022-01-13 12:44:41.373000+00:00;5TvQCOwFyJkBKnis;scroll;324
41;2022-01-13 12:44:41.390000+00:00;5TvQCOwFyJkBKnis;scroll;339
42;2022-01-13 12:44:41.406000+00:00;5TvQCOwFyJkBKnis;scroll;358
43;2022-01-13 12:44:41.423000+00:00;5TvQCOwFyJkBKnis;scroll;380
44;2022-01-13 12:44:41.440000+00:00;5TvQCOwFyJkBKnis;scroll;406
45;2022-01-13 12:44:41.457000+00:00;5TvQCOwFyJkBKnis;scroll;431
46;2022-01-13 12:44:41.473000+00:00;5TvQCOwFyJkBKnis;scroll;455
47;2022-01-13 12:44:41.490000+00:00;5TvQCOwFyJkBKnis;scroll;474
48;2022-01-13 12:44:41.506000+00:00;5TvQCOwFyJkBKnis;scroll;488
49;2022-01-13 12:44:41.523000+00:00;5TvQCOwFyJkBKnis;scroll;497
50;2022-01-13 12:44:41.540000+00:00;5TvQCOwFyJkBKnis;scroll;500
51;2022-01-13 12:44:41.874000+00:00;5TvQCOwFyJkBKnis;scroll;501
52;2022-01-13 12:44:41.891000+00:00;5TvQCOwFyJkBKnis;scroll;506
53;2022-01-13 12:44:41.908000+00:00;5TvQCOwFyJkBKnis;scroll;513
54;2022-01-13 12:44:41.924000+00:00;5TvQCOwFyJkBKnis;scroll;524
55;2022-01-13 12:44:41.941000+00:00;5TvQCOwFyJkBKnis;scroll;537
56;2022-01-13 12:44:41.958000+00:00;5TvQCOwFyJkBKnis;scroll;553
57;2022-01-13 12:44:41.974000+00:00;5TvQCOwFyJkBKnis;scroll;573
58;2022-01-13 12:44:41.991000+00:00;5TvQCOwFyJkBKnis;scroll;595
59;2022-01-13 12:44:42.008000+00:00;5TvQCOwFyJkBKnis;scroll;619
60;2022-01-13 12:44:42.024000+00:00;5TvQCOwFyJkBKnis;scroll;642
61;2022-01-13 12:44:42.041000+00:00;5TvQCOwFyJkBKnis;scroll;663
62;2022-01-13 12:44:42.058000+00:00;5TvQCOwFyJkBKnis;scroll;679
63;2022-01-13 12:44:42.075000+00:00;5TvQCOwFyJkBKnis;scroll;691
64;2022-01-13 12:44:42.091000+00:00;5TvQCOwFyJkBKnis;scroll;698
65;2022-01-13 12:44:42.108000+00:00;5TvQCOwFyJkBKnis;scroll;700
66;2022-01-13 12:44:55.192000+00:00;5TvQCOwFyJkBKnis;scroll;701
67;2022-01-13 12:44:55.205000+00:00;5TvQCOwFyJkBKnis;scroll;707
68;2022-01-13 12:44:55.221000+00:00;5TvQCOwFyJkBKnis;scroll;715
69;2022-01-13 12:44:55.238000+00:00;5TvQCOwFyJkBKnis;scroll;726
70;2022-01-13 12:44:55.254000+00:00;5TvQCOwFyJkBKnis;scroll;739
71;2022-01-13 12:44:55.271000+00:00;5TvQCOwFyJkBKnis;scroll;753
72;2022-01-13 12:44:55.288000+00:00;5TvQCOwFyJkBKnis;scroll;767
73;2022-01-13 12:44:55.305000+00:00;5TvQCOwFyJkBKnis;scroll;780
74;2022-01-13 12:44:55.321000+00:00;5TvQCOwFyJkBKnis;scroll;789
75;2022-01-13 12:44:55.338000+00:00;5TvQCOwFyJkBKnis;scroll;796
76;2022-01-13 12:44:55.355000+00:00;5TvQCOwFyJkBKnis;scroll;799
77;2022-01-13 12:44:55.372000+00:00;5TvQCOwFyJkBKnis;scroll;800
78;2022-01-13 12:44:55.822000+00:00;5TvQCOwFyJkBKnis;scroll;801
79;2022-01-13 12:44:55.839000+00:00;5TvQCOwFyJkBKnis;scroll;806
80;2022-01-13 12:44:55.856000+00:00;5TvQCOwFyJkBKnis;scroll;813
81;2022-01-13 12:44:55.873000+00:00;5TvQCOwFyJkBKnis;scroll;823
82;2022-01-13 12:44:55.890000+00:00;5TvQCOwFyJkBKnis;scroll;836
83;2022-01-13 12:44:55.906000+00:00;5TvQCOwFyJkBKnis;scroll;850
84;2022-01-13 12:44:55.923000+00:00;5TvQCOwFyJkBKnis;scroll;864
85;2022-01-13 12:44:55.940000+00:00;5TvQCOwFyJkBKnis;scroll;877
86;2022-01-13 12:44:55.956000+00:00;5TvQCOwFyJkBKnis;scroll;887
87;2022-01-13 12:44:55.973000+00:00;5TvQCOwFyJkBKnis;scroll;894
88;2022-01-13 12:44:55.990000+00:00;5TvQCOwFyJkBKnis;scroll;898
89;2022-01-13 12:44:56.006000+00:00;5TvQCOwFyJkBKnis;scroll;899
90;2022-01-13 12:45:39.980000+00:00;5TvQCOwFyJkBKnis;scroll;898
91;2022-01-13 12:45:39.990000+00:00;5TvQCOwFyJkBKnis;scroll;893
92;2022-01-13 12:45:40.007000+00:00;5TvQCOwFyJkBKnis;scroll;885
93;2022-01-13 12:45:40.024000+00:00;5TvQCOwFyJkBKnis;scroll;871
94;2022-01-13 12:45:40.040000+00:00;5TvQCOwFyJkBKnis;scroll;839
95;2022-01-13 12:45:40.057000+00:00;5TvQCOwFyJkBKnis;scroll;777
96;2022-01-13 12:45:40.074000+00:00;5TvQCOwFyJkBKnis;scroll;687
97;2022-01-13 12:45:40.091000+00:00;5TvQCOwFyJkBKnis;scroll;582
98;2022-01-13 12:45:40.107000+00:00;5TvQCOwFyJkBKnis;scroll;490
99;2022-01-13 12:45:40.124000+00:00;5TvQCOwFyJkBKnis;scroll;412
100;2022-01-13 12:45:40.141000+00:00;5TvQCOwFyJkBKnis;scroll;355
101;2022-01-13 12:45:40.157000+00:00;5TvQCOwFyJkBKnis;scroll;321
102;2022-01-13 12:45:40.174000+00:00;5TvQCOwFyJkBKnis;scroll;305
103;2022-01-13 12:45:40.191000+00:00;5TvQCOwFyJkBKnis;scroll;300
104;2022-01-13 12:45:40.207000+00:00;5TvQCOwFyJkBKnis;scroll;299
105;2022-01-13 12:45:40.403000+00:00;5TvQCOwFyJkBKnis;scroll;298
106;2022-01-13 12:45:40.407000+00:00;5TvQCOwFyJkBKnis;scroll;293
107;2022-01-13 12:45:40.424000+00:00;5TvQCOwFyJkBKnis;scroll;286
108;2022-01-13 12:45:40.441000+00:00;5TvQCOwFyJkBKnis;scroll;271
109;2022-01-13 12:45:40.458000+00:00;5TvQCOwFyJkBKnis;scroll;246
110;2022-01-13 12:45:40.475000+00:00;5TvQCOwFyJkBKnis;scroll;209
111;2022-01-13 12:45:40.491000+00:00;5TvQCOwFyJkBKnis;scroll;164
112;2022-01-13 12:45:40.508000+00:00;5TvQCOwFyJkBKnis;scroll;114
113;2022-01-13 12:45:40.525000+00:00;5TvQCOwFyJkBKnis;scroll;69
114;2022-01-13 12:45:40.542000+00:00;5TvQCOwFyJkBKnis;scroll;33
