;time;token;event;position
0;2022-01-20 12:53:04.050000+00:00;604OCjtkvTGI9lHv;scroll;0
1;2022-01-20 12:53:33.817000+00:00;604OCjtkvTGI9lHv;scroll;6
2;2022-01-20 12:53:33.850000+00:00;604OCjtkvTGI9lHv;scroll;16
3;2022-01-20 12:53:33.867000+00:00;604OCjtkvTGI9lHv;scroll;42
4;2022-01-20 12:53:33.884000+00:00;604OCjtkvTGI9lHv;scroll;71
5;2022-01-20 12:53:33.900000+00:00;604OCjtkvTGI9lHv;scroll;101
6;2022-01-20 12:53:33.917000+00:00;604OCjtkvTGI9lHv;scroll;136
7;2022-01-20 12:53:33.933000+00:00;604OCjtkvTGI9lHv;scroll;173
8;2022-01-20 12:53:33.949000+00:00;604OCjtkvTGI9lHv;scroll;209
9;2022-01-20 12:53:33.967000+00:00;604OCjtkvTGI9lHv;scroll;257
10;2022-01-20 12:53:33.984000+00:00;604OCjtkvTGI9lHv;scroll;329
11;2022-01-20 12:53:34+00:00;604OCjtkvTGI9lHv;scroll;401
12;2022-01-20 12:53:34.017000+00:00;604OCjtkvTGI9lHv;scroll;491
13;2022-01-20 12:53:34.033000+00:00;604OCjtkvTGI9lHv;scroll;567
14;2022-01-20 12:53:34.049000+00:00;604OCjtkvTGI9lHv;scroll;643
15;2022-01-20 12:53:34.067000+00:00;604OCjtkvTGI9lHv;scroll;740
16;2022-01-20 12:53:34.083000+00:00;604OCjtkvTGI9lHv;scroll;801
17;2022-01-20 12:53:34.100000+00:00;604OCjtkvTGI9lHv;scroll;816
18;2022-01-20 12:53:34.395000+00:00;604OCjtkvTGI9lHv;scroll;817
19;2022-01-20 12:53:34.416000+00:00;604OCjtkvTGI9lHv;scroll;818
20;2022-01-20 12:53:34.433000+00:00;604OCjtkvTGI9lHv;scroll;825
21;2022-01-20 12:53:34.450000+00:00;604OCjtkvTGI9lHv;scroll;842
22;2022-01-20 12:53:34.467000+00:00;604OCjtkvTGI9lHv;scroll;892
23;2022-01-20 12:53:34.483000+00:00;604OCjtkvTGI9lHv;scroll;1039
24;2022-01-20 12:53:34.500000+00:00;604OCjtkvTGI9lHv;scroll;1189
25;2022-01-20 12:53:34.516000+00:00;604OCjtkvTGI9lHv;scroll;1291
26;2022-01-20 12:53:34.533000+00:00;604OCjtkvTGI9lHv;scroll;1366
27;2022-01-20 12:53:34.550000+00:00;604OCjtkvTGI9lHv;scroll;1415
28;2022-01-20 12:53:34.567000+00:00;604OCjtkvTGI9lHv;scroll;1428
29;2022-01-20 12:53:35.199000+00:00;604OCjtkvTGI9lHv;scroll;1431
30;2022-01-20 12:53:35.233000+00:00;604OCjtkvTGI9lHv;scroll;1449
31;2022-01-20 12:53:35.249000+00:00;604OCjtkvTGI9lHv;scroll;1609
32;2022-01-20 12:53:35.267000+00:00;604OCjtkvTGI9lHv;scroll;1928
33;2022-01-20 12:53:35.284000+00:00;604OCjtkvTGI9lHv;scroll;2163
34;2022-01-20 12:53:35.300000+00:00;604OCjtkvTGI9lHv;scroll;2314
