;time;token;event;position
0;2022-01-13 12:43:56.987000+00:00;77riuS0ykHsUPBjE;scroll;0
1;2022-01-13 12:43:57.003000+00:00;77riuS0ykHsUPBjE;scroll;73
2;2022-01-13 12:43:58.034000+00:00;77riuS0ykHsUPBjE;scroll;38
3;2022-01-13 12:43:58.054000+00:00;77riuS0ykHsUPBjE;scroll;33
4;2022-01-13 12:43:58.070000+00:00;77riuS0ykHsUPBjE;scroll;28
5;2022-01-13 12:43:58.087000+00:00;77riuS0ykHsUPBjE;scroll;22
6;2022-01-13 12:43:58.103000+00:00;77riuS0ykHsUPBjE;scroll;17
7;2022-01-13 12:43:58.120000+00:00;77riuS0ykHsUPBjE;scroll;13
8;2022-01-13 12:43:58.137000+00:00;77riuS0ykHsUPBjE;scroll;10
9;2022-01-13 12:43:58.153000+00:00;77riuS0ykHsUPBjE;scroll;8
10;2022-01-13 12:43:58.170000+00:00;77riuS0ykHsUPBjE;scroll;5
11;2022-01-13 12:43:58.187000+00:00;77riuS0ykHsUPBjE;scroll;2
12;2022-01-13 12:43:58.204000+00:00;77riuS0ykHsUPBjE;scroll;0
13;2022-01-13 12:44:27.315000+00:00;77riuS0ykHsUPBjE;scroll;7
14;2022-01-13 12:44:27.331000+00:00;77riuS0ykHsUPBjE;scroll;5
15;2022-01-13 12:44:27.345000+00:00;77riuS0ykHsUPBjE;scroll;21
16;2022-01-13 12:44:27.362000+00:00;77riuS0ykHsUPBjE;scroll;38
17;2022-01-13 12:44:27.378000+00:00;77riuS0ykHsUPBjE;scroll;52
18;2022-01-13 12:44:27.395000+00:00;77riuS0ykHsUPBjE;scroll;65
19;2022-01-13 12:44:27.412000+00:00;77riuS0ykHsUPBjE;scroll;78
20;2022-01-13 12:44:27.429000+00:00;77riuS0ykHsUPBjE;scroll;86
21;2022-01-13 12:44:27.439000+00:00;77riuS0ykHsUPBjE;scroll;95
22;2022-01-13 12:44:27.455000+00:00;77riuS0ykHsUPBjE;scroll;107
23;2022-01-13 12:44:27.472000+00:00;77riuS0ykHsUPBjE;scroll;117
24;2022-01-13 12:44:27.488000+00:00;77riuS0ykHsUPBjE;scroll;125
25;2022-01-13 12:44:27.505000+00:00;77riuS0ykHsUPBjE;scroll;131
26;2022-01-13 12:44:27.522000+00:00;77riuS0ykHsUPBjE;scroll;135
27;2022-01-13 12:44:27.539000+00:00;77riuS0ykHsUPBjE;scroll;137
28;2022-01-13 12:44:27.555000+00:00;77riuS0ykHsUPBjE;scroll;138
29;2022-01-13 12:44:27.572000+00:00;77riuS0ykHsUPBjE;scroll;139
30;2022-01-13 12:44:38.326000+00:00;77riuS0ykHsUPBjE;scroll;165
31;2022-01-13 12:44:38.344000+00:00;77riuS0ykHsUPBjE;scroll;193
32;2022-01-13 12:44:38.372000+00:00;77riuS0ykHsUPBjE;scroll;226
33;2022-01-13 12:44:38.389000+00:00;77riuS0ykHsUPBjE;scroll;258
34;2022-01-13 12:44:38.406000+00:00;77riuS0ykHsUPBjE;scroll;286
35;2022-01-13 12:44:38.422000+00:00;77riuS0ykHsUPBjE;scroll;309
36;2022-01-13 12:44:38.439000+00:00;77riuS0ykHsUPBjE;scroll;327
37;2022-01-13 12:44:38.457000+00:00;77riuS0ykHsUPBjE;scroll;342
