;time;token;event;position
0;2022-01-13 12:43:54+00:00;83fxMv7kSQpv8n9E;scroll;0
1;2022-01-13 12:44:04.115000+00:00;83fxMv7kSQpv8n9E;scroll;1
2;2022-01-13 12:44:04.147000+00:00;83fxMv7kSQpv8n9E;scroll;4
3;2022-01-13 12:44:04.164000+00:00;83fxMv7kSQpv8n9E;scroll;11
4;2022-01-13 12:44:04.180000+00:00;83fxMv7kSQpv8n9E;scroll;18
5;2022-01-13 12:44:04.197000+00:00;83fxMv7kSQpv8n9E;scroll;29
6;2022-01-13 12:44:04.213000+00:00;83fxMv7kSQpv8n9E;scroll;42
7;2022-01-13 12:44:04.229000+00:00;83fxMv7kSQpv8n9E;scroll;59
8;2022-01-13 12:44:04.247000+00:00;83fxMv7kSQpv8n9E;scroll;81
9;2022-01-13 12:44:04.264000+00:00;83fxMv7kSQpv8n9E;scroll;108
10;2022-01-13 12:44:04.280000+00:00;83fxMv7kSQpv8n9E;scroll;134
11;2022-01-13 12:44:04.297000+00:00;83fxMv7kSQpv8n9E;scroll;161
12;2022-01-13 12:44:04.314000+00:00;83fxMv7kSQpv8n9E;scroll;193
13;2022-01-13 12:44:04.330000+00:00;83fxMv7kSQpv8n9E;scroll;228
14;2022-01-13 12:44:04.347000+00:00;83fxMv7kSQpv8n9E;scroll;257
15;2022-01-13 12:44:04.363000+00:00;83fxMv7kSQpv8n9E;scroll;281
16;2022-01-13 12:44:04.381000+00:00;83fxMv7kSQpv8n9E;scroll;302
17;2022-01-13 12:44:04.397000+00:00;83fxMv7kSQpv8n9E;scroll;318
18;2022-01-13 12:44:04.414000+00:00;83fxMv7kSQpv8n9E;scroll;327
19;2022-01-13 12:44:04.430000+00:00;83fxMv7kSQpv8n9E;scroll;334
20;2022-01-13 12:44:04.446000+00:00;83fxMv7kSQpv8n9E;scroll;339
21;2022-01-13 12:44:04.463000+00:00;83fxMv7kSQpv8n9E;scroll;344
22;2022-01-13 12:44:04.479000+00:00;83fxMv7kSQpv8n9E;scroll;348
23;2022-01-13 12:44:04.496000+00:00;83fxMv7kSQpv8n9E;scroll;352
24;2022-01-13 12:44:04.513000+00:00;83fxMv7kSQpv8n9E;scroll;357
25;2022-01-13 12:44:04.530000+00:00;83fxMv7kSQpv8n9E;scroll;363
26;2022-01-13 12:44:04.547000+00:00;83fxMv7kSQpv8n9E;scroll;370
27;2022-01-13 12:44:04.563000+00:00;83fxMv7kSQpv8n9E;scroll;377
28;2022-01-13 12:44:04.580000+00:00;83fxMv7kSQpv8n9E;scroll;382
29;2022-01-13 12:44:04.596000+00:00;83fxMv7kSQpv8n9E;scroll;386
30;2022-01-13 12:44:04.614000+00:00;83fxMv7kSQpv8n9E;scroll;388
31;2022-01-13 12:44:04.631000+00:00;83fxMv7kSQpv8n9E;scroll;389
32;2022-01-13 12:44:04.647000+00:00;83fxMv7kSQpv8n9E;scroll;390
33;2022-01-13 12:44:04.663000+00:00;83fxMv7kSQpv8n9E;scroll;391
34;2022-01-13 12:44:04.697000+00:00;83fxMv7kSQpv8n9E;scroll;381
35;2022-01-13 12:44:04.730000+00:00;83fxMv7kSQpv8n9E;scroll;368
36;2022-01-13 12:44:04.746000+00:00;83fxMv7kSQpv8n9E;scroll;345
37;2022-01-13 12:44:04.763000+00:00;83fxMv7kSQpv8n9E;scroll;318
38;2022-01-13 12:44:04.780000+00:00;83fxMv7kSQpv8n9E;scroll;288
39;2022-01-13 12:44:04.796000+00:00;83fxMv7kSQpv8n9E;scroll;267
40;2022-01-13 12:44:04.813000+00:00;83fxMv7kSQpv8n9E;scroll;242
41;2022-01-13 12:44:04.830000+00:00;83fxMv7kSQpv8n9E;scroll;219
42;2022-01-13 12:44:04.846000+00:00;83fxMv7kSQpv8n9E;scroll;193
43;2022-01-13 12:44:04.863000+00:00;83fxMv7kSQpv8n9E;scroll;173
44;2022-01-13 12:44:04.880000+00:00;83fxMv7kSQpv8n9E;scroll;159
45;2022-01-13 12:44:04.897000+00:00;83fxMv7kSQpv8n9E;scroll;149
46;2022-01-13 12:44:04.913000+00:00;83fxMv7kSQpv8n9E;scroll;140
47;2022-01-13 12:44:04.931000+00:00;83fxMv7kSQpv8n9E;scroll;134
48;2022-01-13 12:44:04.947000+00:00;83fxMv7kSQpv8n9E;scroll;130
49;2022-01-13 12:44:04.964000+00:00;83fxMv7kSQpv8n9E;scroll;127
50;2022-01-13 12:44:04.979000+00:00;83fxMv7kSQpv8n9E;scroll;125
51;2022-01-13 12:44:04.997000+00:00;83fxMv7kSQpv8n9E;scroll;124
52;2022-01-13 12:44:05.014000+00:00;83fxMv7kSQpv8n9E;scroll;123
53;2022-01-13 12:44:05.114000+00:00;83fxMv7kSQpv8n9E;scroll;122
54;2022-01-13 12:44:05.129000+00:00;83fxMv7kSQpv8n9E;scroll;120
55;2022-01-13 12:44:05.147000+00:00;83fxMv7kSQpv8n9E;scroll;115
56;2022-01-13 12:44:05.163000+00:00;83fxMv7kSQpv8n9E;scroll;109
57;2022-01-13 12:44:05.179000+00:00;83fxMv7kSQpv8n9E;scroll;98
58;2022-01-13 12:44:05.196000+00:00;83fxMv7kSQpv8n9E;scroll;80
59;2022-01-13 12:44:05.213000+00:00;83fxMv7kSQpv8n9E;scroll;58
60;2022-01-13 12:44:05.229000+00:00;83fxMv7kSQpv8n9E;scroll;38
61;2022-01-13 12:44:05.247000+00:00;83fxMv7kSQpv8n9E;scroll;22
62;2022-01-13 12:44:05.262000+00:00;83fxMv7kSQpv8n9E;scroll;8
63;2022-01-13 12:44:05.279000+00:00;83fxMv7kSQpv8n9E;scroll;0
64;2022-01-13 12:44:28.917000+00:00;83fxMv7kSQpv8n9E;scroll;1
65;2022-01-13 12:44:28.947000+00:00;83fxMv7kSQpv8n9E;scroll;3
66;2022-01-13 12:44:28.963000+00:00;83fxMv7kSQpv8n9E;scroll;6
67;2022-01-13 12:44:28.980000+00:00;83fxMv7kSQpv8n9E;scroll;10
68;2022-01-13 12:44:28.998000+00:00;83fxMv7kSQpv8n9E;scroll;14
69;2022-01-13 12:44:29.013000+00:00;83fxMv7kSQpv8n9E;scroll;18
70;2022-01-13 12:44:29.031000+00:00;83fxMv7kSQpv8n9E;scroll;21
71;2022-01-13 12:44:29.046000+00:00;83fxMv7kSQpv8n9E;scroll;24
72;2022-01-13 12:44:29.064000+00:00;83fxMv7kSQpv8n9E;scroll;26
73;2022-01-13 12:44:29.081000+00:00;83fxMv7kSQpv8n9E;scroll;28
74;2022-01-13 12:44:29.097000+00:00;83fxMv7kSQpv8n9E;scroll;30
75;2022-01-13 12:44:29.114000+00:00;83fxMv7kSQpv8n9E;scroll;31
76;2022-01-13 12:44:29.131000+00:00;83fxMv7kSQpv8n9E;scroll;32
77;2022-01-13 12:44:29.147000+00:00;83fxMv7kSQpv8n9E;scroll;33
78;2022-01-13 12:44:29.163000+00:00;83fxMv7kSQpv8n9E;scroll;34
79;2022-01-13 12:44:29.181000+00:00;83fxMv7kSQpv8n9E;scroll;35
80;2022-01-13 12:44:29.197000+00:00;83fxMv7kSQpv8n9E;scroll;36
81;2022-01-13 12:44:29.214000+00:00;83fxMv7kSQpv8n9E;scroll;37
82;2022-01-13 12:44:29.231000+00:00;83fxMv7kSQpv8n9E;scroll;38
83;2022-01-13 12:44:29.247000+00:00;83fxMv7kSQpv8n9E;scroll;39
