;time;token;event;position
0;2022-01-13 12:43:34.925000+00:00;8PkU5v5h+0OEPrfm;scroll;0
1;2022-01-13 12:44:18.708000+00:00;8PkU5v5h+0OEPrfm;scroll;1
2;2022-01-13 12:44:18.723000+00:00;8PkU5v5h+0OEPrfm;scroll;6
3;2022-01-13 12:44:18.740000+00:00;8PkU5v5h+0OEPrfm;scroll;13
4;2022-01-13 12:44:18.756000+00:00;8PkU5v5h+0OEPrfm;scroll;23
5;2022-01-13 12:44:18.773000+00:00;8PkU5v5h+0OEPrfm;scroll;36
6;2022-01-13 12:44:18.790000+00:00;8PkU5v5h+0OEPrfm;scroll;50
7;2022-01-13 12:44:18.807000+00:00;8PkU5v5h+0OEPrfm;scroll;65
8;2022-01-13 12:44:18.823000+00:00;8PkU5v5h+0OEPrfm;scroll;77
9;2022-01-13 12:44:18.840000+00:00;8PkU5v5h+0OEPrfm;scroll;87
10;2022-01-13 12:44:18.856000+00:00;8PkU5v5h+0OEPrfm;scroll;95
11;2022-01-13 12:44:18.873000+00:00;8PkU5v5h+0OEPrfm;scroll;99
12;2022-01-13 12:44:18.890000+00:00;8PkU5v5h+0OEPrfm;scroll;100
13;2022-01-13 12:44:42.187000+00:00;8PkU5v5h+0OEPrfm;scroll;101
14;2022-01-13 12:44:42.189000+00:00;8PkU5v5h+0OEPrfm;scroll;106
15;2022-01-13 12:44:42.206000+00:00;8PkU5v5h+0OEPrfm;scroll;113
16;2022-01-13 12:44:42.222000+00:00;8PkU5v5h+0OEPrfm;scroll;123
17;2022-01-13 12:44:42.239000+00:00;8PkU5v5h+0OEPrfm;scroll;136
18;2022-01-13 12:44:42.256000+00:00;8PkU5v5h+0OEPrfm;scroll;150
19;2022-01-13 12:44:42.273000+00:00;8PkU5v5h+0OEPrfm;scroll;164
20;2022-01-13 12:44:42.289000+00:00;8PkU5v5h+0OEPrfm;scroll;177
21;2022-01-13 12:44:42.306000+00:00;8PkU5v5h+0OEPrfm;scroll;188
22;2022-01-13 12:44:42.322000+00:00;8PkU5v5h+0OEPrfm;scroll;199
23;2022-01-13 12:44:42.339000+00:00;8PkU5v5h+0OEPrfm;scroll;211
24;2022-01-13 12:44:42.356000+00:00;8PkU5v5h+0OEPrfm;scroll;224
25;2022-01-13 12:44:42.372000+00:00;8PkU5v5h+0OEPrfm;scroll;238
26;2022-01-13 12:44:42.389000+00:00;8PkU5v5h+0OEPrfm;scroll;252
27;2022-01-13 12:44:42.406000+00:00;8PkU5v5h+0OEPrfm;scroll;265
28;2022-01-13 12:44:42.422000+00:00;8PkU5v5h+0OEPrfm;scroll;277
29;2022-01-13 12:44:42.439000+00:00;8PkU5v5h+0OEPrfm;scroll;286
30;2022-01-13 12:44:42.456000+00:00;8PkU5v5h+0OEPrfm;scroll;293
31;2022-01-13 12:44:42.472000+00:00;8PkU5v5h+0OEPrfm;scroll;297
32;2022-01-13 12:44:42.489000+00:00;8PkU5v5h+0OEPrfm;scroll;300
33;2022-01-13 12:44:42.986000+00:00;8PkU5v5h+0OEPrfm;scroll;299
34;2022-01-13 12:44:42.989000+00:00;8PkU5v5h+0OEPrfm;scroll;294
35;2022-01-13 12:44:43.006000+00:00;8PkU5v5h+0OEPrfm;scroll;287
36;2022-01-13 12:44:43.023000+00:00;8PkU5v5h+0OEPrfm;scroll;277
37;2022-01-13 12:44:43.039000+00:00;8PkU5v5h+0OEPrfm;scroll;264
38;2022-01-13 12:44:43.056000+00:00;8PkU5v5h+0OEPrfm;scroll;250
39;2022-01-13 12:44:43.072000+00:00;8PkU5v5h+0OEPrfm;scroll;236
40;2022-01-13 12:44:43.089000+00:00;8PkU5v5h+0OEPrfm;scroll;223
41;2022-01-13 12:44:43.106000+00:00;8PkU5v5h+0OEPrfm;scroll;213
42;2022-01-13 12:44:43.122000+00:00;8PkU5v5h+0OEPrfm;scroll;205
43;2022-01-13 12:44:43.139000+00:00;8PkU5v5h+0OEPrfm;scroll;201
44;2022-01-13 12:44:43.156000+00:00;8PkU5v5h+0OEPrfm;scroll;200
45;2022-01-13 12:44:43.654000+00:00;8PkU5v5h+0OEPrfm;scroll;199
46;2022-01-13 12:44:43.656000+00:00;8PkU5v5h+0OEPrfm;scroll;194
47;2022-01-13 12:44:43.672000+00:00;8PkU5v5h+0OEPrfm;scroll;187
48;2022-01-13 12:44:43.689000+00:00;8PkU5v5h+0OEPrfm;scroll;177
49;2022-01-13 12:44:43.706000+00:00;8PkU5v5h+0OEPrfm;scroll;164
50;2022-01-13 12:44:43.722000+00:00;8PkU5v5h+0OEPrfm;scroll;150
51;2022-01-13 12:44:43.739000+00:00;8PkU5v5h+0OEPrfm;scroll;136
52;2022-01-13 12:44:43.756000+00:00;8PkU5v5h+0OEPrfm;scroll;123
53;2022-01-13 12:44:43.772000+00:00;8PkU5v5h+0OEPrfm;scroll;113
54;2022-01-13 12:44:43.789000+00:00;8PkU5v5h+0OEPrfm;scroll;105
55;2022-01-13 12:44:43.806000+00:00;8PkU5v5h+0OEPrfm;scroll;101
56;2022-01-13 12:44:43.822000+00:00;8PkU5v5h+0OEPrfm;scroll;100
57;2022-01-13 12:44:44.554000+00:00;8PkU5v5h+0OEPrfm;scroll;101
58;2022-01-13 12:44:44.555000+00:00;8PkU5v5h+0OEPrfm;scroll;106
59;2022-01-13 12:44:44.572000+00:00;8PkU5v5h+0OEPrfm;scroll;113
60;2022-01-13 12:44:44.589000+00:00;8PkU5v5h+0OEPrfm;scroll;123
61;2022-01-13 12:44:44.606000+00:00;8PkU5v5h+0OEPrfm;scroll;136
62;2022-01-13 12:44:44.622000+00:00;8PkU5v5h+0OEPrfm;scroll;150
63;2022-01-13 12:44:44.639000+00:00;8PkU5v5h+0OEPrfm;scroll;165
64;2022-01-13 12:44:44.656000+00:00;8PkU5v5h+0OEPrfm;scroll;177
65;2022-01-13 12:44:44.672000+00:00;8PkU5v5h+0OEPrfm;scroll;187
66;2022-01-13 12:44:44.689000+00:00;8PkU5v5h+0OEPrfm;scroll;195
67;2022-01-13 12:44:44.706000+00:00;8PkU5v5h+0OEPrfm;scroll;199
68;2022-01-13 12:44:44.722000+00:00;8PkU5v5h+0OEPrfm;scroll;200
69;2022-01-13 12:45:03.738000+00:00;8PkU5v5h+0OEPrfm;scroll;206
70;2022-01-13 12:45:03.738000+00:00;8PkU5v5h+0OEPrfm;scroll;201
71;2022-01-13 12:45:03.755000+00:00;8PkU5v5h+0OEPrfm;scroll;213
72;2022-01-13 12:45:03.772000+00:00;8PkU5v5h+0OEPrfm;scroll;223
73;2022-01-13 12:45:03.789000+00:00;8PkU5v5h+0OEPrfm;scroll;236
74;2022-01-13 12:45:03.805000+00:00;8PkU5v5h+0OEPrfm;scroll;250
75;2022-01-13 12:45:03.822000+00:00;8PkU5v5h+0OEPrfm;scroll;264
76;2022-01-13 12:45:03.838000+00:00;8PkU5v5h+0OEPrfm;scroll;277
77;2022-01-13 12:45:03.855000+00:00;8PkU5v5h+0OEPrfm;scroll;290
78;2022-01-13 12:45:03.872000+00:00;8PkU5v5h+0OEPrfm;scroll;304
79;2022-01-13 12:45:03.889000+00:00;8PkU5v5h+0OEPrfm;scroll;318
80;2022-01-13 12:45:03.905000+00:00;8PkU5v5h+0OEPrfm;scroll;334
81;2022-01-13 12:45:03.922000+00:00;8PkU5v5h+0OEPrfm;scroll;349
