;time;token;event;position
0;2022-01-20 13:36:12.671000+00:00;9SwnyFK7iNUdU6jG;scroll;0
1;2022-01-20 13:36:15.958000+00:00;9SwnyFK7iNUdU6jG;scroll;1
2;2022-01-20 13:36:15.989000+00:00;9SwnyFK7iNUdU6jG;scroll;18
3;2022-01-20 13:36:16.004000+00:00;9SwnyFK7iNUdU6jG;scroll;52
4;2022-01-20 13:36:16.021000+00:00;9SwnyFK7iNUdU6jG;scroll;320
5;2022-01-20 13:36:16.039000+00:00;9SwnyFK7iNUdU6jG;scroll;513
6;2022-01-20 13:36:16.072000+00:00;9SwnyFK7iNUdU6jG;scroll;705
7;2022-01-20 13:36:16.088000+00:00;9SwnyFK7iNUdU6jG;scroll;889
8;2022-01-20 13:36:16.105000+00:00;9SwnyFK7iNUdU6jG;scroll;1063
9;2022-01-20 13:36:16.121000+00:00;9SwnyFK7iNUdU6jG;scroll;1229
10;2022-01-20 13:36:16.137000+00:00;9SwnyFK7iNUdU6jG;scroll;1386
11;2022-01-20 13:36:16.154000+00:00;9SwnyFK7iNUdU6jG;scroll;1531
12;2022-01-20 13:36:16.171000+00:00;9SwnyFK7iNUdU6jG;scroll;1669
13;2022-01-20 13:36:16.188000+00:00;9SwnyFK7iNUdU6jG;scroll;1926
14;2022-01-20 13:36:16.221000+00:00;9SwnyFK7iNUdU6jG;scroll;2046
15;2022-01-20 13:36:16.239000+00:00;9SwnyFK7iNUdU6jG;scroll;2161
16;2022-01-20 13:36:16.255000+00:00;9SwnyFK7iNUdU6jG;scroll;2373
17;2022-01-20 13:36:16.288000+00:00;9SwnyFK7iNUdU6jG;scroll;2497
18;2022-01-20 13:36:17.322000+00:00;9SwnyFK7iNUdU6jG;scroll;0
19;2022-01-20 13:36:17.774000+00:00;9SwnyFK7iNUdU6jG;scroll;2
20;2022-01-20 13:36:17.806000+00:00;9SwnyFK7iNUdU6jG;scroll;18
21;2022-01-20 13:36:17.822000+00:00;9SwnyFK7iNUdU6jG;scroll;79
22;2022-01-20 13:36:17.838000+00:00;9SwnyFK7iNUdU6jG;scroll;190
23;2022-01-20 13:36:17.854000+00:00;9SwnyFK7iNUdU6jG;scroll;329
24;2022-01-20 13:36:17.872000+00:00;9SwnyFK7iNUdU6jG;scroll;508
25;2022-01-20 13:36:17.888000+00:00;9SwnyFK7iNUdU6jG;scroll;691
26;2022-01-20 13:36:17.906000+00:00;9SwnyFK7iNUdU6jG;scroll;868
27;2022-01-20 13:36:17.921000+00:00;9SwnyFK7iNUdU6jG;scroll;1036
28;2022-01-20 13:36:17.939000+00:00;9SwnyFK7iNUdU6jG;scroll;1195
29;2022-01-20 13:36:17.955000+00:00;9SwnyFK7iNUdU6jG;scroll;1346
30;2022-01-20 13:36:17.971000+00:00;9SwnyFK7iNUdU6jG;scroll;1486
31;2022-01-20 13:36:17.988000+00:00;9SwnyFK7iNUdU6jG;scroll;1620
32;2022-01-20 13:36:18.005000+00:00;9SwnyFK7iNUdU6jG;scroll;1749
33;2022-01-20 13:36:18.021000+00:00;9SwnyFK7iNUdU6jG;scroll;1871
34;2022-01-20 13:36:18.039000+00:00;9SwnyFK7iNUdU6jG;scroll;1988
35;2022-01-20 13:36:18.054000+00:00;9SwnyFK7iNUdU6jG;scroll;2099
36;2022-01-20 13:36:18.072000+00:00;9SwnyFK7iNUdU6jG;scroll;2204
37;2022-01-20 13:36:18.088000+00:00;9SwnyFK7iNUdU6jG;scroll;2303
38;2022-01-20 13:36:18.644000+00:00;9SwnyFK7iNUdU6jG;scroll;2305
39;2022-01-20 13:36:18.671000+00:00;9SwnyFK7iNUdU6jG;scroll;2315
40;2022-01-20 13:36:18.688000+00:00;9SwnyFK7iNUdU6jG;scroll;2340
41;2022-01-20 13:36:18.705000+00:00;9SwnyFK7iNUdU6jG;scroll;2382
42;2022-01-20 13:36:18.721000+00:00;9SwnyFK7iNUdU6jG;scroll;2451
43;2022-01-20 13:36:18.739000+00:00;9SwnyFK7iNUdU6jG;scroll;2497
44;2022-01-20 13:36:19.528000+00:00;9SwnyFK7iNUdU6jG;scroll;0
45;2022-01-20 13:36:19.907000+00:00;9SwnyFK7iNUdU6jG;scroll;1
46;2022-01-20 13:36:19.939000+00:00;9SwnyFK7iNUdU6jG;scroll;14
47;2022-01-20 13:36:19.956000+00:00;9SwnyFK7iNUdU6jG;scroll;83
48;2022-01-20 13:36:19.972000+00:00;9SwnyFK7iNUdU6jG;scroll;238
49;2022-01-20 13:36:19.989000+00:00;9SwnyFK7iNUdU6jG;scroll;464
50;2022-01-20 13:36:20.005000+00:00;9SwnyFK7iNUdU6jG;scroll;721
51;2022-01-20 13:36:20.021000+00:00;9SwnyFK7iNUdU6jG;scroll;965
