;time;token;event;position
0;2022-01-13 12:43:50.510000+00:00;9w8CexC3RBG3Q4oW;scroll;0
1;2022-01-13 12:44:15.569000+00:00;9w8CexC3RBG3Q4oW;scroll;1
2;2022-01-13 12:44:15.577000+00:00;9w8CexC3RBG3Q4oW;scroll;3
3;2022-01-13 12:44:15.585000+00:00;9w8CexC3RBG3Q4oW;scroll;6
4;2022-01-13 12:44:15.594000+00:00;9w8CexC3RBG3Q4oW;scroll;9
5;2022-01-13 12:44:15.602000+00:00;9w8CexC3RBG3Q4oW;scroll;13
6;2022-01-13 12:44:15.610000+00:00;9w8CexC3RBG3Q4oW;scroll;19
7;2022-01-13 12:44:15.619000+00:00;9w8CexC3RBG3Q4oW;scroll;26
8;2022-01-13 12:44:15.627000+00:00;9w8CexC3RBG3Q4oW;scroll;34
9;2022-01-13 12:44:15.635000+00:00;9w8CexC3RBG3Q4oW;scroll;43
10;2022-01-13 12:44:15.643000+00:00;9w8CexC3RBG3Q4oW;scroll;54
11;2022-01-13 12:44:15.652000+00:00;9w8CexC3RBG3Q4oW;scroll;67
12;2022-01-13 12:44:15.660000+00:00;9w8CexC3RBG3Q4oW;scroll;82
13;2022-01-13 12:44:15.668000+00:00;9w8CexC3RBG3Q4oW;scroll;98
14;2022-01-13 12:44:15.677000+00:00;9w8CexC3RBG3Q4oW;scroll;116
15;2022-01-13 12:44:15.685000+00:00;9w8CexC3RBG3Q4oW;scroll;135
16;2022-01-13 12:44:15.693000+00:00;9w8CexC3RBG3Q4oW;scroll;155
17;2022-01-13 12:44:15.702000+00:00;9w8CexC3RBG3Q4oW;scroll;175
18;2022-01-13 12:44:15.710000+00:00;9w8CexC3RBG3Q4oW;scroll;196
19;2022-01-13 12:44:15.718000+00:00;9w8CexC3RBG3Q4oW;scroll;217
20;2022-01-13 12:44:15.727000+00:00;9w8CexC3RBG3Q4oW;scroll;238
21;2022-01-13 12:44:15.735000+00:00;9w8CexC3RBG3Q4oW;scroll;259
