;time;token;event;position
0;2022-01-13 12:45:41.277000+00:00;AugH5l6cAYxeSC7q;scroll;0
1;2022-01-13 12:46:18.576000+00:00;AugH5l6cAYxeSC7q;scroll;1
2;2022-01-13 12:46:18.593000+00:00;AugH5l6cAYxeSC7q;scroll;6
3;2022-01-13 12:46:18.609000+00:00;AugH5l6cAYxeSC7q;scroll;29
4;2022-01-13 12:46:18.625000+00:00;AugH5l6cAYxeSC7q;scroll;88
5;2022-01-13 12:46:18.645000+00:00;AugH5l6cAYxeSC7q;scroll;137
6;2022-01-13 12:46:18.658000+00:00;AugH5l6cAYxeSC7q;scroll;163
7;2022-01-13 12:46:18.676000+00:00;AugH5l6cAYxeSC7q;scroll;185
8;2022-01-13 12:46:18.693000+00:00;AugH5l6cAYxeSC7q;scroll;197
9;2022-01-13 12:46:18.710000+00:00;AugH5l6cAYxeSC7q;scroll;203
10;2022-01-13 12:46:18.725000+00:00;AugH5l6cAYxeSC7q;scroll;205
11;2022-01-13 12:46:18.743000+00:00;AugH5l6cAYxeSC7q;scroll;206
12;2022-01-13 12:46:18.776000+00:00;AugH5l6cAYxeSC7q;scroll;207
13;2022-01-13 12:46:19.292000+00:00;AugH5l6cAYxeSC7q;scroll;205
14;2022-01-13 12:46:19.309000+00:00;AugH5l6cAYxeSC7q;scroll;199
15;2022-01-13 12:46:19.325000+00:00;AugH5l6cAYxeSC7q;scroll;173
16;2022-01-13 12:46:19.344000+00:00;AugH5l6cAYxeSC7q;scroll;142
17;2022-01-13 12:46:19.359000+00:00;AugH5l6cAYxeSC7q;scroll;112
18;2022-01-13 12:46:19.376000+00:00;AugH5l6cAYxeSC7q;scroll;77
19;2022-01-13 12:46:19.392000+00:00;AugH5l6cAYxeSC7q;scroll;54
20;2022-01-13 12:46:19.409000+00:00;AugH5l6cAYxeSC7q;scroll;39
21;2022-01-13 12:46:19.426000+00:00;AugH5l6cAYxeSC7q;scroll;29
22;2022-01-13 12:46:19.442000+00:00;AugH5l6cAYxeSC7q;scroll;27
23;2022-01-13 12:46:19.747000+00:00;AugH5l6cAYxeSC7q;scroll;28
24;2022-01-13 12:46:19.759000+00:00;AugH5l6cAYxeSC7q;scroll;31
25;2022-01-13 12:46:19.776000+00:00;AugH5l6cAYxeSC7q;scroll;38
26;2022-01-13 12:46:19.793000+00:00;AugH5l6cAYxeSC7q;scroll;58
27;2022-01-13 12:46:19.809000+00:00;AugH5l6cAYxeSC7q;scroll;106
28;2022-01-13 12:46:19.827000+00:00;AugH5l6cAYxeSC7q;scroll;155
29;2022-01-13 12:46:19.843000+00:00;AugH5l6cAYxeSC7q;scroll;169
30;2022-01-13 12:46:19.859000+00:00;AugH5l6cAYxeSC7q;scroll;176
31;2022-01-13 12:46:19.875000+00:00;AugH5l6cAYxeSC7q;scroll;180
32;2022-01-13 12:46:19.894000+00:00;AugH5l6cAYxeSC7q;scroll;182
33;2022-01-13 12:46:20.075000+00:00;AugH5l6cAYxeSC7q;scroll;187
34;2022-01-13 12:46:20.093000+00:00;AugH5l6cAYxeSC7q;scroll;196
35;2022-01-13 12:46:20.109000+00:00;AugH5l6cAYxeSC7q;scroll;220
36;2022-01-13 12:46:20.126000+00:00;AugH5l6cAYxeSC7q;scroll;282
37;2022-01-13 12:46:20.142000+00:00;AugH5l6cAYxeSC7q;scroll;322
38;2022-01-13 12:46:20.160000+00:00;AugH5l6cAYxeSC7q;scroll;349
39;2022-01-13 12:46:20.176000+00:00;AugH5l6cAYxeSC7q;scroll;353
40;2022-01-13 12:46:20.193000+00:00;AugH5l6cAYxeSC7q;scroll;357
41;2022-01-13 12:46:20.209000+00:00;AugH5l6cAYxeSC7q;scroll;358
42;2022-01-13 12:46:20.225000+00:00;AugH5l6cAYxeSC7q;scroll;359
43;2022-01-13 12:46:20.476000+00:00;AugH5l6cAYxeSC7q;scroll;362
44;2022-01-13 12:46:20.493000+00:00;AugH5l6cAYxeSC7q;scroll;369
45;2022-01-13 12:46:20.509000+00:00;AugH5l6cAYxeSC7q;scroll;387
46;2022-01-13 12:46:20.526000+00:00;AugH5l6cAYxeSC7q;scroll;436
