;time;token;event;position
0;2022-01-13 12:43:56.487000+00:00;BF8JCJ1XfAaj+Rnj;scroll;0
1;2022-01-13 12:45:09.803000+00:00;BF8JCJ1XfAaj+Rnj;scroll;3
2;2022-01-13 12:45:09.836000+00:00;BF8JCJ1XfAaj+Rnj;scroll;12
3;2022-01-13 12:45:09.853000+00:00;BF8JCJ1XfAaj+Rnj;scroll;22
4;2022-01-13 12:45:09.870000+00:00;BF8JCJ1XfAaj+Rnj;scroll;34
5;2022-01-13 12:45:09.886000+00:00;BF8JCJ1XfAaj+Rnj;scroll;47
6;2022-01-13 12:45:09.903000+00:00;BF8JCJ1XfAaj+Rnj;scroll;60
7;2022-01-13 12:45:09.920000+00:00;BF8JCJ1XfAaj+Rnj;scroll;71
8;2022-01-13 12:45:09.936000+00:00;BF8JCJ1XfAaj+Rnj;scroll;82
9;2022-01-13 12:45:09.952000+00:00;BF8JCJ1XfAaj+Rnj;scroll;90
10;2022-01-13 12:45:09.969000+00:00;BF8JCJ1XfAaj+Rnj;scroll;97
11;2022-01-13 12:45:09.986000+00:00;BF8JCJ1XfAaj+Rnj;scroll;103
12;2022-01-13 12:45:10.002000+00:00;BF8JCJ1XfAaj+Rnj;scroll;113
13;2022-01-13 12:45:10.020000+00:00;BF8JCJ1XfAaj+Rnj;scroll;124
14;2022-01-13 12:45:10.036000+00:00;BF8JCJ1XfAaj+Rnj;scroll;137
15;2022-01-13 12:45:10.052000+00:00;BF8JCJ1XfAaj+Rnj;scroll;150
16;2022-01-13 12:45:10.069000+00:00;BF8JCJ1XfAaj+Rnj;scroll;162
17;2022-01-13 12:45:10.086000+00:00;BF8JCJ1XfAaj+Rnj;scroll;173
18;2022-01-13 12:45:10.102000+00:00;BF8JCJ1XfAaj+Rnj;scroll;183
19;2022-01-13 12:45:10.120000+00:00;BF8JCJ1XfAaj+Rnj;scroll;191
20;2022-01-13 12:45:10.137000+00:00;BF8JCJ1XfAaj+Rnj;scroll;197
21;2022-01-13 12:45:10.152000+00:00;BF8JCJ1XfAaj+Rnj;scroll;202
22;2022-01-13 12:45:10.169000+00:00;BF8JCJ1XfAaj+Rnj;scroll;204
23;2022-01-13 12:45:33.699000+00:00;BF8JCJ1XfAaj+Rnj;scroll;205
24;2022-01-13 12:45:33.718000+00:00;BF8JCJ1XfAaj+Rnj;scroll;211
25;2022-01-13 12:45:33.735000+00:00;BF8JCJ1XfAaj+Rnj;scroll;221
26;2022-01-13 12:45:33.752000+00:00;BF8JCJ1XfAaj+Rnj;scroll;232
27;2022-01-13 12:45:33.768000+00:00;BF8JCJ1XfAaj+Rnj;scroll;245
28;2022-01-13 12:45:33.785000+00:00;BF8JCJ1XfAaj+Rnj;scroll;258
29;2022-01-13 12:45:33.801000+00:00;BF8JCJ1XfAaj+Rnj;scroll;270
30;2022-01-13 12:45:33.818000+00:00;BF8JCJ1XfAaj+Rnj;scroll;281
31;2022-01-13 12:45:33.835000+00:00;BF8JCJ1XfAaj+Rnj;scroll;290
32;2022-01-13 12:45:33.852000+00:00;BF8JCJ1XfAaj+Rnj;scroll;298
33;2022-01-13 12:45:33.868000+00:00;BF8JCJ1XfAaj+Rnj;scroll;303
34;2022-01-13 12:45:33.885000+00:00;BF8JCJ1XfAaj+Rnj;scroll;306
35;2022-01-13 12:45:33.951000+00:00;BF8JCJ1XfAaj+Rnj;scroll;312
36;2022-01-13 12:45:33.968000+00:00;BF8JCJ1XfAaj+Rnj;scroll;322
37;2022-01-13 12:45:33.985000+00:00;BF8JCJ1XfAaj+Rnj;scroll;334
38;2022-01-13 12:45:34.002000+00:00;BF8JCJ1XfAaj+Rnj;scroll;346
39;2022-01-13 12:45:34.019000+00:00;BF8JCJ1XfAaj+Rnj;scroll;359
40;2022-01-13 12:45:34.035000+00:00;BF8JCJ1XfAaj+Rnj;scroll;371
41;2022-01-13 12:45:34.051000+00:00;BF8JCJ1XfAaj+Rnj;scroll;382
42;2022-01-13 12:45:34.068000+00:00;BF8JCJ1XfAaj+Rnj;scroll;392
43;2022-01-13 12:45:34.084000+00:00;BF8JCJ1XfAaj+Rnj;scroll;399
44;2022-01-13 12:45:34.102000+00:00;BF8JCJ1XfAaj+Rnj;scroll;405
45;2022-01-13 12:45:34.118000+00:00;BF8JCJ1XfAaj+Rnj;scroll;408
46;2022-01-13 12:45:34.135000+00:00;BF8JCJ1XfAaj+Rnj;scroll;413
47;2022-01-13 12:45:34.151000+00:00;BF8JCJ1XfAaj+Rnj;scroll;423
