;time;token;event;position
0;2022-01-13 12:43:41.514000+00:00;CKHbMT1vAmGM1ZwS;scroll;0.0
1;2022-01-13 12:44:29.153000+00:00;CKHbMT1vAmGM1ZwS;scroll;1.0
2;2022-01-13 12:44:29.159000+00:00;CKHbMT1vAmGM1ZwS;scroll;2.0
3;2022-01-13 12:44:29.167000+00:00;CKHbMT1vAmGM1ZwS;scroll;4.0
4;2022-01-13 12:44:29.173000+00:00;CKHbMT1vAmGM1ZwS;scroll;6.0
5;2022-01-13 12:44:29.180000+00:00;CKHbMT1vAmGM1ZwS;scroll;10.0
6;2022-01-13 12:44:29.187000+00:00;CKHbMT1vAmGM1ZwS;scroll;14.0
7;2022-01-13 12:44:29.195000+00:00;CKHbMT1vAmGM1ZwS;scroll;20.0
8;2022-01-13 12:44:29.201000+00:00;CKHbMT1vAmGM1ZwS;scroll;27.0
9;2022-01-13 12:44:29.208000+00:00;CKHbMT1vAmGM1ZwS;scroll;37.0
10;2022-01-13 12:44:29.215000+00:00;CKHbMT1vAmGM1ZwS;scroll;48.0
11;2022-01-13 12:44:29.222000+00:00;CKHbMT1vAmGM1ZwS;scroll;62.0
12;2022-01-13 12:44:29.229000+00:00;CKHbMT1vAmGM1ZwS;scroll;77.0
13;2022-01-13 12:44:29.236000+00:00;CKHbMT1vAmGM1ZwS;scroll;94.0
14;2022-01-13 12:44:29.243000+00:00;CKHbMT1vAmGM1ZwS;scroll;113.0
15;2022-01-13 12:44:29.250000+00:00;CKHbMT1vAmGM1ZwS;scroll;131.0
16;2022-01-13 12:44:29.257000+00:00;CKHbMT1vAmGM1ZwS;scroll;151.0
17;2022-01-13 12:44:29.265000+00:00;CKHbMT1vAmGM1ZwS;scroll;171.0
18;2022-01-13 12:44:29.271000+00:00;CKHbMT1vAmGM1ZwS;scroll;191.0
19;2022-01-13 12:44:29.277000+00:00;CKHbMT1vAmGM1ZwS;scroll;212.0
20;2022-01-13 12:44:29.284000+00:00;CKHbMT1vAmGM1ZwS;scroll;233.0
21;2022-01-13 12:44:29.291000+00:00;CKHbMT1vAmGM1ZwS;scroll;255.0
22;2022-01-13 12:44:29.299000+00:00;CKHbMT1vAmGM1ZwS;scroll;277.0
23;2022-01-13 12:44:29.306000+00:00;CKHbMT1vAmGM1ZwS;scroll;298.0
24;2022-01-13 12:44:29.312000+00:00;CKHbMT1vAmGM1ZwS;scroll;320.0
25;2022-01-13 12:44:29.319000+00:00;CKHbMT1vAmGM1ZwS;scroll;342.0
26;2022-01-13 12:44:29.326000+00:00;CKHbMT1vAmGM1ZwS;scroll;364.0
27;2022-01-13 12:44:29.334000+00:00;CKHbMT1vAmGM1ZwS;scroll;385.0
28;2022-01-13 12:44:29.340000+00:00;CKHbMT1vAmGM1ZwS;scroll;407.0
29;2022-01-13 12:44:29.347000+00:00;CKHbMT1vAmGM1ZwS;scroll;428.0
30;2022-01-13 12:44:29.354000+00:00;CKHbMT1vAmGM1ZwS;scroll;448.0
31;2022-01-13 12:44:29.362000+00:00;CKHbMT1vAmGM1ZwS;scroll;468.0
32;2022-01-13 12:44:29.369000+00:00;CKHbMT1vAmGM1ZwS;scroll;487.0
33;2022-01-13 12:44:29.376000+00:00;CKHbMT1vAmGM1ZwS;scroll;504.0
34;2022-01-13 12:44:29.381000+00:00;CKHbMT1vAmGM1ZwS;scroll;521.0
