;time;token;event;position
0;2022-01-13 12:45:39.255000+00:00;CyTqUIZjsoeob1jg;scroll;0.0
1;2022-01-13 12:46:14.811000+00:00;CyTqUIZjsoeob1jg;scroll;0.800000011920929
2;2022-01-13 12:46:14.818000+00:00;CyTqUIZjsoeob1jg;scroll;2.4000000953674316
3;2022-01-13 12:46:14.825000+00:00;CyTqUIZjsoeob1jg;scroll;4.0
4;2022-01-13 12:46:14.832000+00:00;CyTqUIZjsoeob1jg;scroll;6.400000095367432
5;2022-01-13 12:46:14.839000+00:00;CyTqUIZjsoeob1jg;scroll;8.800000190734863
6;2022-01-13 12:46:14.846000+00:00;CyTqUIZjsoeob1jg;scroll;12.0
7;2022-01-13 12:46:14.853000+00:00;CyTqUIZjsoeob1jg;scroll;16.0
8;2022-01-13 12:46:14.859000+00:00;CyTqUIZjsoeob1jg;scroll;20.799999237060547
9;2022-01-13 12:46:14.866000+00:00;CyTqUIZjsoeob1jg;scroll;25.600000381469727
10;2022-01-13 12:46:14.873000+00:00;CyTqUIZjsoeob1jg;scroll;32.0
11;2022-01-13 12:46:14.880000+00:00;CyTqUIZjsoeob1jg;scroll;40.0
12;2022-01-13 12:46:14.887000+00:00;CyTqUIZjsoeob1jg;scroll;51.20000076293945
13;2022-01-13 12:46:14.894000+00:00;CyTqUIZjsoeob1jg;scroll;64.0
14;2022-01-13 12:46:14.902000+00:00;CyTqUIZjsoeob1jg;scroll;80.80000305175781
15;2022-01-13 12:46:14.910000+00:00;CyTqUIZjsoeob1jg;scroll;101.5999984741211
16;2022-01-13 12:46:14.915000+00:00;CyTqUIZjsoeob1jg;scroll;116.80000305175781
17;2022-01-13 12:46:14.922000+00:00;CyTqUIZjsoeob1jg;scroll;138.39999389648438
18;2022-01-13 12:46:14.929000+00:00;CyTqUIZjsoeob1jg;scroll;158.39999389648438
19;2022-01-13 12:46:14.936000+00:00;CyTqUIZjsoeob1jg;scroll;180.8000030517578
20;2022-01-13 12:46:14.943000+00:00;CyTqUIZjsoeob1jg;scroll;203.1999969482422
21;2022-01-13 12:46:14.950000+00:00;CyTqUIZjsoeob1jg;scroll;227.1999969482422
22;2022-01-13 12:46:14.957000+00:00;CyTqUIZjsoeob1jg;scroll;250.39999389648438
23;2022-01-13 12:46:14.964000+00:00;CyTqUIZjsoeob1jg;scroll;273.6000061035156
24;2022-01-13 12:46:14.970000+00:00;CyTqUIZjsoeob1jg;scroll;296.0
25;2022-01-13 12:46:14.977000+00:00;CyTqUIZjsoeob1jg;scroll;316.79998779296875
26;2022-01-13 12:46:14.984000+00:00;CyTqUIZjsoeob1jg;scroll;337.6000061035156
27;2022-01-13 12:46:14.991000+00:00;CyTqUIZjsoeob1jg;scroll;357.6000061035156
28;2022-01-13 12:46:14.998000+00:00;CyTqUIZjsoeob1jg;scroll;376.79998779296875
29;2022-01-13 12:46:15.005000+00:00;CyTqUIZjsoeob1jg;scroll;395.20001220703125
30;2022-01-13 12:46:15.012000+00:00;CyTqUIZjsoeob1jg;scroll;412.0
31;2022-01-13 12:46:15.019000+00:00;CyTqUIZjsoeob1jg;scroll;427.20001220703125
32;2022-01-13 12:46:15.026000+00:00;CyTqUIZjsoeob1jg;scroll;440.79998779296875
33;2022-01-13 12:46:15.033000+00:00;CyTqUIZjsoeob1jg;scroll;452.79998779296875
34;2022-01-13 12:46:15.040000+00:00;CyTqUIZjsoeob1jg;scroll;464.0
35;2022-01-13 12:46:15.047000+00:00;CyTqUIZjsoeob1jg;scroll;472.79998779296875
36;2022-01-13 12:46:15.054000+00:00;CyTqUIZjsoeob1jg;scroll;480.0
37;2022-01-13 12:46:15.061000+00:00;CyTqUIZjsoeob1jg;scroll;485.6000061035156
38;2022-01-13 12:46:15.068000+00:00;CyTqUIZjsoeob1jg;scroll;490.3999938964844
39;2022-01-13 12:46:15.075000+00:00;CyTqUIZjsoeob1jg;scroll;493.6000061035156
40;2022-01-13 12:46:15.082000+00:00;CyTqUIZjsoeob1jg;scroll;496.0
41;2022-01-13 12:46:15.089000+00:00;CyTqUIZjsoeob1jg;scroll;497.6000061035156
42;2022-01-13 12:46:15.095000+00:00;CyTqUIZjsoeob1jg;scroll;499.20001220703125
43;2022-01-13 12:46:15.109000+00:00;CyTqUIZjsoeob1jg;scroll;500.0
44;2022-01-13 12:46:15.441000+00:00;CyTqUIZjsoeob1jg;scroll;500.79998779296875
45;2022-01-13 12:46:15.448000+00:00;CyTqUIZjsoeob1jg;scroll;502.3999938964844
46;2022-01-13 12:46:15.455000+00:00;CyTqUIZjsoeob1jg;scroll;504.0
47;2022-01-13 12:46:15.462000+00:00;CyTqUIZjsoeob1jg;scroll;506.3999938964844
48;2022-01-13 12:46:15.469000+00:00;CyTqUIZjsoeob1jg;scroll;508.79998779296875
49;2022-01-13 12:46:15.476000+00:00;CyTqUIZjsoeob1jg;scroll;512.7999877929688
50;2022-01-13 12:46:15.483000+00:00;CyTqUIZjsoeob1jg;scroll;516.7999877929688
51;2022-01-13 12:46:15.490000+00:00;CyTqUIZjsoeob1jg;scroll;527.2000122070312
52;2022-01-13 12:46:15.497000+00:00;CyTqUIZjsoeob1jg;scroll;544.7999877929688
53;2022-01-13 12:46:15.504000+00:00;CyTqUIZjsoeob1jg;scroll;568.7999877929688
54;2022-01-13 12:46:15.511000+00:00;CyTqUIZjsoeob1jg;scroll;598.4000244140625
55;2022-01-13 12:46:15.518000+00:00;CyTqUIZjsoeob1jg;scroll;632.0
56;2022-01-13 12:46:15.524000+00:00;CyTqUIZjsoeob1jg;scroll;669.5999755859375
57;2022-01-13 12:46:15.531000+00:00;CyTqUIZjsoeob1jg;scroll;710.4000244140625
58;2022-01-13 12:46:15.538000+00:00;CyTqUIZjsoeob1jg;scroll;752.7999877929688
59;2022-01-13 12:46:15.545000+00:00;CyTqUIZjsoeob1jg;scroll;796.7999877929688
60;2022-01-13 12:46:15.552000+00:00;CyTqUIZjsoeob1jg;scroll;841.5999755859375
61;2022-01-13 12:46:15.559000+00:00;CyTqUIZjsoeob1jg;scroll;885.5999755859375
62;2022-01-13 12:46:15.566000+00:00;CyTqUIZjsoeob1jg;scroll;929.5999755859375
63;2022-01-13 12:46:15.573000+00:00;CyTqUIZjsoeob1jg;scroll;971.2000122070312
64;2022-01-13 12:46:15.580000+00:00;CyTqUIZjsoeob1jg;scroll;1010.4000244140625
65;2022-01-13 12:46:15.587000+00:00;CyTqUIZjsoeob1jg;scroll;1046.4000244140625
66;2022-01-13 12:46:15.594000+00:00;CyTqUIZjsoeob1jg;scroll;1076.0
67;2022-01-13 12:46:15.601000+00:00;CyTqUIZjsoeob1jg;scroll;1101.5999755859375
68;2022-01-13 12:46:15.608000+00:00;CyTqUIZjsoeob1jg;scroll;1122.4000244140625
69;2022-01-13 12:46:15.615000+00:00;CyTqUIZjsoeob1jg;scroll;1136.800048828125
70;2022-01-13 12:46:15.622000+00:00;CyTqUIZjsoeob1jg;scroll;1147.199951171875
71;2022-01-13 12:46:15.629000+00:00;CyTqUIZjsoeob1jg;scroll;1154.4000244140625
72;2022-01-13 12:46:15.636000+00:00;CyTqUIZjsoeob1jg;scroll;1157.5999755859375
73;2022-01-13 12:46:15.643000+00:00;CyTqUIZjsoeob1jg;scroll;1158.4000244140625
74;2022-01-13 12:46:17.207000+00:00;CyTqUIZjsoeob1jg;scroll;1157.5999755859375
75;2022-01-13 12:46:17.214000+00:00;CyTqUIZjsoeob1jg;scroll;1156.800048828125
76;2022-01-13 12:46:17.220000+00:00;CyTqUIZjsoeob1jg;scroll;1155.199951171875
77;2022-01-13 12:46:17.227000+00:00;CyTqUIZjsoeob1jg;scroll;1152.0
78;2022-01-13 12:46:17.234000+00:00;CyTqUIZjsoeob1jg;scroll;1145.5999755859375
79;2022-01-13 12:46:17.241000+00:00;CyTqUIZjsoeob1jg;scroll;1136.0
80;2022-01-13 12:46:17.248000+00:00;CyTqUIZjsoeob1jg;scroll;1122.4000244140625
81;2022-01-13 12:46:17.255000+00:00;CyTqUIZjsoeob1jg;scroll;1106.4000244140625
82;2022-01-13 12:46:17.262000+00:00;CyTqUIZjsoeob1jg;scroll;1086.4000244140625
83;2022-01-13 12:46:17.269000+00:00;CyTqUIZjsoeob1jg;scroll;1061.5999755859375
84;2022-01-13 12:46:17.276000+00:00;CyTqUIZjsoeob1jg;scroll;1029.5999755859375
85;2022-01-13 12:46:17.283000+00:00;CyTqUIZjsoeob1jg;scroll;991.2000122070312
86;2022-01-13 12:46:17.290000+00:00;CyTqUIZjsoeob1jg;scroll;945.5999755859375
87;2022-01-13 12:46:17.297000+00:00;CyTqUIZjsoeob1jg;scroll;894.4000244140625
88;2022-01-13 12:46:17.304000+00:00;CyTqUIZjsoeob1jg;scroll;839.2000122070312
89;2022-01-13 12:46:17.311000+00:00;CyTqUIZjsoeob1jg;scroll;781.5999755859375
90;2022-01-13 12:46:17.320000+00:00;CyTqUIZjsoeob1jg;scroll;711.2000122070312
91;2022-01-13 12:46:17.327000+00:00;CyTqUIZjsoeob1jg;scroll;654.4000244140625
92;2022-01-13 12:46:17.332000+00:00;CyTqUIZjsoeob1jg;scroll;617.5999755859375
