;time;token;event;position
0;2022-01-13 12:43:31.444000+00:00;D+BwNpkU94N2MPcl;scroll;0
1;2022-01-13 12:44:38.093000+00:00;D+BwNpkU94N2MPcl;scroll;1
2;2022-01-13 12:44:38.109000+00:00;D+BwNpkU94N2MPcl;scroll;6
3;2022-01-13 12:44:38.126000+00:00;D+BwNpkU94N2MPcl;scroll;14
4;2022-01-13 12:44:38.143000+00:00;D+BwNpkU94N2MPcl;scroll;27
5;2022-01-13 12:44:38.160000+00:00;D+BwNpkU94N2MPcl;scroll;45
6;2022-01-13 12:44:38.176000+00:00;D+BwNpkU94N2MPcl;scroll;69
7;2022-01-13 12:44:38.194000+00:00;D+BwNpkU94N2MPcl;scroll;98
8;2022-01-13 12:44:38.210000+00:00;D+BwNpkU94N2MPcl;scroll;132
9;2022-01-13 12:44:38.226000+00:00;D+BwNpkU94N2MPcl;scroll;170
10;2022-01-13 12:44:38.243000+00:00;D+BwNpkU94N2MPcl;scroll;208
11;2022-01-13 12:44:38.260000+00:00;D+BwNpkU94N2MPcl;scroll;242
12;2022-01-13 12:44:38.276000+00:00;D+BwNpkU94N2MPcl;scroll;269
13;2022-01-13 12:44:38.293000+00:00;D+BwNpkU94N2MPcl;scroll;288
14;2022-01-13 12:44:38.310000+00:00;D+BwNpkU94N2MPcl;scroll;298
15;2022-01-13 12:44:38.328000+00:00;D+BwNpkU94N2MPcl;scroll;300
16;2022-01-13 12:44:38.843000+00:00;D+BwNpkU94N2MPcl;scroll;299
17;2022-01-13 12:44:38.860000+00:00;D+BwNpkU94N2MPcl;scroll;294
18;2022-01-13 12:44:38.877000+00:00;D+BwNpkU94N2MPcl;scroll;286
19;2022-01-13 12:44:38.893000+00:00;D+BwNpkU94N2MPcl;scroll;273
20;2022-01-13 12:44:38.910000+00:00;D+BwNpkU94N2MPcl;scroll;255
21;2022-01-13 12:44:38.927000+00:00;D+BwNpkU94N2MPcl;scroll;231
22;2022-01-13 12:44:38.943000+00:00;D+BwNpkU94N2MPcl;scroll;204
23;2022-01-13 12:44:38.961000+00:00;D+BwNpkU94N2MPcl;scroll;175
24;2022-01-13 12:44:38.977000+00:00;D+BwNpkU94N2MPcl;scroll;149
25;2022-01-13 12:44:38.994000+00:00;D+BwNpkU94N2MPcl;scroll;127
26;2022-01-13 12:44:39.011000+00:00;D+BwNpkU94N2MPcl;scroll;112
27;2022-01-13 12:44:39.027000+00:00;D+BwNpkU94N2MPcl;scroll;103
28;2022-01-13 12:44:39.044000+00:00;D+BwNpkU94N2MPcl;scroll;100
29;2022-01-13 12:44:41.460000+00:00;D+BwNpkU94N2MPcl;scroll;99
30;2022-01-13 12:44:41.476000+00:00;D+BwNpkU94N2MPcl;scroll;94
31;2022-01-13 12:44:41.493000+00:00;D+BwNpkU94N2MPcl;scroll;87
32;2022-01-13 12:44:41.511000+00:00;D+BwNpkU94N2MPcl;scroll;77
