;time;token;event;position
0;2022-01-13 06:28:24.674000+00:00;D9olvVMc4GUDzTtN;scroll;0
1;2022-01-13 06:28:33.490000+00:00;D9olvVMc4GUDzTtN;scroll;1
2;2022-01-13 06:28:33.505000+00:00;D9olvVMc4GUDzTtN;scroll;2
3;2022-01-13 06:28:33.522000+00:00;D9olvVMc4GUDzTtN;scroll;4
4;2022-01-13 06:28:33.555000+00:00;D9olvVMc4GUDzTtN;scroll;6
5;2022-01-13 06:28:33.573000+00:00;D9olvVMc4GUDzTtN;scroll;10
6;2022-01-13 06:28:33.589000+00:00;D9olvVMc4GUDzTtN;scroll;14
7;2022-01-13 06:28:33.606000+00:00;D9olvVMc4GUDzTtN;scroll;29
8;2022-01-13 06:28:33.622000+00:00;D9olvVMc4GUDzTtN;scroll;40
9;2022-01-13 06:28:33.655000+00:00;D9olvVMc4GUDzTtN;scroll;51
10;2022-01-13 06:28:33.672000+00:00;D9olvVMc4GUDzTtN;scroll;120
11;2022-01-13 06:28:33.690000+00:00;D9olvVMc4GUDzTtN;scroll;156
12;2022-01-13 06:28:33.706000+00:00;D9olvVMc4GUDzTtN;scroll;185
13;2022-01-13 06:28:33.721000+00:00;D9olvVMc4GUDzTtN;scroll;208
14;2022-01-13 06:28:33.739000+00:00;D9olvVMc4GUDzTtN;scroll;222
15;2022-01-13 06:28:33.756000+00:00;D9olvVMc4GUDzTtN;scroll;224
16;2022-01-13 06:28:37.272000+00:00;D9olvVMc4GUDzTtN;scroll;223
17;2022-01-13 06:28:37.288000+00:00;D9olvVMc4GUDzTtN;scroll;221
18;2022-01-13 06:28:37.305000+00:00;D9olvVMc4GUDzTtN;scroll;220
19;2022-01-13 06:28:37.321000+00:00;D9olvVMc4GUDzTtN;scroll;218
20;2022-01-13 06:28:37.337000+00:00;D9olvVMc4GUDzTtN;scroll;216
21;2022-01-13 06:28:37.354000+00:00;D9olvVMc4GUDzTtN;scroll;207
22;2022-01-13 06:28:37.372000+00:00;D9olvVMc4GUDzTtN;scroll;203
23;2022-01-13 06:28:37.388000+00:00;D9olvVMc4GUDzTtN;scroll;198
24;2022-01-13 06:28:37.405000+00:00;D9olvVMc4GUDzTtN;scroll;192
25;2022-01-13 06:28:37.422000+00:00;D9olvVMc4GUDzTtN;scroll;186
26;2022-01-13 06:28:37.437000+00:00;D9olvVMc4GUDzTtN;scroll;180
27;2022-01-13 06:28:37.471000+00:00;D9olvVMc4GUDzTtN;scroll;174
28;2022-01-13 06:28:37.488000+00:00;D9olvVMc4GUDzTtN;scroll;169
29;2022-01-13 06:28:37.505000+00:00;D9olvVMc4GUDzTtN;scroll;162
30;2022-01-13 06:28:37.521000+00:00;D9olvVMc4GUDzTtN;scroll;160
31;2022-01-13 06:28:45.738000+00:00;D9olvVMc4GUDzTtN;scroll;161
32;2022-01-13 06:28:45.753000+00:00;D9olvVMc4GUDzTtN;scroll;163
33;2022-01-13 06:28:45.770000+00:00;D9olvVMc4GUDzTtN;scroll;166
34;2022-01-13 06:28:45.787000+00:00;D9olvVMc4GUDzTtN;scroll;170
35;2022-01-13 06:28:45.805000+00:00;D9olvVMc4GUDzTtN;scroll;177
36;2022-01-13 06:28:45.821000+00:00;D9olvVMc4GUDzTtN;scroll;192
37;2022-01-13 06:28:45.838000+00:00;D9olvVMc4GUDzTtN;scroll;235
38;2022-01-13 06:28:45.854000+00:00;D9olvVMc4GUDzTtN;scroll;279
39;2022-01-13 06:28:45.871000+00:00;D9olvVMc4GUDzTtN;scroll;321
40;2022-01-13 06:28:45.887000+00:00;D9olvVMc4GUDzTtN;scroll;363
41;2022-01-13 06:28:45.905000+00:00;D9olvVMc4GUDzTtN;scroll;397
42;2022-01-13 06:28:45.921000+00:00;D9olvVMc4GUDzTtN;scroll;414
