;time;token;event;position
0;2022-01-13 13:29:13.703000+00:00;EIYdYeKRNU03RcXy;scroll;0.0
1;2022-01-13 13:29:52.169000+00:00;EIYdYeKRNU03RcXy;scroll;1.0
2;2022-01-13 13:29:52.186000+00:00;EIYdYeKRNU03RcXy;scroll;6.0
3;2022-01-13 13:29:52.203000+00:00;EIYdYeKRNU03RcXy;scroll;13.0
4;2022-01-13 13:29:52.219000+00:00;EIYdYeKRNU03RcXy;scroll;23.0
5;2022-01-13 13:29:52.236000+00:00;EIYdYeKRNU03RcXy;scroll;36.0
6;2022-01-13 13:29:52.253000+00:00;EIYdYeKRNU03RcXy;scroll;50.0
7;2022-01-13 13:29:52.269000+00:00;EIYdYeKRNU03RcXy;scroll;64.0
8;2022-01-13 13:29:52.286000+00:00;EIYdYeKRNU03RcXy;scroll;77.0
9;2022-01-13 13:29:52.303000+00:00;EIYdYeKRNU03RcXy;scroll;87.0
10;2022-01-13 13:29:52.319000+00:00;EIYdYeKRNU03RcXy;scroll;95.0
11;2022-01-13 13:29:52.336000+00:00;EIYdYeKRNU03RcXy;scroll;99.0
12;2022-01-13 13:29:52.353000+00:00;EIYdYeKRNU03RcXy;scroll;100.0
13;2022-01-13 13:29:52.452000+00:00;EIYdYeKRNU03RcXy;scroll;101.0
14;2022-01-13 13:29:52.453000+00:00;EIYdYeKRNU03RcXy;scroll;106.0
15;2022-01-13 13:29:52.469000+00:00;EIYdYeKRNU03RcXy;scroll;113.0
16;2022-01-13 13:29:52.487000+00:00;EIYdYeKRNU03RcXy;scroll;123.0
17;2022-01-13 13:29:52.503000+00:00;EIYdYeKRNU03RcXy;scroll;136.0
18;2022-01-13 13:29:52.520000+00:00;EIYdYeKRNU03RcXy;scroll;150.0
19;2022-01-13 13:29:52.536000+00:00;EIYdYeKRNU03RcXy;scroll;164.0
20;2022-01-13 13:29:52.553000+00:00;EIYdYeKRNU03RcXy;scroll;177.0
21;2022-01-13 13:29:52.569000+00:00;EIYdYeKRNU03RcXy;scroll;187.0
22;2022-01-13 13:29:52.586000+00:00;EIYdYeKRNU03RcXy;scroll;195.0
23;2022-01-13 13:29:52.603000+00:00;EIYdYeKRNU03RcXy;scroll;199.0
24;2022-01-13 13:29:52.619000+00:00;EIYdYeKRNU03RcXy;scroll;200.0
25;2022-01-13 13:29:52.831000+00:00;EIYdYeKRNU03RcXy;scroll;201.0
26;2022-01-13 13:29:52.836000+00:00;EIYdYeKRNU03RcXy;scroll;206.0
27;2022-01-13 13:29:52.853000+00:00;EIYdYeKRNU03RcXy;scroll;213.0
28;2022-01-13 13:29:52.869000+00:00;EIYdYeKRNU03RcXy;scroll;223.0
29;2022-01-13 13:29:52.887000+00:00;EIYdYeKRNU03RcXy;scroll;236.0
30;2022-01-13 13:29:52.903000+00:00;EIYdYeKRNU03RcXy;scroll;250.0
31;2022-01-13 13:29:52.920000+00:00;EIYdYeKRNU03RcXy;scroll;264.0
32;2022-01-13 13:29:52.937000+00:00;EIYdYeKRNU03RcXy;scroll;277.0
33;2022-01-13 13:29:52.953000+00:00;EIYdYeKRNU03RcXy;scroll;287.0
34;2022-01-13 13:29:52.970000+00:00;EIYdYeKRNU03RcXy;scroll;295.0
35;2022-01-13 13:29:52.987000+00:00;EIYdYeKRNU03RcXy;scroll;299.0
36;2022-01-13 13:29:53.003000+00:00;EIYdYeKRNU03RcXy;scroll;300.0
37;2022-01-13 13:29:56.619000+00:00;EIYdYeKRNU03RcXy;scroll;299.0
38;2022-01-13 13:29:56.636000+00:00;EIYdYeKRNU03RcXy;scroll;294.0
39;2022-01-13 13:29:56.653000+00:00;EIYdYeKRNU03RcXy;scroll;283.0
40;2022-01-13 13:29:56.669000+00:00;EIYdYeKRNU03RcXy;scroll;261.0
41;2022-01-13 13:29:56.687000+00:00;EIYdYeKRNU03RcXy;scroll;227.0
42;2022-01-13 13:29:56.704000+00:00;EIYdYeKRNU03RcXy;scroll;182.0
43;2022-01-13 13:29:56.721000+00:00;EIYdYeKRNU03RcXy;scroll;131.0
44;2022-01-13 13:29:56.737000+00:00;EIYdYeKRNU03RcXy;scroll;82.0
45;2022-01-13 13:29:56.753000+00:00;EIYdYeKRNU03RcXy;scroll;42.0
46;2022-01-13 13:29:56.770000+00:00;EIYdYeKRNU03RcXy;scroll;15.0
47;2022-01-13 13:29:56.787000+00:00;EIYdYeKRNU03RcXy;scroll;2.0
48;2022-01-13 13:29:56.803000+00:00;EIYdYeKRNU03RcXy;scroll;0.0
49;2022-01-13 13:30:14.451000+00:00;EIYdYeKRNU03RcXy;scroll;0.800000011920929
50;2022-01-13 13:30:14.452000+00:00;EIYdYeKRNU03RcXy;scroll;4.800000190734863
51;2022-01-13 13:30:14.469000+00:00;EIYdYeKRNU03RcXy;scroll;10.399999618530273
52;2022-01-13 13:30:14.486000+00:00;EIYdYeKRNU03RcXy;scroll;18.399999618530273
53;2022-01-13 13:30:14.502000+00:00;EIYdYeKRNU03RcXy;scroll;28.799999237060547
54;2022-01-13 13:30:14.519000+00:00;EIYdYeKRNU03RcXy;scroll;40.0
55;2022-01-13 13:30:14.536000+00:00;EIYdYeKRNU03RcXy;scroll;52.0
56;2022-01-13 13:30:14.553000+00:00;EIYdYeKRNU03RcXy;scroll;61.599998474121094
57;2022-01-13 13:30:14.569000+00:00;EIYdYeKRNU03RcXy;scroll;69.5999984741211
58;2022-01-13 13:30:14.586000+00:00;EIYdYeKRNU03RcXy;scroll;76.0
59;2022-01-13 13:30:14.602000+00:00;EIYdYeKRNU03RcXy;scroll;79.19999694824219
60;2022-01-13 13:30:14.619000+00:00;EIYdYeKRNU03RcXy;scroll;80.0
61;2022-01-13 13:30:21.303000+00:00;EIYdYeKRNU03RcXy;scroll;80.80000305175781
62;2022-01-13 13:30:21.321000+00:00;EIYdYeKRNU03RcXy;scroll;84.80000305175781
63;2022-01-13 13:30:21.336000+00:00;EIYdYeKRNU03RcXy;scroll;90.4000015258789
64;2022-01-13 13:30:21.353000+00:00;EIYdYeKRNU03RcXy;scroll;98.4000015258789
65;2022-01-13 13:30:21.369000+00:00;EIYdYeKRNU03RcXy;scroll;108.80000305175781
66;2022-01-13 13:30:21.386000+00:00;EIYdYeKRNU03RcXy;scroll;120.0
67;2022-01-13 13:30:21.403000+00:00;EIYdYeKRNU03RcXy;scroll;132.0
68;2022-01-13 13:30:21.419000+00:00;EIYdYeKRNU03RcXy;scroll;141.60000610351562
69;2022-01-13 13:30:21.437000+00:00;EIYdYeKRNU03RcXy;scroll;152.0
70;2022-01-13 13:30:21.453000+00:00;EIYdYeKRNU03RcXy;scroll;162.39999389648438
71;2022-01-13 13:30:21.470000+00:00;EIYdYeKRNU03RcXy;scroll;173.60000610351562
72;2022-01-13 13:30:21.487000+00:00;EIYdYeKRNU03RcXy;scroll;185.60000610351562
73;2022-01-13 13:30:21.503000+00:00;EIYdYeKRNU03RcXy;scroll;197.60000610351562
74;2022-01-13 13:30:21.520000+00:00;EIYdYeKRNU03RcXy;scroll;209.60000610351562
75;2022-01-13 13:30:21.536000+00:00;EIYdYeKRNU03RcXy;scroll;219.1999969482422
76;2022-01-13 13:30:21.552000+00:00;EIYdYeKRNU03RcXy;scroll;227.1999969482422
77;2022-01-13 13:30:21.569000+00:00;EIYdYeKRNU03RcXy;scroll;233.60000610351562
78;2022-01-13 13:30:21.586000+00:00;EIYdYeKRNU03RcXy;scroll;237.60000610351562
79;2022-01-13 13:30:21.603000+00:00;EIYdYeKRNU03RcXy;scroll;239.1999969482422
80;2022-01-13 13:30:21.619000+00:00;EIYdYeKRNU03RcXy;scroll;240.0
81;2022-01-13 13:30:41.659000+00:00;EIYdYeKRNU03RcXy;scroll;240.8000030517578
82;2022-01-13 13:30:41.671000+00:00;EIYdYeKRNU03RcXy;scroll;244.8000030517578
83;2022-01-13 13:30:41.687000+00:00;EIYdYeKRNU03RcXy;scroll;252.0
84;2022-01-13 13:30:41.703000+00:00;EIYdYeKRNU03RcXy;scroll;265.6000061035156
85;2022-01-13 13:30:41.719000+00:00;EIYdYeKRNU03RcXy;scroll;287.20001220703125
86;2022-01-13 13:30:41.736000+00:00;EIYdYeKRNU03RcXy;scroll;317.6000061035156
87;2022-01-13 13:30:41.753000+00:00;EIYdYeKRNU03RcXy;scroll;353.6000061035156
88;2022-01-13 13:30:41.770000+00:00;EIYdYeKRNU03RcXy;scroll;392.0
89;2022-01-13 13:30:41.786000+00:00;EIYdYeKRNU03RcXy;scroll;427.20001220703125
90;2022-01-13 13:30:41.803000+00:00;EIYdYeKRNU03RcXy;scroll;454.3999938964844
91;2022-01-13 13:30:41.819000+00:00;EIYdYeKRNU03RcXy;scroll;472.0
92;2022-01-13 13:30:41.837000+00:00;EIYdYeKRNU03RcXy;scroll;479.20001220703125
93;2022-01-13 13:30:41.853000+00:00;EIYdYeKRNU03RcXy;scroll;480.0
94;2022-01-13 13:30:45.769000+00:00;EIYdYeKRNU03RcXy;scroll;480.79998779296875
95;2022-01-13 13:30:45.786000+00:00;EIYdYeKRNU03RcXy;scroll;484.79998779296875
96;2022-01-13 13:30:45.803000+00:00;EIYdYeKRNU03RcXy;scroll;490.3999938964844
97;2022-01-13 13:30:45.819000+00:00;EIYdYeKRNU03RcXy;scroll;500.0
98;2022-01-13 13:30:45.836000+00:00;EIYdYeKRNU03RcXy;scroll;514.4000244140625
99;2022-01-13 13:30:45.853000+00:00;EIYdYeKRNU03RcXy;scroll;534.4000244140625
100;2022-01-13 13:30:45.870000+00:00;EIYdYeKRNU03RcXy;scroll;561.5999755859375
101;2022-01-13 13:30:45.886000+00:00;EIYdYeKRNU03RcXy;scroll;594.4000244140625
102;2022-01-13 13:30:45.903000+00:00;EIYdYeKRNU03RcXy;scroll;628.7999877929688
103;2022-01-13 13:30:45.919000+00:00;EIYdYeKRNU03RcXy;scroll;661.5999755859375
104;2022-01-13 13:30:45.936000+00:00;EIYdYeKRNU03RcXy;scroll;688.7999877929688
105;2022-01-13 13:30:45.952000+00:00;EIYdYeKRNU03RcXy;scroll;707.2000122070312
106;2022-01-13 13:30:45.969000+00:00;EIYdYeKRNU03RcXy;scroll;717.5999755859375
107;2022-01-13 13:30:45.986000+00:00;EIYdYeKRNU03RcXy;scroll;720.0
108;2022-01-13 13:30:54.005000+00:00;EIYdYeKRNU03RcXy;scroll;720.7999877929688
109;2022-01-13 13:30:54.020000+00:00;EIYdYeKRNU03RcXy;scroll;724.7999877929688
110;2022-01-13 13:30:54.037000+00:00;EIYdYeKRNU03RcXy;scroll;730.4000244140625
111;2022-01-13 13:30:54.053000+00:00;EIYdYeKRNU03RcXy;scroll;738.4000244140625
112;2022-01-13 13:30:54.070000+00:00;EIYdYeKRNU03RcXy;scroll;748.7999877929688
113;2022-01-13 13:30:54.087000+00:00;EIYdYeKRNU03RcXy;scroll;760.0
114;2022-01-13 13:30:54.103000+00:00;EIYdYeKRNU03RcXy;scroll;772.0
115;2022-01-13 13:30:54.120000+00:00;EIYdYeKRNU03RcXy;scroll;781.5999755859375
116;2022-01-13 13:30:54.137000+00:00;EIYdYeKRNU03RcXy;scroll;789.5999755859375
117;2022-01-13 13:30:54.154000+00:00;EIYdYeKRNU03RcXy;scroll;796.0
118;2022-01-13 13:30:54.170000+00:00;EIYdYeKRNU03RcXy;scroll;799.2000122070312
119;2022-01-13 13:30:54.187000+00:00;EIYdYeKRNU03RcXy;scroll;800.0
120;2022-01-13 13:31:11.086000+00:00;EIYdYeKRNU03RcXy;scroll;800.7999877929688
121;2022-01-13 13:31:11.103000+00:00;EIYdYeKRNU03RcXy;scroll;804.7999877929688
122;2022-01-13 13:31:11.120000+00:00;EIYdYeKRNU03RcXy;scroll;810.4000244140625
123;2022-01-13 13:31:11.136000+00:00;EIYdYeKRNU03RcXy;scroll;819.2000122070312
124;2022-01-13 13:31:11.154000+00:00;EIYdYeKRNU03RcXy;scroll;831.2000122070312
125;2022-01-13 13:31:11.170000+00:00;EIYdYeKRNU03RcXy;scroll;847.2000122070312
126;2022-01-13 13:31:11.187000+00:00;EIYdYeKRNU03RcXy;scroll;866.4000244140625
127;2022-01-13 13:31:11.204000+00:00;EIYdYeKRNU03RcXy;scroll;887.2000122070312
128;2022-01-13 13:31:11.219000+00:00;EIYdYeKRNU03RcXy;scroll;908.0
129;2022-01-13 13:31:11.236000+00:00;EIYdYeKRNU03RcXy;scroll;926.4000244140625
130;2022-01-13 13:31:11.253000+00:00;EIYdYeKRNU03RcXy;scroll;941.5999755859375
131;2022-01-13 13:31:11.269000+00:00;EIYdYeKRNU03RcXy;scroll;952.0
132;2022-01-13 13:31:11.286000+00:00;EIYdYeKRNU03RcXy;scroll;958.4000244140625
133;2022-01-13 13:31:11.303000+00:00;EIYdYeKRNU03RcXy;scroll;960.0
134;2022-01-13 13:31:12.138000+00:00;EIYdYeKRNU03RcXy;scroll;960.7999877929688
135;2022-01-13 13:31:12.154000+00:00;EIYdYeKRNU03RcXy;scroll;964.7999877929688
136;2022-01-13 13:31:12.172000+00:00;EIYdYeKRNU03RcXy;scroll;970.4000244140625
137;2022-01-13 13:31:12.189000+00:00;EIYdYeKRNU03RcXy;scroll;978.4000244140625
138;2022-01-13 13:31:12.204000+00:00;EIYdYeKRNU03RcXy;scroll;988.7999877929688
139;2022-01-13 13:31:12.221000+00:00;EIYdYeKRNU03RcXy;scroll;1000.0
140;2022-01-13 13:31:12.237000+00:00;EIYdYeKRNU03RcXy;scroll;1012.0
141;2022-01-13 13:31:12.253000+00:00;EIYdYeKRNU03RcXy;scroll;1021.5999755859375
