;time;token;event;position
0;2022-01-20 12:51:35.777000+00:00;HxBnzWT1nTxA1AZQ;scroll;0
1;2022-01-20 12:51:42.128000+00:00;HxBnzWT1nTxA1AZQ;scroll;1
2;2022-01-20 12:51:42.144000+00:00;HxBnzWT1nTxA1AZQ;scroll;6
3;2022-01-20 12:51:42.161000+00:00;HxBnzWT1nTxA1AZQ;scroll;13
4;2022-01-20 12:51:42.177000+00:00;HxBnzWT1nTxA1AZQ;scroll;31
5;2022-01-20 12:51:42.194000+00:00;HxBnzWT1nTxA1AZQ;scroll;81
6;2022-01-20 12:51:42.211000+00:00;HxBnzWT1nTxA1AZQ;scroll;175
7;2022-01-20 12:51:42.227000+00:00;HxBnzWT1nTxA1AZQ;scroll;296
8;2022-01-20 12:51:42.244000+00:00;HxBnzWT1nTxA1AZQ;scroll;408
9;2022-01-20 12:51:42.261000+00:00;HxBnzWT1nTxA1AZQ;scroll;479
10;2022-01-20 12:51:42.277000+00:00;HxBnzWT1nTxA1AZQ;scroll;500
11;2022-01-20 12:51:42.528000+00:00;HxBnzWT1nTxA1AZQ;scroll;501
12;2022-01-20 12:51:42.544000+00:00;HxBnzWT1nTxA1AZQ;scroll;506
13;2022-01-20 12:51:42.561000+00:00;HxBnzWT1nTxA1AZQ;scroll;518
14;2022-01-20 12:51:42.577000+00:00;HxBnzWT1nTxA1AZQ;scroll;542
15;2022-01-20 12:51:42.594000+00:00;HxBnzWT1nTxA1AZQ;scroll;585
16;2022-01-20 12:51:42.611000+00:00;HxBnzWT1nTxA1AZQ;scroll;646
17;2022-01-20 12:51:42.627000+00:00;HxBnzWT1nTxA1AZQ;scroll;721
18;2022-01-20 12:51:42.644000+00:00;HxBnzWT1nTxA1AZQ;scroll;794
19;2022-01-20 12:51:42.661000+00:00;HxBnzWT1nTxA1AZQ;scroll;853
20;2022-01-20 12:51:42.678000+00:00;HxBnzWT1nTxA1AZQ;scroll;888
21;2022-01-20 12:51:42.694000+00:00;HxBnzWT1nTxA1AZQ;scroll;900
22;2022-01-20 12:51:42.728000+00:00;HxBnzWT1nTxA1AZQ;scroll;896
23;2022-01-20 12:51:42.744000+00:00;HxBnzWT1nTxA1AZQ;scroll;885
24;2022-01-20 12:51:42.761000+00:00;HxBnzWT1nTxA1AZQ;scroll;864
25;2022-01-20 12:51:42.777000+00:00;HxBnzWT1nTxA1AZQ;scroll;828
26;2022-01-20 12:51:42.794000+00:00;HxBnzWT1nTxA1AZQ;scroll;774
27;2022-01-20 12:51:42.811000+00:00;HxBnzWT1nTxA1AZQ;scroll;705
28;2022-01-20 12:51:42.827000+00:00;HxBnzWT1nTxA1AZQ;scroll;632
29;2022-01-20 12:51:42.844000+00:00;HxBnzWT1nTxA1AZQ;scroll;567
30;2022-01-20 12:51:42.861000+00:00;HxBnzWT1nTxA1AZQ;scroll;511
31;2022-01-20 12:51:42.877000+00:00;HxBnzWT1nTxA1AZQ;scroll;465
32;2022-01-20 12:51:42.894000+00:00;HxBnzWT1nTxA1AZQ;scroll;431
33;2022-01-20 12:51:42.911000+00:00;HxBnzWT1nTxA1AZQ;scroll;411
34;2022-01-20 12:51:42.927000+00:00;HxBnzWT1nTxA1AZQ;scroll;403
35;2022-01-20 12:51:42.944000+00:00;HxBnzWT1nTxA1AZQ;scroll;400
36;2022-01-20 12:51:43.011000+00:00;HxBnzWT1nTxA1AZQ;scroll;401
37;2022-01-20 12:51:43.028000+00:00;HxBnzWT1nTxA1AZQ;scroll;406
38;2022-01-20 12:51:43.044000+00:00;HxBnzWT1nTxA1AZQ;scroll;417
39;2022-01-20 12:51:43.061000+00:00;HxBnzWT1nTxA1AZQ;scroll;446
40;2022-01-20 12:51:43.078000+00:00;HxBnzWT1nTxA1AZQ;scroll;510
41;2022-01-20 12:51:43.094000+00:00;HxBnzWT1nTxA1AZQ;scroll;614
42;2022-01-20 12:51:43.111000+00:00;HxBnzWT1nTxA1AZQ;scroll;741
43;2022-01-20 12:51:43.128000+00:00;HxBnzWT1nTxA1AZQ;scroll;862
44;2022-01-20 12:51:43.144000+00:00;HxBnzWT1nTxA1AZQ;scroll;968
45;2022-01-20 12:51:43.161000+00:00;HxBnzWT1nTxA1AZQ;scroll;1044
46;2022-01-20 12:51:43.178000+00:00;HxBnzWT1nTxA1AZQ;scroll;1085
47;2022-01-20 12:51:43.194000+00:00;HxBnzWT1nTxA1AZQ;scroll;1099
48;2022-01-20 12:51:43.211000+00:00;HxBnzWT1nTxA1AZQ;scroll;1100
49;2022-01-20 12:51:43.323000+00:00;HxBnzWT1nTxA1AZQ;scroll;1101
50;2022-01-20 12:51:43.328000+00:00;HxBnzWT1nTxA1AZQ;scroll;1106
51;2022-01-20 12:51:43.345000+00:00;HxBnzWT1nTxA1AZQ;scroll;1113
52;2022-01-20 12:51:43.361000+00:00;HxBnzWT1nTxA1AZQ;scroll;1126
53;2022-01-20 12:51:43.378000+00:00;HxBnzWT1nTxA1AZQ;scroll;1161
54;2022-01-20 12:51:43.394000+00:00;HxBnzWT1nTxA1AZQ;scroll;1232
55;2022-01-20 12:51:43.411000+00:00;HxBnzWT1nTxA1AZQ;scroll;1338
56;2022-01-20 12:51:43.428000+00:00;HxBnzWT1nTxA1AZQ;scroll;1463
57;2022-01-20 12:51:43.444000+00:00;HxBnzWT1nTxA1AZQ;scroll;1584
58;2022-01-20 12:51:43.461000+00:00;HxBnzWT1nTxA1AZQ;scroll;1666
59;2022-01-20 12:51:43.478000+00:00;HxBnzWT1nTxA1AZQ;scroll;1698
60;2022-01-20 12:51:43.494000+00:00;HxBnzWT1nTxA1AZQ;scroll;1700
61;2022-01-20 12:51:43.955000+00:00;HxBnzWT1nTxA1AZQ;scroll;1701
62;2022-01-20 12:51:43.962000+00:00;HxBnzWT1nTxA1AZQ;scroll;1706
63;2022-01-20 12:51:43.978000+00:00;HxBnzWT1nTxA1AZQ;scroll;1714
64;2022-01-20 12:51:43.995000+00:00;HxBnzWT1nTxA1AZQ;scroll;1733
65;2022-01-20 12:51:44.011000+00:00;HxBnzWT1nTxA1AZQ;scroll;1765
66;2022-01-20 12:51:44.028000+00:00;HxBnzWT1nTxA1AZQ;scroll;1806
67;2022-01-20 12:51:44.045000+00:00;HxBnzWT1nTxA1AZQ;scroll;1857
68;2022-01-20 12:51:44.062000+00:00;HxBnzWT1nTxA1AZQ;scroll;1915
69;2022-01-20 12:51:44.078000+00:00;HxBnzWT1nTxA1AZQ;scroll;1973
70;2022-01-20 12:51:44.095000+00:00;HxBnzWT1nTxA1AZQ;scroll;2026
71;2022-01-20 12:51:44.111000+00:00;HxBnzWT1nTxA1AZQ;scroll;2065
72;2022-01-20 12:51:44.128000+00:00;HxBnzWT1nTxA1AZQ;scroll;2089
73;2022-01-20 12:51:44.145000+00:00;HxBnzWT1nTxA1AZQ;scroll;2099
74;2022-01-20 12:51:44.162000+00:00;HxBnzWT1nTxA1AZQ;scroll;2100
75;2022-01-20 12:51:44.747000+00:00;HxBnzWT1nTxA1AZQ;scroll;2099
76;2022-01-20 12:51:44.762000+00:00;HxBnzWT1nTxA1AZQ;scroll;2094
77;2022-01-20 12:51:44.778000+00:00;HxBnzWT1nTxA1AZQ;scroll;2085
78;2022-01-20 12:51:44.796000+00:00;HxBnzWT1nTxA1AZQ;scroll;2061
79;2022-01-20 12:51:44.812000+00:00;HxBnzWT1nTxA1AZQ;scroll;2017
80;2022-01-20 12:51:44.828000+00:00;HxBnzWT1nTxA1AZQ;scroll;1949
81;2022-01-20 12:51:44.845000+00:00;HxBnzWT1nTxA1AZQ;scroll;1854
82;2022-01-20 12:51:44.862000+00:00;HxBnzWT1nTxA1AZQ;scroll;1754
83;2022-01-20 12:51:44.879000+00:00;HxBnzWT1nTxA1AZQ;scroll;1669
84;2022-01-20 12:51:44.895000+00:00;HxBnzWT1nTxA1AZQ;scroll;1617
85;2022-01-20 12:51:44.912000+00:00;HxBnzWT1nTxA1AZQ;scroll;1597
86;2022-01-20 12:51:44.928000+00:00;HxBnzWT1nTxA1AZQ;scroll;1583
87;2022-01-20 12:51:44.945000+00:00;HxBnzWT1nTxA1AZQ;scroll;1568
88;2022-01-20 12:51:44.962000+00:00;HxBnzWT1nTxA1AZQ;scroll;1554
89;2022-01-20 12:51:44.979000+00:00;HxBnzWT1nTxA1AZQ;scroll;1540
90;2022-01-20 12:51:44.995000+00:00;HxBnzWT1nTxA1AZQ;scroll;1524
91;2022-01-20 12:51:45.012000+00:00;HxBnzWT1nTxA1AZQ;scroll;1507
92;2022-01-20 12:51:45.028000+00:00;HxBnzWT1nTxA1AZQ;scroll;1488
93;2022-01-20 12:51:45.045000+00:00;HxBnzWT1nTxA1AZQ;scroll;1468
94;2022-01-20 12:51:45.062000+00:00;HxBnzWT1nTxA1AZQ;scroll;1450
95;2022-01-20 12:51:45.079000+00:00;HxBnzWT1nTxA1AZQ;scroll;1433
96;2022-01-20 12:51:45.095000+00:00;HxBnzWT1nTxA1AZQ;scroll;1420
97;2022-01-20 12:51:45.112000+00:00;HxBnzWT1nTxA1AZQ;scroll;1410
98;2022-01-20 12:51:45.128000+00:00;HxBnzWT1nTxA1AZQ;scroll;1404
99;2022-01-20 12:51:45.145000+00:00;HxBnzWT1nTxA1AZQ;scroll;1400
100;2022-01-20 12:51:45.239000+00:00;HxBnzWT1nTxA1AZQ;scroll;1399
101;2022-01-20 12:51:45.245000+00:00;HxBnzWT1nTxA1AZQ;scroll;1394
102;2022-01-20 12:51:45.262000+00:00;HxBnzWT1nTxA1AZQ;scroll;1387
103;2022-01-20 12:51:45.280000+00:00;HxBnzWT1nTxA1AZQ;scroll;1370
104;2022-01-20 12:51:45.296000+00:00;HxBnzWT1nTxA1AZQ;scroll;1322
105;2022-01-20 12:51:45.312000+00:00;HxBnzWT1nTxA1AZQ;scroll;1239
