;time;token;event;position
0;2022-01-20 12:50:45.195000+00:00;Ivw4n9IBgPIiwbeD;scroll;0
1;2022-01-20 12:50:55.270000+00:00;Ivw4n9IBgPIiwbeD;scroll;1
2;2022-01-20 12:50:55.278000+00:00;Ivw4n9IBgPIiwbeD;scroll;4
3;2022-01-20 12:50:55.285000+00:00;Ivw4n9IBgPIiwbeD;scroll;6
4;2022-01-20 12:50:55.292000+00:00;Ivw4n9IBgPIiwbeD;scroll;10
5;2022-01-20 12:50:55.306000+00:00;Ivw4n9IBgPIiwbeD;scroll;16
6;2022-01-20 12:50:55.312000+00:00;Ivw4n9IBgPIiwbeD;scroll;24
7;2022-01-20 12:50:55.319000+00:00;Ivw4n9IBgPIiwbeD;scroll;33
8;2022-01-20 12:50:55.326000+00:00;Ivw4n9IBgPIiwbeD;scroll;59
9;2022-01-20 12:50:55.333000+00:00;Ivw4n9IBgPIiwbeD;scroll;86
10;2022-01-20 12:50:55.340000+00:00;Ivw4n9IBgPIiwbeD;scroll;114
11;2022-01-20 12:50:55.347000+00:00;Ivw4n9IBgPIiwbeD;scroll;144
12;2022-01-20 12:50:55.354000+00:00;Ivw4n9IBgPIiwbeD;scroll;191
13;2022-01-20 12:50:55.361000+00:00;Ivw4n9IBgPIiwbeD;scroll;242
14;2022-01-20 12:50:55.368000+00:00;Ivw4n9IBgPIiwbeD;scroll;293
15;2022-01-20 12:50:55.375000+00:00;Ivw4n9IBgPIiwbeD;scroll;337
16;2022-01-20 12:50:55.381000+00:00;Ivw4n9IBgPIiwbeD;scroll;371
17;2022-01-20 12:50:55.389000+00:00;Ivw4n9IBgPIiwbeD;scroll;396
18;2022-01-20 12:50:55.395000+00:00;Ivw4n9IBgPIiwbeD;scroll;408
19;2022-01-20 12:50:55.924000+00:00;Ivw4n9IBgPIiwbeD;scroll;409
20;2022-01-20 12:50:55.931000+00:00;Ivw4n9IBgPIiwbeD;scroll;410
21;2022-01-20 12:50:55.938000+00:00;Ivw4n9IBgPIiwbeD;scroll;414
22;2022-01-20 12:50:55.945000+00:00;Ivw4n9IBgPIiwbeD;scroll;422
23;2022-01-20 12:50:55.951000+00:00;Ivw4n9IBgPIiwbeD;scroll;434
24;2022-01-20 12:50:55.959000+00:00;Ivw4n9IBgPIiwbeD;scroll;457
25;2022-01-20 12:50:55.965000+00:00;Ivw4n9IBgPIiwbeD;scroll;579
26;2022-01-20 12:50:55.973000+00:00;Ivw4n9IBgPIiwbeD;scroll;658
27;2022-01-20 12:50:55.979000+00:00;Ivw4n9IBgPIiwbeD;scroll;728
28;2022-01-20 12:50:55.986000+00:00;Ivw4n9IBgPIiwbeD;scroll;790
29;2022-01-20 12:50:55.993000+00:00;Ivw4n9IBgPIiwbeD;scroll;842
30;2022-01-20 12:50:56+00:00;Ivw4n9IBgPIiwbeD;scroll;882
31;2022-01-20 12:50:56.007000+00:00;Ivw4n9IBgPIiwbeD;scroll;909
32;2022-01-20 12:50:56.014000+00:00;Ivw4n9IBgPIiwbeD;scroll;918
33;2022-01-20 12:50:56.257000+00:00;Ivw4n9IBgPIiwbeD;scroll;920
34;2022-01-20 12:50:56.264000+00:00;Ivw4n9IBgPIiwbeD;scroll;922
35;2022-01-20 12:50:56.271000+00:00;Ivw4n9IBgPIiwbeD;scroll;926
36;2022-01-20 12:50:56.277000+00:00;Ivw4n9IBgPIiwbeD;scroll;938
37;2022-01-20 12:50:56.284000+00:00;Ivw4n9IBgPIiwbeD;scroll;949
38;2022-01-20 12:50:56.291000+00:00;Ivw4n9IBgPIiwbeD;scroll;987
39;2022-01-20 12:50:56.299000+00:00;Ivw4n9IBgPIiwbeD;scroll;1037
40;2022-01-20 12:50:56.306000+00:00;Ivw4n9IBgPIiwbeD;scroll;1103
41;2022-01-20 12:50:56.313000+00:00;Ivw4n9IBgPIiwbeD;scroll;1172
42;2022-01-20 12:50:56.320000+00:00;Ivw4n9IBgPIiwbeD;scroll;1237
43;2022-01-20 12:50:56.326000+00:00;Ivw4n9IBgPIiwbeD;scroll;1294
44;2022-01-20 12:50:56.333000+00:00;Ivw4n9IBgPIiwbeD;scroll;1344
45;2022-01-20 12:50:56.340000+00:00;Ivw4n9IBgPIiwbeD;scroll;1384
46;2022-01-20 12:50:56.347000+00:00;Ivw4n9IBgPIiwbeD;scroll;1412
47;2022-01-20 12:50:56.354000+00:00;Ivw4n9IBgPIiwbeD;scroll;1427
48;2022-01-20 12:50:56.361000+00:00;Ivw4n9IBgPIiwbeD;scroll;1428
49;2022-01-20 12:50:56.641000+00:00;Ivw4n9IBgPIiwbeD;scroll;1429
50;2022-01-20 12:50:56.652000+00:00;Ivw4n9IBgPIiwbeD;scroll;1431
51;2022-01-20 12:50:56.660000+00:00;Ivw4n9IBgPIiwbeD;scroll;1434
52;2022-01-20 12:50:56.667000+00:00;Ivw4n9IBgPIiwbeD;scroll;1438
53;2022-01-20 12:50:56.674000+00:00;Ivw4n9IBgPIiwbeD;scroll;1442
54;2022-01-20 12:50:56.687000+00:00;Ivw4n9IBgPIiwbeD;scroll;1447
55;2022-01-20 12:50:56.695000+00:00;Ivw4n9IBgPIiwbeD;scroll;1452
