;time;token;event;position
0;2022-01-12 22:51:05.063000+00:00;LdmPW7d9Sq5VUUYQ;scroll;0
1;2022-01-12 22:51:19.383000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1
2;2022-01-12 22:51:19.400000+00:00;LdmPW7d9Sq5VUUYQ;scroll;8
3;2022-01-12 22:51:19.416000+00:00;LdmPW7d9Sq5VUUYQ;scroll;26
4;2022-01-12 22:51:19.433000+00:00;LdmPW7d9Sq5VUUYQ;scroll;53
5;2022-01-12 22:51:19.450000+00:00;LdmPW7d9Sq5VUUYQ;scroll;93
6;2022-01-12 22:51:19.467000+00:00;LdmPW7d9Sq5VUUYQ;scroll;133
7;2022-01-12 22:51:19.482000+00:00;LdmPW7d9Sq5VUUYQ;scroll;176
8;2022-01-12 22:51:19.499000+00:00;LdmPW7d9Sq5VUUYQ;scroll;215
9;2022-01-12 22:51:19.516000+00:00;LdmPW7d9Sq5VUUYQ;scroll;254
10;2022-01-12 22:51:19.533000+00:00;LdmPW7d9Sq5VUUYQ;scroll;287
11;2022-01-12 22:51:19.550000+00:00;LdmPW7d9Sq5VUUYQ;scroll;389
12;2022-01-12 22:51:19.566000+00:00;LdmPW7d9Sq5VUUYQ;scroll;452
13;2022-01-12 22:51:19.584000+00:00;LdmPW7d9Sq5VUUYQ;scroll;515
14;2022-01-12 22:51:19.599000+00:00;LdmPW7d9Sq5VUUYQ;scroll;588
15;2022-01-12 22:51:19.616000+00:00;LdmPW7d9Sq5VUUYQ;scroll;660
16;2022-01-12 22:51:19.632000+00:00;LdmPW7d9Sq5VUUYQ;scroll;733
17;2022-01-12 22:51:19.649000+00:00;LdmPW7d9Sq5VUUYQ;scroll;798
18;2022-01-12 22:51:19.666000+00:00;LdmPW7d9Sq5VUUYQ;scroll;863
19;2022-01-12 22:51:19.683000+00:00;LdmPW7d9Sq5VUUYQ;scroll;919
20;2022-01-12 22:51:19.700000+00:00;LdmPW7d9Sq5VUUYQ;scroll;973
21;2022-01-12 22:51:19.716000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1035
22;2022-01-12 22:51:19.733000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1078
23;2022-01-12 22:51:19.749000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1118
24;2022-01-12 22:51:19.766000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1149
25;2022-01-12 22:51:19.783000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1174
26;2022-01-12 22:51:19.799000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1189
27;2022-01-12 22:51:19.816000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1194
28;2022-01-12 22:51:30.249000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1189
29;2022-01-12 22:51:30.283000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1179
30;2022-01-12 22:51:30.299000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1156
31;2022-01-12 22:51:30.316000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1128
32;2022-01-12 22:51:30.332000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1095
33;2022-01-12 22:51:30.349000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1063
34;2022-01-12 22:51:30.366000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1030
35;2022-01-12 22:51:30.383000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1000
36;2022-01-12 22:51:30.399000+00:00;LdmPW7d9Sq5VUUYQ;scroll;970
37;2022-01-12 22:51:30.416000+00:00;LdmPW7d9Sq5VUUYQ;scroll;945
38;2022-01-12 22:51:30.433000+00:00;LdmPW7d9Sq5VUUYQ;scroll;855
39;2022-01-12 22:51:30.450000+00:00;LdmPW7d9Sq5VUUYQ;scroll;815
40;2022-01-12 22:51:30.466000+00:00;LdmPW7d9Sq5VUUYQ;scroll;776
41;2022-01-12 22:51:30.482000+00:00;LdmPW7d9Sq5VUUYQ;scroll;736
42;2022-01-12 22:51:30.499000+00:00;LdmPW7d9Sq5VUUYQ;scroll;701
43;2022-01-12 22:51:30.516000+00:00;LdmPW7d9Sq5VUUYQ;scroll;665
44;2022-01-12 22:51:30.533000+00:00;LdmPW7d9Sq5VUUYQ;scroll;633
45;2022-01-12 22:51:30.550000+00:00;LdmPW7d9Sq5VUUYQ;scroll;601
46;2022-01-12 22:51:30.566000+00:00;LdmPW7d9Sq5VUUYQ;scroll;572
47;2022-01-12 22:51:30.583000+00:00;LdmPW7d9Sq5VUUYQ;scroll;547
48;2022-01-12 22:51:30.599000+00:00;LdmPW7d9Sq5VUUYQ;scroll;523
49;2022-01-12 22:51:30.616000+00:00;LdmPW7d9Sq5VUUYQ;scroll;429
50;2022-01-12 22:51:30.633000+00:00;LdmPW7d9Sq5VUUYQ;scroll;387
51;2022-01-12 22:51:30.649000+00:00;LdmPW7d9Sq5VUUYQ;scroll;349
52;2022-01-12 22:51:30.666000+00:00;LdmPW7d9Sq5VUUYQ;scroll;313
53;2022-01-12 22:51:30.683000+00:00;LdmPW7d9Sq5VUUYQ;scroll;282
54;2022-01-12 22:51:30.699000+00:00;LdmPW7d9Sq5VUUYQ;scroll;251
55;2022-01-12 22:51:30.716000+00:00;LdmPW7d9Sq5VUUYQ;scroll;223
56;2022-01-12 22:51:30.732000+00:00;LdmPW7d9Sq5VUUYQ;scroll;198
57;2022-01-12 22:51:30.749000+00:00;LdmPW7d9Sq5VUUYQ;scroll;175
58;2022-01-12 22:51:30.766000+00:00;LdmPW7d9Sq5VUUYQ;scroll;156
59;2022-01-12 22:51:30.783000+00:00;LdmPW7d9Sq5VUUYQ;scroll;138
60;2022-01-12 22:51:30.800000+00:00;LdmPW7d9Sq5VUUYQ;scroll;106
61;2022-01-12 22:51:30.816000+00:00;LdmPW7d9Sq5VUUYQ;scroll;87
62;2022-01-12 22:51:30.832000+00:00;LdmPW7d9Sq5VUUYQ;scroll;70
63;2022-01-12 22:51:30.850000+00:00;LdmPW7d9Sq5VUUYQ;scroll;55
64;2022-01-12 22:51:30.866000+00:00;LdmPW7d9Sq5VUUYQ;scroll;41
65;2022-01-12 22:51:30.883000+00:00;LdmPW7d9Sq5VUUYQ;scroll;29
66;2022-01-12 22:51:30.899000+00:00;LdmPW7d9Sq5VUUYQ;scroll;18
67;2022-01-12 22:51:30.916000+00:00;LdmPW7d9Sq5VUUYQ;scroll;10
68;2022-01-12 22:51:30.933000+00:00;LdmPW7d9Sq5VUUYQ;scroll;4
69;2022-01-12 22:51:30.949000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1
70;2022-01-12 22:51:30.966000+00:00;LdmPW7d9Sq5VUUYQ;scroll;0
71;2022-01-12 22:51:30.982000+00:00;LdmPW7d9Sq5VUUYQ;scroll;74
72;2022-01-12 22:51:30.999000+00:00;LdmPW7d9Sq5VUUYQ;scroll;110
73;2022-01-12 22:51:31.016000+00:00;LdmPW7d9Sq5VUUYQ;scroll;153
74;2022-01-12 22:51:31.033000+00:00;LdmPW7d9Sq5VUUYQ;scroll;195
75;2022-01-12 22:51:31.049000+00:00;LdmPW7d9Sq5VUUYQ;scroll;237
76;2022-01-12 22:51:31.066000+00:00;LdmPW7d9Sq5VUUYQ;scroll;276
77;2022-01-12 22:51:31.082000+00:00;LdmPW7d9Sq5VUUYQ;scroll;315
78;2022-01-12 22:51:31.099000+00:00;LdmPW7d9Sq5VUUYQ;scroll;349
79;2022-01-12 22:51:31.116000+00:00;LdmPW7d9Sq5VUUYQ;scroll;383
80;2022-01-12 22:51:31.133000+00:00;LdmPW7d9Sq5VUUYQ;scroll;413
81;2022-01-12 22:51:31.150000+00:00;LdmPW7d9Sq5VUUYQ;scroll;439
82;2022-01-12 22:51:31.165000+00:00;LdmPW7d9Sq5VUUYQ;scroll;500
83;2022-01-12 22:51:31.183000+00:00;LdmPW7d9Sq5VUUYQ;scroll;529
84;2022-01-12 22:51:31.199000+00:00;LdmPW7d9Sq5VUUYQ;scroll;557
85;2022-01-12 22:51:31.216000+00:00;LdmPW7d9Sq5VUUYQ;scroll;582
86;2022-01-12 22:51:31.232000+00:00;LdmPW7d9Sq5VUUYQ;scroll;606
87;2022-01-12 22:51:31.250000+00:00;LdmPW7d9Sq5VUUYQ;scroll;627
88;2022-01-12 22:51:31.266000+00:00;LdmPW7d9Sq5VUUYQ;scroll;648
89;2022-01-12 22:51:31.283000+00:00;LdmPW7d9Sq5VUUYQ;scroll;667
90;2022-01-12 22:51:31.300000+00:00;LdmPW7d9Sq5VUUYQ;scroll;683
91;2022-01-12 22:51:31.316000+00:00;LdmPW7d9Sq5VUUYQ;scroll;699
92;2022-01-12 22:51:31.332000+00:00;LdmPW7d9Sq5VUUYQ;scroll;712
93;2022-01-12 22:51:31.349000+00:00;LdmPW7d9Sq5VUUYQ;scroll;747
94;2022-01-12 22:51:31.366000+00:00;LdmPW7d9Sq5VUUYQ;scroll;771
95;2022-01-12 22:51:31.383000+00:00;LdmPW7d9Sq5VUUYQ;scroll;798
96;2022-01-12 22:51:31.400000+00:00;LdmPW7d9Sq5VUUYQ;scroll;825
97;2022-01-12 22:51:31.416000+00:00;LdmPW7d9Sq5VUUYQ;scroll;850
98;2022-01-12 22:51:31.432000+00:00;LdmPW7d9Sq5VUUYQ;scroll;876
99;2022-01-12 22:51:31.450000+00:00;LdmPW7d9Sq5VUUYQ;scroll;899
100;2022-01-12 22:51:31.466000+00:00;LdmPW7d9Sq5VUUYQ;scroll;922
101;2022-01-12 22:51:31.482000+00:00;LdmPW7d9Sq5VUUYQ;scroll;942
102;2022-01-12 22:51:31.499000+00:00;LdmPW7d9Sq5VUUYQ;scroll;962
103;2022-01-12 22:51:31.516000+00:00;LdmPW7d9Sq5VUUYQ;scroll;978
104;2022-01-12 22:51:31.533000+00:00;LdmPW7d9Sq5VUUYQ;scroll;994
105;2022-01-12 22:51:31.549000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1043
106;2022-01-12 22:51:31.567000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1064
107;2022-01-12 22:51:31.583000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1085
108;2022-01-12 22:51:31.600000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1104
109;2022-01-12 22:51:31.615000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1123
110;2022-01-12 22:51:31.633000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1138
111;2022-01-12 22:51:31.649000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1153
112;2022-01-12 22:51:31.666000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1166
113;2022-01-12 22:51:31.683000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1177
114;2022-01-12 22:51:31.699000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1186
115;2022-01-12 22:51:31.716000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1191
116;2022-01-12 22:51:31.732000+00:00;LdmPW7d9Sq5VUUYQ;scroll;1194
117;2022-01-12 22:51:34.851000+00:00;LdmPW7d9Sq5VUUYQ;scroll;0
