;time;token;event;position
0;2022-01-20 13:19:48.452000+00:00;MG+krTHlJSOCeXVz;scroll;0.0
1;2022-01-20 13:19:50.701000+00:00;MG+krTHlJSOCeXVz;scroll;1.600000023841858
2;2022-01-20 13:19:50.708000+00:00;MG+krTHlJSOCeXVz;scroll;3.200000047683716
3;2022-01-20 13:19:50.715000+00:00;MG+krTHlJSOCeXVz;scroll;4.800000190734863
4;2022-01-20 13:19:50.722000+00:00;MG+krTHlJSOCeXVz;scroll;8.0
5;2022-01-20 13:19:50.729000+00:00;MG+krTHlJSOCeXVz;scroll;11.199999809265137
6;2022-01-20 13:19:50.736000+00:00;MG+krTHlJSOCeXVz;scroll;14.399999618530273
7;2022-01-20 13:19:50.743000+00:00;MG+krTHlJSOCeXVz;scroll;18.399999618530273
8;2022-01-20 13:19:50.750000+00:00;MG+krTHlJSOCeXVz;scroll;23.200000762939453
9;2022-01-20 13:19:50.757000+00:00;MG+krTHlJSOCeXVz;scroll;28.799999237060547
10;2022-01-20 13:19:50.763000+00:00;MG+krTHlJSOCeXVz;scroll;40.79999923706055
11;2022-01-20 13:19:50.770000+00:00;MG+krTHlJSOCeXVz;scroll;64.80000305175781
12;2022-01-20 13:19:50.777000+00:00;MG+krTHlJSOCeXVz;scroll;102.4000015258789
13;2022-01-20 13:19:50.785000+00:00;MG+krTHlJSOCeXVz;scroll;159.1999969482422
14;2022-01-20 13:19:50.792000+00:00;MG+krTHlJSOCeXVz;scroll;224.8000030517578
15;2022-01-20 13:19:50.798000+00:00;MG+krTHlJSOCeXVz;scroll;289.6000061035156
16;2022-01-20 13:19:50.805000+00:00;MG+krTHlJSOCeXVz;scroll;363.20001220703125
17;2022-01-20 13:19:50.812000+00:00;MG+krTHlJSOCeXVz;scroll;439.20001220703125
18;2022-01-20 13:19:50.819000+00:00;MG+krTHlJSOCeXVz;scroll;510.3999938964844
19;2022-01-20 13:19:50.826000+00:00;MG+krTHlJSOCeXVz;scroll;580.0
20;2022-01-20 13:19:50.833000+00:00;MG+krTHlJSOCeXVz;scroll;644.7999877929688
21;2022-01-20 13:19:50.840000+00:00;MG+krTHlJSOCeXVz;scroll;704.7999877929688
22;2022-01-20 13:19:50.847000+00:00;MG+krTHlJSOCeXVz;scroll;756.7999877929688
23;2022-01-20 13:19:50.854000+00:00;MG+krTHlJSOCeXVz;scroll;799.2000122070312
24;2022-01-20 13:19:50.861000+00:00;MG+krTHlJSOCeXVz;scroll;834.4000244140625
25;2022-01-20 13:19:50.868000+00:00;MG+krTHlJSOCeXVz;scroll;860.7999877929688
26;2022-01-20 13:19:50.875000+00:00;MG+krTHlJSOCeXVz;scroll;878.4000244140625
27;2022-01-20 13:19:50.882000+00:00;MG+krTHlJSOCeXVz;scroll;890.4000244140625
28;2022-01-20 13:19:50.889000+00:00;MG+krTHlJSOCeXVz;scroll;897.5999755859375
29;2022-01-20 13:19:50.896000+00:00;MG+krTHlJSOCeXVz;scroll;900.0
30;2022-01-20 13:20:42.653000+00:00;MG+krTHlJSOCeXVz;scroll;899.2000122070312
31;2022-01-20 13:20:42.660000+00:00;MG+krTHlJSOCeXVz;scroll;897.5999755859375
32;2022-01-20 13:20:42.667000+00:00;MG+krTHlJSOCeXVz;scroll;896.0
