;time;token;event;position
0;2022-01-20 12:50:58.663000+00:00;NTwZhwBmebca4Gup;scroll;0.0
1;2022-01-20 12:51:13.534000+00:00;NTwZhwBmebca4Gup;scroll;1.0
2;2022-01-20 12:51:13.547000+00:00;NTwZhwBmebca4Gup;scroll;6.0
3;2022-01-20 12:51:13.563000+00:00;NTwZhwBmebca4Gup;scroll;13.0
4;2022-01-20 12:51:13.580000+00:00;NTwZhwBmebca4Gup;scroll;24.0
5;2022-01-20 12:51:13.596000+00:00;NTwZhwBmebca4Gup;scroll;42.0
6;2022-01-20 12:51:13.613000+00:00;NTwZhwBmebca4Gup;scroll;69.0
7;2022-01-20 12:51:13.630000+00:00;NTwZhwBmebca4Gup;scroll;105.0
8;2022-01-20 12:51:13.646000+00:00;NTwZhwBmebca4Gup;scroll;149.0
9;2022-01-20 12:51:13.663000+00:00;NTwZhwBmebca4Gup;scroll;200.0
10;2022-01-20 12:51:13.680000+00:00;NTwZhwBmebca4Gup;scroll;256.0
11;2022-01-20 12:51:13.696000+00:00;NTwZhwBmebca4Gup;scroll;309.0
12;2022-01-20 12:51:13.713000+00:00;NTwZhwBmebca4Gup;scroll;352.0
13;2022-01-20 12:51:13.730000+00:00;NTwZhwBmebca4Gup;scroll;381.0
14;2022-01-20 12:51:13.746000+00:00;NTwZhwBmebca4Gup;scroll;397.0
15;2022-01-20 12:51:13.763000+00:00;NTwZhwBmebca4Gup;scroll;400.0
16;2022-01-20 12:51:14.697000+00:00;NTwZhwBmebca4Gup;scroll;401.0
17;2022-01-20 12:51:14.713000+00:00;NTwZhwBmebca4Gup;scroll;413.0
18;2022-01-20 12:51:14.730000+00:00;NTwZhwBmebca4Gup;scroll;440.0
19;2022-01-20 12:51:14.747000+00:00;NTwZhwBmebca4Gup;scroll;487.0
20;2022-01-20 12:51:14.763000+00:00;NTwZhwBmebca4Gup;scroll;552.0
21;2022-01-20 12:51:14.780000+00:00;NTwZhwBmebca4Gup;scroll;629.0
22;2022-01-20 12:51:14.797000+00:00;NTwZhwBmebca4Gup;scroll;703.0
23;2022-01-20 12:51:14.813000+00:00;NTwZhwBmebca4Gup;scroll;759.0
24;2022-01-20 12:51:14.830000+00:00;NTwZhwBmebca4Gup;scroll;791.0
25;2022-01-20 12:51:14.847000+00:00;NTwZhwBmebca4Gup;scroll;800.0
26;2022-01-20 12:51:14.963000+00:00;NTwZhwBmebca4Gup;scroll;801.0
27;2022-01-20 12:51:14.980000+00:00;NTwZhwBmebca4Gup;scroll;806.0
28;2022-01-20 12:51:14.996000+00:00;NTwZhwBmebca4Gup;scroll;816.0
29;2022-01-20 12:51:15.013000+00:00;NTwZhwBmebca4Gup;scroll;838.0
30;2022-01-20 12:51:15.030000+00:00;NTwZhwBmebca4Gup;scroll;888.0
31;2022-01-20 12:51:15.047000+00:00;NTwZhwBmebca4Gup;scroll;976.0
32;2022-01-20 12:51:15.063000+00:00;NTwZhwBmebca4Gup;scroll;1090.0
33;2022-01-20 12:51:15.080000+00:00;NTwZhwBmebca4Gup;scroll;1199.0
34;2022-01-20 12:51:15.096000+00:00;NTwZhwBmebca4Gup;scroll;1272.0
35;2022-01-20 12:51:15.113000+00:00;NTwZhwBmebca4Gup;scroll;1299.0
36;2022-01-20 12:51:15.130000+00:00;NTwZhwBmebca4Gup;scroll;1300.0
37;2022-01-20 12:51:15.247000+00:00;NTwZhwBmebca4Gup;scroll;1301.0
38;2022-01-20 12:51:15.263000+00:00;NTwZhwBmebca4Gup;scroll;1306.0
39;2022-01-20 12:51:15.280000+00:00;NTwZhwBmebca4Gup;scroll;1313.0
40;2022-01-20 12:51:15.297000+00:00;NTwZhwBmebca4Gup;scroll;1326.0
41;2022-01-20 12:51:15.314000+00:00;NTwZhwBmebca4Gup;scroll;1345.0
42;2022-01-20 12:51:15.330000+00:00;NTwZhwBmebca4Gup;scroll;1377.0
43;2022-01-20 12:51:15.347000+00:00;NTwZhwBmebca4Gup;scroll;1424.0
44;2022-01-20 12:51:15.363000+00:00;NTwZhwBmebca4Gup;scroll;1485.0
45;2022-01-20 12:51:15.380000+00:00;NTwZhwBmebca4Gup;scroll;1552.0
46;2022-01-20 12:51:15.397000+00:00;NTwZhwBmebca4Gup;scroll;1615.0
47;2022-01-20 12:51:15.413000+00:00;NTwZhwBmebca4Gup;scroll;1663.0
48;2022-01-20 12:51:15.430000+00:00;NTwZhwBmebca4Gup;scroll;1691.0
49;2022-01-20 12:51:15.447000+00:00;NTwZhwBmebca4Gup;scroll;1700.0
50;2022-01-20 12:51:15.547000+00:00;NTwZhwBmebca4Gup;scroll;1701.0
51;2022-01-20 12:51:15.563000+00:00;NTwZhwBmebca4Gup;scroll;1708.0
52;2022-01-20 12:51:15.580000+00:00;NTwZhwBmebca4Gup;scroll;1723.0
