;time;token;event;position
0;2022-01-13 12:44:10.928000+00:00;PXKN6DkYIuUlQT7M;scroll;0.0
1;2022-01-13 12:45:59.459000+00:00;PXKN6DkYIuUlQT7M;scroll;1.600000023841858
2;2022-01-13 12:45:59.471000+00:00;PXKN6DkYIuUlQT7M;scroll;5.599999904632568
3;2022-01-13 12:45:59.488000+00:00;PXKN6DkYIuUlQT7M;scroll;13.600000381469727
4;2022-01-13 12:45:59.505000+00:00;PXKN6DkYIuUlQT7M;scroll;24.0
5;2022-01-13 12:45:59.521000+00:00;PXKN6DkYIuUlQT7M;scroll;36.79999923706055
6;2022-01-13 12:45:59.538000+00:00;PXKN6DkYIuUlQT7M;scroll;51.20000076293945
7;2022-01-13 12:45:59.555000+00:00;PXKN6DkYIuUlQT7M;scroll;65.5999984741211
8;2022-01-13 12:45:59.571000+00:00;PXKN6DkYIuUlQT7M;scroll;77.5999984741211
9;2022-01-13 12:45:59.588000+00:00;PXKN6DkYIuUlQT7M;scroll;88.0
10;2022-01-13 12:45:59.605000+00:00;PXKN6DkYIuUlQT7M;scroll;95.19999694824219
11;2022-01-13 12:45:59.622000+00:00;PXKN6DkYIuUlQT7M;scroll;99.19999694824219
12;2022-01-13 12:45:59.638000+00:00;PXKN6DkYIuUlQT7M;scroll;100.0
13;2022-01-13 12:45:59.971000+00:00;PXKN6DkYIuUlQT7M;scroll;101.5999984741211
14;2022-01-13 12:45:59.988000+00:00;PXKN6DkYIuUlQT7M;scroll;105.5999984741211
15;2022-01-13 12:46:00.005000+00:00;PXKN6DkYIuUlQT7M;scroll;113.5999984741211
16;2022-01-13 12:46:00.022000+00:00;PXKN6DkYIuUlQT7M;scroll;124.0
17;2022-01-13 12:46:00.038000+00:00;PXKN6DkYIuUlQT7M;scroll;136.8000030517578
18;2022-01-13 12:46:00.055000+00:00;PXKN6DkYIuUlQT7M;scroll;151.1999969482422
19;2022-01-13 12:46:00.072000+00:00;PXKN6DkYIuUlQT7M;scroll;164.8000030517578
20;2022-01-13 12:46:00.088000+00:00;PXKN6DkYIuUlQT7M;scroll;177.60000610351562
21;2022-01-13 12:46:00.105000+00:00;PXKN6DkYIuUlQT7M;scroll;188.0
22;2022-01-13 12:46:00.121000+00:00;PXKN6DkYIuUlQT7M;scroll;195.1999969482422
23;2022-01-13 12:46:00.138000+00:00;PXKN6DkYIuUlQT7M;scroll;199.1999969482422
24;2022-01-13 12:46:00.155000+00:00;PXKN6DkYIuUlQT7M;scroll;200.0
25;2022-01-13 12:46:01.006000+00:00;PXKN6DkYIuUlQT7M;scroll;201.60000610351562
26;2022-01-13 12:46:01.006000+00:00;PXKN6DkYIuUlQT7M;scroll;205.60000610351562
27;2022-01-13 12:46:01.021000+00:00;PXKN6DkYIuUlQT7M;scroll;213.60000610351562
28;2022-01-13 12:46:01.038000+00:00;PXKN6DkYIuUlQT7M;scroll;224.0
29;2022-01-13 12:46:01.055000+00:00;PXKN6DkYIuUlQT7M;scroll;236.8000030517578
30;2022-01-13 12:46:01.072000+00:00;PXKN6DkYIuUlQT7M;scroll;251.1999969482422
31;2022-01-13 12:46:01.088000+00:00;PXKN6DkYIuUlQT7M;scroll;265.6000061035156
32;2022-01-13 12:46:01.105000+00:00;PXKN6DkYIuUlQT7M;scroll;277.6000061035156
33;2022-01-13 12:46:01.122000+00:00;PXKN6DkYIuUlQT7M;scroll;288.0
