;time;token;event;position
0;2022-01-13 12:44:23.165000+00:00;QetnCoPqEOM4asQu;scroll;0.0
1;2022-01-13 12:44:46.270000+00:00;QetnCoPqEOM4asQu;scroll;1.600000023841858
2;2022-01-13 12:44:46.277000+00:00;QetnCoPqEOM4asQu;scroll;4.0
3;2022-01-13 12:44:46.283000+00:00;QetnCoPqEOM4asQu;scroll;6.400000095367432
4;2022-01-13 12:44:46.289000+00:00;QetnCoPqEOM4asQu;scroll;9.600000381469727
5;2022-01-13 12:44:46.296000+00:00;QetnCoPqEOM4asQu;scroll;12.800000190734863
6;2022-01-13 12:44:46.301000+00:00;QetnCoPqEOM4asQu;scroll;16.799999237060547
7;2022-01-13 12:44:46.308000+00:00;QetnCoPqEOM4asQu;scroll;21.600000381469727
8;2022-01-13 12:44:46.313000+00:00;QetnCoPqEOM4asQu;scroll;25.600000381469727
9;2022-01-13 12:44:46.320000+00:00;QetnCoPqEOM4asQu;scroll;30.399999618530273
10;2022-01-13 12:44:46.326000+00:00;QetnCoPqEOM4asQu;scroll;35.20000076293945
11;2022-01-13 12:44:46.332000+00:00;QetnCoPqEOM4asQu;scroll;40.0
12;2022-01-13 12:44:46.338000+00:00;QetnCoPqEOM4asQu;scroll;44.79999923706055
13;2022-01-13 12:44:46.344000+00:00;QetnCoPqEOM4asQu;scroll;49.599998474121094
14;2022-01-13 12:44:46.350000+00:00;QetnCoPqEOM4asQu;scroll;54.400001525878906
15;2022-01-13 12:44:46.356000+00:00;QetnCoPqEOM4asQu;scroll;59.20000076293945
16;2022-01-13 12:44:46.362000+00:00;QetnCoPqEOM4asQu;scroll;63.20000076293945
17;2022-01-13 12:44:46.368000+00:00;QetnCoPqEOM4asQu;scroll;68.0
18;2022-01-13 12:44:46.374000+00:00;QetnCoPqEOM4asQu;scroll;72.0
19;2022-01-13 12:44:46.381000+00:00;QetnCoPqEOM4asQu;scroll;76.0
20;2022-01-13 12:44:46.387000+00:00;QetnCoPqEOM4asQu;scroll;80.0
21;2022-01-13 12:44:46.392000+00:00;QetnCoPqEOM4asQu;scroll;84.0
22;2022-01-13 12:44:46.399000+00:00;QetnCoPqEOM4asQu;scroll;87.19999694824219
23;2022-01-13 12:44:46.405000+00:00;QetnCoPqEOM4asQu;scroll;90.4000015258789
24;2022-01-13 12:44:46.411000+00:00;QetnCoPqEOM4asQu;scroll;93.5999984741211
25;2022-01-13 12:44:46.416000+00:00;QetnCoPqEOM4asQu;scroll;96.0
26;2022-01-13 12:44:46.423000+00:00;QetnCoPqEOM4asQu;scroll;98.4000015258789
27;2022-01-13 12:44:46.429000+00:00;QetnCoPqEOM4asQu;scroll;100.80000305175781
28;2022-01-13 12:44:46.436000+00:00;QetnCoPqEOM4asQu;scroll;102.4000015258789
29;2022-01-13 12:44:46.441000+00:00;QetnCoPqEOM4asQu;scroll;104.0
30;2022-01-13 12:44:46.447000+00:00;QetnCoPqEOM4asQu;scroll;108.0
