;time;token;event;position
0;2022-01-13 13:32:31.644000+00:00;S2TuDbWaJL6mGdOX;scroll;0.0
1;2022-01-13 13:32:31.663000+00:00;S2TuDbWaJL6mGdOX;scroll;696.0
2;2022-01-13 13:32:31.666000+00:00;S2TuDbWaJL6mGdOX;scroll;0.0
3;2022-01-13 13:32:44.932000+00:00;S2TuDbWaJL6mGdOX;scroll;8.0
4;2022-01-13 13:32:44.941000+00:00;S2TuDbWaJL6mGdOX;scroll;28.0
5;2022-01-13 13:32:44.954000+00:00;S2TuDbWaJL6mGdOX;scroll;52.0
6;2022-01-13 13:32:44.966000+00:00;S2TuDbWaJL6mGdOX;scroll;106.0
7;2022-01-13 13:32:44.983000+00:00;S2TuDbWaJL6mGdOX;scroll;126.0
8;2022-01-13 13:32:45+00:00;S2TuDbWaJL6mGdOX;scroll;169.0
9;2022-01-13 13:32:45.016000+00:00;S2TuDbWaJL6mGdOX;scroll;202.0
10;2022-01-13 13:32:45.033000+00:00;S2TuDbWaJL6mGdOX;scroll;255.0
11;2022-01-13 13:32:45.050000+00:00;S2TuDbWaJL6mGdOX;scroll;308.0
12;2022-01-13 13:32:45.067000+00:00;S2TuDbWaJL6mGdOX;scroll;359.0
13;2022-01-13 13:32:45.083000+00:00;S2TuDbWaJL6mGdOX;scroll;410.0
14;2022-01-13 13:32:45.100000+00:00;S2TuDbWaJL6mGdOX;scroll;459.0
15;2022-01-13 13:32:45.116000+00:00;S2TuDbWaJL6mGdOX;scroll;507.0
16;2022-01-13 13:32:45.133000+00:00;S2TuDbWaJL6mGdOX;scroll;553.0
17;2022-01-13 13:32:45.150000+00:00;S2TuDbWaJL6mGdOX;scroll;598.0
18;2022-01-13 13:32:45.167000+00:00;S2TuDbWaJL6mGdOX;scroll;642.0
19;2022-01-13 13:32:45.184000+00:00;S2TuDbWaJL6mGdOX;scroll;684.0
20;2022-01-13 13:32:45.200000+00:00;S2TuDbWaJL6mGdOX;scroll;725.0
21;2022-01-13 13:32:45.216000+00:00;S2TuDbWaJL6mGdOX;scroll;745.0
22;2022-01-13 13:32:45.251000+00:00;S2TuDbWaJL6mGdOX;scroll;774.0
23;2022-01-13 13:32:45.267000+00:00;S2TuDbWaJL6mGdOX;scroll;814.0
24;2022-01-13 13:32:45.283000+00:00;S2TuDbWaJL6mGdOX;scroll;902.0
25;2022-01-13 13:32:45.300000+00:00;S2TuDbWaJL6mGdOX;scroll;959.0
26;2022-01-13 13:32:45.317000+00:00;S2TuDbWaJL6mGdOX;scroll;1000.0
27;2022-01-13 13:32:45.333000+00:00;S2TuDbWaJL6mGdOX;scroll;1071.0
28;2022-01-13 13:32:45.350000+00:00;S2TuDbWaJL6mGdOX;scroll;1116.0
29;2022-01-13 13:32:45.367000+00:00;S2TuDbWaJL6mGdOX;scroll;1140.0
30;2022-01-13 13:32:45.383000+00:00;S2TuDbWaJL6mGdOX;scroll;1150.0
31;2022-01-13 13:32:45.400000+00:00;S2TuDbWaJL6mGdOX;scroll;1150.0
32;2022-01-13 13:32:45.417000+00:00;S2TuDbWaJL6mGdOX;scroll;1142.0
33;2022-01-13 13:32:45.433000+00:00;S2TuDbWaJL6mGdOX;scroll;1130.0
34;2022-01-13 13:32:45.450000+00:00;S2TuDbWaJL6mGdOX;scroll;1115.0
35;2022-01-13 13:32:45.467000+00:00;S2TuDbWaJL6mGdOX;scroll;1098.0
36;2022-01-13 13:32:45.483000+00:00;S2TuDbWaJL6mGdOX;scroll;1081.0
37;2022-01-13 13:32:45.500000+00:00;S2TuDbWaJL6mGdOX;scroll;1063.0
38;2022-01-13 13:32:45.517000+00:00;S2TuDbWaJL6mGdOX;scroll;1047.0
39;2022-01-13 13:32:45.538000+00:00;S2TuDbWaJL6mGdOX;scroll;1031.0
40;2022-01-13 13:32:45.584000+00:00;S2TuDbWaJL6mGdOX;scroll;1075.0
41;2022-01-13 13:32:45.600000+00:00;S2TuDbWaJL6mGdOX;scroll;1111.0
42;2022-01-13 13:32:45.617000+00:00;S2TuDbWaJL6mGdOX;scroll;1142.0
43;2022-01-13 13:32:45.634000+00:00;S2TuDbWaJL6mGdOX;scroll;1174.0
44;2022-01-13 13:32:45.650000+00:00;S2TuDbWaJL6mGdOX;scroll;1203.0
45;2022-01-13 13:32:45.667000+00:00;S2TuDbWaJL6mGdOX;scroll;1214.0
46;2022-01-13 13:32:45.683000+00:00;S2TuDbWaJL6mGdOX;scroll;1212.0
47;2022-01-13 13:32:45.700000+00:00;S2TuDbWaJL6mGdOX;scroll;1202.0
48;2022-01-13 13:32:45.717000+00:00;S2TuDbWaJL6mGdOX;scroll;1187.0
49;2022-01-13 13:32:45.734000+00:00;S2TuDbWaJL6mGdOX;scroll;1168.0
50;2022-01-13 13:32:45.750000+00:00;S2TuDbWaJL6mGdOX;scroll;1147.0
51;2022-01-13 13:32:45.767000+00:00;S2TuDbWaJL6mGdOX;scroll;1125.0
52;2022-01-13 13:32:45.784000+00:00;S2TuDbWaJL6mGdOX;scroll;1103.0
53;2022-01-13 13:32:45.800000+00:00;S2TuDbWaJL6mGdOX;scroll;1083.0
54;2022-01-13 13:32:45.817000+00:00;S2TuDbWaJL6mGdOX;scroll;1063.0
55;2022-01-13 13:32:45.834000+00:00;S2TuDbWaJL6mGdOX;scroll;1044.0
56;2022-01-13 13:32:45.850000+00:00;S2TuDbWaJL6mGdOX;scroll;1027.0
57;2022-01-13 13:32:45.867000+00:00;S2TuDbWaJL6mGdOX;scroll;1012.0
58;2022-01-13 13:32:45.884000+00:00;S2TuDbWaJL6mGdOX;scroll;997.0
59;2022-01-13 13:32:45.901000+00:00;S2TuDbWaJL6mGdOX;scroll;985.0
60;2022-01-13 13:32:45.917000+00:00;S2TuDbWaJL6mGdOX;scroll;973.0
61;2022-01-13 13:32:45.934000+00:00;S2TuDbWaJL6mGdOX;scroll;963.0
62;2022-01-13 13:32:45.950000+00:00;S2TuDbWaJL6mGdOX;scroll;954.0
63;2022-01-13 13:32:45.967000+00:00;S2TuDbWaJL6mGdOX;scroll;946.0
64;2022-01-13 13:32:45.984000+00:00;S2TuDbWaJL6mGdOX;scroll;939.0
65;2022-01-13 13:32:46.001000+00:00;S2TuDbWaJL6mGdOX;scroll;932.0
66;2022-01-13 13:32:46.017000+00:00;S2TuDbWaJL6mGdOX;scroll;927.0
67;2022-01-13 13:32:46.034000+00:00;S2TuDbWaJL6mGdOX;scroll;922.0
