;time;token;event;position
0;2022-01-13 12:44:01.198000+00:00;SZ4CZQDCuTdPno+y;scroll;0.0
1;2022-01-13 12:44:33.319000+00:00;SZ4CZQDCuTdPno+y;scroll;1.0
2;2022-01-13 12:44:33.327000+00:00;SZ4CZQDCuTdPno+y;scroll;2.0
3;2022-01-13 12:44:33.332000+00:00;SZ4CZQDCuTdPno+y;scroll;3.0
4;2022-01-13 12:44:33.336000+00:00;SZ4CZQDCuTdPno+y;scroll;5.0
5;2022-01-13 12:44:33.340000+00:00;SZ4CZQDCuTdPno+y;scroll;7.0
6;2022-01-13 12:44:33.344000+00:00;SZ4CZQDCuTdPno+y;scroll;9.0
7;2022-01-13 12:44:33.348000+00:00;SZ4CZQDCuTdPno+y;scroll;11.0
8;2022-01-13 12:44:33.352000+00:00;SZ4CZQDCuTdPno+y;scroll;15.0
9;2022-01-13 12:44:33.356000+00:00;SZ4CZQDCuTdPno+y;scroll;19.0
10;2022-01-13 12:44:33.361000+00:00;SZ4CZQDCuTdPno+y;scroll;23.0
11;2022-01-13 12:44:33.365000+00:00;SZ4CZQDCuTdPno+y;scroll;30.0
12;2022-01-13 12:44:33.369000+00:00;SZ4CZQDCuTdPno+y;scroll;40.0
13;2022-01-13 12:44:33.373000+00:00;SZ4CZQDCuTdPno+y;scroll;52.0
14;2022-01-13 12:44:33.377000+00:00;SZ4CZQDCuTdPno+y;scroll;67.0
15;2022-01-13 12:44:33.382000+00:00;SZ4CZQDCuTdPno+y;scroll;84.0
16;2022-01-13 12:44:33.386000+00:00;SZ4CZQDCuTdPno+y;scroll;104.0
17;2022-01-13 12:44:33.390000+00:00;SZ4CZQDCuTdPno+y;scroll;126.0
18;2022-01-13 12:44:33.394000+00:00;SZ4CZQDCuTdPno+y;scroll;150.0
19;2022-01-13 12:44:33.398000+00:00;SZ4CZQDCuTdPno+y;scroll;175.0
20;2022-01-13 12:44:33.402000+00:00;SZ4CZQDCuTdPno+y;scroll;203.0
21;2022-01-13 12:44:33.407000+00:00;SZ4CZQDCuTdPno+y;scroll;231.0
22;2022-01-13 12:44:33.411000+00:00;SZ4CZQDCuTdPno+y;scroll;261.0
23;2022-01-13 12:44:33.415000+00:00;SZ4CZQDCuTdPno+y;scroll;293.0
24;2022-01-13 12:44:33.419000+00:00;SZ4CZQDCuTdPno+y;scroll;325.0
25;2022-01-13 12:44:33.423000+00:00;SZ4CZQDCuTdPno+y;scroll;357.0
26;2022-01-13 12:44:33.428000+00:00;SZ4CZQDCuTdPno+y;scroll;390.0
27;2022-01-13 12:44:33.432000+00:00;SZ4CZQDCuTdPno+y;scroll;423.0
28;2022-01-13 12:44:33.436000+00:00;SZ4CZQDCuTdPno+y;scroll;456.0
29;2022-01-13 12:44:33.440000+00:00;SZ4CZQDCuTdPno+y;scroll;490.0
30;2022-01-13 12:44:33.444000+00:00;SZ4CZQDCuTdPno+y;scroll;523.0
31;2022-01-13 12:44:33.448000+00:00;SZ4CZQDCuTdPno+y;scroll;555.0
32;2022-01-13 12:44:33.453000+00:00;SZ4CZQDCuTdPno+y;scroll;586.0
33;2022-01-13 12:44:33.457000+00:00;SZ4CZQDCuTdPno+y;scroll;616.0
34;2022-01-13 12:44:33.461000+00:00;SZ4CZQDCuTdPno+y;scroll;644.0
35;2022-01-13 12:44:33.465000+00:00;SZ4CZQDCuTdPno+y;scroll;670.0
36;2022-01-13 12:44:33.469000+00:00;SZ4CZQDCuTdPno+y;scroll;695.0
37;2022-01-13 12:44:33.473000+00:00;SZ4CZQDCuTdPno+y;scroll;716.0
38;2022-01-13 12:44:33.478000+00:00;SZ4CZQDCuTdPno+y;scroll;735.0
39;2022-01-13 12:44:33.482000+00:00;SZ4CZQDCuTdPno+y;scroll;751.0
40;2022-01-13 12:44:33.486000+00:00;SZ4CZQDCuTdPno+y;scroll;764.0
41;2022-01-13 12:44:33.490000+00:00;SZ4CZQDCuTdPno+y;scroll;775.0
42;2022-01-13 12:44:33.494000+00:00;SZ4CZQDCuTdPno+y;scroll;784.0
43;2022-01-13 12:44:33.498000+00:00;SZ4CZQDCuTdPno+y;scroll;791.0
44;2022-01-13 12:44:33.503000+00:00;SZ4CZQDCuTdPno+y;scroll;796.0
45;2022-01-13 12:44:33.507000+00:00;SZ4CZQDCuTdPno+y;scroll;799.0
46;2022-01-13 12:44:33.511000+00:00;SZ4CZQDCuTdPno+y;scroll;800.0
47;2022-01-13 12:44:33.657000+00:00;SZ4CZQDCuTdPno+y;scroll;801.0
48;2022-01-13 12:44:33.665000+00:00;SZ4CZQDCuTdPno+y;scroll;802.0
49;2022-01-13 12:44:33.669000+00:00;SZ4CZQDCuTdPno+y;scroll;803.0
50;2022-01-13 12:44:33.674000+00:00;SZ4CZQDCuTdPno+y;scroll;804.0
51;2022-01-13 12:44:33.678000+00:00;SZ4CZQDCuTdPno+y;scroll;806.0
52;2022-01-13 12:44:33.682000+00:00;SZ4CZQDCuTdPno+y;scroll;808.0
53;2022-01-13 12:44:33.686000+00:00;SZ4CZQDCuTdPno+y;scroll;810.0
54;2022-01-13 12:44:33.690000+00:00;SZ4CZQDCuTdPno+y;scroll;813.0
55;2022-01-13 12:44:33.694000+00:00;SZ4CZQDCuTdPno+y;scroll;816.0
56;2022-01-13 12:44:33.699000+00:00;SZ4CZQDCuTdPno+y;scroll;819.0
57;2022-01-13 12:44:33.703000+00:00;SZ4CZQDCuTdPno+y;scroll;823.0
