;time;token;event;position
0;2022-01-13 12:44:00.672000+00:00;TXyAN6Y4MutfcUQP;scroll;0
1;2022-01-13 12:44:42.023000+00:00;TXyAN6Y4MutfcUQP;scroll;7
2;2022-01-13 12:44:42.039000+00:00;TXyAN6Y4MutfcUQP;scroll;11
3;2022-01-13 12:44:42.074000+00:00;TXyAN6Y4MutfcUQP;scroll;23
4;2022-01-13 12:44:42.107000+00:00;TXyAN6Y4MutfcUQP;scroll;33
5;2022-01-13 12:44:42.142000+00:00;TXyAN6Y4MutfcUQP;scroll;42
6;2022-01-13 12:44:42.177000+00:00;TXyAN6Y4MutfcUQP;scroll;50
7;2022-01-13 12:44:42.193000+00:00;TXyAN6Y4MutfcUQP;scroll;54
8;2022-01-13 12:44:42.210000+00:00;TXyAN6Y4MutfcUQP;scroll;58
9;2022-01-13 12:44:42.227000+00:00;TXyAN6Y4MutfcUQP;scroll;62
10;2022-01-13 12:44:42.244000+00:00;TXyAN6Y4MutfcUQP;scroll;66
11;2022-01-13 12:44:42.260000+00:00;TXyAN6Y4MutfcUQP;scroll;70
12;2022-01-13 12:44:42.278000+00:00;TXyAN6Y4MutfcUQP;scroll;74
13;2022-01-13 12:44:42.295000+00:00;TXyAN6Y4MutfcUQP;scroll;78
14;2022-01-13 12:44:42.310000+00:00;TXyAN6Y4MutfcUQP;scroll;82
15;2022-01-13 12:44:42.328000+00:00;TXyAN6Y4MutfcUQP;scroll;86
16;2022-01-13 12:44:42.344000+00:00;TXyAN6Y4MutfcUQP;scroll;90
17;2022-01-13 12:44:42.361000+00:00;TXyAN6Y4MutfcUQP;scroll;94
18;2022-01-13 12:44:42.378000+00:00;TXyAN6Y4MutfcUQP;scroll;98
19;2022-01-13 12:44:42.394000+00:00;TXyAN6Y4MutfcUQP;scroll;102
20;2022-01-13 12:44:42.412000+00:00;TXyAN6Y4MutfcUQP;scroll;105
21;2022-01-13 12:44:42.427000+00:00;TXyAN6Y4MutfcUQP;scroll;108
22;2022-01-13 12:44:42.444000+00:00;TXyAN6Y4MutfcUQP;scroll;111
23;2022-01-13 12:44:42.461000+00:00;TXyAN6Y4MutfcUQP;scroll;113
24;2022-01-13 12:44:42.477000+00:00;TXyAN6Y4MutfcUQP;scroll;115
25;2022-01-13 12:44:42.494000+00:00;TXyAN6Y4MutfcUQP;scroll;116
26;2022-01-13 12:44:42.512000+00:00;TXyAN6Y4MutfcUQP;scroll;117
27;2022-01-13 12:44:42.611000+00:00;TXyAN6Y4MutfcUQP;scroll;116
28;2022-01-13 12:44:42.627000+00:00;TXyAN6Y4MutfcUQP;scroll;115
29;2022-01-13 12:44:42.660000+00:00;TXyAN6Y4MutfcUQP;scroll;114
30;2022-01-13 12:44:42.696000+00:00;TXyAN6Y4MutfcUQP;scroll;113
31;2022-01-13 12:44:42.714000+00:00;TXyAN6Y4MutfcUQP;scroll;111
32;2022-01-13 12:44:42.731000+00:00;TXyAN6Y4MutfcUQP;scroll;110
33;2022-01-13 12:44:42.748000+00:00;TXyAN6Y4MutfcUQP;scroll;109
34;2022-01-13 12:44:42.765000+00:00;TXyAN6Y4MutfcUQP;scroll;108
35;2022-01-13 12:44:42.782000+00:00;TXyAN6Y4MutfcUQP;scroll;107
36;2022-01-13 12:44:42.799000+00:00;TXyAN6Y4MutfcUQP;scroll;106
37;2022-01-13 12:44:42.984000+00:00;TXyAN6Y4MutfcUQP;scroll;107
