;time;token;event;position
0;2022-01-20 13:34:56.604000+00:00;To8Agy+qIYJA9+5k;scroll;0.0
1;2022-01-20 13:34:58.521000+00:00;To8Agy+qIYJA9+5k;scroll;1.3333333730697632
2;2022-01-20 13:34:58.537000+00:00;To8Agy+qIYJA9+5k;scroll;10.666666984558105
3;2022-01-20 13:34:58.554000+00:00;To8Agy+qIYJA9+5k;scroll;60.0
4;2022-01-20 13:34:58.570000+00:00;To8Agy+qIYJA9+5k;scroll;188.0
5;2022-01-20 13:34:58.587000+00:00;To8Agy+qIYJA9+5k;scroll;384.0
6;2022-01-20 13:34:58.604000+00:00;To8Agy+qIYJA9+5k;scroll;620.0
7;2022-01-20 13:34:58.620000+00:00;To8Agy+qIYJA9+5k;scroll;862.6666870117188
8;2022-01-20 13:34:58.637000+00:00;To8Agy+qIYJA9+5k;scroll;1058.6666259765625
9;2022-01-20 13:34:58.653000+00:00;To8Agy+qIYJA9+5k;scroll;1169.3333740234375
10;2022-01-20 13:34:58.670000+00:00;To8Agy+qIYJA9+5k;scroll;1200.0
11;2022-01-20 13:34:58.812000+00:00;To8Agy+qIYJA9+5k;scroll;1201.3333740234375
12;2022-01-20 13:34:58.820000+00:00;To8Agy+qIYJA9+5k;scroll;1205.3333740234375
13;2022-01-20 13:34:58.837000+00:00;To8Agy+qIYJA9+5k;scroll;1224.0
14;2022-01-20 13:34:58.854000+00:00;To8Agy+qIYJA9+5k;scroll;1310.6666259765625
15;2022-01-20 13:34:58.871000+00:00;To8Agy+qIYJA9+5k;scroll;1476.0
16;2022-01-20 13:34:58.888000+00:00;To8Agy+qIYJA9+5k;scroll;1701.3333740234375
17;2022-01-20 13:34:58.904000+00:00;To8Agy+qIYJA9+5k;scroll;1912.0
18;2022-01-20 13:34:58.921000+00:00;To8Agy+qIYJA9+5k;scroll;2045.3333740234375
19;2022-01-20 13:34:58.937000+00:00;To8Agy+qIYJA9+5k;scroll;2085.333251953125
20;2022-01-20 13:34:59.338000+00:00;To8Agy+qIYJA9+5k;scroll;2084.0
21;2022-01-20 13:34:59.354000+00:00;To8Agy+qIYJA9+5k;scroll;2077.333251953125
22;2022-01-20 13:34:59.370000+00:00;To8Agy+qIYJA9+5k;scroll;2068.0
23;2022-01-20 13:34:59.387000+00:00;To8Agy+qIYJA9+5k;scroll;2053.333251953125
24;2022-01-20 13:34:59.403000+00:00;To8Agy+qIYJA9+5k;scroll;2036.0
25;2022-01-20 13:34:59.420000+00:00;To8Agy+qIYJA9+5k;scroll;2017.3333740234375
26;2022-01-20 13:34:59.437000+00:00;To8Agy+qIYJA9+5k;scroll;1998.6666259765625
27;2022-01-20 13:34:59.453000+00:00;To8Agy+qIYJA9+5k;scroll;1981.3333740234375
28;2022-01-20 13:34:59.470000+00:00;To8Agy+qIYJA9+5k;scroll;1968.0
29;2022-01-20 13:34:59.487000+00:00;To8Agy+qIYJA9+5k;scroll;1958.6666259765625
30;2022-01-20 13:34:59.503000+00:00;To8Agy+qIYJA9+5k;scroll;1953.3333740234375
31;2022-01-20 13:34:59.520000+00:00;To8Agy+qIYJA9+5k;scroll;1952.0
32;2022-01-20 13:34:59.897000+00:00;To8Agy+qIYJA9+5k;scroll;1953.3333740234375
33;2022-01-20 13:34:59.903000+00:00;To8Agy+qIYJA9+5k;scroll;1960.0
34;2022-01-20 13:34:59.920000+00:00;To8Agy+qIYJA9+5k;scroll;1969.3333740234375
35;2022-01-20 13:34:59.937000+00:00;To8Agy+qIYJA9+5k;scroll;1982.6666259765625
36;2022-01-20 13:34:59.953000+00:00;To8Agy+qIYJA9+5k;scroll;2000.0
37;2022-01-20 13:34:59.970000+00:00;To8Agy+qIYJA9+5k;scroll;2018.6666259765625
38;2022-01-20 13:34:59.987000+00:00;To8Agy+qIYJA9+5k;scroll;2037.3333740234375
39;2022-01-20 13:35:00.003000+00:00;To8Agy+qIYJA9+5k;scroll;2054.666748046875
40;2022-01-20 13:35:00.021000+00:00;To8Agy+qIYJA9+5k;scroll;2068.0
