;time;token;event;position
0;2022-01-13 12:44:48.071000+00:00;U7hH0Hs6TQJbiXRA;scroll;0
1;2022-01-13 12:44:48.087000+00:00;U7hH0Hs6TQJbiXRA;scroll;948
2;2022-01-13 12:44:48.099000+00:00;U7hH0Hs6TQJbiXRA;scroll;64
3;2022-01-13 12:45:13.391000+00:00;U7hH0Hs6TQJbiXRA;scroll;0
4;2022-01-13 12:47:36.797000+00:00;U7hH0Hs6TQJbiXRA;scroll;23
5;2022-01-13 12:47:36.806000+00:00;U7hH0Hs6TQJbiXRA;scroll;18
6;2022-01-13 12:47:36.819000+00:00;U7hH0Hs6TQJbiXRA;scroll;51
7;2022-01-13 12:47:36.835000+00:00;U7hH0Hs6TQJbiXRA;scroll;72
8;2022-01-13 12:47:36.851000+00:00;U7hH0Hs6TQJbiXRA;scroll;87
9;2022-01-13 12:47:36.868000+00:00;U7hH0Hs6TQJbiXRA;scroll;99
10;2022-01-13 12:47:36.885000+00:00;U7hH0Hs6TQJbiXRA;scroll;106
11;2022-01-13 12:47:36.903000+00:00;U7hH0Hs6TQJbiXRA;scroll;110
12;2022-01-13 12:47:36.918000+00:00;U7hH0Hs6TQJbiXRA;scroll;116
13;2022-01-13 12:47:36.935000+00:00;U7hH0Hs6TQJbiXRA;scroll;120
14;2022-01-13 12:47:36.953000+00:00;U7hH0Hs6TQJbiXRA;scroll;123
15;2022-01-13 12:47:36.969000+00:00;U7hH0Hs6TQJbiXRA;scroll;127
16;2022-01-13 12:47:36.985000+00:00;U7hH0Hs6TQJbiXRA;scroll;130
17;2022-01-13 12:47:37.002000+00:00;U7hH0Hs6TQJbiXRA;scroll;131
18;2022-01-13 12:47:37.018000+00:00;U7hH0Hs6TQJbiXRA;scroll;132
19;2022-01-13 12:47:37.039000+00:00;U7hH0Hs6TQJbiXRA;scroll;133
20;2022-01-13 12:47:37.068000+00:00;U7hH0Hs6TQJbiXRA;scroll;134
21;2022-01-13 12:47:37.085000+00:00;U7hH0Hs6TQJbiXRA;scroll;135
22;2022-01-13 12:47:37.107000+00:00;U7hH0Hs6TQJbiXRA;scroll;136
23;2022-01-13 12:47:37.135000+00:00;U7hH0Hs6TQJbiXRA;scroll;137
24;2022-01-13 12:47:37.151000+00:00;U7hH0Hs6TQJbiXRA;scroll;138
25;2022-01-13 12:47:37.170000+00:00;U7hH0Hs6TQJbiXRA;scroll;139
26;2022-01-13 12:47:37.185000+00:00;U7hH0Hs6TQJbiXRA;scroll;141
27;2022-01-13 12:47:37.204000+00:00;U7hH0Hs6TQJbiXRA;scroll;142
28;2022-01-13 12:47:37.573000+00:00;U7hH0Hs6TQJbiXRA;scroll;175
29;2022-01-13 12:47:37.591000+00:00;U7hH0Hs6TQJbiXRA;scroll;204
30;2022-01-13 12:47:37.619000+00:00;U7hH0Hs6TQJbiXRA;scroll;215
31;2022-01-13 12:47:37.636000+00:00;U7hH0Hs6TQJbiXRA;scroll;218
32;2022-01-13 12:47:37.702000+00:00;U7hH0Hs6TQJbiXRA;scroll;216
33;2022-01-13 12:47:37.735000+00:00;U7hH0Hs6TQJbiXRA;scroll;215
34;2022-01-13 12:47:37.751000+00:00;U7hH0Hs6TQJbiXRA;scroll;214
35;2022-01-13 12:47:37.846000+00:00;U7hH0Hs6TQJbiXRA;scroll;215
36;2022-01-13 12:47:38.625000+00:00;U7hH0Hs6TQJbiXRA;scroll;230
37;2022-01-13 12:47:38.640000+00:00;U7hH0Hs6TQJbiXRA;scroll;240
38;2022-01-13 12:47:38.668000+00:00;U7hH0Hs6TQJbiXRA;scroll;247
39;2022-01-13 12:47:38.686000+00:00;U7hH0Hs6TQJbiXRA;scroll;253
40;2022-01-13 12:47:38.708000+00:00;U7hH0Hs6TQJbiXRA;scroll;257
41;2022-01-13 12:47:38.718000+00:00;U7hH0Hs6TQJbiXRA;scroll;261
42;2022-01-13 12:47:38.735000+00:00;U7hH0Hs6TQJbiXRA;scroll;264
43;2022-01-13 12:47:38.752000+00:00;U7hH0Hs6TQJbiXRA;scroll;267
44;2022-01-13 12:47:38.769000+00:00;U7hH0Hs6TQJbiXRA;scroll;268
45;2022-01-13 12:47:38.825000+00:00;U7hH0Hs6TQJbiXRA;scroll;270
46;2022-01-13 12:47:38.841000+00:00;U7hH0Hs6TQJbiXRA;scroll;272
47;2022-01-13 12:47:38.870000+00:00;U7hH0Hs6TQJbiXRA;scroll;273
48;2022-01-13 12:47:38.885000+00:00;U7hH0Hs6TQJbiXRA;scroll;276
49;2022-01-13 12:47:38.901000+00:00;U7hH0Hs6TQJbiXRA;scroll;279
50;2022-01-13 12:47:38.919000+00:00;U7hH0Hs6TQJbiXRA;scroll;282
51;2022-01-13 12:47:38.935000+00:00;U7hH0Hs6TQJbiXRA;scroll;284
52;2022-01-13 12:47:42.186000+00:00;U7hH0Hs6TQJbiXRA;scroll;0
53;2022-01-13 12:47:42.398000+00:00;U7hH0Hs6TQJbiXRA;scroll;284
54;2022-01-13 12:47:53.156000+00:00;U7hH0Hs6TQJbiXRA;scroll;273
55;2022-01-13 12:47:53.173000+00:00;U7hH0Hs6TQJbiXRA;scroll;260
56;2022-01-13 12:47:53.200000+00:00;U7hH0Hs6TQJbiXRA;scroll;249
57;2022-01-13 12:47:53.217000+00:00;U7hH0Hs6TQJbiXRA;scroll;240
58;2022-01-13 12:47:53.233000+00:00;U7hH0Hs6TQJbiXRA;scroll;234
59;2022-01-13 12:47:53.255000+00:00;U7hH0Hs6TQJbiXRA;scroll;231
60;2022-01-13 12:47:53.267000+00:00;U7hH0Hs6TQJbiXRA;scroll;230
61;2022-01-13 12:47:53.284000+00:00;U7hH0Hs6TQJbiXRA;scroll;229
62;2022-01-13 12:47:53.301000+00:00;U7hH0Hs6TQJbiXRA;scroll;227
63;2022-01-13 12:47:53.317000+00:00;U7hH0Hs6TQJbiXRA;scroll;226
64;2022-01-13 12:47:53.337000+00:00;U7hH0Hs6TQJbiXRA;scroll;224
65;2022-01-13 12:47:56.530000+00:00;U7hH0Hs6TQJbiXRA;scroll;0
66;2022-01-13 12:47:56.757000+00:00;U7hH0Hs6TQJbiXRA;scroll;224
67;2022-01-13 12:48:02.705000+00:00;U7hH0Hs6TQJbiXRA;scroll;212
68;2022-01-13 12:48:02.723000+00:00;U7hH0Hs6TQJbiXRA;scroll;197
69;2022-01-13 12:48:02.750000+00:00;U7hH0Hs6TQJbiXRA;scroll;182
70;2022-01-13 12:48:02.773000+00:00;U7hH0Hs6TQJbiXRA;scroll;167
71;2022-01-13 12:48:02.782000+00:00;U7hH0Hs6TQJbiXRA;scroll;154
72;2022-01-13 12:48:02.799000+00:00;U7hH0Hs6TQJbiXRA;scroll;142
73;2022-01-13 12:48:02.817000+00:00;U7hH0Hs6TQJbiXRA;scroll;128
74;2022-01-13 12:48:02.833000+00:00;U7hH0Hs6TQJbiXRA;scroll;117
75;2022-01-13 12:48:02.852000+00:00;U7hH0Hs6TQJbiXRA;scroll;105
76;2022-01-13 12:48:02.866000+00:00;U7hH0Hs6TQJbiXRA;scroll;94
77;2022-01-13 12:48:02.883000+00:00;U7hH0Hs6TQJbiXRA;scroll;86
78;2022-01-13 12:48:02.900000+00:00;U7hH0Hs6TQJbiXRA;scroll;80
79;2022-01-13 12:48:02.916000+00:00;U7hH0Hs6TQJbiXRA;scroll;75
80;2022-01-13 12:48:02.940000+00:00;U7hH0Hs6TQJbiXRA;scroll;72
81;2022-01-13 12:48:02.955000+00:00;U7hH0Hs6TQJbiXRA;scroll;71
82;2022-01-13 12:48:02.984000+00:00;U7hH0Hs6TQJbiXRA;scroll;70
83;2022-01-13 12:48:03.372000+00:00;U7hH0Hs6TQJbiXRA;scroll;71
84;2022-01-13 12:48:10.016000+00:00;U7hH0Hs6TQJbiXRA;scroll;0
85;2022-01-13 12:48:17.139000+00:00;U7hH0Hs6TQJbiXRA;scroll;6
86;2022-01-13 12:48:17.153000+00:00;U7hH0Hs6TQJbiXRA;scroll;5
87;2022-01-13 12:48:17.165000+00:00;U7hH0Hs6TQJbiXRA;scroll;15
88;2022-01-13 12:48:17.189000+00:00;U7hH0Hs6TQJbiXRA;scroll;20
89;2022-01-13 12:48:17.198000+00:00;U7hH0Hs6TQJbiXRA;scroll;29
90;2022-01-13 12:48:17.215000+00:00;U7hH0Hs6TQJbiXRA;scroll;39
91;2022-01-13 12:48:17.232000+00:00;U7hH0Hs6TQJbiXRA;scroll;47
92;2022-01-13 12:48:17.248000+00:00;U7hH0Hs6TQJbiXRA;scroll;56
93;2022-01-13 12:48:17.265000+00:00;U7hH0Hs6TQJbiXRA;scroll;76
94;2022-01-13 12:48:17.282000+00:00;U7hH0Hs6TQJbiXRA;scroll;97
95;2022-01-13 12:48:17.298000+00:00;U7hH0Hs6TQJbiXRA;scroll;122
96;2022-01-13 12:48:17.319000+00:00;U7hH0Hs6TQJbiXRA;scroll;151
97;2022-01-13 12:48:17.332000+00:00;U7hH0Hs6TQJbiXRA;scroll;175
98;2022-01-13 12:48:17.348000+00:00;U7hH0Hs6TQJbiXRA;scroll;198
99;2022-01-13 12:48:17.365000+00:00;U7hH0Hs6TQJbiXRA;scroll;217
100;2022-01-13 12:48:17.382000+00:00;U7hH0Hs6TQJbiXRA;scroll;232
101;2022-01-13 12:48:17.403000+00:00;U7hH0Hs6TQJbiXRA;scroll;242
102;2022-01-13 12:48:17.414000+00:00;U7hH0Hs6TQJbiXRA;scroll;243
103;2022-01-13 12:48:17.433000+00:00;U7hH0Hs6TQJbiXRA;scroll;276
104;2022-01-13 12:48:17.451000+00:00;U7hH0Hs6TQJbiXRA;scroll;292
105;2022-01-13 12:48:17.485000+00:00;U7hH0Hs6TQJbiXRA;scroll;307
106;2022-01-13 12:48:17.500000+00:00;U7hH0Hs6TQJbiXRA;scroll;336
107;2022-01-13 12:48:17.516000+00:00;U7hH0Hs6TQJbiXRA;scroll;350
108;2022-01-13 12:48:17.535000+00:00;U7hH0Hs6TQJbiXRA;scroll;363
109;2022-01-13 12:48:17.569000+00:00;U7hH0Hs6TQJbiXRA;scroll;388
110;2022-01-13 12:48:17.583000+00:00;U7hH0Hs6TQJbiXRA;scroll;400
111;2022-01-13 12:48:17.620000+00:00;U7hH0Hs6TQJbiXRA;scroll;423
112;2022-01-13 12:48:17.634000+00:00;U7hH0Hs6TQJbiXRA;scroll;434
113;2022-01-13 12:48:17.651000+00:00;U7hH0Hs6TQJbiXRA;scroll;445
114;2022-01-13 12:48:17.666000+00:00;U7hH0Hs6TQJbiXRA;scroll;455
115;2022-01-13 12:48:17.703000+00:00;U7hH0Hs6TQJbiXRA;scroll;474
116;2022-01-13 12:48:17.717000+00:00;U7hH0Hs6TQJbiXRA;scroll;484
117;2022-01-13 12:48:17.734000+00:00;U7hH0Hs6TQJbiXRA;scroll;492
118;2022-01-13 12:48:17.820000+00:00;U7hH0Hs6TQJbiXRA;scroll;503
119;2022-01-13 12:48:17.836000+00:00;U7hH0Hs6TQJbiXRA;scroll;515
120;2022-01-13 12:48:17.867000+00:00;U7hH0Hs6TQJbiXRA;scroll;526
121;2022-01-13 12:48:17.881000+00:00;U7hH0Hs6TQJbiXRA;scroll;538
122;2022-01-13 12:48:17.898000+00:00;U7hH0Hs6TQJbiXRA;scroll;551
123;2022-01-13 12:48:17.919000+00:00;U7hH0Hs6TQJbiXRA;scroll;560
124;2022-01-13 12:48:17.932000+00:00;U7hH0Hs6TQJbiXRA;scroll;565
125;2022-01-13 12:48:17.948000+00:00;U7hH0Hs6TQJbiXRA;scroll;569
126;2022-01-13 12:48:17.965000+00:00;U7hH0Hs6TQJbiXRA;scroll;573
127;2022-01-13 12:48:17.981000+00:00;U7hH0Hs6TQJbiXRA;scroll;577
128;2022-01-13 12:48:18.003000+00:00;U7hH0Hs6TQJbiXRA;scroll;582
129;2022-01-13 12:48:18.015000+00:00;U7hH0Hs6TQJbiXRA;scroll;587
130;2022-01-13 12:48:18.031000+00:00;U7hH0Hs6TQJbiXRA;scroll;593
131;2022-01-13 12:48:18.048000+00:00;U7hH0Hs6TQJbiXRA;scroll;600
132;2022-01-13 12:48:18.065000+00:00;U7hH0Hs6TQJbiXRA;scroll;608
133;2022-01-13 12:48:18.087000+00:00;U7hH0Hs6TQJbiXRA;scroll;625
134;2022-01-13 12:48:18.103000+00:00;U7hH0Hs6TQJbiXRA;scroll;632
135;2022-01-13 12:48:18.132000+00:00;U7hH0Hs6TQJbiXRA;scroll;633
136;2022-01-13 12:48:18.238000+00:00;U7hH0Hs6TQJbiXRA;scroll;635
137;2022-01-13 12:48:18.255000+00:00;U7hH0Hs6TQJbiXRA;scroll;643
138;2022-01-13 12:48:18.281000+00:00;U7hH0Hs6TQJbiXRA;scroll;655
139;2022-01-13 12:48:18.301000+00:00;U7hH0Hs6TQJbiXRA;scroll;669
140;2022-01-13 12:48:18.315000+00:00;U7hH0Hs6TQJbiXRA;scroll;683
141;2022-01-13 12:48:18.332000+00:00;U7hH0Hs6TQJbiXRA;scroll;697
