;time;token;event;position
0;2022-01-13 13:24:19.710000+00:00;VId+chF76t493EET;scroll;0
1;2022-01-13 13:24:25.064000+00:00;VId+chF76t493EET;scroll;1
2;2022-01-13 13:24:25.090000+00:00;VId+chF76t493EET;scroll;26
3;2022-01-13 13:24:25.108000+00:00;VId+chF76t493EET;scroll;58
4;2022-01-13 13:24:25.124000+00:00;VId+chF76t493EET;scroll;79
5;2022-01-13 13:24:25.140000+00:00;VId+chF76t493EET;scroll;117
6;2022-01-13 13:24:25.156000+00:00;VId+chF76t493EET;scroll;139
7;2022-01-13 13:24:25.173000+00:00;VId+chF76t493EET;scroll;155
8;2022-01-13 13:24:25.191000+00:00;VId+chF76t493EET;scroll;165
9;2022-01-13 13:24:25.207000+00:00;VId+chF76t493EET;scroll;167
10;2022-01-13 13:24:25.224000+00:00;VId+chF76t493EET;scroll;181
11;2022-01-13 13:24:25.241000+00:00;VId+chF76t493EET;scroll;199
12;2022-01-13 13:24:25.258000+00:00;VId+chF76t493EET;scroll;218
13;2022-01-13 13:24:25.273000+00:00;VId+chF76t493EET;scroll;238
14;2022-01-13 13:24:25.291000+00:00;VId+chF76t493EET;scroll;258
15;2022-01-13 13:24:25.307000+00:00;VId+chF76t493EET;scroll;277
16;2022-01-13 13:24:25.323000+00:00;VId+chF76t493EET;scroll;296
17;2022-01-13 13:24:25.341000+00:00;VId+chF76t493EET;scroll;318
18;2022-01-13 13:24:25.357000+00:00;VId+chF76t493EET;scroll;338
19;2022-01-13 13:24:25.375000+00:00;VId+chF76t493EET;scroll;357
20;2022-01-13 13:24:25.391000+00:00;VId+chF76t493EET;scroll;374
21;2022-01-13 13:24:25.406000+00:00;VId+chF76t493EET;scroll;390
22;2022-01-13 13:24:25.423000+00:00;VId+chF76t493EET;scroll;404
23;2022-01-13 13:24:25.440000+00:00;VId+chF76t493EET;scroll;417
24;2022-01-13 13:24:29.926000+00:00;VId+chF76t493EET;scroll;418
25;2022-01-13 13:24:29.954000+00:00;VId+chF76t493EET;scroll;431
26;2022-01-13 13:24:29.971000+00:00;VId+chF76t493EET;scroll;443
27;2022-01-13 13:24:29.987000+00:00;VId+chF76t493EET;scroll;454
28;2022-01-13 13:24:30.005000+00:00;VId+chF76t493EET;scroll;475
29;2022-01-13 13:24:30.020000+00:00;VId+chF76t493EET;scroll;492
30;2022-01-13 13:24:30.038000+00:00;VId+chF76t493EET;scroll;507
31;2022-01-13 13:24:30.055000+00:00;VId+chF76t493EET;scroll;520
32;2022-01-13 13:24:30.070000+00:00;VId+chF76t493EET;scroll;529
33;2022-01-13 13:24:30.088000+00:00;VId+chF76t493EET;scroll;535
34;2022-01-13 13:24:30.103000+00:00;VId+chF76t493EET;scroll;537
35;2022-01-13 13:24:30.120000+00:00;VId+chF76t493EET;scroll;543
36;2022-01-13 13:24:30.137000+00:00;VId+chF76t493EET;scroll;544
37;2022-01-13 13:24:30.154000+00:00;VId+chF76t493EET;scroll;545
38;2022-01-13 13:24:30.171000+00:00;VId+chF76t493EET;scroll;546
39;2022-01-13 13:24:35.025000+00:00;VId+chF76t493EET;scroll;547
40;2022-01-13 13:24:35.050000+00:00;VId+chF76t493EET;scroll;551
41;2022-01-13 13:24:35.066000+00:00;VId+chF76t493EET;scroll;561
42;2022-01-13 13:24:35.083000+00:00;VId+chF76t493EET;scroll;593
43;2022-01-13 13:24:35.101000+00:00;VId+chF76t493EET;scroll;626
44;2022-01-13 13:24:35.116000+00:00;VId+chF76t493EET;scroll;655
45;2022-01-13 13:24:35.133000+00:00;VId+chF76t493EET;scroll;682
46;2022-01-13 13:24:35.151000+00:00;VId+chF76t493EET;scroll;685
47;2022-01-13 13:24:35.167000+00:00;VId+chF76t493EET;scroll;700
48;2022-01-13 13:24:35.184000+00:00;VId+chF76t493EET;scroll;711
49;2022-01-13 13:24:35.199000+00:00;VId+chF76t493EET;scroll;719
50;2022-01-13 13:24:35.217000+00:00;VId+chF76t493EET;scroll;724
51;2022-01-13 13:24:35.233000+00:00;VId+chF76t493EET;scroll;727
52;2022-01-13 13:24:35.250000+00:00;VId+chF76t493EET;scroll;729
53;2022-01-13 13:24:35.268000+00:00;VId+chF76t493EET;scroll;730
54;2022-01-13 13:24:35.284000+00:00;VId+chF76t493EET;scroll;731
55;2022-01-13 13:24:35.301000+00:00;VId+chF76t493EET;scroll;732
56;2022-01-13 13:24:35.317000+00:00;VId+chF76t493EET;scroll;733
57;2022-01-13 13:24:35.333000+00:00;VId+chF76t493EET;scroll;734
58;2022-01-13 13:24:35.351000+00:00;VId+chF76t493EET;scroll;735
59;2022-01-13 13:24:36.016000+00:00;VId+chF76t493EET;scroll;736
60;2022-01-13 13:24:36.033000+00:00;VId+chF76t493EET;scroll;738
61;2022-01-13 13:24:36.049000+00:00;VId+chF76t493EET;scroll;744
62;2022-01-13 13:24:36.068000+00:00;VId+chF76t493EET;scroll;756
63;2022-01-13 13:24:36.083000+00:00;VId+chF76t493EET;scroll;775
64;2022-01-13 13:24:36.099000+00:00;VId+chF76t493EET;scroll;795
65;2022-01-13 13:24:36.116000+00:00;VId+chF76t493EET;scroll;812
66;2022-01-13 13:24:36.133000+00:00;VId+chF76t493EET;scroll;827
67;2022-01-13 13:24:36.167000+00:00;VId+chF76t493EET;scroll;842
68;2022-01-13 13:24:36.183000+00:00;VId+chF76t493EET;scroll;851
69;2022-01-13 13:24:36.200000+00:00;VId+chF76t493EET;scroll;858
70;2022-01-13 13:24:36.217000+00:00;VId+chF76t493EET;scroll;865
71;2022-01-13 13:24:36.232000+00:00;VId+chF76t493EET;scroll;867
72;2022-01-13 13:24:36.249000+00:00;VId+chF76t493EET;scroll;868
73;2022-01-13 13:24:36.266000+00:00;VId+chF76t493EET;scroll;869
74;2022-01-13 13:24:36.282000+00:00;VId+chF76t493EET;scroll;870
75;2022-01-13 13:24:36.299000+00:00;VId+chF76t493EET;scroll;871
76;2022-01-13 13:24:36.315000+00:00;VId+chF76t493EET;scroll;872
77;2022-01-13 13:24:36.645000+00:00;VId+chF76t493EET;scroll;873
78;2022-01-13 13:24:36.665000+00:00;VId+chF76t493EET;scroll;891
79;2022-01-13 13:24:36.682000+00:00;VId+chF76t493EET;scroll;928
80;2022-01-13 13:24:36.699000+00:00;VId+chF76t493EET;scroll;1029
81;2022-01-13 13:24:36.715000+00:00;VId+chF76t493EET;scroll;1083
82;2022-01-13 13:24:44.498000+00:00;VId+chF76t493EET;scroll;1082
83;2022-01-13 13:24:44.526000+00:00;VId+chF76t493EET;scroll;1079
84;2022-01-13 13:24:44.544000+00:00;VId+chF76t493EET;scroll;1070
85;2022-01-13 13:24:44.560000+00:00;VId+chF76t493EET;scroll;1039
86;2022-01-13 13:24:44.576000+00:00;VId+chF76t493EET;scroll;1013
87;2022-01-13 13:24:44.594000+00:00;VId+chF76t493EET;scroll;1005
88;2022-01-13 13:24:44.611000+00:00;VId+chF76t493EET;scroll;977
89;2022-01-13 13:24:44.627000+00:00;VId+chF76t493EET;scroll;958
90;2022-01-13 13:24:44.644000+00:00;VId+chF76t493EET;scroll;943
91;2022-01-13 13:24:44.660000+00:00;VId+chF76t493EET;scroll;931
92;2022-01-13 13:24:44.676000+00:00;VId+chF76t493EET;scroll;922
93;2022-01-13 13:24:44.695000+00:00;VId+chF76t493EET;scroll;917
94;2022-01-13 13:24:44.710000+00:00;VId+chF76t493EET;scroll;915
95;2022-01-13 13:24:44.726000+00:00;VId+chF76t493EET;scroll;914
96;2022-01-13 13:24:44.743000+00:00;VId+chF76t493EET;scroll;913
97;2022-01-13 13:24:44.761000+00:00;VId+chF76t493EET;scroll;912
98;2022-01-13 13:24:44.777000+00:00;VId+chF76t493EET;scroll;911
99;2022-01-13 13:24:44.793000+00:00;VId+chF76t493EET;scroll;910
100;2022-01-13 13:24:44.811000+00:00;VId+chF76t493EET;scroll;909
101;2022-01-13 13:24:44.826000+00:00;VId+chF76t493EET;scroll;908
102;2022-01-13 13:24:44.844000+00:00;VId+chF76t493EET;scroll;907
103;2022-01-13 13:24:44.860000+00:00;VId+chF76t493EET;scroll;906
104;2022-01-13 13:24:51.614000+00:00;VId+chF76t493EET;scroll;907
105;2022-01-13 13:24:51.639000+00:00;VId+chF76t493EET;scroll;910
106;2022-01-13 13:24:51.654000+00:00;VId+chF76t493EET;scroll;917
107;2022-01-13 13:24:51.673000+00:00;VId+chF76t493EET;scroll;943
108;2022-01-13 13:24:51.689000+00:00;VId+chF76t493EET;scroll;968
109;2022-01-13 13:24:51.705000+00:00;VId+chF76t493EET;scroll;972
110;2022-01-13 13:24:51.722000+00:00;VId+chF76t493EET;scroll;1000
111;2022-01-13 13:24:51.738000+00:00;VId+chF76t493EET;scroll;1024
112;2022-01-13 13:24:51.755000+00:00;VId+chF76t493EET;scroll;1046
113;2022-01-13 13:24:51.772000+00:00;VId+chF76t493EET;scroll;1083
114;2022-01-13 13:25:21.626000+00:00;VId+chF76t493EET;scroll;0
115;2022-01-13 13:25:22.744000+00:00;VId+chF76t493EET;scroll;1
116;2022-01-13 13:25:22.767000+00:00;VId+chF76t493EET;scroll;3
117;2022-01-13 13:25:22.784000+00:00;VId+chF76t493EET;scroll;9
118;2022-01-13 13:25:22.799000+00:00;VId+chF76t493EET;scroll;25
119;2022-01-13 13:25:22.817000+00:00;VId+chF76t493EET;scroll;41
