;time;token;event;position
0;2022-01-20 13:08:23.345000+00:00;VUPK10YnnxsagMI4;scroll;0
1;2022-01-20 13:08:24.745000+00:00;VUPK10YnnxsagMI4;scroll;1
2;2022-01-20 13:08:24.752000+00:00;VUPK10YnnxsagMI4;scroll;5
3;2022-01-20 13:08:24.759000+00:00;VUPK10YnnxsagMI4;scroll;13
4;2022-01-20 13:08:24.766000+00:00;VUPK10YnnxsagMI4;scroll;26
5;2022-01-20 13:08:24.773000+00:00;VUPK10YnnxsagMI4;scroll;40
6;2022-01-20 13:08:24.780000+00:00;VUPK10YnnxsagMI4;scroll;55
7;2022-01-20 13:08:24.787000+00:00;VUPK10YnnxsagMI4;scroll;71
8;2022-01-20 13:08:24.794000+00:00;VUPK10YnnxsagMI4;scroll;88
9;2022-01-20 13:08:24.801000+00:00;VUPK10YnnxsagMI4;scroll;106
10;2022-01-20 13:08:24.808000+00:00;VUPK10YnnxsagMI4;scroll;125
11;2022-01-20 13:08:24.815000+00:00;VUPK10YnnxsagMI4;scroll;146
12;2022-01-20 13:08:24.822000+00:00;VUPK10YnnxsagMI4;scroll;168
13;2022-01-20 13:08:24.829000+00:00;VUPK10YnnxsagMI4;scroll;192
14;2022-01-20 13:08:24.836000+00:00;VUPK10YnnxsagMI4;scroll;218
15;2022-01-20 13:08:24.843000+00:00;VUPK10YnnxsagMI4;scroll;246
16;2022-01-20 13:08:24.850000+00:00;VUPK10YnnxsagMI4;scroll;275
17;2022-01-20 13:08:24.857000+00:00;VUPK10YnnxsagMI4;scroll;307
18;2022-01-20 13:08:24.864000+00:00;VUPK10YnnxsagMI4;scroll;341
19;2022-01-20 13:08:24.870000+00:00;VUPK10YnnxsagMI4;scroll;378
20;2022-01-20 13:08:24.878000+00:00;VUPK10YnnxsagMI4;scroll;418
21;2022-01-20 13:08:24.884000+00:00;VUPK10YnnxsagMI4;scroll;462
22;2022-01-20 13:08:24.891000+00:00;VUPK10YnnxsagMI4;scroll;510
23;2022-01-20 13:08:24.898000+00:00;VUPK10YnnxsagMI4;scroll;562
24;2022-01-20 13:08:24.905000+00:00;VUPK10YnnxsagMI4;scroll;616
25;2022-01-20 13:08:24.912000+00:00;VUPK10YnnxsagMI4;scroll;669
26;2022-01-20 13:08:24.919000+00:00;VUPK10YnnxsagMI4;scroll;718
27;2022-01-20 13:08:24.926000+00:00;VUPK10YnnxsagMI4;scroll;761
28;2022-01-20 13:08:24.933000+00:00;VUPK10YnnxsagMI4;scroll;798
29;2022-01-20 13:08:24.940000+00:00;VUPK10YnnxsagMI4;scroll;829
30;2022-01-20 13:08:24.947000+00:00;VUPK10YnnxsagMI4;scroll;857
31;2022-01-20 13:08:24.954000+00:00;VUPK10YnnxsagMI4;scroll;880
32;2022-01-20 13:08:24.961000+00:00;VUPK10YnnxsagMI4;scroll;901
33;2022-01-20 13:08:24.968000+00:00;VUPK10YnnxsagMI4;scroll;919
34;2022-01-20 13:08:24.975000+00:00;VUPK10YnnxsagMI4;scroll;935
