;time;token;event;position
0;2022-01-13 12:44:07.426000+00:00;W3fIK8v3aAKz+OMn;scroll;0
1;2022-01-13 12:45:31.142000+00:00;W3fIK8v3aAKz+OMn;scroll;2
2;2022-01-13 12:45:31.149000+00:00;W3fIK8v3aAKz+OMn;scroll;4
3;2022-01-13 12:45:31.156000+00:00;W3fIK8v3aAKz+OMn;scroll;7
4;2022-01-13 12:45:31.162000+00:00;W3fIK8v3aAKz+OMn;scroll;11
5;2022-01-13 12:45:31.170000+00:00;W3fIK8v3aAKz+OMn;scroll;18
6;2022-01-13 12:45:31.177000+00:00;W3fIK8v3aAKz+OMn;scroll;27
7;2022-01-13 12:45:31.184000+00:00;W3fIK8v3aAKz+OMn;scroll;37
8;2022-01-13 12:45:31.190000+00:00;W3fIK8v3aAKz+OMn;scroll;64
9;2022-01-13 12:45:31.198000+00:00;W3fIK8v3aAKz+OMn;scroll;90
10;2022-01-13 12:45:31.205000+00:00;W3fIK8v3aAKz+OMn;scroll;170
11;2022-01-13 12:45:31.212000+00:00;W3fIK8v3aAKz+OMn;scroll;237
12;2022-01-13 12:45:31.218000+00:00;W3fIK8v3aAKz+OMn;scroll;303
13;2022-01-13 12:45:31.225000+00:00;W3fIK8v3aAKz+OMn;scroll;414
14;2022-01-13 12:45:31.232000+00:00;W3fIK8v3aAKz+OMn;scroll;461
15;2022-01-13 12:45:31.239000+00:00;W3fIK8v3aAKz+OMn;scroll;501
16;2022-01-13 12:45:31.247000+00:00;W3fIK8v3aAKz+OMn;scroll;535
17;2022-01-13 12:45:31.253000+00:00;W3fIK8v3aAKz+OMn;scroll;561
18;2022-01-13 12:45:31.260000+00:00;W3fIK8v3aAKz+OMn;scroll;579
19;2022-01-13 12:45:31.267000+00:00;W3fIK8v3aAKz+OMn;scroll;585
20;2022-01-13 12:45:32.121000+00:00;W3fIK8v3aAKz+OMn;scroll;582
21;2022-01-13 12:45:32.128000+00:00;W3fIK8v3aAKz+OMn;scroll;580
22;2022-01-13 12:45:32.135000+00:00;W3fIK8v3aAKz+OMn;scroll;576
23;2022-01-13 12:45:32.141000+00:00;W3fIK8v3aAKz+OMn;scroll;562
24;2022-01-13 12:45:32.149000+00:00;W3fIK8v3aAKz+OMn;scroll;550
25;2022-01-13 12:45:32.156000+00:00;W3fIK8v3aAKz+OMn;scroll;506
26;2022-01-13 12:45:32.163000+00:00;W3fIK8v3aAKz+OMn;scroll;444
27;2022-01-13 12:45:32.170000+00:00;W3fIK8v3aAKz+OMn;scroll;378
28;2022-01-13 12:45:32.176000+00:00;W3fIK8v3aAKz+OMn;scroll;312
29;2022-01-13 12:45:32.184000+00:00;W3fIK8v3aAKz+OMn;scroll;250
30;2022-01-13 12:45:32.191000+00:00;W3fIK8v3aAKz+OMn;scroll;195
31;2022-01-13 12:45:32.198000+00:00;W3fIK8v3aAKz+OMn;scroll;145
32;2022-01-13 12:45:32.204000+00:00;W3fIK8v3aAKz+OMn;scroll;101
33;2022-01-13 12:45:32.211000+00:00;W3fIK8v3aAKz+OMn;scroll;64
34;2022-01-13 12:45:32.219000+00:00;W3fIK8v3aAKz+OMn;scroll;33
35;2022-01-13 12:45:32.226000+00:00;W3fIK8v3aAKz+OMn;scroll;12
36;2022-01-13 12:45:32.233000+00:00;W3fIK8v3aAKz+OMn;scroll;1
37;2022-01-13 12:45:32.239000+00:00;W3fIK8v3aAKz+OMn;scroll;0
38;2022-01-13 12:46:14.851000+00:00;W3fIK8v3aAKz+OMn;scroll;1
39;2022-01-13 12:46:14.858000+00:00;W3fIK8v3aAKz+OMn;scroll;3
40;2022-01-13 12:46:14.864000+00:00;W3fIK8v3aAKz+OMn;scroll;6
41;2022-01-13 12:46:14.872000+00:00;W3fIK8v3aAKz+OMn;scroll;10
42;2022-01-13 12:46:14.879000+00:00;W3fIK8v3aAKz+OMn;scroll;14
43;2022-01-13 12:46:14.885000+00:00;W3fIK8v3aAKz+OMn;scroll;18
44;2022-01-13 12:46:14.893000+00:00;W3fIK8v3aAKz+OMn;scroll;23
45;2022-01-13 12:46:14.899000+00:00;W3fIK8v3aAKz+OMn;scroll;28
46;2022-01-13 12:46:14.907000+00:00;W3fIK8v3aAKz+OMn;scroll;33
47;2022-01-13 12:46:14.914000+00:00;W3fIK8v3aAKz+OMn;scroll;38
48;2022-01-13 12:46:14.920000+00:00;W3fIK8v3aAKz+OMn;scroll;43
49;2022-01-13 12:46:14.927000+00:00;W3fIK8v3aAKz+OMn;scroll;49
50;2022-01-13 12:46:14.934000+00:00;W3fIK8v3aAKz+OMn;scroll;54
51;2022-01-13 12:46:14.941000+00:00;W3fIK8v3aAKz+OMn;scroll;60
52;2022-01-13 12:46:14.949000+00:00;W3fIK8v3aAKz+OMn;scroll;67
53;2022-01-13 12:46:14.955000+00:00;W3fIK8v3aAKz+OMn;scroll;74
54;2022-01-13 12:46:14.962000+00:00;W3fIK8v3aAKz+OMn;scroll;81
