;time;token;event;position
0;2022-01-13 12:44:38.981000+00:00;WretQ3SEOL7uzdK6;scroll;0
1;2022-01-13 12:45:37.296000+00:00;WretQ3SEOL7uzdK6;scroll;1
2;2022-01-13 12:45:37.302000+00:00;WretQ3SEOL7uzdK6;scroll;2
3;2022-01-13 12:45:37.308000+00:00;WretQ3SEOL7uzdK6;scroll;3
4;2022-01-13 12:45:37.314000+00:00;WretQ3SEOL7uzdK6;scroll;5
5;2022-01-13 12:45:37.320000+00:00;WretQ3SEOL7uzdK6;scroll;7
6;2022-01-13 12:45:37.326000+00:00;WretQ3SEOL7uzdK6;scroll;9
7;2022-01-13 12:45:37.332000+00:00;WretQ3SEOL7uzdK6;scroll;12
8;2022-01-13 12:45:37.338000+00:00;WretQ3SEOL7uzdK6;scroll;15
9;2022-01-13 12:45:37.344000+00:00;WretQ3SEOL7uzdK6;scroll;19
10;2022-01-13 12:45:37.350000+00:00;WretQ3SEOL7uzdK6;scroll;23
11;2022-01-13 12:45:37.356000+00:00;WretQ3SEOL7uzdK6;scroll;28
12;2022-01-13 12:45:37.362000+00:00;WretQ3SEOL7uzdK6;scroll;32
13;2022-01-13 12:45:37.369000+00:00;WretQ3SEOL7uzdK6;scroll;37
14;2022-01-13 12:45:37.375000+00:00;WretQ3SEOL7uzdK6;scroll;42
15;2022-01-13 12:45:37.381000+00:00;WretQ3SEOL7uzdK6;scroll;48
16;2022-01-13 12:45:37.387000+00:00;WretQ3SEOL7uzdK6;scroll;53
17;2022-01-13 12:45:37.393000+00:00;WretQ3SEOL7uzdK6;scroll;58
18;2022-01-13 12:45:37.399000+00:00;WretQ3SEOL7uzdK6;scroll;63
19;2022-01-13 12:45:37.405000+00:00;WretQ3SEOL7uzdK6;scroll;68
20;2022-01-13 12:45:37.411000+00:00;WretQ3SEOL7uzdK6;scroll;73
21;2022-01-13 12:45:37.417000+00:00;WretQ3SEOL7uzdK6;scroll;77
22;2022-01-13 12:45:37.423000+00:00;WretQ3SEOL7uzdK6;scroll;81
23;2022-01-13 12:45:37.429000+00:00;WretQ3SEOL7uzdK6;scroll;85
24;2022-01-13 12:45:37.435000+00:00;WretQ3SEOL7uzdK6;scroll;88
25;2022-01-13 12:45:37.441000+00:00;WretQ3SEOL7uzdK6;scroll;91
26;2022-01-13 12:45:37.447000+00:00;WretQ3SEOL7uzdK6;scroll;93
27;2022-01-13 12:45:37.454000+00:00;WretQ3SEOL7uzdK6;scroll;95
28;2022-01-13 12:45:37.460000+00:00;WretQ3SEOL7uzdK6;scroll;97
29;2022-01-13 12:45:37.466000+00:00;WretQ3SEOL7uzdK6;scroll;98
30;2022-01-13 12:45:37.472000+00:00;WretQ3SEOL7uzdK6;scroll;99
31;2022-01-13 12:45:37.478000+00:00;WretQ3SEOL7uzdK6;scroll;100
32;2022-01-13 12:45:38.162000+00:00;WretQ3SEOL7uzdK6;scroll;101
33;2022-01-13 12:45:38.169000+00:00;WretQ3SEOL7uzdK6;scroll;102
34;2022-01-13 12:45:38.175000+00:00;WretQ3SEOL7uzdK6;scroll;103
35;2022-01-13 12:45:38.181000+00:00;WretQ3SEOL7uzdK6;scroll;105
36;2022-01-13 12:45:38.187000+00:00;WretQ3SEOL7uzdK6;scroll;107
