;time;token;event;position
0;2022-01-13 12:43:44.442000+00:00;XZlvt6BNF4xnrMpD;scroll;0.0
1;2022-01-13 12:44:32.099000+00:00;XZlvt6BNF4xnrMpD;scroll;7.0
2;2022-01-13 12:44:32.132000+00:00;XZlvt6BNF4xnrMpD;scroll;17.0
3;2022-01-13 12:44:32.149000+00:00;XZlvt6BNF4xnrMpD;scroll;26.0
4;2022-01-13 12:44:32.166000+00:00;XZlvt6BNF4xnrMpD;scroll;47.0
5;2022-01-13 12:44:32.182000+00:00;XZlvt6BNF4xnrMpD;scroll;60.0
6;2022-01-13 12:44:32.199000+00:00;XZlvt6BNF4xnrMpD;scroll;80.0
7;2022-01-13 12:44:32.215000+00:00;XZlvt6BNF4xnrMpD;scroll;84.0
8;2022-01-13 12:44:32.232000+00:00;XZlvt6BNF4xnrMpD;scroll;86.0
9;2022-01-13 12:44:32.282000+00:00;XZlvt6BNF4xnrMpD;scroll;87.0
10;2022-01-13 12:44:32.533000+00:00;XZlvt6BNF4xnrMpD;scroll;89.0
11;2022-01-13 12:44:32.549000+00:00;XZlvt6BNF4xnrMpD;scroll;109.0
12;2022-01-13 12:44:32.566000+00:00;XZlvt6BNF4xnrMpD;scroll;128.0
13;2022-01-13 12:44:32.583000+00:00;XZlvt6BNF4xnrMpD;scroll;147.0
14;2022-01-13 12:44:32.599000+00:00;XZlvt6BNF4xnrMpD;scroll;165.0
15;2022-01-13 12:44:32.616000+00:00;XZlvt6BNF4xnrMpD;scroll;174.0
16;2022-01-13 12:44:32.633000+00:00;XZlvt6BNF4xnrMpD;scroll;194.0
17;2022-01-13 12:44:32.650000+00:00;XZlvt6BNF4xnrMpD;scroll;201.0
18;2022-01-13 12:44:32.666000+00:00;XZlvt6BNF4xnrMpD;scroll;205.0
19;2022-01-13 12:44:32.683000+00:00;XZlvt6BNF4xnrMpD;scroll;206.0
20;2022-01-13 12:44:32.800000+00:00;XZlvt6BNF4xnrMpD;scroll;207.0
21;2022-01-13 12:44:32.866000+00:00;XZlvt6BNF4xnrMpD;scroll;208.0
22;2022-01-13 12:44:32.883000+00:00;XZlvt6BNF4xnrMpD;scroll;236.0
23;2022-01-13 12:44:32.900000+00:00;XZlvt6BNF4xnrMpD;scroll;237.0
24;2022-01-13 12:44:32.916000+00:00;XZlvt6BNF4xnrMpD;scroll;241.0
25;2022-01-13 12:44:32.933000+00:00;XZlvt6BNF4xnrMpD;scroll;245.0
26;2022-01-13 12:44:32.949000+00:00;XZlvt6BNF4xnrMpD;scroll;247.0
27;2022-01-13 12:44:32.966000+00:00;XZlvt6BNF4xnrMpD;scroll;249.0
28;2022-01-13 12:44:32.983000+00:00;XZlvt6BNF4xnrMpD;scroll;251.0
29;2022-01-13 12:44:33+00:00;XZlvt6BNF4xnrMpD;scroll;252.0
30;2022-01-13 12:44:33.016000+00:00;XZlvt6BNF4xnrMpD;scroll;253.0
31;2022-01-13 12:44:33.033000+00:00;XZlvt6BNF4xnrMpD;scroll;254.0
32;2022-01-13 12:44:33.049000+00:00;XZlvt6BNF4xnrMpD;scroll;255.0
33;2022-01-13 12:44:33.083000+00:00;XZlvt6BNF4xnrMpD;scroll;256.0
34;2022-01-13 12:44:33.116000+00:00;XZlvt6BNF4xnrMpD;scroll;257.0
35;2022-01-13 12:44:33.183000+00:00;XZlvt6BNF4xnrMpD;scroll;258.0
36;2022-01-13 12:44:33.251000+00:00;XZlvt6BNF4xnrMpD;scroll;289.0
37;2022-01-13 12:44:33.283000+00:00;XZlvt6BNF4xnrMpD;scroll;375.0
38;2022-01-13 12:44:33.300000+00:00;XZlvt6BNF4xnrMpD;scroll;436.0
39;2022-01-13 12:44:33.317000+00:00;XZlvt6BNF4xnrMpD;scroll;521.0
40;2022-01-13 12:44:33.333000+00:00;XZlvt6BNF4xnrMpD;scroll;567.0
41;2022-01-13 12:44:33.350000+00:00;XZlvt6BNF4xnrMpD;scroll;611.0
42;2022-01-13 12:44:33.366000+00:00;XZlvt6BNF4xnrMpD;scroll;624.0
43;2022-01-13 12:44:33.383000+00:00;XZlvt6BNF4xnrMpD;scroll;629.0
44;2022-01-13 12:44:33.400000+00:00;XZlvt6BNF4xnrMpD;scroll;632.0
45;2022-01-13 12:44:33.416000+00:00;XZlvt6BNF4xnrMpD;scroll;633.0
46;2022-01-13 12:44:33.633000+00:00;XZlvt6BNF4xnrMpD;scroll;632.0
47;2022-01-13 12:44:33.650000+00:00;XZlvt6BNF4xnrMpD;scroll;630.0
48;2022-01-13 12:44:33.667000+00:00;XZlvt6BNF4xnrMpD;scroll;615.0
49;2022-01-13 12:44:33.683000+00:00;XZlvt6BNF4xnrMpD;scroll;590.0
50;2022-01-13 12:44:33.700000+00:00;XZlvt6BNF4xnrMpD;scroll;581.0
51;2022-01-13 12:44:33.717000+00:00;XZlvt6BNF4xnrMpD;scroll;542.0
52;2022-01-13 12:44:33.733000+00:00;XZlvt6BNF4xnrMpD;scroll;515.0
53;2022-01-13 12:44:33.750000+00:00;XZlvt6BNF4xnrMpD;scroll;466.0
54;2022-01-13 12:44:33.767000+00:00;XZlvt6BNF4xnrMpD;scroll;449.0
55;2022-01-13 12:44:33.783000+00:00;XZlvt6BNF4xnrMpD;scroll;406.0
56;2022-01-13 12:44:33.800000+00:00;XZlvt6BNF4xnrMpD;scroll;356.0
57;2022-01-13 12:44:33.817000+00:00;XZlvt6BNF4xnrMpD;scroll;327.0
58;2022-01-13 12:44:33.834000+00:00;XZlvt6BNF4xnrMpD;scroll;309.0
59;2022-01-13 12:44:33.850000+00:00;XZlvt6BNF4xnrMpD;scroll;304.0
60;2022-01-13 12:44:33.867000+00:00;XZlvt6BNF4xnrMpD;scroll;300.0
61;2022-01-13 12:44:33.901000+00:00;XZlvt6BNF4xnrMpD;scroll;296.0
62;2022-01-13 12:44:33.918000+00:00;XZlvt6BNF4xnrMpD;scroll;293.0
63;2022-01-13 12:44:33.934000+00:00;XZlvt6BNF4xnrMpD;scroll;292.0
64;2022-01-13 12:44:33.951000+00:00;XZlvt6BNF4xnrMpD;scroll;290.0
65;2022-01-13 12:44:33.967000+00:00;XZlvt6BNF4xnrMpD;scroll;289.0
66;2022-01-13 12:44:33.983000+00:00;XZlvt6BNF4xnrMpD;scroll;288.0
67;2022-01-13 12:44:34.017000+00:00;XZlvt6BNF4xnrMpD;scroll;287.0
68;2022-01-13 12:44:34.050000+00:00;XZlvt6BNF4xnrMpD;scroll;286.0
69;2022-01-13 12:44:34.217000+00:00;XZlvt6BNF4xnrMpD;scroll;276.0
70;2022-01-13 12:44:34.250000+00:00;XZlvt6BNF4xnrMpD;scroll;257.0
71;2022-01-13 12:44:34.267000+00:00;XZlvt6BNF4xnrMpD;scroll;235.0
72;2022-01-13 12:44:34.284000+00:00;XZlvt6BNF4xnrMpD;scroll;211.0
73;2022-01-13 12:44:34.300000+00:00;XZlvt6BNF4xnrMpD;scroll;204.0
74;2022-01-13 12:44:34.317000+00:00;XZlvt6BNF4xnrMpD;scroll;184.0
75;2022-01-13 12:44:34.334000+00:00;XZlvt6BNF4xnrMpD;scroll;173.0
76;2022-01-13 12:44:34.351000+00:00;XZlvt6BNF4xnrMpD;scroll;163.0
77;2022-01-13 12:44:34.367000+00:00;XZlvt6BNF4xnrMpD;scroll;158.0
78;2022-01-13 12:44:34.384000+00:00;XZlvt6BNF4xnrMpD;scroll;147.0
79;2022-01-13 12:44:34.418000+00:00;XZlvt6BNF4xnrMpD;scroll;142.0
80;2022-01-13 12:44:34.435000+00:00;XZlvt6BNF4xnrMpD;scroll;138.0
81;2022-01-13 12:44:34.451000+00:00;XZlvt6BNF4xnrMpD;scroll;136.0
82;2022-01-13 12:44:34.468000+00:00;XZlvt6BNF4xnrMpD;scroll;134.0
83;2022-01-13 12:44:34.485000+00:00;XZlvt6BNF4xnrMpD;scroll;133.0
84;2022-01-13 12:44:34.501000+00:00;XZlvt6BNF4xnrMpD;scroll;131.0
85;2022-01-13 12:44:34.534000+00:00;XZlvt6BNF4xnrMpD;scroll;130.0
86;2022-01-13 12:44:34.550000+00:00;XZlvt6BNF4xnrMpD;scroll;129.0
87;2022-01-13 12:44:34.567000+00:00;XZlvt6BNF4xnrMpD;scroll;128.0
88;2022-01-13 12:44:34.617000+00:00;XZlvt6BNF4xnrMpD;scroll;127.0
89;2022-01-13 12:44:34.684000+00:00;XZlvt6BNF4xnrMpD;scroll;126.0
90;2022-01-13 12:44:34.767000+00:00;XZlvt6BNF4xnrMpD;scroll;125.0
91;2022-01-13 12:44:34.784000+00:00;XZlvt6BNF4xnrMpD;scroll;106.0
92;2022-01-13 12:44:34.801000+00:00;XZlvt6BNF4xnrMpD;scroll;88.0
93;2022-01-13 12:44:34.817000+00:00;XZlvt6BNF4xnrMpD;scroll;77.0
94;2022-01-13 12:44:34.834000+00:00;XZlvt6BNF4xnrMpD;scroll;68.0
95;2022-01-13 12:44:34.851000+00:00;XZlvt6BNF4xnrMpD;scroll;65.0
96;2022-01-13 12:44:34.867000+00:00;XZlvt6BNF4xnrMpD;scroll;64.0
97;2022-01-13 12:44:34.884000+00:00;XZlvt6BNF4xnrMpD;scroll;63.0
98;2022-01-13 12:44:34.934000+00:00;XZlvt6BNF4xnrMpD;scroll;64.0
99;2022-01-13 12:45:02.230000+00:00;XZlvt6BNF4xnrMpD;scroll;70.0
100;2022-01-13 12:45:02.262000+00:00;XZlvt6BNF4xnrMpD;scroll;103.0
101;2022-01-13 12:45:02.279000+00:00;XZlvt6BNF4xnrMpD;scroll;130.0
102;2022-01-13 12:45:02.295000+00:00;XZlvt6BNF4xnrMpD;scroll;160.0
103;2022-01-13 12:45:02.312000+00:00;XZlvt6BNF4xnrMpD;scroll;176.0
104;2022-01-13 12:45:02.329000+00:00;XZlvt6BNF4xnrMpD;scroll;185.0
105;2022-01-13 12:45:02.346000+00:00;XZlvt6BNF4xnrMpD;scroll;191.0
106;2022-01-13 12:45:02.362000+00:00;XZlvt6BNF4xnrMpD;scroll;197.0
