;time;token;event;position
0;2022-01-13 12:44:31.271000+00:00;aECtcSXEtmx1vJ85;scroll;0
1;2022-01-13 12:45:19.154000+00:00;aECtcSXEtmx1vJ85;scroll;37
2;2022-01-13 12:45:19.186000+00:00;aECtcSXEtmx1vJ85;scroll;155
3;2022-01-13 12:45:19.203000+00:00;aECtcSXEtmx1vJ85;scroll;320
4;2022-01-13 12:45:19.237000+00:00;aECtcSXEtmx1vJ85;scroll;510
5;2022-01-13 12:45:19.286000+00:00;aECtcSXEtmx1vJ85;scroll;715
6;2022-01-13 12:45:19.520000+00:00;aECtcSXEtmx1vJ85;scroll;719
7;2022-01-13 12:45:19.537000+00:00;aECtcSXEtmx1vJ85;scroll;889
8;2022-01-13 12:45:19.554000+00:00;aECtcSXEtmx1vJ85;scroll;980
9;2022-01-13 12:45:21.537000+00:00;aECtcSXEtmx1vJ85;scroll;976
10;2022-01-13 12:45:21.570000+00:00;aECtcSXEtmx1vJ85;scroll;949
11;2022-01-13 12:45:21.587000+00:00;aECtcSXEtmx1vJ85;scroll;841
12;2022-01-13 12:45:21.604000+00:00;aECtcSXEtmx1vJ85;scroll;479
13;2022-01-13 12:45:21.620000+00:00;aECtcSXEtmx1vJ85;scroll;259
14;2022-01-13 12:45:21.637000+00:00;aECtcSXEtmx1vJ85;scroll;19
15;2022-01-13 12:45:21.670000+00:00;aECtcSXEtmx1vJ85;scroll;0
16;2022-01-13 12:46:24.636000+00:00;aECtcSXEtmx1vJ85;scroll;4
17;2022-01-13 12:46:24.653000+00:00;aECtcSXEtmx1vJ85;scroll;38
18;2022-01-13 12:46:24.670000+00:00;aECtcSXEtmx1vJ85;scroll;161
19;2022-01-13 12:46:24.703000+00:00;aECtcSXEtmx1vJ85;scroll;330
20;2022-01-13 12:46:25.053000+00:00;aECtcSXEtmx1vJ85;scroll;326
21;2022-01-13 12:46:25.120000+00:00;aECtcSXEtmx1vJ85;scroll;305
22;2022-01-13 12:46:38.120000+00:00;aECtcSXEtmx1vJ85;scroll;309
23;2022-01-13 12:46:38.153000+00:00;aECtcSXEtmx1vJ85;scroll;336
24;2022-01-13 12:46:38.203000+00:00;aECtcSXEtmx1vJ85;scroll;413
25;2022-01-13 12:46:38.586000+00:00;aECtcSXEtmx1vJ85;scroll;417
26;2022-01-13 12:46:38.636000+00:00;aECtcSXEtmx1vJ85;scroll;442
27;2022-01-13 12:46:45.603000+00:00;aECtcSXEtmx1vJ85;scroll;446
28;2022-01-13 12:46:45.653000+00:00;aECtcSXEtmx1vJ85;scroll;468
29;2022-01-13 12:46:45.803000+00:00;aECtcSXEtmx1vJ85;scroll;472
30;2022-01-13 12:46:45.953000+00:00;aECtcSXEtmx1vJ85;scroll;476
31;2022-01-13 12:46:46.087000+00:00;aECtcSXEtmx1vJ85;scroll;480
32;2022-01-13 12:46:47.253000+00:00;aECtcSXEtmx1vJ85;scroll;484
33;2022-01-13 12:46:47.270000+00:00;aECtcSXEtmx1vJ85;scroll;516
34;2022-01-13 12:46:47.303000+00:00;aECtcSXEtmx1vJ85;scroll;627
35;2022-01-13 12:46:47.336000+00:00;aECtcSXEtmx1vJ85;scroll;778
36;2022-01-13 12:46:47.403000+00:00;aECtcSXEtmx1vJ85;scroll;951
37;2022-01-13 12:46:47.437000+00:00;aECtcSXEtmx1vJ85;scroll;980
38;2022-01-13 12:46:47.736000+00:00;aECtcSXEtmx1vJ85;scroll;976
39;2022-01-13 12:46:47.770000+00:00;aECtcSXEtmx1vJ85;scroll;945
40;2022-01-13 12:46:47.786000+00:00;aECtcSXEtmx1vJ85;scroll;832
41;2022-01-13 12:46:47.820000+00:00;aECtcSXEtmx1vJ85;scroll;670
42;2022-01-13 12:46:47.852000+00:00;aECtcSXEtmx1vJ85;scroll;488
43;2022-01-13 12:46:47.920000+00:00;aECtcSXEtmx1vJ85;scroll;296
44;2022-01-13 12:46:48.536000+00:00;aECtcSXEtmx1vJ85;scroll;300
45;2022-01-13 12:46:48.570000+00:00;aECtcSXEtmx1vJ85;scroll;329
46;2022-01-13 12:46:48.603000+00:00;aECtcSXEtmx1vJ85;scroll;420
47;2022-01-13 12:46:51.337000+00:00;aECtcSXEtmx1vJ85;scroll;384
48;2022-01-13 12:46:51.370000+00:00;aECtcSXEtmx1vJ85;scroll;267
49;2022-01-13 12:46:51.403000+00:00;aECtcSXEtmx1vJ85;scroll;103
50;2022-01-13 12:46:51.436000+00:00;aECtcSXEtmx1vJ85;scroll;0
51;2022-01-13 12:46:52.069000+00:00;aECtcSXEtmx1vJ85;scroll;38
52;2022-01-13 12:46:52.103000+00:00;aECtcSXEtmx1vJ85;scroll;160
53;2022-01-13 12:46:52.119000+00:00;aECtcSXEtmx1vJ85;scroll;325
54;2022-01-13 12:46:52.169000+00:00;aECtcSXEtmx1vJ85;scroll;512
55;2022-01-13 12:47:03.337000+00:00;aECtcSXEtmx1vJ85;scroll;508
56;2022-01-13 12:47:03.386000+00:00;aECtcSXEtmx1vJ85;scroll;485
57;2022-01-13 12:47:03.453000+00:00;aECtcSXEtmx1vJ85;scroll;434
58;2022-01-13 12:47:03.685000+00:00;aECtcSXEtmx1vJ85;scroll;438
59;2022-01-13 12:47:03.720000+00:00;aECtcSXEtmx1vJ85;scroll;468
60;2022-01-13 12:47:03.735000+00:00;aECtcSXEtmx1vJ85;scroll;580
61;2022-01-13 12:47:03.786000+00:00;aECtcSXEtmx1vJ85;scroll;729
62;2022-01-13 12:47:04.103000+00:00;aECtcSXEtmx1vJ85;scroll;725
63;2022-01-13 12:47:04.153000+00:00;aECtcSXEtmx1vJ85;scroll;701
64;2022-01-13 12:47:04.220000+00:00;aECtcSXEtmx1vJ85;scroll;637
65;2022-01-13 12:47:13.736000+00:00;aECtcSXEtmx1vJ85;scroll;641
66;2022-01-13 12:47:13.753000+00:00;aECtcSXEtmx1vJ85;scroll;671
67;2022-01-13 12:47:13.786000+00:00;aECtcSXEtmx1vJ85;scroll;772
68;2022-01-13 12:47:13.836000+00:00;aECtcSXEtmx1vJ85;scroll;912
69;2022-01-13 12:47:14.153000+00:00;aECtcSXEtmx1vJ85;scroll;908
70;2022-01-13 12:47:14.220000+00:00;aECtcSXEtmx1vJ85;scroll;889
71;2022-01-13 12:47:50.069000+00:00;aECtcSXEtmx1vJ85;scroll;893
72;2022-01-13 12:47:50.086000+00:00;aECtcSXEtmx1vJ85;scroll;925
73;2022-01-13 12:47:50.136000+00:00;aECtcSXEtmx1vJ85;scroll;980
74;2022-01-13 12:48:13.519000+00:00;aECtcSXEtmx1vJ85;scroll;976
75;2022-01-13 12:48:13.552000+00:00;aECtcSXEtmx1vJ85;scroll;947
76;2022-01-13 12:48:13.586000+00:00;aECtcSXEtmx1vJ85;scroll;839
77;2022-01-13 12:48:13.618000+00:00;aECtcSXEtmx1vJ85;scroll;685
78;2022-01-13 12:48:13.652000+00:00;aECtcSXEtmx1vJ85;scroll;502
79;2022-01-13 12:48:13.719000+00:00;aECtcSXEtmx1vJ85;scroll;313
80;2022-01-13 12:48:13.953000+00:00;aECtcSXEtmx1vJ85;scroll;317
81;2022-01-13 12:48:13.985000+00:00;aECtcSXEtmx1vJ85;scroll;346
82;2022-01-13 12:48:14.019000+00:00;aECtcSXEtmx1vJ85;scroll;449
83;2022-01-13 12:48:14.068000+00:00;aECtcSXEtmx1vJ85;scroll;593
84;2022-01-13 12:48:14.102000+00:00;aECtcSXEtmx1vJ85;scroll;767
85;2022-01-13 12:48:14.219000+00:00;aECtcSXEtmx1vJ85;scroll;938
86;2022-01-13 12:48:14.585000+00:00;aECtcSXEtmx1vJ85;scroll;942
87;2022-01-13 12:48:14.619000+00:00;aECtcSXEtmx1vJ85;scroll;968
88;2022-01-13 12:48:14.752000+00:00;aECtcSXEtmx1vJ85;scroll;980
89;2022-01-13 12:48:50.035000+00:00;aECtcSXEtmx1vJ85;scroll;942
90;2022-01-13 12:48:50.052000+00:00;aECtcSXEtmx1vJ85;scroll;817
91;2022-01-13 12:48:50.069000+00:00;aECtcSXEtmx1vJ85;scroll;639
92;2022-01-13 12:48:50.085000+00:00;aECtcSXEtmx1vJ85;scroll;434
93;2022-01-13 12:48:50.119000+00:00;aECtcSXEtmx1vJ85;scroll;210
94;2022-01-13 12:48:50.435000+00:00;aECtcSXEtmx1vJ85;scroll;206
95;2022-01-13 12:48:50.452000+00:00;aECtcSXEtmx1vJ85;scroll;172
96;2022-01-13 12:48:50.469000+00:00;aECtcSXEtmx1vJ85;scroll;0
97;2022-01-13 12:48:50.919000+00:00;aECtcSXEtmx1vJ85;scroll;38
98;2022-01-13 12:48:50.952000+00:00;aECtcSXEtmx1vJ85;scroll;341
99;2022-01-13 12:48:50.986000+00:00;aECtcSXEtmx1vJ85;scroll;539
100;2022-01-13 12:48:51.086000+00:00;aECtcSXEtmx1vJ85;scroll;733
101;2022-01-13 12:48:51.252000+00:00;aECtcSXEtmx1vJ85;scroll;737
102;2022-01-13 12:48:51.269000+00:00;aECtcSXEtmx1vJ85;scroll;773
103;2022-01-13 12:48:51.285000+00:00;aECtcSXEtmx1vJ85;scroll;905
104;2022-01-13 12:48:51.302000+00:00;aECtcSXEtmx1vJ85;scroll;980
105;2022-01-13 12:49:40.741000+00:00;aECtcSXEtmx1vJ85;scroll;0
106;2022-01-13 12:49:41.502000+00:00;aECtcSXEtmx1vJ85;scroll;4
107;2022-01-13 12:49:41.535000+00:00;aECtcSXEtmx1vJ85;scroll;35
108;2022-01-13 12:49:41.552000+00:00;aECtcSXEtmx1vJ85;scroll;153
109;2022-01-13 12:49:41.568000+00:00;aECtcSXEtmx1vJ85;scroll;325
110;2022-01-13 12:49:41.585000+00:00;aECtcSXEtmx1vJ85;scroll;521
111;2022-01-13 12:49:41.635000+00:00;aECtcSXEtmx1vJ85;scroll;733
112;2022-01-13 12:49:41.835000+00:00;aECtcSXEtmx1vJ85;scroll;737
113;2022-01-13 12:49:41.852000+00:00;aECtcSXEtmx1vJ85;scroll;772
114;2022-01-13 12:49:41.867000+00:00;aECtcSXEtmx1vJ85;scroll;903
115;2022-01-13 12:49:41.885000+00:00;aECtcSXEtmx1vJ85;scroll;1083
116;2022-01-13 12:49:42.102000+00:00;aECtcSXEtmx1vJ85;scroll;1087
117;2022-01-13 12:49:42.118000+00:00;aECtcSXEtmx1vJ85;scroll;1120
118;2022-01-13 12:49:42.134000+00:00;aECtcSXEtmx1vJ85;scroll;1148
119;2022-01-13 12:49:43.452000+00:00;aECtcSXEtmx1vJ85;scroll;1144
120;2022-01-13 12:49:43.485000+00:00;aECtcSXEtmx1vJ85;scroll;1118
121;2022-01-13 12:49:43.901000+00:00;aECtcSXEtmx1vJ85;scroll;1114
122;2022-01-13 12:49:43.934000+00:00;aECtcSXEtmx1vJ85;scroll;1087
123;2022-01-13 12:49:43.968000+00:00;aECtcSXEtmx1vJ85;scroll;1000
124;2022-01-13 12:49:44.985000+00:00;aECtcSXEtmx1vJ85;scroll;996
125;2022-01-13 12:49:45.019000+00:00;aECtcSXEtmx1vJ85;scroll;967
126;2022-01-13 12:49:45.035000+00:00;aECtcSXEtmx1vJ85;scroll;860
127;2022-01-13 12:49:45.068000+00:00;aECtcSXEtmx1vJ85;scroll;707
128;2022-01-13 12:49:45.385000+00:00;aECtcSXEtmx1vJ85;scroll;703
129;2022-01-13 12:49:45.418000+00:00;aECtcSXEtmx1vJ85;scroll;672
130;2022-01-13 12:49:45.434000+00:00;aECtcSXEtmx1vJ85;scroll;563
131;2022-01-13 12:49:45.818000+00:00;aECtcSXEtmx1vJ85;scroll;559
132;2022-01-13 12:49:45.835000+00:00;aECtcSXEtmx1vJ85;scroll;527
133;2022-01-13 12:49:45.868000+00:00;aECtcSXEtmx1vJ85;scroll;412
134;2022-01-13 12:49:45.885000+00:00;aECtcSXEtmx1vJ85;scroll;247
135;2022-01-13 12:49:47.068000+00:00;aECtcSXEtmx1vJ85;scroll;251
136;2022-01-13 12:49:47.085000+00:00;aECtcSXEtmx1vJ85;scroll;284
137;2022-01-13 12:49:47.118000+00:00;aECtcSXEtmx1vJ85;scroll;400
138;2022-01-13 12:49:50.234000+00:00;aECtcSXEtmx1vJ85;scroll;396
139;2022-01-13 12:49:50.251000+00:00;aECtcSXEtmx1vJ85;scroll;365
140;2022-01-13 12:49:50.268000+00:00;aECtcSXEtmx1vJ85;scroll;249
141;2022-01-13 12:49:50.301000+00:00;aECtcSXEtmx1vJ85;scroll;79
142;2022-01-13 12:49:50.335000+00:00;aECtcSXEtmx1vJ85;scroll;0
143;2022-01-13 12:49:54.835000+00:00;aECtcSXEtmx1vJ85;scroll;4
144;2022-01-13 12:49:54.868000+00:00;aECtcSXEtmx1vJ85;scroll;29
145;2022-01-13 12:49:54.985000+00:00;aECtcSXEtmx1vJ85;scroll;65
146;2022-01-13 12:49:55.502000+00:00;aECtcSXEtmx1vJ85;scroll;61
147;2022-01-13 12:49:55.568000+00:00;aECtcSXEtmx1vJ85;scroll;44
148;2022-01-13 12:50:06.151000+00:00;aECtcSXEtmx1vJ85;scroll;48
149;2022-01-13 12:50:06.167000+00:00;aECtcSXEtmx1vJ85;scroll;79
150;2022-01-13 12:50:06.201000+00:00;aECtcSXEtmx1vJ85;scroll;182
151;2022-01-13 12:50:06.251000+00:00;aECtcSXEtmx1vJ85;scroll;325
152;2022-01-13 12:50:06.285000+00:00;aECtcSXEtmx1vJ85;scroll;500
153;2022-01-13 12:50:06.600000+00:00;aECtcSXEtmx1vJ85;scroll;504
154;2022-01-13 12:50:06.618000+00:00;aECtcSXEtmx1vJ85;scroll;535
155;2022-01-13 12:50:12.568000+00:00;aECtcSXEtmx1vJ85;scroll;531
156;2022-01-13 12:50:12.585000+00:00;aECtcSXEtmx1vJ85;scroll;499
157;2022-01-13 12:50:12.618000+00:00;aECtcSXEtmx1vJ85;scroll;386
158;2022-01-13 12:50:12.651000+00:00;aECtcSXEtmx1vJ85;scroll;227
159;2022-01-13 12:50:12.701000+00:00;aECtcSXEtmx1vJ85;scroll;47
160;2022-01-13 12:50:12.785000+00:00;aECtcSXEtmx1vJ85;scroll;0
161;2022-01-13 12:50:13.334000+00:00;aECtcSXEtmx1vJ85;scroll;4
162;2022-01-13 12:50:13.352000+00:00;aECtcSXEtmx1vJ85;scroll;36
163;2022-01-13 12:50:13.385000+00:00;aECtcSXEtmx1vJ85;scroll;146
164;2022-01-13 12:50:13.701000+00:00;aECtcSXEtmx1vJ85;scroll;150
165;2022-01-13 12:50:13.735000+00:00;aECtcSXEtmx1vJ85;scroll;183
166;2022-01-13 12:50:13.751000+00:00;aECtcSXEtmx1vJ85;scroll;307
167;2022-01-13 12:50:13.768000+00:00;aECtcSXEtmx1vJ85;scroll;480
168;2022-01-13 12:50:14.002000+00:00;aECtcSXEtmx1vJ85;scroll;484
169;2022-01-13 12:50:14.035000+00:00;aECtcSXEtmx1vJ85;scroll;642
170;2022-01-13 12:50:14.068000+00:00;aECtcSXEtmx1vJ85;scroll;813
171;2022-01-13 12:50:14.285000+00:00;aECtcSXEtmx1vJ85;scroll;817
172;2022-01-13 12:50:14.318000+00:00;aECtcSXEtmx1vJ85;scroll;973
173;2022-01-13 12:50:14.735000+00:00;aECtcSXEtmx1vJ85;scroll;977
174;2022-01-13 12:50:14.918000+00:00;aECtcSXEtmx1vJ85;scroll;981
175;2022-01-13 12:50:15.052000+00:00;aECtcSXEtmx1vJ85;scroll;985
176;2022-01-13 12:50:15.085000+00:00;aECtcSXEtmx1vJ85;scroll;1027
177;2022-01-13 12:50:15.118000+00:00;aECtcSXEtmx1vJ85;scroll;1118
178;2022-01-13 12:50:15.386000+00:00;aECtcSXEtmx1vJ85;scroll;1122
179;2022-01-13 12:50:15.418000+00:00;aECtcSXEtmx1vJ85;scroll;1148
180;2022-01-13 12:50:16.002000+00:00;aECtcSXEtmx1vJ85;scroll;1127
181;2022-01-13 12:50:16.035000+00:00;aECtcSXEtmx1vJ85;scroll;1083
182;2022-01-13 12:50:16.067000+00:00;aECtcSXEtmx1vJ85;scroll;961
183;2022-01-13 12:50:16.135000+00:00;aECtcSXEtmx1vJ85;scroll;820
184;2022-01-13 12:50:16.534000+00:00;aECtcSXEtmx1vJ85;scroll;816
185;2022-01-13 12:50:16.751000+00:00;aECtcSXEtmx1vJ85;scroll;812
186;2022-01-13 12:50:16.818000+00:00;aECtcSXEtmx1vJ85;scroll;793
187;2022-01-13 12:50:17.068000+00:00;aECtcSXEtmx1vJ85;scroll;797
188;2022-01-13 12:50:17.102000+00:00;aECtcSXEtmx1vJ85;scroll;825
189;2022-01-13 12:50:17.135000+00:00;aECtcSXEtmx1vJ85;scroll;922
190;2022-01-13 12:50:17.185000+00:00;aECtcSXEtmx1vJ85;scroll;1064
191;2022-01-13 12:50:17.235000+00:00;aECtcSXEtmx1vJ85;scroll;1148
192;2022-01-13 12:50:17.717000+00:00;aECtcSXEtmx1vJ85;scroll;1144
193;2022-01-13 12:50:17.751000+00:00;aECtcSXEtmx1vJ85;scroll;1119
194;2022-01-13 12:50:17.968000+00:00;aECtcSXEtmx1vJ85;scroll;1115
195;2022-01-13 12:50:18.069000+00:00;aECtcSXEtmx1vJ85;scroll;1107
196;2022-01-13 12:50:18.185000+00:00;aECtcSXEtmx1vJ85;scroll;1088
197;2022-01-13 12:50:25.618000+00:00;aECtcSXEtmx1vJ85;scroll;1092
198;2022-01-13 12:50:25.650000+00:00;aECtcSXEtmx1vJ85;scroll;1124
199;2022-01-13 12:50:25.667000+00:00;aECtcSXEtmx1vJ85;scroll;1148
200;2022-01-13 12:50:26.918000+00:00;aECtcSXEtmx1vJ85;scroll;0
201;2022-01-13 12:50:31.802000+00:00;aECtcSXEtmx1vJ85;scroll;4
202;2022-01-13 12:50:31.818000+00:00;aECtcSXEtmx1vJ85;scroll;34
