;time;token;event;position
0;2022-01-13 11:06:44.843000+00:00;aLlCNRBINt8fFKTa;scroll;0
1;2022-01-13 11:06:51.727000+00:00;aLlCNRBINt8fFKTa;scroll;1
2;2022-01-13 11:06:51.743000+00:00;aLlCNRBINt8fFKTa;scroll;2
3;2022-01-13 11:06:51.760000+00:00;aLlCNRBINt8fFKTa;scroll;4
4;2022-01-13 11:06:51.776000+00:00;aLlCNRBINt8fFKTa;scroll;7
5;2022-01-13 11:06:51.793000+00:00;aLlCNRBINt8fFKTa;scroll;10
6;2022-01-13 11:06:51.809000+00:00;aLlCNRBINt8fFKTa;scroll;13
7;2022-01-13 11:06:51.826000+00:00;aLlCNRBINt8fFKTa;scroll;16
8;2022-01-13 11:06:51.842000+00:00;aLlCNRBINt8fFKTa;scroll;20
9;2022-01-13 11:06:51.860000+00:00;aLlCNRBINt8fFKTa;scroll;25
10;2022-01-13 11:06:51.876000+00:00;aLlCNRBINt8fFKTa;scroll;31
11;2022-01-13 11:06:51.893000+00:00;aLlCNRBINt8fFKTa;scroll;37
12;2022-01-13 11:06:51.910000+00:00;aLlCNRBINt8fFKTa;scroll;44
13;2022-01-13 11:06:51.926000+00:00;aLlCNRBINt8fFKTa;scroll;50
14;2022-01-13 11:06:51.943000+00:00;aLlCNRBINt8fFKTa;scroll;57
15;2022-01-13 11:06:51.959000+00:00;aLlCNRBINt8fFKTa;scroll;63
16;2022-01-13 11:06:51.976000+00:00;aLlCNRBINt8fFKTa;scroll;69
17;2022-01-13 11:06:51.993000+00:00;aLlCNRBINt8fFKTa;scroll;76
18;2022-01-13 11:06:52.009000+00:00;aLlCNRBINt8fFKTa;scroll;81
19;2022-01-13 11:06:52.027000+00:00;aLlCNRBINt8fFKTa;scroll;87
20;2022-01-13 11:06:52.042000+00:00;aLlCNRBINt8fFKTa;scroll;92
21;2022-01-13 11:06:52.060000+00:00;aLlCNRBINt8fFKTa;scroll;98
22;2022-01-13 11:06:52.076000+00:00;aLlCNRBINt8fFKTa;scroll;104
23;2022-01-13 11:06:52.093000+00:00;aLlCNRBINt8fFKTa;scroll;109
24;2022-01-13 11:06:52.109000+00:00;aLlCNRBINt8fFKTa;scroll;115
25;2022-01-13 11:06:52.126000+00:00;aLlCNRBINt8fFKTa;scroll;120
26;2022-01-13 11:06:52.142000+00:00;aLlCNRBINt8fFKTa;scroll;126
27;2022-01-13 11:06:52.159000+00:00;aLlCNRBINt8fFKTa;scroll;131
28;2022-01-13 11:06:52.176000+00:00;aLlCNRBINt8fFKTa;scroll;136
29;2022-01-13 11:06:52.192000+00:00;aLlCNRBINt8fFKTa;scroll;141
30;2022-01-13 11:06:52.210000+00:00;aLlCNRBINt8fFKTa;scroll;147
31;2022-01-13 11:06:52.226000+00:00;aLlCNRBINt8fFKTa;scroll;154
32;2022-01-13 11:06:52.243000+00:00;aLlCNRBINt8fFKTa;scroll;161
33;2022-01-13 11:06:52.259000+00:00;aLlCNRBINt8fFKTa;scroll;168
34;2022-01-13 11:06:52.276000+00:00;aLlCNRBINt8fFKTa;scroll;174
35;2022-01-13 11:06:52.293000+00:00;aLlCNRBINt8fFKTa;scroll;181
36;2022-01-13 11:06:52.309000+00:00;aLlCNRBINt8fFKTa;scroll;187
37;2022-01-13 11:06:52.326000+00:00;aLlCNRBINt8fFKTa;scroll;193
38;2022-01-13 11:06:52.343000+00:00;aLlCNRBINt8fFKTa;scroll;199
39;2022-01-13 11:06:52.359000+00:00;aLlCNRBINt8fFKTa;scroll;204
40;2022-01-13 11:06:52.376000+00:00;aLlCNRBINt8fFKTa;scroll;209
41;2022-01-13 11:06:52.392000+00:00;aLlCNRBINt8fFKTa;scroll;213
42;2022-01-13 11:06:52.409000+00:00;aLlCNRBINt8fFKTa;scroll;223
43;2022-01-13 11:06:52.426000+00:00;aLlCNRBINt8fFKTa;scroll;232
44;2022-01-13 11:06:52.443000+00:00;aLlCNRBINt8fFKTa;scroll;243
45;2022-01-13 11:06:52.459000+00:00;aLlCNRBINt8fFKTa;scroll;255
46;2022-01-13 11:06:52.476000+00:00;aLlCNRBINt8fFKTa;scroll;267
47;2022-01-13 11:06:52.493000+00:00;aLlCNRBINt8fFKTa;scroll;279
48;2022-01-13 11:06:52.510000+00:00;aLlCNRBINt8fFKTa;scroll;290
49;2022-01-13 11:06:52.526000+00:00;aLlCNRBINt8fFKTa;scroll;301
50;2022-01-13 11:06:52.543000+00:00;aLlCNRBINt8fFKTa;scroll;310
51;2022-01-13 11:06:52.559000+00:00;aLlCNRBINt8fFKTa;scroll;321
52;2022-01-13 11:06:52.576000+00:00;aLlCNRBINt8fFKTa;scroll;331
53;2022-01-13 11:06:52.593000+00:00;aLlCNRBINt8fFKTa;scroll;341
54;2022-01-13 11:06:52.610000+00:00;aLlCNRBINt8fFKTa;scroll;350
55;2022-01-13 11:06:52.626000+00:00;aLlCNRBINt8fFKTa;scroll;358
56;2022-01-13 11:06:52.643000+00:00;aLlCNRBINt8fFKTa;scroll;366
57;2022-01-13 11:06:52.659000+00:00;aLlCNRBINt8fFKTa;scroll;374
58;2022-01-13 11:06:52.676000+00:00;aLlCNRBINt8fFKTa;scroll;380
59;2022-01-13 11:06:52.693000+00:00;aLlCNRBINt8fFKTa;scroll;386
60;2022-01-13 11:06:52.709000+00:00;aLlCNRBINt8fFKTa;scroll;391
61;2022-01-13 11:06:52.726000+00:00;aLlCNRBINt8fFKTa;scroll;395
