;time;token;event;position
0;2022-01-20 13:31:52.036000+00:00;bsjzxZvJrKo3qzQn;scroll;0
1;2022-01-20 13:31:55.193000+00:00;bsjzxZvJrKo3qzQn;scroll;3
2;2022-01-20 13:31:55.219000+00:00;bsjzxZvJrKo3qzQn;scroll;20
3;2022-01-20 13:31:55.236000+00:00;bsjzxZvJrKo3qzQn;scroll;78
4;2022-01-20 13:31:55.252000+00:00;bsjzxZvJrKo3qzQn;scroll;210
5;2022-01-20 13:31:55.268000+00:00;bsjzxZvJrKo3qzQn;scroll;378
6;2022-01-20 13:31:55.285000+00:00;bsjzxZvJrKo3qzQn;scroll;549
7;2022-01-20 13:31:55.302000+00:00;bsjzxZvJrKo3qzQn;scroll;716
8;2022-01-20 13:31:55.319000+00:00;bsjzxZvJrKo3qzQn;scroll;875
9;2022-01-20 13:31:55.335000+00:00;bsjzxZvJrKo3qzQn;scroll;1026
10;2022-01-20 13:31:55.351000+00:00;bsjzxZvJrKo3qzQn;scroll;1170
11;2022-01-20 13:31:55.368000+00:00;bsjzxZvJrKo3qzQn;scroll;1304
12;2022-01-20 13:31:55.386000+00:00;bsjzxZvJrKo3qzQn;scroll;1431
13;2022-01-20 13:31:55.401000+00:00;bsjzxZvJrKo3qzQn;scroll;1553
14;2022-01-20 13:31:55.419000+00:00;bsjzxZvJrKo3qzQn;scroll;1670
15;2022-01-20 13:31:55.434000+00:00;bsjzxZvJrKo3qzQn;scroll;1781
16;2022-01-20 13:31:55.452000+00:00;bsjzxZvJrKo3qzQn;scroll;1886
17;2022-01-20 13:31:55.468000+00:00;bsjzxZvJrKo3qzQn;scroll;1985
18;2022-01-20 13:31:55.486000+00:00;bsjzxZvJrKo3qzQn;scroll;2078
19;2022-01-20 13:31:55.501000+00:00;bsjzxZvJrKo3qzQn;scroll;2166
20;2022-01-20 13:31:56.136000+00:00;bsjzxZvJrKo3qzQn;scroll;2168
21;2022-01-20 13:31:56.153000+00:00;bsjzxZvJrKo3qzQn;scroll;2183
22;2022-01-20 13:31:56.169000+00:00;bsjzxZvJrKo3qzQn;scroll;2214
23;2022-01-20 13:31:56.185000+00:00;bsjzxZvJrKo3qzQn;scroll;2266
24;2022-01-20 13:31:56.202000+00:00;bsjzxZvJrKo3qzQn;scroll;2339
25;2022-01-20 13:31:56.218000+00:00;bsjzxZvJrKo3qzQn;scroll;2483
26;2022-01-20 13:31:56.236000+00:00;bsjzxZvJrKo3qzQn;scroll;2501
27;2022-01-20 13:31:57.085000+00:00;bsjzxZvJrKo3qzQn;scroll;0
28;2022-01-20 13:31:57.489000+00:00;bsjzxZvJrKo3qzQn;scroll;1
29;2022-01-20 13:31:57.518000+00:00;bsjzxZvJrKo3qzQn;scroll;14
30;2022-01-20 13:31:57.535000+00:00;bsjzxZvJrKo3qzQn;scroll;45
31;2022-01-20 13:31:57.552000+00:00;bsjzxZvJrKo3qzQn;scroll;102
32;2022-01-20 13:31:57.568000+00:00;bsjzxZvJrKo3qzQn;scroll;230
33;2022-01-20 13:31:57.585000+00:00;bsjzxZvJrKo3qzQn;scroll;348
34;2022-01-20 13:31:57.602000+00:00;bsjzxZvJrKo3qzQn;scroll;634
35;2022-01-20 13:31:57.619000+00:00;bsjzxZvJrKo3qzQn;scroll;836
36;2022-01-20 13:31:57.635000+00:00;bsjzxZvJrKo3qzQn;scroll;1040
37;2022-01-20 13:31:57.652000+00:00;bsjzxZvJrKo3qzQn;scroll;1233
