;time;token;event;position
0;2022-01-13 13:00:23.678000+00:00;bxg52nXuYrIm36wA;scroll;0.0
1;2022-01-13 13:00:50.237000+00:00;bxg52nXuYrIm36wA;scroll;1.0
2;2022-01-13 13:00:50.244000+00:00;bxg52nXuYrIm36wA;scroll;2.0
3;2022-01-13 13:00:50.251000+00:00;bxg52nXuYrIm36wA;scroll;4.0
4;2022-01-13 13:00:50.257000+00:00;bxg52nXuYrIm36wA;scroll;6.0
5;2022-01-13 13:00:50.265000+00:00;bxg52nXuYrIm36wA;scroll;9.0
6;2022-01-13 13:00:50.271000+00:00;bxg52nXuYrIm36wA;scroll;12.0
7;2022-01-13 13:00:50.278000+00:00;bxg52nXuYrIm36wA;scroll;16.0
8;2022-01-13 13:00:50.285000+00:00;bxg52nXuYrIm36wA;scroll;20.0
9;2022-01-13 13:00:50.293000+00:00;bxg52nXuYrIm36wA;scroll;26.0
10;2022-01-13 13:00:50.300000+00:00;bxg52nXuYrIm36wA;scroll;31.0
11;2022-01-13 13:00:50.307000+00:00;bxg52nXuYrIm36wA;scroll;37.0
12;2022-01-13 13:00:50.313000+00:00;bxg52nXuYrIm36wA;scroll;42.0
13;2022-01-13 13:00:50.320000+00:00;bxg52nXuYrIm36wA;scroll;48.0
14;2022-01-13 13:00:50.329000+00:00;bxg52nXuYrIm36wA;scroll;54.0
15;2022-01-13 13:00:50.334000+00:00;bxg52nXuYrIm36wA;scroll;60.0
16;2022-01-13 13:00:50.341000+00:00;bxg52nXuYrIm36wA;scroll;65.0
17;2022-01-13 13:00:50.348000+00:00;bxg52nXuYrIm36wA;scroll;71.0
18;2022-01-13 13:00:50.355000+00:00;bxg52nXuYrIm36wA;scroll;76.0
19;2022-01-13 13:00:50.362000+00:00;bxg52nXuYrIm36wA;scroll;81.0
20;2022-01-13 13:00:50.369000+00:00;bxg52nXuYrIm36wA;scroll;85.0
21;2022-01-13 13:00:50.376000+00:00;bxg52nXuYrIm36wA;scroll;89.0
22;2022-01-13 13:00:50.383000+00:00;bxg52nXuYrIm36wA;scroll;92.0
23;2022-01-13 13:00:50.389000+00:00;bxg52nXuYrIm36wA;scroll;95.0
24;2022-01-13 13:00:50.396000+00:00;bxg52nXuYrIm36wA;scroll;97.0
25;2022-01-13 13:00:50.403000+00:00;bxg52nXuYrIm36wA;scroll;98.0
26;2022-01-13 13:00:50.410000+00:00;bxg52nXuYrIm36wA;scroll;99.0
27;2022-01-13 13:00:50.417000+00:00;bxg52nXuYrIm36wA;scroll;100.0
28;2022-01-13 13:01:27.696000+00:00;bxg52nXuYrIm36wA;scroll;101.0
29;2022-01-13 13:01:27.703000+00:00;bxg52nXuYrIm36wA;scroll;102.0
30;2022-01-13 13:01:27.710000+00:00;bxg52nXuYrIm36wA;scroll;104.0
31;2022-01-13 13:01:27.717000+00:00;bxg52nXuYrIm36wA;scroll;106.0
32;2022-01-13 13:01:27.724000+00:00;bxg52nXuYrIm36wA;scroll;109.0
33;2022-01-13 13:01:27.731000+00:00;bxg52nXuYrIm36wA;scroll;112.0
34;2022-01-13 13:01:27.738000+00:00;bxg52nXuYrIm36wA;scroll;116.0
