;time;token;event;position
0;2022-01-13 12:44:22.780000+00:00;cAWr2gEJudestP+s;scroll;0
1;2022-01-13 12:45:06.990000+00:00;cAWr2gEJudestP+s;scroll;3
2;2022-01-13 12:45:06.998000+00:00;cAWr2gEJudestP+s;scroll;11
3;2022-01-13 12:45:07.015000+00:00;cAWr2gEJudestP+s;scroll;25
4;2022-01-13 12:45:07.032000+00:00;cAWr2gEJudestP+s;scroll;45
5;2022-01-13 12:45:07.048000+00:00;cAWr2gEJudestP+s;scroll;68
6;2022-01-13 12:45:07.065000+00:00;cAWr2gEJudestP+s;scroll;94
7;2022-01-13 12:45:07.081000+00:00;cAWr2gEJudestP+s;scroll;118
8;2022-01-13 12:45:07.098000+00:00;cAWr2gEJudestP+s;scroll;139
9;2022-01-13 12:45:07.115000+00:00;cAWr2gEJudestP+s;scroll;154
10;2022-01-13 12:45:07.131000+00:00;cAWr2gEJudestP+s;scroll;163
11;2022-01-13 12:45:07.148000+00:00;cAWr2gEJudestP+s;scroll;167
12;2022-01-13 12:45:07.638000+00:00;cAWr2gEJudestP+s;scroll;169
13;2022-01-13 12:45:07.649000+00:00;cAWr2gEJudestP+s;scroll;178
14;2022-01-13 12:45:07.666000+00:00;cAWr2gEJudestP+s;scroll;192
15;2022-01-13 12:45:07.682000+00:00;cAWr2gEJudestP+s;scroll;212
16;2022-01-13 12:45:07.699000+00:00;cAWr2gEJudestP+s;scroll;236
17;2022-01-13 12:45:07.716000+00:00;cAWr2gEJudestP+s;scroll;261
18;2022-01-13 12:45:07.732000+00:00;cAWr2gEJudestP+s;scroll;286
19;2022-01-13 12:45:07.749000+00:00;cAWr2gEJudestP+s;scroll;306
20;2022-01-13 12:45:07.766000+00:00;cAWr2gEJudestP+s;scroll;321
21;2022-01-13 12:45:07.782000+00:00;cAWr2gEJudestP+s;scroll;330
22;2022-01-13 12:45:07.799000+00:00;cAWr2gEJudestP+s;scroll;333
23;2022-01-13 12:45:13.669000+00:00;cAWr2gEJudestP+s;scroll;331
24;2022-01-13 12:45:13.682000+00:00;cAWr2gEJudestP+s;scroll;322
25;2022-01-13 12:45:13.699000+00:00;cAWr2gEJudestP+s;scroll;308
26;2022-01-13 12:45:13.716000+00:00;cAWr2gEJudestP+s;scroll;288
27;2022-01-13 12:45:13.732000+00:00;cAWr2gEJudestP+s;scroll;265
28;2022-01-13 12:45:13.749000+00:00;cAWr2gEJudestP+s;scroll;239
29;2022-01-13 12:45:13.766000+00:00;cAWr2gEJudestP+s;scroll;215
30;2022-01-13 12:45:13.782000+00:00;cAWr2gEJudestP+s;scroll;194
31;2022-01-13 12:45:13.799000+00:00;cAWr2gEJudestP+s;scroll;179
32;2022-01-13 12:45:13.816000+00:00;cAWr2gEJudestP+s;scroll;170
33;2022-01-13 12:45:13.832000+00:00;cAWr2gEJudestP+s;scroll;167
34;2022-01-13 12:45:14.283000+00:00;cAWr2gEJudestP+s;scroll;164
35;2022-01-13 12:45:14.299000+00:00;cAWr2gEJudestP+s;scroll;156
36;2022-01-13 12:45:14.316000+00:00;cAWr2gEJudestP+s;scroll;142
37;2022-01-13 12:45:14.333000+00:00;cAWr2gEJudestP+s;scroll;122
38;2022-01-13 12:45:14.349000+00:00;cAWr2gEJudestP+s;scroll;98
39;2022-01-13 12:45:14.366000+00:00;cAWr2gEJudestP+s;scroll;73
40;2022-01-13 12:45:14.382000+00:00;cAWr2gEJudestP+s;scroll;49
41;2022-01-13 12:45:14.399000+00:00;cAWr2gEJudestP+s;scroll;28
42;2022-01-13 12:45:14.416000+00:00;cAWr2gEJudestP+s;scroll;13
43;2022-01-13 12:45:14.432000+00:00;cAWr2gEJudestP+s;scroll;4
44;2022-01-13 12:45:14.449000+00:00;cAWr2gEJudestP+s;scroll;0
45;2022-01-13 12:45:34.704000+00:00;cAWr2gEJudestP+s;scroll;3
46;2022-01-13 12:45:34.716000+00:00;cAWr2gEJudestP+s;scroll;11
47;2022-01-13 12:45:34.733000+00:00;cAWr2gEJudestP+s;scroll;25
48;2022-01-13 12:45:34.750000+00:00;cAWr2gEJudestP+s;scroll;45
49;2022-01-13 12:45:34.767000+00:00;cAWr2gEJudestP+s;scroll;68
50;2022-01-13 12:45:34.783000+00:00;cAWr2gEJudestP+s;scroll;94
51;2022-01-13 12:45:34.800000+00:00;cAWr2gEJudestP+s;scroll;118
52;2022-01-13 12:45:34.817000+00:00;cAWr2gEJudestP+s;scroll;139
53;2022-01-13 12:45:34.833000+00:00;cAWr2gEJudestP+s;scroll;154
54;2022-01-13 12:45:34.850000+00:00;cAWr2gEJudestP+s;scroll;163
55;2022-01-13 12:45:34.867000+00:00;cAWr2gEJudestP+s;scroll;167
56;2022-01-13 12:46:08.022000+00:00;cAWr2gEJudestP+s;scroll;169
57;2022-01-13 12:46:08.035000+00:00;cAWr2gEJudestP+s;scroll;178
58;2022-01-13 12:46:08.051000+00:00;cAWr2gEJudestP+s;scroll;192
59;2022-01-13 12:46:08.068000+00:00;cAWr2gEJudestP+s;scroll;212
60;2022-01-13 12:46:08.084000+00:00;cAWr2gEJudestP+s;scroll;236
61;2022-01-13 12:46:08.101000+00:00;cAWr2gEJudestP+s;scroll;261
62;2022-01-13 12:46:08.118000+00:00;cAWr2gEJudestP+s;scroll;286
63;2022-01-13 12:46:08.134000+00:00;cAWr2gEJudestP+s;scroll;306
64;2022-01-13 12:46:08.151000+00:00;cAWr2gEJudestP+s;scroll;321
65;2022-01-13 12:46:08.168000+00:00;cAWr2gEJudestP+s;scroll;330
66;2022-01-13 12:46:08.184000+00:00;cAWr2gEJudestP+s;scroll;333
67;2022-01-13 12:46:09.755000+00:00;cAWr2gEJudestP+s;scroll;331
68;2022-01-13 12:46:09.768000+00:00;cAWr2gEJudestP+s;scroll;322
69;2022-01-13 12:46:09.784000+00:00;cAWr2gEJudestP+s;scroll;308
70;2022-01-13 12:46:09.801000+00:00;cAWr2gEJudestP+s;scroll;289
71;2022-01-13 12:46:09.818000+00:00;cAWr2gEJudestP+s;scroll;265
72;2022-01-13 12:46:09.834000+00:00;cAWr2gEJudestP+s;scroll;240
73;2022-01-13 12:46:09.851000+00:00;cAWr2gEJudestP+s;scroll;215
74;2022-01-13 12:46:09.868000+00:00;cAWr2gEJudestP+s;scroll;195
75;2022-01-13 12:46:09.884000+00:00;cAWr2gEJudestP+s;scroll;180
76;2022-01-13 12:46:09.901000+00:00;cAWr2gEJudestP+s;scroll;170
77;2022-01-13 12:46:09.918000+00:00;cAWr2gEJudestP+s;scroll;167
78;2022-01-13 12:46:30.162000+00:00;cAWr2gEJudestP+s;scroll;169
79;2022-01-13 12:46:30.168000+00:00;cAWr2gEJudestP+s;scroll;177
80;2022-01-13 12:46:30.185000+00:00;cAWr2gEJudestP+s;scroll;192
81;2022-01-13 12:46:30.202000+00:00;cAWr2gEJudestP+s;scroll;211
82;2022-01-13 12:46:30.218000+00:00;cAWr2gEJudestP+s;scroll;235
83;2022-01-13 12:46:30.235000+00:00;cAWr2gEJudestP+s;scroll;260
84;2022-01-13 12:46:30.252000+00:00;cAWr2gEJudestP+s;scroll;285
85;2022-01-13 12:46:30.268000+00:00;cAWr2gEJudestP+s;scroll;305
86;2022-01-13 12:46:30.285000+00:00;cAWr2gEJudestP+s;scroll;320
87;2022-01-13 12:46:30.302000+00:00;cAWr2gEJudestP+s;scroll;330
88;2022-01-13 12:46:30.318000+00:00;cAWr2gEJudestP+s;scroll;333
89;2022-01-13 12:46:30.685000+00:00;cAWr2gEJudestP+s;scroll;336
90;2022-01-13 12:46:30.702000+00:00;cAWr2gEJudestP+s;scroll;344
91;2022-01-13 12:46:30.718000+00:00;cAWr2gEJudestP+s;scroll;358
92;2022-01-13 12:46:30.735000+00:00;cAWr2gEJudestP+s;scroll;378
93;2022-01-13 12:46:30.752000+00:00;cAWr2gEJudestP+s;scroll;401
94;2022-01-13 12:46:30.769000+00:00;cAWr2gEJudestP+s;scroll;427
95;2022-01-13 12:46:30.786000+00:00;cAWr2gEJudestP+s;scroll;451
