;time;token;event;position
0;2022-01-13 12:43:44.354000+00:00;dIuoAjr+zZdq1MNU;scroll;0.0
1;2022-01-13 12:44:08.415000+00:00;dIuoAjr+zZdq1MNU;scroll;1.0
2;2022-01-13 12:44:08.433000+00:00;dIuoAjr+zZdq1MNU;scroll;13.0
3;2022-01-13 12:44:08.449000+00:00;dIuoAjr+zZdq1MNU;scroll;23.0
4;2022-01-13 12:44:08.466000+00:00;dIuoAjr+zZdq1MNU;scroll;36.0
5;2022-01-13 12:44:08.482000+00:00;dIuoAjr+zZdq1MNU;scroll;50.0
6;2022-01-13 12:44:08.499000+00:00;dIuoAjr+zZdq1MNU;scroll;64.0
7;2022-01-13 12:44:08.516000+00:00;dIuoAjr+zZdq1MNU;scroll;77.0
8;2022-01-13 12:44:08.533000+00:00;dIuoAjr+zZdq1MNU;scroll;88.0
9;2022-01-13 12:44:08.549000+00:00;dIuoAjr+zZdq1MNU;scroll;94.0
10;2022-01-13 12:44:08.566000+00:00;dIuoAjr+zZdq1MNU;scroll;99.0
11;2022-01-13 12:44:08.582000+00:00;dIuoAjr+zZdq1MNU;scroll;100.0
12;2022-01-13 12:44:08.767000+00:00;dIuoAjr+zZdq1MNU;scroll;101.0
13;2022-01-13 12:44:08.782000+00:00;dIuoAjr+zZdq1MNU;scroll;106.0
14;2022-01-13 12:44:08.799000+00:00;dIuoAjr+zZdq1MNU;scroll;113.0
15;2022-01-13 12:44:08.816000+00:00;dIuoAjr+zZdq1MNU;scroll;123.0
16;2022-01-13 12:44:08.832000+00:00;dIuoAjr+zZdq1MNU;scroll;136.0
17;2022-01-13 12:44:08.849000+00:00;dIuoAjr+zZdq1MNU;scroll;150.0
18;2022-01-13 12:44:08.866000+00:00;dIuoAjr+zZdq1MNU;scroll;164.0
19;2022-01-13 12:44:08.883000+00:00;dIuoAjr+zZdq1MNU;scroll;177.0
20;2022-01-13 12:44:08.899000+00:00;dIuoAjr+zZdq1MNU;scroll;187.0
21;2022-01-13 12:44:08.915000+00:00;dIuoAjr+zZdq1MNU;scroll;195.0
22;2022-01-13 12:44:08.932000+00:00;dIuoAjr+zZdq1MNU;scroll;199.0
23;2022-01-13 12:44:08.949000+00:00;dIuoAjr+zZdq1MNU;scroll;200.0
24;2022-01-13 12:44:09.383000+00:00;dIuoAjr+zZdq1MNU;scroll;201.0
25;2022-01-13 12:44:09.399000+00:00;dIuoAjr+zZdq1MNU;scroll;206.0
26;2022-01-13 12:44:09.415000+00:00;dIuoAjr+zZdq1MNU;scroll;213.0
27;2022-01-13 12:44:09.432000+00:00;dIuoAjr+zZdq1MNU;scroll;223.0
28;2022-01-13 12:44:09.449000+00:00;dIuoAjr+zZdq1MNU;scroll;236.0
29;2022-01-13 12:44:09.466000+00:00;dIuoAjr+zZdq1MNU;scroll;250.0
30;2022-01-13 12:44:09.482000+00:00;dIuoAjr+zZdq1MNU;scroll;264.0
31;2022-01-13 12:44:09.499000+00:00;dIuoAjr+zZdq1MNU;scroll;277.0
32;2022-01-13 12:44:09.516000+00:00;dIuoAjr+zZdq1MNU;scroll;287.0
33;2022-01-13 12:44:09.533000+00:00;dIuoAjr+zZdq1MNU;scroll;294.0
34;2022-01-13 12:44:09.549000+00:00;dIuoAjr+zZdq1MNU;scroll;299.0
35;2022-01-13 12:44:09.566000+00:00;dIuoAjr+zZdq1MNU;scroll;300.0
36;2022-01-13 12:44:21.881000+00:00;dIuoAjr+zZdq1MNU;scroll;301.0
37;2022-01-13 12:44:21.897000+00:00;dIuoAjr+zZdq1MNU;scroll;306.0
38;2022-01-13 12:44:21.914000+00:00;dIuoAjr+zZdq1MNU;scroll;313.0
39;2022-01-13 12:44:21.931000+00:00;dIuoAjr+zZdq1MNU;scroll;323.0
40;2022-01-13 12:44:21.947000+00:00;dIuoAjr+zZdq1MNU;scroll;336.0
41;2022-01-13 12:44:21.964000+00:00;dIuoAjr+zZdq1MNU;scroll;351.0
42;2022-01-13 12:44:21.981000+00:00;dIuoAjr+zZdq1MNU;scroll;369.0
43;2022-01-13 12:44:21.997000+00:00;dIuoAjr+zZdq1MNU;scroll;389.0
44;2022-01-13 12:44:22.014000+00:00;dIuoAjr+zZdq1MNU;scroll;410.0
45;2022-01-13 12:44:22.030000+00:00;dIuoAjr+zZdq1MNU;scroll;432.0
46;2022-01-13 12:44:22.047000+00:00;dIuoAjr+zZdq1MNU;scroll;453.0
47;2022-01-13 12:44:22.064000+00:00;dIuoAjr+zZdq1MNU;scroll;471.0
48;2022-01-13 12:44:22.081000+00:00;dIuoAjr+zZdq1MNU;scroll;484.0
49;2022-01-13 12:44:22.097000+00:00;dIuoAjr+zZdq1MNU;scroll;493.0
50;2022-01-13 12:44:22.114000+00:00;dIuoAjr+zZdq1MNU;scroll;498.0
51;2022-01-13 12:44:22.131000+00:00;dIuoAjr+zZdq1MNU;scroll;500.0
52;2022-01-13 12:44:22.407000+00:00;dIuoAjr+zZdq1MNU;scroll;501.0
53;2022-01-13 12:44:22.414000+00:00;dIuoAjr+zZdq1MNU;scroll;506.0
54;2022-01-13 12:44:22.430000+00:00;dIuoAjr+zZdq1MNU;scroll;513.0
55;2022-01-13 12:44:22.447000+00:00;dIuoAjr+zZdq1MNU;scroll;523.0
56;2022-01-13 12:44:22.464000+00:00;dIuoAjr+zZdq1MNU;scroll;536.0
57;2022-01-13 12:44:22.480000+00:00;dIuoAjr+zZdq1MNU;scroll;550.0
58;2022-01-13 12:44:22.497000+00:00;dIuoAjr+zZdq1MNU;scroll;564.0
59;2022-01-13 12:44:22.514000+00:00;dIuoAjr+zZdq1MNU;scroll;577.0
60;2022-01-13 12:44:22.530000+00:00;dIuoAjr+zZdq1MNU;scroll;587.0
61;2022-01-13 12:44:22.548000+00:00;dIuoAjr+zZdq1MNU;scroll;595.0
62;2022-01-13 12:44:22.564000+00:00;dIuoAjr+zZdq1MNU;scroll;599.0
63;2022-01-13 12:44:22.580000+00:00;dIuoAjr+zZdq1MNU;scroll;600.0
64;2022-01-13 12:44:41.295000+00:00;dIuoAjr+zZdq1MNU;scroll;601.0
65;2022-01-13 12:44:41.311000+00:00;dIuoAjr+zZdq1MNU;scroll;606.0
66;2022-01-13 12:44:41.328000+00:00;dIuoAjr+zZdq1MNU;scroll;613.0
67;2022-01-13 12:44:41.345000+00:00;dIuoAjr+zZdq1MNU;scroll;623.0
68;2022-01-13 12:44:41.361000+00:00;dIuoAjr+zZdq1MNU;scroll;636.0
69;2022-01-13 12:44:41.378000+00:00;dIuoAjr+zZdq1MNU;scroll;650.0
70;2022-01-13 12:44:41.395000+00:00;dIuoAjr+zZdq1MNU;scroll;667.0
71;2022-01-13 12:44:41.412000+00:00;dIuoAjr+zZdq1MNU;scroll;685.0
72;2022-01-13 12:44:41.428000+00:00;dIuoAjr+zZdq1MNU;scroll;705.0
73;2022-01-13 12:44:41.445000+00:00;dIuoAjr+zZdq1MNU;scroll;725.0
74;2022-01-13 12:44:41.461000+00:00;dIuoAjr+zZdq1MNU;scroll;745.0
75;2022-01-13 12:44:41.478000+00:00;dIuoAjr+zZdq1MNU;scroll;763.0
76;2022-01-13 12:44:41.495000+00:00;dIuoAjr+zZdq1MNU;scroll;778.0
77;2022-01-13 12:44:41.511000+00:00;dIuoAjr+zZdq1MNU;scroll;788.0
78;2022-01-13 12:44:41.528000+00:00;dIuoAjr+zZdq1MNU;scroll;796.0
79;2022-01-13 12:44:41.545000+00:00;dIuoAjr+zZdq1MNU;scroll;799.0
80;2022-01-13 12:44:41.561000+00:00;dIuoAjr+zZdq1MNU;scroll;800.0
81;2022-01-13 12:44:41.719000+00:00;dIuoAjr+zZdq1MNU;scroll;801.0
82;2022-01-13 12:44:41.728000+00:00;dIuoAjr+zZdq1MNU;scroll;806.0
83;2022-01-13 12:44:41.745000+00:00;dIuoAjr+zZdq1MNU;scroll;813.0
84;2022-01-13 12:44:41.761000+00:00;dIuoAjr+zZdq1MNU;scroll;823.0
85;2022-01-13 12:44:41.778000+00:00;dIuoAjr+zZdq1MNU;scroll;836.0
86;2022-01-13 12:44:41.795000+00:00;dIuoAjr+zZdq1MNU;scroll;850.0
87;2022-01-13 12:44:41.811000+00:00;dIuoAjr+zZdq1MNU;scroll;864.0
88;2022-01-13 12:44:41.828000+00:00;dIuoAjr+zZdq1MNU;scroll;877.0
89;2022-01-13 12:44:41.845000+00:00;dIuoAjr+zZdq1MNU;scroll;887.0
90;2022-01-13 12:44:41.861000+00:00;dIuoAjr+zZdq1MNU;scroll;895.0
91;2022-01-13 12:44:41.878000+00:00;dIuoAjr+zZdq1MNU;scroll;899.0
92;2022-01-13 12:44:41.896000+00:00;dIuoAjr+zZdq1MNU;scroll;900.0
93;2022-01-13 12:44:58.226000+00:00;dIuoAjr+zZdq1MNU;scroll;902.0
94;2022-01-13 12:44:58.243000+00:00;dIuoAjr+zZdq1MNU;scroll;905.0
95;2022-01-13 12:44:58.259000+00:00;dIuoAjr+zZdq1MNU;scroll;908.0
96;2022-01-13 12:44:58.276000+00:00;dIuoAjr+zZdq1MNU;scroll;913.0
97;2022-01-13 12:44:58.293000+00:00;dIuoAjr+zZdq1MNU;scroll;918.0
98;2022-01-13 12:44:58.309000+00:00;dIuoAjr+zZdq1MNU;scroll;923.0
99;2022-01-13 12:44:58.326000+00:00;dIuoAjr+zZdq1MNU;scroll;927.0
100;2022-01-13 12:44:58.343000+00:00;dIuoAjr+zZdq1MNU;scroll;931.0
101;2022-01-13 12:44:58.360000+00:00;dIuoAjr+zZdq1MNU;scroll;933.0
102;2022-01-13 12:44:58.376000+00:00;dIuoAjr+zZdq1MNU;scroll;935.0
103;2022-01-13 12:45:21.771000+00:00;dIuoAjr+zZdq1MNU;scroll;0.0
104;2022-01-13 12:45:23.123000+00:00;dIuoAjr+zZdq1MNU;scroll;1.0
105;2022-01-13 12:45:23.140000+00:00;dIuoAjr+zZdq1MNU;scroll;6.0
106;2022-01-13 12:45:23.157000+00:00;dIuoAjr+zZdq1MNU;scroll;13.0
107;2022-01-13 12:45:23.173000+00:00;dIuoAjr+zZdq1MNU;scroll;25.0
108;2022-01-13 12:45:23.190000+00:00;dIuoAjr+zZdq1MNU;scroll;42.0
109;2022-01-13 12:45:23.207000+00:00;dIuoAjr+zZdq1MNU;scroll;65.0
110;2022-01-13 12:45:23.223000+00:00;dIuoAjr+zZdq1MNU;scroll;96.0
111;2022-01-13 12:45:23.240000+00:00;dIuoAjr+zZdq1MNU;scroll;136.0
112;2022-01-13 12:45:23.257000+00:00;dIuoAjr+zZdq1MNU;scroll;184.0
113;2022-01-13 12:45:23.273000+00:00;dIuoAjr+zZdq1MNU;scroll;236.0
114;2022-01-13 12:45:23.290000+00:00;dIuoAjr+zZdq1MNU;scroll;290.0
115;2022-01-13 12:45:23.307000+00:00;dIuoAjr+zZdq1MNU;scroll;336.0
116;2022-01-13 12:45:23.323000+00:00;dIuoAjr+zZdq1MNU;scroll;371.0
117;2022-01-13 12:45:23.340000+00:00;dIuoAjr+zZdq1MNU;scroll;392.0
118;2022-01-13 12:45:23.357000+00:00;dIuoAjr+zZdq1MNU;scroll;400.0
119;2022-01-13 12:45:23.568000+00:00;dIuoAjr+zZdq1MNU;scroll;401.0
120;2022-01-13 12:45:23.573000+00:00;dIuoAjr+zZdq1MNU;scroll;406.0
121;2022-01-13 12:45:23.590000+00:00;dIuoAjr+zZdq1MNU;scroll;413.0
122;2022-01-13 12:45:23.607000+00:00;dIuoAjr+zZdq1MNU;scroll;424.0
123;2022-01-13 12:45:23.623000+00:00;dIuoAjr+zZdq1MNU;scroll;437.0
124;2022-01-13 12:45:23.640000+00:00;dIuoAjr+zZdq1MNU;scroll;455.0
125;2022-01-13 12:45:23.657000+00:00;dIuoAjr+zZdq1MNU;scroll;478.0
126;2022-01-13 12:45:23.673000+00:00;dIuoAjr+zZdq1MNU;scroll;505.0
127;2022-01-13 12:45:23.690000+00:00;dIuoAjr+zZdq1MNU;scroll;538.0
128;2022-01-13 12:45:23.707000+00:00;dIuoAjr+zZdq1MNU;scroll;574.0
129;2022-01-13 12:45:23.723000+00:00;dIuoAjr+zZdq1MNU;scroll;611.0
130;2022-01-13 12:45:23.740000+00:00;dIuoAjr+zZdq1MNU;scroll;643.0
131;2022-01-13 12:45:23.757000+00:00;dIuoAjr+zZdq1MNU;scroll;670.0
132;2022-01-13 12:45:23.773000+00:00;dIuoAjr+zZdq1MNU;scroll;688.0
133;2022-01-13 12:45:23.790000+00:00;dIuoAjr+zZdq1MNU;scroll;697.0
134;2022-01-13 12:45:23.807000+00:00;dIuoAjr+zZdq1MNU;scroll;700.0
135;2022-01-13 12:45:23.944000+00:00;dIuoAjr+zZdq1MNU;scroll;701.0
136;2022-01-13 12:45:23.957000+00:00;dIuoAjr+zZdq1MNU;scroll;706.0
137;2022-01-13 12:45:23.974000+00:00;dIuoAjr+zZdq1MNU;scroll;713.0
138;2022-01-13 12:45:23.990000+00:00;dIuoAjr+zZdq1MNU;scroll;725.0
139;2022-01-13 12:45:24.007000+00:00;dIuoAjr+zZdq1MNU;scroll;746.0
140;2022-01-13 12:45:24.023000+00:00;dIuoAjr+zZdq1MNU;scroll;777.0
141;2022-01-13 12:45:24.040000+00:00;dIuoAjr+zZdq1MNU;scroll;817.0
142;2022-01-13 12:45:24.057000+00:00;dIuoAjr+zZdq1MNU;scroll;864.0
143;2022-01-13 12:45:24.073000+00:00;dIuoAjr+zZdq1MNU;scroll;916.0
144;2022-01-13 12:45:24.090000+00:00;dIuoAjr+zZdq1MNU;scroll;971.0
145;2022-01-13 12:45:24.107000+00:00;dIuoAjr+zZdq1MNU;scroll;1020.0
146;2022-01-13 12:45:24.124000+00:00;dIuoAjr+zZdq1MNU;scroll;1060.0
147;2022-01-13 12:45:24.140000+00:00;dIuoAjr+zZdq1MNU;scroll;1085.0
148;2022-01-13 12:45:24.156000+00:00;dIuoAjr+zZdq1MNU;scroll;1098.0
149;2022-01-13 12:45:24.173000+00:00;dIuoAjr+zZdq1MNU;scroll;1100.0
150;2022-01-13 12:45:24.790000+00:00;dIuoAjr+zZdq1MNU;scroll;1101.0
151;2022-01-13 12:45:24.823000+00:00;dIuoAjr+zZdq1MNU;scroll;1102.0
152;2022-01-13 12:45:24.873000+00:00;dIuoAjr+zZdq1MNU;scroll;1103.0
153;2022-01-13 12:45:33.128000+00:00;dIuoAjr+zZdq1MNU;scroll;0.0
154;2022-01-13 12:45:34.439000+00:00;dIuoAjr+zZdq1MNU;scroll;1.0
155;2022-01-13 12:45:34.455000+00:00;dIuoAjr+zZdq1MNU;scroll;6.0
156;2022-01-13 12:45:34.472000+00:00;dIuoAjr+zZdq1MNU;scroll;14.0
157;2022-01-13 12:45:34.491000+00:00;dIuoAjr+zZdq1MNU;scroll;31.0
158;2022-01-13 12:45:34.505000+00:00;dIuoAjr+zZdq1MNU;scroll;59.0
159;2022-01-13 12:45:34.522000+00:00;dIuoAjr+zZdq1MNU;scroll;101.0
160;2022-01-13 12:45:34.538000+00:00;dIuoAjr+zZdq1MNU;scroll;157.0
161;2022-01-13 12:45:34.555000+00:00;dIuoAjr+zZdq1MNU;scroll;220.0
162;2022-01-13 12:45:34.572000+00:00;dIuoAjr+zZdq1MNU;scroll;286.0
163;2022-01-13 12:45:34.588000+00:00;dIuoAjr+zZdq1MNU;scroll;349.0
164;2022-01-13 12:45:34.605000+00:00;dIuoAjr+zZdq1MNU;scroll;407.0
165;2022-01-13 12:45:34.622000+00:00;dIuoAjr+zZdq1MNU;scroll;451.0
166;2022-01-13 12:45:34.638000+00:00;dIuoAjr+zZdq1MNU;scroll;480.0
167;2022-01-13 12:45:34.655000+00:00;dIuoAjr+zZdq1MNU;scroll;496.0
168;2022-01-13 12:45:34.672000+00:00;dIuoAjr+zZdq1MNU;scroll;500.0
169;2022-01-13 12:45:34.972000+00:00;dIuoAjr+zZdq1MNU;scroll;501.0
170;2022-01-13 12:45:34.989000+00:00;dIuoAjr+zZdq1MNU;scroll;507.0
171;2022-01-13 12:45:35.005000+00:00;dIuoAjr+zZdq1MNU;scroll;518.0
172;2022-01-13 12:45:35.023000+00:00;dIuoAjr+zZdq1MNU;scroll;539.0
173;2022-01-13 12:45:35.038000+00:00;dIuoAjr+zZdq1MNU;scroll;576.0
174;2022-01-13 12:45:35.055000+00:00;dIuoAjr+zZdq1MNU;scroll;632.0
175;2022-01-13 12:45:35.072000+00:00;dIuoAjr+zZdq1MNU;scroll;698.0
176;2022-01-13 12:45:35.089000+00:00;dIuoAjr+zZdq1MNU;scroll;767.0
177;2022-01-13 12:45:35.105000+00:00;dIuoAjr+zZdq1MNU;scroll;836.0
178;2022-01-13 12:45:35.122000+00:00;dIuoAjr+zZdq1MNU;scroll;898.0
179;2022-01-13 12:45:35.138000+00:00;dIuoAjr+zZdq1MNU;scroll;947.0
180;2022-01-13 12:45:35.155000+00:00;dIuoAjr+zZdq1MNU;scroll;979.0
181;2022-01-13 12:45:35.172000+00:00;dIuoAjr+zZdq1MNU;scroll;996.0
182;2022-01-13 12:45:35.188000+00:00;dIuoAjr+zZdq1MNU;scroll;1000.0
183;2022-01-13 12:45:35.539000+00:00;dIuoAjr+zZdq1MNU;scroll;1001.0
184;2022-01-13 12:45:35.555000+00:00;dIuoAjr+zZdq1MNU;scroll;1006.0
185;2022-01-13 12:45:35.573000+00:00;dIuoAjr+zZdq1MNU;scroll;1016.0
186;2022-01-13 12:45:35.589000+00:00;dIuoAjr+zZdq1MNU;scroll;1039.0
187;2022-01-13 12:45:35.605000+00:00;dIuoAjr+zZdq1MNU;scroll;1092.0
188;2022-01-13 12:45:35.622000+00:00;dIuoAjr+zZdq1MNU;scroll;1181.0
189;2022-01-13 12:45:35.638000+00:00;dIuoAjr+zZdq1MNU;scroll;1303.0
190;2022-01-13 12:45:35.655000+00:00;dIuoAjr+zZdq1MNU;scroll;1433.0
191;2022-01-13 12:45:35.672000+00:00;dIuoAjr+zZdq1MNU;scroll;1536.0
192;2022-01-13 12:45:35.688000+00:00;dIuoAjr+zZdq1MNU;scroll;1590.0
193;2022-01-13 12:45:35.705000+00:00;dIuoAjr+zZdq1MNU;scroll;1600.0
194;2022-01-13 12:45:35.848000+00:00;dIuoAjr+zZdq1MNU;scroll;1599.0
195;2022-01-13 12:45:35.855000+00:00;dIuoAjr+zZdq1MNU;scroll;1594.0
196;2022-01-13 12:45:35.872000+00:00;dIuoAjr+zZdq1MNU;scroll;1587.0
197;2022-01-13 12:45:35.888000+00:00;dIuoAjr+zZdq1MNU;scroll;1577.0
198;2022-01-13 12:45:35.905000+00:00;dIuoAjr+zZdq1MNU;scroll;1553.0
199;2022-01-13 12:45:35.922000+00:00;dIuoAjr+zZdq1MNU;scroll;1491.0
200;2022-01-13 12:45:35.938000+00:00;dIuoAjr+zZdq1MNU;scroll;1389.0
201;2022-01-13 12:45:35.955000+00:00;dIuoAjr+zZdq1MNU;scroll;1254.0
202;2022-01-13 12:45:35.972000+00:00;dIuoAjr+zZdq1MNU;scroll;1114.0
203;2022-01-13 12:45:35.988000+00:00;dIuoAjr+zZdq1MNU;scroll;987.0
