;time;token;event;position
0;2022-01-13 12:43:39.628000+00:00;eXsm+0vE25UQ9wFo;scroll;0
1;2022-01-13 12:44:03.496000+00:00;eXsm+0vE25UQ9wFo;scroll;2
2;2022-01-13 12:44:03.529000+00:00;eXsm+0vE25UQ9wFo;scroll;5
3;2022-01-13 12:44:03.546000+00:00;eXsm+0vE25UQ9wFo;scroll;6
4;2022-01-13 12:44:03.562000+00:00;eXsm+0vE25UQ9wFo;scroll;7
5;2022-01-13 12:44:03.578000+00:00;eXsm+0vE25UQ9wFo;scroll;8
6;2022-01-13 12:44:03.596000+00:00;eXsm+0vE25UQ9wFo;scroll;9
7;2022-01-13 12:44:03.612000+00:00;eXsm+0vE25UQ9wFo;scroll;10
8;2022-01-13 12:44:03.629000+00:00;eXsm+0vE25UQ9wFo;scroll;9
9;2022-01-13 12:44:03.645000+00:00;eXsm+0vE25UQ9wFo;scroll;10
10;2022-01-13 12:44:03.663000+00:00;eXsm+0vE25UQ9wFo;scroll;11
11;2022-01-13 12:44:03.679000+00:00;eXsm+0vE25UQ9wFo;scroll;12
12;2022-01-13 12:44:03.695000+00:00;eXsm+0vE25UQ9wFo;scroll;14
13;2022-01-13 12:44:03.712000+00:00;eXsm+0vE25UQ9wFo;scroll;15
14;2022-01-13 12:44:03.729000+00:00;eXsm+0vE25UQ9wFo;scroll;17
15;2022-01-13 12:44:03.746000+00:00;eXsm+0vE25UQ9wFo;scroll;19
16;2022-01-13 12:44:03.762000+00:00;eXsm+0vE25UQ9wFo;scroll;21
17;2022-01-13 12:44:03.779000+00:00;eXsm+0vE25UQ9wFo;scroll;24
18;2022-01-13 12:44:03.795000+00:00;eXsm+0vE25UQ9wFo;scroll;27
19;2022-01-13 12:44:03.811000+00:00;eXsm+0vE25UQ9wFo;scroll;30
20;2022-01-13 12:44:03.829000+00:00;eXsm+0vE25UQ9wFo;scroll;34
21;2022-01-13 12:44:03.845000+00:00;eXsm+0vE25UQ9wFo;scroll;38
22;2022-01-13 12:44:03.862000+00:00;eXsm+0vE25UQ9wFo;scroll;45
23;2022-01-13 12:44:03.879000+00:00;eXsm+0vE25UQ9wFo;scroll;56
24;2022-01-13 12:44:03.896000+00:00;eXsm+0vE25UQ9wFo;scroll;75
25;2022-01-13 12:44:03.911000+00:00;eXsm+0vE25UQ9wFo;scroll;108
26;2022-01-13 12:44:03.928000+00:00;eXsm+0vE25UQ9wFo;scroll;163
27;2022-01-13 12:44:03.945000+00:00;eXsm+0vE25UQ9wFo;scroll;240
28;2022-01-13 12:44:03.979000+00:00;eXsm+0vE25UQ9wFo;scroll;381
29;2022-01-13 12:44:04.013000+00:00;eXsm+0vE25UQ9wFo;scroll;551
30;2022-01-13 12:44:04.045000+00:00;eXsm+0vE25UQ9wFo;scroll;633
31;2022-01-13 12:44:04.063000+00:00;eXsm+0vE25UQ9wFo;scroll;787
32;2022-01-13 12:44:04.079000+00:00;eXsm+0vE25UQ9wFo;scroll;864
33;2022-01-13 12:44:04.096000+00:00;eXsm+0vE25UQ9wFo;scroll;936
34;2022-01-13 12:44:04.129000+00:00;eXsm+0vE25UQ9wFo;scroll;1064
35;2022-01-13 12:44:04.146000+00:00;eXsm+0vE25UQ9wFo;scroll;1122
36;2022-01-13 12:44:04.179000+00:00;eXsm+0vE25UQ9wFo;scroll;1140
37;2022-01-13 12:44:04.212000+00:00;eXsm+0vE25UQ9wFo;scroll;1153
38;2022-01-13 12:44:04.229000+00:00;eXsm+0vE25UQ9wFo;scroll;1160
39;2022-01-13 12:44:04.246000+00:00;eXsm+0vE25UQ9wFo;scroll;1164
40;2022-01-13 12:44:04.263000+00:00;eXsm+0vE25UQ9wFo;scroll;1166
41;2022-01-13 12:44:04.296000+00:00;eXsm+0vE25UQ9wFo;scroll;1165
42;2022-01-13 12:44:04.312000+00:00;eXsm+0vE25UQ9wFo;scroll;1163
43;2022-01-13 12:44:04.329000+00:00;eXsm+0vE25UQ9wFo;scroll;1161
44;2022-01-13 12:44:04.345000+00:00;eXsm+0vE25UQ9wFo;scroll;1162
45;2022-01-13 12:44:04.361000+00:00;eXsm+0vE25UQ9wFo;scroll;1163
46;2022-01-13 12:44:04.379000+00:00;eXsm+0vE25UQ9wFo;scroll;1166
47;2022-01-13 12:44:04.396000+00:00;eXsm+0vE25UQ9wFo;scroll;1171
48;2022-01-13 12:44:04.411000+00:00;eXsm+0vE25UQ9wFo;scroll;1176
49;2022-01-13 12:44:04.428000+00:00;eXsm+0vE25UQ9wFo;scroll;1229
50;2022-01-13 12:44:04.445000+00:00;eXsm+0vE25UQ9wFo;scroll;1256
51;2022-01-13 12:44:04.462000+00:00;eXsm+0vE25UQ9wFo;scroll;1269
52;2022-01-13 12:44:04.479000+00:00;eXsm+0vE25UQ9wFo;scroll;1273
53;2022-01-13 12:44:04.496000+00:00;eXsm+0vE25UQ9wFo;scroll;1271
54;2022-01-13 12:44:04.511000+00:00;eXsm+0vE25UQ9wFo;scroll;1265
55;2022-01-13 12:44:04.528000+00:00;eXsm+0vE25UQ9wFo;scroll;1257
56;2022-01-13 12:44:04.545000+00:00;eXsm+0vE25UQ9wFo;scroll;1247
57;2022-01-13 12:44:04.561000+00:00;eXsm+0vE25UQ9wFo;scroll;1236
58;2022-01-13 12:44:04.579000+00:00;eXsm+0vE25UQ9wFo;scroll;1226
59;2022-01-13 12:44:04.595000+00:00;eXsm+0vE25UQ9wFo;scroll;1216
60;2022-01-13 12:44:04.612000+00:00;eXsm+0vE25UQ9wFo;scroll;1207
61;2022-01-13 12:44:04.628000+00:00;eXsm+0vE25UQ9wFo;scroll;1198
62;2022-01-13 12:44:04.646000+00:00;eXsm+0vE25UQ9wFo;scroll;1190
63;2022-01-13 12:44:04.662000+00:00;eXsm+0vE25UQ9wFo;scroll;1183
64;2022-01-13 12:44:04.678000+00:00;eXsm+0vE25UQ9wFo;scroll;1177
65;2022-01-13 12:44:04.696000+00:00;eXsm+0vE25UQ9wFo;scroll;1171
66;2022-01-13 12:44:04.712000+00:00;eXsm+0vE25UQ9wFo;scroll;1166
67;2022-01-13 12:44:04.729000+00:00;eXsm+0vE25UQ9wFo;scroll;1162
68;2022-01-13 12:44:04.746000+00:00;eXsm+0vE25UQ9wFo;scroll;1158
69;2022-01-13 12:44:04.762000+00:00;eXsm+0vE25UQ9wFo;scroll;1155
70;2022-01-13 12:44:04.778000+00:00;eXsm+0vE25UQ9wFo;scroll;1153
71;2022-01-13 12:44:04.796000+00:00;eXsm+0vE25UQ9wFo;scroll;1150
72;2022-01-13 12:44:04.812000+00:00;eXsm+0vE25UQ9wFo;scroll;1148
73;2022-01-13 12:44:04.829000+00:00;eXsm+0vE25UQ9wFo;scroll;1146
74;2022-01-13 12:44:04.846000+00:00;eXsm+0vE25UQ9wFo;scroll;1145
75;2022-01-13 12:44:04.862000+00:00;eXsm+0vE25UQ9wFo;scroll;1144
76;2022-01-13 12:44:04.878000+00:00;eXsm+0vE25UQ9wFo;scroll;1143
77;2022-01-13 12:44:04.896000+00:00;eXsm+0vE25UQ9wFo;scroll;1142
78;2022-01-13 12:44:04.911000+00:00;eXsm+0vE25UQ9wFo;scroll;1141
79;2022-01-13 12:44:04.929000+00:00;eXsm+0vE25UQ9wFo;scroll;1140
80;2022-01-13 12:44:04.962000+00:00;eXsm+0vE25UQ9wFo;scroll;1139
81;2022-01-13 12:44:05.013000+00:00;eXsm+0vE25UQ9wFo;scroll;1138
82;2022-01-13 12:44:05.112000+00:00;eXsm+0vE25UQ9wFo;scroll;1137
83;2022-01-13 12:44:05.346000+00:00;eXsm+0vE25UQ9wFo;scroll;1134
84;2022-01-13 12:44:05.362000+00:00;eXsm+0vE25UQ9wFo;scroll;1127
85;2022-01-13 12:44:05.379000+00:00;eXsm+0vE25UQ9wFo;scroll;1116
86;2022-01-13 12:44:05.396000+00:00;eXsm+0vE25UQ9wFo;scroll;1097
87;2022-01-13 12:44:05.412000+00:00;eXsm+0vE25UQ9wFo;scroll;1069
88;2022-01-13 12:44:05.428000+00:00;eXsm+0vE25UQ9wFo;scroll;1023
89;2022-01-13 12:44:05.446000+00:00;eXsm+0vE25UQ9wFo;scroll;962
90;2022-01-13 12:44:05.462000+00:00;eXsm+0vE25UQ9wFo;scroll;900
91;2022-01-13 12:44:05.479000+00:00;eXsm+0vE25UQ9wFo;scroll;820
92;2022-01-13 12:44:05.512000+00:00;eXsm+0vE25UQ9wFo;scroll;606
93;2022-01-13 12:44:05.546000+00:00;eXsm+0vE25UQ9wFo;scroll;396
94;2022-01-13 12:44:05.562000+00:00;eXsm+0vE25UQ9wFo;scroll;296
95;2022-01-13 12:44:05.579000+00:00;eXsm+0vE25UQ9wFo;scroll;202
