;time;token;event;position
0;2022-01-20 12:56:22.018000+00:00;f5kVTv9xJ9LicSzk;scroll;0
1;2022-01-20 12:56:49.912000+00:00;f5kVTv9xJ9LicSzk;scroll;1
2;2022-01-20 12:56:49.929000+00:00;f5kVTv9xJ9LicSzk;scroll;6
3;2022-01-20 12:56:49.945000+00:00;f5kVTv9xJ9LicSzk;scroll;14
4;2022-01-20 12:56:49.962000+00:00;f5kVTv9xJ9LicSzk;scroll;31
5;2022-01-20 12:56:49.979000+00:00;f5kVTv9xJ9LicSzk;scroll;59
6;2022-01-20 12:56:49.995000+00:00;f5kVTv9xJ9LicSzk;scroll;98
7;2022-01-20 12:56:50.012000+00:00;f5kVTv9xJ9LicSzk;scroll;150
8;2022-01-20 12:56:50.028000+00:00;f5kVTv9xJ9LicSzk;scroll;218
9;2022-01-20 12:56:50.045000+00:00;f5kVTv9xJ9LicSzk;scroll;298
10;2022-01-20 12:56:50.062000+00:00;f5kVTv9xJ9LicSzk;scroll;378
11;2022-01-20 12:56:50.078000+00:00;f5kVTv9xJ9LicSzk;scroll;443
12;2022-01-20 12:56:50.095000+00:00;f5kVTv9xJ9LicSzk;scroll;483
13;2022-01-20 12:56:50.112000+00:00;f5kVTv9xJ9LicSzk;scroll;499
14;2022-01-20 12:56:50.128000+00:00;f5kVTv9xJ9LicSzk;scroll;500
15;2022-01-20 12:56:50.953000+00:00;f5kVTv9xJ9LicSzk;scroll;499
16;2022-01-20 12:56:50.962000+00:00;f5kVTv9xJ9LicSzk;scroll;494
17;2022-01-20 12:56:50.979000+00:00;f5kVTv9xJ9LicSzk;scroll;487
18;2022-01-20 12:56:50.996000+00:00;f5kVTv9xJ9LicSzk;scroll;475
19;2022-01-20 12:56:51.013000+00:00;f5kVTv9xJ9LicSzk;scroll;459
20;2022-01-20 12:56:51.029000+00:00;f5kVTv9xJ9LicSzk;scroll;435
21;2022-01-20 12:56:51.046000+00:00;f5kVTv9xJ9LicSzk;scroll;404
22;2022-01-20 12:56:51.063000+00:00;f5kVTv9xJ9LicSzk;scroll;367
