;time;token;event;position
0;2022-01-20 13:22:33.552000+00:00;fEnrhGWVISKhILFB;scroll;0.0
1;2022-01-20 13:22:35.398000+00:00;fEnrhGWVISKhILFB;scroll;6.400000095367432
2;2022-01-20 13:22:35.406000+00:00;fEnrhGWVISKhILFB;scroll;27.200000762939453
3;2022-01-20 13:22:35.412000+00:00;fEnrhGWVISKhILFB;scroll;62.400001525878906
4;2022-01-20 13:22:35.419000+00:00;fEnrhGWVISKhILFB;scroll;112.80000305175781
5;2022-01-20 13:22:35.426000+00:00;fEnrhGWVISKhILFB;scroll;176.8000030517578
6;2022-01-20 13:22:35.433000+00:00;fEnrhGWVISKhILFB;scroll;252.0
7;2022-01-20 13:22:35.440000+00:00;fEnrhGWVISKhILFB;scroll;334.3999938964844
8;2022-01-20 13:22:35.447000+00:00;fEnrhGWVISKhILFB;scroll;418.3999938964844
9;2022-01-20 13:22:35.454000+00:00;fEnrhGWVISKhILFB;scroll;496.79998779296875
10;2022-01-20 13:22:35.461000+00:00;fEnrhGWVISKhILFB;scroll;566.4000244140625
11;2022-01-20 13:22:35.468000+00:00;fEnrhGWVISKhILFB;scroll;621.5999755859375
12;2022-01-20 13:22:35.475000+00:00;fEnrhGWVISKhILFB;scroll;661.5999755859375
13;2022-01-20 13:22:35.482000+00:00;fEnrhGWVISKhILFB;scroll;688.0
14;2022-01-20 13:22:35.489000+00:00;fEnrhGWVISKhILFB;scroll;699.2000122070312
15;2022-01-20 13:22:35.496000+00:00;fEnrhGWVISKhILFB;scroll;700.0
16;2022-01-20 13:22:35.767000+00:00;fEnrhGWVISKhILFB;scroll;701.5999755859375
17;2022-01-20 13:22:35.773000+00:00;fEnrhGWVISKhILFB;scroll;707.2000122070312
18;2022-01-20 13:22:35.780000+00:00;fEnrhGWVISKhILFB;scroll;716.0
19;2022-01-20 13:22:35.787000+00:00;fEnrhGWVISKhILFB;scroll;728.7999877929688
20;2022-01-20 13:22:35.794000+00:00;fEnrhGWVISKhILFB;scroll;744.7999877929688
21;2022-01-20 13:22:35.801000+00:00;fEnrhGWVISKhILFB;scroll;765.5999755859375
22;2022-01-20 13:22:35.808000+00:00;fEnrhGWVISKhILFB;scroll;788.7999877929688
23;2022-01-20 13:22:35.815000+00:00;fEnrhGWVISKhILFB;scroll;814.4000244140625
24;2022-01-20 13:22:35.822000+00:00;fEnrhGWVISKhILFB;scroll;841.5999755859375
25;2022-01-20 13:22:35.829000+00:00;fEnrhGWVISKhILFB;scroll;870.4000244140625
26;2022-01-20 13:22:35.836000+00:00;fEnrhGWVISKhILFB;scroll;896.7999877929688
27;2022-01-20 13:22:35.843000+00:00;fEnrhGWVISKhILFB;scroll;921.5999755859375
28;2022-01-20 13:22:35.850000+00:00;fEnrhGWVISKhILFB;scroll;947.2000122070312
29;2022-01-20 13:22:35.857000+00:00;fEnrhGWVISKhILFB;scroll;975.2000122070312
30;2022-01-20 13:22:35.864000+00:00;fEnrhGWVISKhILFB;scroll;1007.2000122070312
31;2022-01-20 13:22:35.871000+00:00;fEnrhGWVISKhILFB;scroll;1040.800048828125
