;time;token;event;position
0;2022-01-13 12:43:41.908000+00:00;gdHoIJg5LC37T9Bq;scroll;0
1;2022-01-13 12:44:12.319000+00:00;gdHoIJg5LC37T9Bq;scroll;1
2;2022-01-13 12:44:12.332000+00:00;gdHoIJg5LC37T9Bq;scroll;4
3;2022-01-13 12:44:12.340000+00:00;gdHoIJg5LC37T9Bq;scroll;6
4;2022-01-13 12:44:12.347000+00:00;gdHoIJg5LC37T9Bq;scroll;10
5;2022-01-13 12:44:12.354000+00:00;gdHoIJg5LC37T9Bq;scroll;14
6;2022-01-13 12:44:12.361000+00:00;gdHoIJg5LC37T9Bq;scroll;18
7;2022-01-13 12:44:12.367000+00:00;gdHoIJg5LC37T9Bq;scroll;23
8;2022-01-13 12:44:12.374000+00:00;gdHoIJg5LC37T9Bq;scroll;32
9;2022-01-13 12:44:12.382000+00:00;gdHoIJg5LC37T9Bq;scroll;41
10;2022-01-13 12:44:12.389000+00:00;gdHoIJg5LC37T9Bq;scroll;51
11;2022-01-13 12:44:12.396000+00:00;gdHoIJg5LC37T9Bq;scroll;61
12;2022-01-13 12:44:12.403000+00:00;gdHoIJg5LC37T9Bq;scroll;73
13;2022-01-13 12:44:12.409000+00:00;gdHoIJg5LC37T9Bq;scroll;83
14;2022-01-13 12:44:12.416000+00:00;gdHoIJg5LC37T9Bq;scroll;94
15;2022-01-13 12:44:12.424000+00:00;gdHoIJg5LC37T9Bq;scroll;105
16;2022-01-13 12:44:12.430000+00:00;gdHoIJg5LC37T9Bq;scroll;117
17;2022-01-13 12:44:12.437000+00:00;gdHoIJg5LC37T9Bq;scroll;127
18;2022-01-13 12:44:12.444000+00:00;gdHoIJg5LC37T9Bq;scroll;137
19;2022-01-13 12:44:12.451000+00:00;gdHoIJg5LC37T9Bq;scroll;146
20;2022-01-13 12:44:12.457000+00:00;gdHoIJg5LC37T9Bq;scroll;156
21;2022-01-13 12:44:12.465000+00:00;gdHoIJg5LC37T9Bq;scroll;164
22;2022-01-13 12:44:12.472000+00:00;gdHoIJg5LC37T9Bq;scroll;172
23;2022-01-13 12:44:12.478000+00:00;gdHoIJg5LC37T9Bq;scroll;179
24;2022-01-13 12:44:12.485000+00:00;gdHoIJg5LC37T9Bq;scroll;185
25;2022-01-13 12:44:12.492000+00:00;gdHoIJg5LC37T9Bq;scroll;191
26;2022-01-13 12:44:12.499000+00:00;gdHoIJg5LC37T9Bq;scroll;196
27;2022-01-13 12:44:12.506000+00:00;gdHoIJg5LC37T9Bq;scroll;199
28;2022-01-13 12:44:12.513000+00:00;gdHoIJg5LC37T9Bq;scroll;202
29;2022-01-13 12:44:12.520000+00:00;gdHoIJg5LC37T9Bq;scroll;204
30;2022-01-13 12:44:36.820000+00:00;gdHoIJg5LC37T9Bq;scroll;206
31;2022-01-13 12:44:36.827000+00:00;gdHoIJg5LC37T9Bq;scroll;208
32;2022-01-13 12:44:36.841000+00:00;gdHoIJg5LC37T9Bq;scroll;211
33;2022-01-13 12:44:36.848000+00:00;gdHoIJg5LC37T9Bq;scroll;215
34;2022-01-13 12:44:36.855000+00:00;gdHoIJg5LC37T9Bq;scroll;219
35;2022-01-13 12:44:36.861000+00:00;gdHoIJg5LC37T9Bq;scroll;224
36;2022-01-13 12:44:36.869000+00:00;gdHoIJg5LC37T9Bq;scroll;229
37;2022-01-13 12:44:36.876000+00:00;gdHoIJg5LC37T9Bq;scroll;234
38;2022-01-13 12:44:36.883000+00:00;gdHoIJg5LC37T9Bq;scroll;239
39;2022-01-13 12:44:36.889000+00:00;gdHoIJg5LC37T9Bq;scroll;244
40;2022-01-13 12:44:36.897000+00:00;gdHoIJg5LC37T9Bq;scroll;250
41;2022-01-13 12:44:36.904000+00:00;gdHoIJg5LC37T9Bq;scroll;255
42;2022-01-13 12:44:36.910000+00:00;gdHoIJg5LC37T9Bq;scroll;260
43;2022-01-13 12:44:36.918000+00:00;gdHoIJg5LC37T9Bq;scroll;265
44;2022-01-13 12:44:36.924000+00:00;gdHoIJg5LC37T9Bq;scroll;270
45;2022-01-13 12:44:36.931000+00:00;gdHoIJg5LC37T9Bq;scroll;275
46;2022-01-13 12:44:36.939000+00:00;gdHoIJg5LC37T9Bq;scroll;279
47;2022-01-13 12:44:36.945000+00:00;gdHoIJg5LC37T9Bq;scroll;288
48;2022-01-13 12:44:36.952000+00:00;gdHoIJg5LC37T9Bq;scroll;291
49;2022-01-13 12:44:36.960000+00:00;gdHoIJg5LC37T9Bq;scroll;294
50;2022-01-13 12:44:36.966000+00:00;gdHoIJg5LC37T9Bq;scroll;297
51;2022-01-13 12:44:36.973000+00:00;gdHoIJg5LC37T9Bq;scroll;300
52;2022-01-13 12:44:36.980000+00:00;gdHoIJg5LC37T9Bq;scroll;302
53;2022-01-13 12:44:36.987000+00:00;gdHoIJg5LC37T9Bq;scroll;304
54;2022-01-13 12:44:36.994000+00:00;gdHoIJg5LC37T9Bq;scroll;305
55;2022-01-13 12:44:37.001000+00:00;gdHoIJg5LC37T9Bq;scroll;306
56;2022-01-13 12:44:40.148000+00:00;gdHoIJg5LC37T9Bq;scroll;308
57;2022-01-13 12:44:40.154000+00:00;gdHoIJg5LC37T9Bq;scroll;309
58;2022-01-13 12:44:40.161000+00:00;gdHoIJg5LC37T9Bq;scroll;312
59;2022-01-13 12:44:40.167000+00:00;gdHoIJg5LC37T9Bq;scroll;316
60;2022-01-13 12:44:40.175000+00:00;gdHoIJg5LC37T9Bq;scroll;320
61;2022-01-13 12:44:40.182000+00:00;gdHoIJg5LC37T9Bq;scroll;324
