;time;token;event;position
0;2022-01-13 07:03:05.496000+00:00;gqWkGxjm5N4xB0Zc;scroll;0
1;2022-01-13 07:03:20.104000+00:00;gqWkGxjm5N4xB0Zc;scroll;2
2;2022-01-13 07:03:20.122000+00:00;gqWkGxjm5N4xB0Zc;scroll;22
3;2022-01-13 07:03:20.138000+00:00;gqWkGxjm5N4xB0Zc;scroll;45
4;2022-01-13 07:03:20.156000+00:00;gqWkGxjm5N4xB0Zc;scroll;67
5;2022-01-13 07:03:20.172000+00:00;gqWkGxjm5N4xB0Zc;scroll;85
6;2022-01-13 07:03:20.189000+00:00;gqWkGxjm5N4xB0Zc;scroll;123
7;2022-01-13 07:03:20.223000+00:00;gqWkGxjm5N4xB0Zc;scroll;229
8;2022-01-13 07:03:20.239000+00:00;gqWkGxjm5N4xB0Zc;scroll;285
9;2022-01-13 07:03:20.272000+00:00;gqWkGxjm5N4xB0Zc;scroll;394
10;2022-01-13 07:03:20.290000+00:00;gqWkGxjm5N4xB0Zc;scroll;444
11;2022-01-13 07:03:20.306000+00:00;gqWkGxjm5N4xB0Zc;scroll;497
12;2022-01-13 07:03:20.323000+00:00;gqWkGxjm5N4xB0Zc;scroll;546
13;2022-01-13 07:03:20.339000+00:00;gqWkGxjm5N4xB0Zc;scroll;591
14;2022-01-13 07:03:20.356000+00:00;gqWkGxjm5N4xB0Zc;scroll;634
15;2022-01-13 07:03:20.388000+00:00;gqWkGxjm5N4xB0Zc;scroll;709
16;2022-01-13 07:03:20.422000+00:00;gqWkGxjm5N4xB0Zc;scroll;772
17;2022-01-13 07:03:20.455000+00:00;gqWkGxjm5N4xB0Zc;scroll;826
18;2022-01-13 07:03:20.485000+00:00;gqWkGxjm5N4xB0Zc;scroll;850
19;2022-01-13 07:03:20.503000+00:00;gqWkGxjm5N4xB0Zc;scroll;871
20;2022-01-13 07:03:20.518000+00:00;gqWkGxjm5N4xB0Zc;scroll;907
21;2022-01-13 07:03:20.535000+00:00;gqWkGxjm5N4xB0Zc;scroll;923
22;2022-01-13 07:03:20.568000+00:00;gqWkGxjm5N4xB0Zc;scroll;937
