;time;token;event;position
0;2022-01-13 13:32:20.015000+00:00;iO4koNKF8FBg+XSS;scroll;-27
1;2022-01-13 13:32:20.030000+00:00;iO4koNKF8FBg+XSS;scroll;-52
2;2022-01-13 13:32:20.082000+00:00;iO4koNKF8FBg+XSS;scroll;-75
3;2022-01-13 13:32:20.129000+00:00;iO4koNKF8FBg+XSS;scroll;-104
4;2022-01-13 13:32:20.146000+00:00;iO4koNKF8FBg+XSS;scroll;-105
5;2022-01-13 13:32:20.163000+00:00;iO4koNKF8FBg+XSS;scroll;-102
6;2022-01-13 13:32:20.179000+00:00;iO4koNKF8FBg+XSS;scroll;-98
7;2022-01-13 13:32:20.196000+00:00;iO4koNKF8FBg+XSS;scroll;-92
8;2022-01-13 13:32:20.213000+00:00;iO4koNKF8FBg+XSS;scroll;-85
9;2022-01-13 13:32:20.229000+00:00;iO4koNKF8FBg+XSS;scroll;-79
10;2022-01-13 13:32:20.246000+00:00;iO4koNKF8FBg+XSS;scroll;-71
11;2022-01-13 13:32:20.262000+00:00;iO4koNKF8FBg+XSS;scroll;-64
12;2022-01-13 13:32:20.279000+00:00;iO4koNKF8FBg+XSS;scroll;-58
13;2022-01-13 13:32:20.296000+00:00;iO4koNKF8FBg+XSS;scroll;-52
14;2022-01-13 13:32:20.313000+00:00;iO4koNKF8FBg+XSS;scroll;-46
15;2022-01-13 13:32:20.329000+00:00;iO4koNKF8FBg+XSS;scroll;-41
16;2022-01-13 13:32:20.346000+00:00;iO4koNKF8FBg+XSS;scroll;-36
17;2022-01-13 13:32:20.363000+00:00;iO4koNKF8FBg+XSS;scroll;-32
18;2022-01-13 13:32:20.379000+00:00;iO4koNKF8FBg+XSS;scroll;-28
19;2022-01-13 13:32:20.409000+00:00;iO4koNKF8FBg+XSS;scroll;-24
20;2022-01-13 13:32:20.481000+00:00;iO4koNKF8FBg+XSS;scroll;0
